<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^AEX,5,20221117,090000,710.59,711.02,710.14,710.14,0,0
^AEX,5,20221117,090500,709.82,710.74,709.2,709.2,0,0
^AEX,5,20221117,091000,709.26,709.92,709.26,709.76,0,0
^AEX,5,20221117,091500,709.85,711.1,709.85,710.7,0,0
^AEX,5,20221117,092000,710.64,710.64,709.89,709.89,0,0
^AEX,5,20221117,092500,709.81,709.94,709.64,709.7,0,0
^AEX,5,20221117,093000,709.6,709.96,709.4,709.96,0,0
^AEX,5,20221117,093500,709.98,710.25,709.83,709.94,0,0
^AEX,5,20221117,094000,709.86,709.86,708.91,708.95,0,0
^AEX,5,20221117,094500,708.93,709.26,708.7,708.71,0,0
^AEX,5,20221117,095000,708.64,708.76,707.86,707.86,0,0
^AEX,5,20221117,095500,707.86,708.04,707.55,707.55,0,0
^AEX,5,20221117,100000,707.39,707.81,707.39,707.69,0,0
^AEX,5,20221117,100500,707.7,707.87,707.09,707.45,0,0
^AEX,5,20221117,101000,707.42,707.81,707.34,707.34,0,0
^AEX,5,20221117,101500,707.3,707.58,707.3,707.53,0,0
^AEX,5,20221117,102000,707.62,707.77,707.03,707.03,0,0
^AEX,5,20221117,102500,707.03,707.37,707.03,707.32,0,0
^AEX,5,20221117,103000,707.27,707.27,706.37,706.39,0,0
^AEX,5,20221117,103500,706.47,706.47,706.03,706.03,0,0
^AEX,5,20221117,104000,705.92,706.43,705.92,706.06,0,0
^AEX,5,20221117,104500,706.08,706.6,706.03,706.37,0,0
^AEX,5,20221117,105000,706.33,706.33,705.52,706.03,0,0
^AEX,5,20221117,105500,706.01,706.09,705.55,706.03,0,0
^AEX,5,20221117,110000,706.01,706.55,706.01,706.11,0,0
^AEX,5,20221117,110500,706.17,706.6,706.17,706.21,0,0
^AEX,5,20221117,111000,706.21,706.32,705.95,706.12,0,0
^AEX,5,20221117,111500,706.22,706.44,706.13,706.37,0,0
^AEX,5,20221117,112000,706.4,706.58,706.27,706.58,0,0
^AEX,5,20221117,112500,706.52,707.05,706.52,707.05,0,0
^AEX,5,20221117,113000,707.04,707.06,706.66,706.68,0,0
^AEX,5,20221117,113500,706.62,706.72,706.5,706.72,0,0
^AEX,5,20221117,114000,706.71,706.9,706.56,706.9,0,0
^AEX,5,20221117,114500,706.97,706.97,706.36,706.36,0,0
^AEX,5,20221117,115000,706.34,706.34,705.22,705.25,0,0
^AEX,5,20221117,115500,705.17,705.56,705.17,705.43,0,0
^AEX,5,20221117,120000,705.47,706.2,705.47,706.16,0,0
^AEX,5,20221117,120500,706.1,706.41,706.1,706.29,0,0
^AEX,5,20221117,121000,706.26,706.26,705.74,705.79,0,0
^AEX,5,20221117,121500,705.64,706.12,705.55,706.08,0,0
^AEX,5,20221117,122000,705.95,705.96,705.56,705.57,0,0
^AEX,5,20221117,122500,705.52,705.67,705.23,705.31,0,0
^AEX,5,20221117,123000,705.37,705.81,705.27,705.78,0,0
^AEX,5,20221117,123500,705.8,706.08,704.78,704.84,0,0
^AEX,5,20221117,124000,704.91,705.14,704.79,705.08,0,0
^AEX,5,20221117,124500,705.05,706.43,705.05,706.12,0,0
^AEX,5,20221117,125000,706.35,706.94,706.29,706.4,0,0
^AEX,5,20221117,125500,706.4,706.43,705.99,706.26,0,0
^AEX,5,20221117,130000,706.33,706.76,706.33,706.53,0,0
^AEX,5,20221117,130500,706.45,706.45,705.96,706.08,0,0
^AEX,5,20221117,131000,706.15,706.15,705.58,705.7,0,0
^AEX,5,20221117,131500,705.66,705.92,705.45,705.56,0,0
^AEX,5,20221117,132000,705.53,705.66,704.9,704.9,0,0
^AEX,5,20221117,132500,705,706.13,705,705.44,0,0
^AEX,5,20221117,133000,705.41,705.41,704.54,704.54,0,0
^AEX,5,20221117,133500,704.51,704.51,703.89,704.08,0,0
^AEX,5,20221117,134000,703.99,704.48,703.94,703.94,0,0
^AEX,5,20221117,134500,703.94,704.01,703.33,703.33,0,0
^AEX,5,20221117,135000,703.44,703.87,703.44,703.87,0,0
^AEX,5,20221117,135500,703.87,703.95,703.48,703.64,0,0
^AEX,5,20221117,140000,703.61,703.61,702.78,703.03,0,0
^AEX,5,20221117,140500,702.86,702.88,702.25,702.56,0,0
^AEX,5,20221117,141000,702.64,702.64,701.88,702.37,0,0
^AEX,5,20221117,141500,702.47,703.05,702.47,702.85,0,0
^AEX,5,20221117,142000,702.85,703.18,702.6,702.96,0,0
^AEX,5,20221117,142500,703.05,703.3,702.94,703.3,0,0
^AEX,5,20221117,143000,703.27,703.71,702.34,702.75,0,0
^AEX,5,20221117,143500,702.81,702.81,701.83,701.83,0,0
^AEX,5,20221117,144000,701.89,702.18,701.64,701.99,0,0
^AEX,5,20221117,144500,702.05,702.09,701.47,701.47,0,0
^AEX,5,20221117,145000,701.37,701.56,701.08,701.22,0,0
^AEX,5,20221117,145500,701.3,701.36,700.95,701.29,0,0
^AEX,5,20221117,150000,701.19,702.05,700.94,702.05,0,0
^AEX,5,20221117,150500,702.03,702.82,702,702.82,0,0
^AEX,5,20221117,151000,702.89,703.02,702.41,702.53,0,0
^AEX,5,20221117,151500,702.41,702.98,702.41,702.58,0,0
^AEX,5,20221117,152000,702.51,702.51,701.8,701.8,0,0
^AEX,5,20221117,152500,701.77,701.79,701.43,701.77,0,0
^AEX,5,20221117,153000,701.66,703.66,701.62,703.14,0,0
^AEX,5,20221117,153500,703.3,703.89,703.09,703.43,0,0
^AEX,5,20221117,154000,703.24,704.49,702.94,704.49,0,0
^AEX,5,20221117,154500,704.6,705.53,704.38,705.53,0,0
^AEX,5,20221117,155000,705.5,705.71,704.52,704.53,0,0
^AEX,5,20221117,155500,704.36,704.44,703.88,704.29,0,0
^AEX,5,20221117,160000,704.29,704.92,703.98,704.92,0,0
^AEX,5,20221117,160500,705.02,705.67,705,705.1,0,0
^AEX,5,20221117,161000,705.16,705.95,705.16,705.95,0,0
^AEX,5,20221117,161500,706.01,707.01,706.01,707.01,0,0
^AEX,5,20221117,162000,707.15,707.49,707.15,707.18,0,0
^AEX,5,20221117,162500,707.18,708.12,707.11,707.92,0,0
^AEX,5,20221117,163000,708.04,708.2,707.74,707.74,0,0
^AEX,5,20221117,163500,707.57,708.4,707.57,708.19,0,0
^AEX,5,20221117,164000,708.04,708.33,707.88,708.06,0,0
^AEX,5,20221117,164500,708.08,708.08,707.24,707.3,0,0
^AEX,5,20221117,165000,707.43,707.52,707.23,707.25,0,0
^AEX,5,20221117,165500,707.41,707.41,706.94,707.26,0,0
^AEX,5,20221117,170000,707.17,707.34,706.72,706.77,0,0
^AEX,5,20221117,170500,706.73,707.37,706.72,706.72,0,0
^AEX,5,20221117,171000,706.56,707.14,706.44,707.14,0,0
^AEX,5,20221117,171500,707.26,707.26,707.26,707.26,0,0
^AEX,5,20221117,172500,707.61,708.38,707.61,708.38,0,0
^AEX,5,20221118,090000,710.73,710.73,709.71,709.78,0,0
^AEX,5,20221118,090500,709.73,709.85,709.01,709.57,0,0
^AEX,5,20221118,091000,709.63,709.78,708.74,708.83,0,0
^AEX,5,20221118,091500,708.97,709.35,708.21,708.21,0,0
^AEX,5,20221118,092000,708.16,709.21,708.16,709.16,0,0
^AEX,5,20221118,092500,709.22,709.51,709.03,709.32,0,0
^AEX,5,20221118,093000,709.41,710.02,709.29,709.35,0,0
^AEX,5,20221118,093500,709.32,709.46,709.16,709.41,0,0
^AEX,5,20221118,094000,709.47,709.75,709.29,709.72,0,0
^AEX,5,20221118,094500,709.72,710.86,709.72,710.43,0,0
^AEX,5,20221118,095000,710.35,710.65,710.05,710.57,0,0
^AEX,5,20221118,095500,710.57,711.39,710.57,711.39,0,0
^AEX,5,20221118,100000,711.42,711.97,711.1,711.93,0,0
^AEX,5,20221118,100500,712.18,712.61,712.06,712.21,0,0
^AEX,5,20221118,101000,712.22,712.32,711.71,711.93,0,0
^AEX,5,20221118,101500,711.93,712.75,711.93,712.62,0,0
^AEX,5,20221118,102000,712.61,713.06,712.61,712.89,0,0
^AEX,5,20221118,102500,712.94,713.61,712.85,713.61,0,0
^AEX,5,20221118,103000,713.6,714.02,713.4,713.96,0,0
^AEX,5,20221118,103500,714.05,714.15,713.82,713.94,0,0
^AEX,5,20221118,104000,713.97,713.97,713.55,713.55,0,0
^AEX,5,20221118,104500,713.57,713.57,712.65,712.65,0,0
^AEX,5,20221118,105000,712.68,712.68,712.2,712.27,0,0
^AEX,5,20221118,105500,712.26,712.31,712.01,712.01,0,0
^AEX,5,20221118,110000,711.9,711.9,711.33,711.51,0,0
^AEX,5,20221118,110500,711.54,713.53,711.44,713.53,0,0
^AEX,5,20221118,111000,713.46,713.7,713.16,713.7,0,0
^AEX,5,20221118,111500,713.93,714.73,713.92,714.36,0,0
^AEX,5,20221118,112000,714.29,714.75,714.06,714.75,0,0
^AEX,5,20221118,112500,714.74,715.07,714.42,714.85,0,0
^AEX,5,20221118,113000,714.83,715.37,714.83,715.37,0,0
^AEX,5,20221118,113500,715.37,716.61,715.27,716.54,0,0
