<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^AOR,5,20221117,000000,7313.2,7329.4,7313.2,7329.4,0,0
^AOR,5,20221117,000500,7329.4,7338.5,7328.5,7338.5,0,0
^AOR,5,20221117,001000,7338.5,7344.4,7338.5,7342.8,0,0
^AOR,5,20221117,001500,7342.8,7342.8,7333.9,7335.8,0,0
^AOR,5,20221117,002000,7335.8,7338.3,7334.5,7338.3,0,0
^AOR,5,20221117,002500,7338.3,7338.3,7335.9,7337.8,0,0
^AOR,5,20221117,003000,7337.8,7338.9,7333.4,7334,0,0
^AOR,5,20221117,003500,7334,7336.7,7334,7336.2,0,0
^AOR,5,20221117,004000,7336.2,7337.6,7334.8,7337.1,0,0
^AOR,5,20221117,004500,7336.9,7337.4,7336.3,7336.8,0,0
^AOR,5,20221117,005000,7336.8,7339.8,7335.7,7336.5,0,0
^AOR,5,20221117,005500,7336.6,7336.7,7333.5,7334.9,0,0
^AOR,5,20221117,010000,7334.9,7340.3,7334.9,7340.3,0,0
^AOR,5,20221117,010500,7340.3,7344.4,7340.3,7344,0,0
^AOR,5,20221117,011000,7344,7345.1,7343.5,7345.1,0,0
^AOR,5,20221117,011500,7345.1,7345.1,7339.4,7341.1,0,0
^AOR,5,20221117,012000,7341.1,7343.3,7341.1,7342.7,0,0
^AOR,5,20221117,012500,7342.7,7342.8,7340.4,7341.8,0,0
^AOR,5,20221117,013000,7341.8,7342.9,7334,7336.1,0,0
^AOR,5,20221117,013500,7336.1,7336.2,7333.4,7336,0,0
^AOR,5,20221117,014000,7336,7336,7333.6,7334.9,0,0
^AOR,5,20221117,014500,7334.9,7337.5,7332.7,7337.5,0,0
^AOR,5,20221117,015000,7337.5,7337.9,7335.7,7336,0,0
^AOR,5,20221117,015500,7336,7342.8,7336,7342.8,0,0
^AOR,5,20221117,020000,7342.8,7344.4,7341.2,7343.7,0,0
^AOR,5,20221117,020500,7343.7,7349,7342.7,7349,0,0
^AOR,5,20221117,021000,7349,7352.1,7348.5,7352.1,0,0
^AOR,5,20221117,021500,7352.1,7352.1,7350.5,7351.3,0,0
^AOR,5,20221117,022000,7350.5,7351.9,7349.4,7349.4,0,0
^AOR,5,20221117,022500,7349.6,7349.6,7345.4,7345.4,0,0
