<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^ATH,5,20221117,102500,888.53,889.44,888.53,889.21,0,0
^ATH,5,20221117,103000,889.38,890.5,889.38,890.5,0,0
^ATH,5,20221117,103500,890.58,891.76,890.58,891.51,0,0
^ATH,5,20221117,104000,891.8,891.8,891.34,891.61,0,0
^ATH,5,20221117,104500,891.45,891.88,890.01,890.01,0,0
^ATH,5,20221117,105000,889.95,890.14,889.6,889.6,0,0
^ATH,5,20221117,105500,889.81,890.5,889.81,890.34,0,0
^ATH,5,20221117,110000,890.25,890.25,889.99,890.18,0,0
^ATH,5,20221117,110500,890.03,890.03,889.46,889.46,0,0
^ATH,5,20221117,111000,889.61,889.69,888.63,888.63,0,0
^ATH,5,20221117,111500,888.53,888.53,887.99,888.11,0,0
^ATH,5,20221117,112000,888.1,888.1,887.5,887.8,0,0
^ATH,5,20221117,112500,887.7,887.92,887.56,887.59,0,0
^ATH,5,20221117,113000,887.59,887.79,886.81,886.84,0,0
^ATH,5,20221117,113500,886.64,886.64,885.92,886.17,0,0
^ATH,5,20221117,114000,886.21,886.51,886.08,886.51,0,0
^ATH,5,20221117,114500,886.5,886.85,886.41,886.85,0,0
^ATH,5,20221117,115000,886.9,886.98,886.85,886.86,0,0
^ATH,5,20221117,115500,886.69,887.29,886.69,887.23,0,0
^ATH,5,20221117,120000,887.58,888.95,887.58,888.79,0,0
^ATH,5,20221117,120500,888.79,889.24,888.69,889.14,0,0
^ATH,5,20221117,121000,889.12,889.34,889.12,889.27,0,0
^ATH,5,20221117,121500,888.97,889.28,888.65,889.04,0,0
^ATH,5,20221117,122000,889.05,889.49,889.04,889.04,0,0
^ATH,5,20221117,122500,889.07,889.25,889.03,889.22,0,0
^ATH,5,20221117,123000,889.22,889.52,888.93,888.93,0,0
^ATH,5,20221117,123500,888.95,888.95,888.18,888.18,0,0
^ATH,5,20221117,124000,888.24,888.3,887.95,888.24,0,0
^ATH,5,20221117,124500,887.91,887.91,887.35,887.35,0,0
^ATH,5,20221117,125000,887.2,887.28,886.8,886.8,0,0
^ATH,5,20221117,125500,886.56,886.56,885.5,885.5,0,0
^ATH,5,20221117,130000,885.41,885.43,884.63,884.63,0,0
^ATH,5,20221117,130500,884.55,884.82,884.2,884.71,0,0
^ATH,5,20221117,131000,884.65,884.7,884.45,884.58,0,0
^ATH,5,20221117,131500,884.56,884.8,884.56,884.69,0,0
^ATH,5,20221117,132000,884.7,884.7,884,884,0,0
