<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BEL20,5,20221117,090000,3621.7,3631.94,3621.7,3629.13,0,0
^BEL20,5,20221117,090500,3627.99,3631.46,3625.69,3625.69,0,0
^BEL20,5,20221117,091000,3624.39,3628.26,3623.82,3628.26,0,0
^BEL20,5,20221117,091500,3627.86,3630.62,3625.46,3629.61,0,0
^BEL20,5,20221117,092000,3628.06,3628.06,3621.12,3621.24,0,0
^BEL20,5,20221117,092500,3620.1,3620.1,3615.55,3615.55,0,0
^BEL20,5,20221117,093000,3615.32,3616.75,3615.06,3616.5,0,0
^BEL20,5,20221117,093500,3616.84,3619.94,3616.84,3619.6,0,0
^BEL20,5,20221117,094000,3620.64,3620.64,3614.33,3614.33,0,0
^BEL20,5,20221117,094500,3614.42,3614.63,3611.49,3611.49,0,0
^BEL20,5,20221117,095000,3611.27,3611.27,3609.49,3609.73,0,0
^BEL20,5,20221117,095500,3609.5,3611.27,3609.5,3610.11,0,0
^BEL20,5,20221117,100000,3609.78,3611.97,3609.31,3609.31,0,0
^BEL20,5,20221117,100500,3609.24,3610.71,3608.7,3608.7,0,0
^BEL20,5,20221117,101000,3608.6,3609.37,3604.84,3604.84,0,0
^BEL20,5,20221117,101500,3603.09,3604.73,3602.87,3604.57,0,0
^BEL20,5,20221117,102000,3604.97,3606.16,3604.96,3606.16,0,0
^BEL20,5,20221117,102500,3606.56,3608.44,3606.56,3607.63,0,0
^BEL20,5,20221117,103000,3607.49,3607.49,3605.27,3605.36,0,0
^BEL20,5,20221117,103500,3605.57,3605.57,3603.42,3603.48,0,0
^BEL20,5,20221117,104000,3603.57,3606.84,3603.57,3605.43,0,0
^BEL20,5,20221117,104500,3605.29,3605.98,3604.85,3605.86,0,0
^BEL20,5,20221117,105000,3606.2,3606.2,3603.16,3604.98,0,0
^BEL20,5,20221117,105500,3604.98,3605.09,3604.35,3605.09,0,0
^BEL20,5,20221117,110000,3605.34,3606.09,3604.71,3604.78,0,0
^BEL20,5,20221117,110500,3605,3607.97,3604.74,3606.42,0,0
^BEL20,5,20221117,111000,3606.42,3606.42,3604.51,3605.44,0,0
^BEL20,5,20221117,111500,3605.57,3605.57,3603.71,3603.8,0,0
^BEL20,5,20221117,112000,3603.71,3605.42,3603.54,3605.42,0,0
^BEL20,5,20221117,112500,3605.42,3607.38,3605.02,3607.26,0,0
^BEL20,5,20221117,113000,3607.26,3607.26,3605.74,3605.74,0,0
^BEL20,5,20221117,113500,3605.83,3605.83,3603.97,3604.32,0,0
^BEL20,5,20221117,114000,3604.29,3606.34,3604.26,3606.1,0,0
^BEL20,5,20221117,114500,3606.27,3606.27,3602.92,3602.92,0,0
^BEL20,5,20221117,115000,3602.62,3602.62,3597.62,3597.77,0,0
^BEL20,5,20221117,115500,3597.38,3599.12,3597.27,3598.27,0,0
^BEL20,5,20221117,120000,3598.74,3600.7,3598.74,3600.23,0,0
^BEL20,5,20221117,120500,3600.07,3601.25,3600.07,3600.96,0,0
^BEL20,5,20221117,121000,3600.96,3601.98,3600.3,3600.64,0,0
^BEL20,5,20221117,121500,3600.02,3600.65,3599.19,3599.19,0,0
^BEL20,5,20221117,122000,3599.02,3599.05,3596.1,3596.1,0,0
^BEL20,5,20221117,122500,3596.33,3596.7,3594.92,3595.07,0,0
^BEL20,5,20221117,123000,3594.8,3596.36,3594.54,3596.26,0,0
^BEL20,5,20221117,123500,3596.12,3596.43,3590.33,3590.37,0,0
^BEL20,5,20221117,124000,3590.37,3593.14,3590.24,3593.14,0,0
^BEL20,5,20221117,124500,3593.14,3595.92,3593.14,3595.02,0,0
^BEL20,5,20221117,125000,3594.93,3596.3,3594.26,3594.26,0,0
^BEL20,5,20221117,125500,3594.26,3594.56,3593.24,3594.17,0,0
^BEL20,5,20221117,130000,3594.17,3595.42,3593.44,3593.44,0,0
^BEL20,5,20221117,130500,3593.44,3593.44,3590.79,3590.95,0,0
^BEL20,5,20221117,131000,3591.39,3591.63,3590.75,3591.25,0,0
^BEL20,5,20221117,131500,3591.17,3593.27,3591.17,3591.95,0,0
^BEL20,5,20221117,132000,3592.13,3592.13,3590.63,3590.63,0,0
^BEL20,5,20221117,132500,3590.66,3595.77,3590.66,3592.17,0,0
^BEL20,5,20221117,133000,3592.17,3592.65,3591.86,3591.86,0,0
^BEL20,5,20221117,133500,3591.82,3592.33,3589.52,3589.56,0,0
^BEL20,5,20221117,134000,3589.51,3589.84,3587.52,3587.52,0,0
^BEL20,5,20221117,134500,3587.5,3587.6,3584.87,3584.89,0,0
^BEL20,5,20221117,135000,3584.89,3585.23,3583.17,3583.57,0,0
^BEL20,5,20221117,135500,3583.57,3583.66,3582.41,3583.33,0,0
^BEL20,5,20221117,140000,3583.1,3583.23,3581.33,3581.78,0,0
^BEL20,5,20221117,140500,3581.39,3581.59,3579.76,3580.02,0,0
^BEL20,5,20221117,141000,3580.02,3580.69,3579.39,3580.37,0,0
^BEL20,5,20221117,141500,3580.25,3582.36,3580.25,3581.8,0,0
^BEL20,5,20221117,142000,3581.8,3582.09,3580.48,3580.48,0,0
^BEL20,5,20221117,142500,3580.5,3582.93,3580.5,3582.35,0,0
^BEL20,5,20221117,143000,3582.35,3584.1,3580.8,3581.06,0,0
^BEL20,5,20221117,143500,3581.23,3581.23,3577.36,3577.46,0,0
^BEL20,5,20221117,144000,3577.32,3577.4,3575.87,3577.4,0,0
^BEL20,5,20221117,144500,3577.4,3578.51,3573.75,3573.81,0,0
^BEL20,5,20221117,145000,3573.6,3574.08,3571.6,3571.6,0,0
^BEL20,5,20221117,145500,3572.97,3573.32,3571.94,3572.49,0,0
^BEL20,5,20221117,150000,3572.57,3575.36,3571.98,3573.55,0,0
^BEL20,5,20221117,150500,3572.83,3577.51,3572.24,3577.51,0,0
^BEL20,5,20221117,151000,3577.84,3578.71,3576.34,3577.57,0,0
^BEL20,5,20221117,151500,3577.75,3578.76,3577.43,3577.43,0,0
^BEL20,5,20221117,152000,3577.51,3577.99,3576.16,3576.16,0,0
^BEL20,5,20221117,152500,3575.96,3579.58,3575.96,3579.27,0,0
^BEL20,5,20221117,153000,3580.07,3586.96,3580.07,3586.07,0,0
^BEL20,5,20221117,153500,3587.31,3590.97,3585.75,3587.62,0,0
^BEL20,5,20221117,154000,3587.16,3588.79,3586.17,3587.8,0,0
^BEL20,5,20221117,154500,3587.91,3592.01,3587.15,3592.01,0,0
^BEL20,5,20221117,155000,3591.78,3591.78,3589.6,3590.87,0,0
^BEL20,5,20221117,155500,3591.06,3591.25,3588.81,3589.75,0,0
^BEL20,5,20221117,160000,3589.75,3593.54,3588.67,3593.27,0,0
^BEL20,5,20221117,160500,3593.04,3593.91,3592.35,3592.35,0,0
^BEL20,5,20221117,161000,3592.01,3593.17,3590.83,3593.17,0,0
^BEL20,5,20221117,161500,3593.17,3596.95,3593.17,3596.95,0,0
^BEL20,5,20221117,162000,3597.96,3598.69,3595.58,3596.49,0,0
^BEL20,5,20221117,162500,3596.29,3598.24,3595.54,3597.82,0,0
^BEL20,5,20221117,163000,3598.38,3599.04,3596.81,3596.81,0,0
^BEL20,5,20221117,163500,3597.14,3597.98,3596.08,3596.13,0,0
^BEL20,5,20221117,164000,3596.1,3596.55,3594.57,3594.57,0,0
^BEL20,5,20221117,164500,3594.97,3595.29,3592.14,3592.14,0,0
^BEL20,5,20221117,165000,3592.41,3592.51,3590.54,3591.46,0,0
^BEL20,5,20221117,165500,3591.39,3592.52,3589.68,3589.92,0,0
^BEL20,5,20221117,170000,3589.92,3591.77,3589.92,3590.32,0,0
^BEL20,5,20221117,170500,3591.11,3594.02,3591.11,3593.16,0,0
^BEL20,5,20221117,171000,3592.76,3595.43,3592.76,3595.39,0,0
^BEL20,5,20221117,171500,3595.23,3595.23,3595.23,3595.23,0,0
^BEL20,5,20221117,172500,3598.3,3600.73,3598.3,3599.84,0,0
^BEL20,5,20221118,090000,3613.22,3613.23,3607.37,3607.42,0,0
^BEL20,5,20221118,090500,3607.4,3611.51,3607.22,3610.99,0,0
^BEL20,5,20221118,091000,3609.95,3609.95,3602.79,3603.32,0,0
^BEL20,5,20221118,091500,3602.77,3605.15,3601.84,3603.37,0,0
^BEL20,5,20221118,092000,3602.38,3603.61,3601.55,3603.53,0,0
^BEL20,5,20221118,092500,3603.62,3605.45,3603.04,3604.44,0,0
^BEL20,5,20221118,093000,3604.41,3605.38,3603.7,3604.87,0,0
^BEL20,5,20221118,093500,3606.15,3607.94,3605.77,3605.94,0,0
^BEL20,5,20221118,094000,3606.83,3609.57,3606.83,3609.47,0,0
^BEL20,5,20221118,094500,3610.05,3613.57,3610.05,3612.06,0,0
^BEL20,5,20221118,095000,3611.83,3614.8,3610.96,3614.8,0,0
^BEL20,5,20221118,095500,3615.05,3618.01,3614.87,3618.01,0,0
^BEL20,5,20221118,100000,3618.28,3621.58,3618.13,3621.18,0,0
^BEL20,5,20221118,100500,3621.9,3625.01,3621.9,3623.92,0,0
^BEL20,5,20221118,101000,3623.9,3624.67,3622.42,3623.24,0,0
^BEL20,5,20221118,101500,3623.24,3630.63,3623.24,3630.36,0,0
^BEL20,5,20221118,102000,3630.17,3633.71,3630.17,3633.48,0,0
^BEL20,5,20221118,102500,3633.17,3634.24,3631.23,3631.23,0,0
^BEL20,5,20221118,103000,3631.14,3631.36,3630.44,3630.96,0,0
^BEL20,5,20221118,103500,3631.33,3632.66,3631.07,3631.14,0,0
^BEL20,5,20221118,104000,3631.01,3632.51,3630.37,3630.37,0,0
^BEL20,5,20221118,104500,3630.25,3630.25,3628.09,3628.29,0,0
^BEL20,5,20221118,105000,3628.24,3628.24,3624.48,3624.48,0,0
^BEL20,5,20221118,105500,3624.4,3624.4,3619.17,3619.17,0,0
^BEL20,5,20221118,110000,3618.81,3619,3616.9,3619,0,0
^BEL20,5,20221118,110500,3619.16,3624.78,3618.92,3624.78,0,0
^BEL20,5,20221118,111000,3624.54,3625.04,3622.81,3624.54,0,0
^BEL20,5,20221118,111500,3626.13,3627.82,3626.13,3626.56,0,0
^BEL20,5,20221118,112000,3626.53,3627.7,3625.5,3627.36,0,0
^BEL20,5,20221118,112500,3627.36,3628.94,3627.07,3628.83,0,0
^BEL20,5,20221118,113000,3628.95,3629.53,3628.14,3628.35,0,0
^BEL20,5,20221118,113500,3628.9,3631.47,3628.63,3631.47,0,0
^BEL20,5,20221118,114000,3631.35,3633,3631.35,3631.95,0,0
^BEL20,5,20221118,114500,3632.34,3634.39,3631.48,3634.39,0,0
^BEL20,5,20221118,115000,3636.46,3637.66,3632.96,3633.23,0,0
^BEL20,5,20221118,115500,3632.88,3634.58,3632.88,3634.58,0,0
^BEL20,5,20221118,120000,3634.99,3637.51,3634.56,3636.88,0,0
^BEL20,5,20221118,120500,3636.88,3638.41,3635.89,3637.52,0,0
^BEL20,5,20221118,121000,3637.8,3637.8,3634.23,3635.3,0,0
^BEL20,5,20221118,121500,3635.59,3637.03,3635.54,3636.04,0,0
^BEL20,5,20221118,122000,3636.07,3636.07,3632.97,3633.37,0,0
^BEL20,5,20221118,122500,3633.52,3634.82,3632.79,3634.82,0,0
^BEL20,5,20221118,123000,3635,3635,3633.51,3634.74,0,0
^BEL20,5,20221118,123500,3634.99,3634.99,3632.07,3632.07,0,0
^BEL20,5,20221118,124000,3632.47,3632.95,3630.91,3630.91,0,0
^BEL20,5,20221118,124500,3630.49,3631.54,3630.21,3631.54,0,0
^BEL20,5,20221118,125000,3631.3,3631.3,3629.32,3629.51,0,0
^BEL20,5,20221118,125500,3629.42,3631.02,3629.25,3630.83,0,0
^BEL20,5,20221118,130000,3630.4,3633.99,3629.3,3633.99,0,0
^BEL20,5,20221118,130500,3634.09,3636.75,3634.09,3636.75,0,0
^BEL20,5,20221118,131000,3636.45,3637.43,3635.73,3637.43,0,0
^BEL20,5,20221118,131500,3637.5,3637.67,3636.09,3636.09,0,0
^BEL20,5,20221118,132000,3635.65,3635.65,3633.65,3633.77,0,0
