<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BET,5,20221117,090000,11652.2,11711.1,11652.2,11708.11,0,0
^BET,5,20221117,090500,11705.67,11717.03,11702.5,11714.6,0,0
^BET,5,20221117,091000,11712.4,11719.99,11712.4,11717,0,0
^BET,5,20221117,091500,11719.1,11719.1,11708.68,11710.84,0,0
^BET,5,20221117,092000,11709.46,11730.49,11709.46,11730.49,0,0
^BET,5,20221117,092500,11730.8,11740.43,11721.75,11728.24,0,0
^BET,5,20221117,093000,11731.22,11731.22,11715.91,11729.48,0,0
^BET,5,20221117,093500,11729.81,11737.3,11721.68,11727.39,0,0
^BET,5,20221117,094000,11725.53,11725.53,11715.33,11715.33,0,0
^BET,5,20221117,094500,11716.71,11720.27,11716.71,11720.27,0,0
^BET,5,20221117,095000,11732.46,11735.38,11716,11717.87,0,0
^BET,5,20221117,095500,11720.63,11732.42,11716.64,11723.56,0,0
^BET,5,20221117,100000,11724.26,11739.96,11724.26,11730.59,0,0
^BET,5,20221117,100500,11724.49,11746.2,11724.49,11746.2,0,0
^BET,5,20221117,101000,11746.53,11746.98,11746.28,11746.28,0,0
^BET,5,20221117,101500,11745.89,11745.89,11732.78,11744.49,0,0
^BET,5,20221117,102000,11742.06,11744.49,11740.61,11740.61,0,0
^BET,5,20221117,102500,11741.33,11743.26,11739.17,11743.26,0,0
^BET,5,20221117,103000,11742.4,11749.23,11742.4,11745.61,0,0
^BET,5,20221117,103500,11744.21,11744.21,11733.33,11744.19,0,0
^BET,5,20221117,104000,11744.12,11744.12,11740.81,11741.13,0,0
^BET,5,20221117,104500,11743.72,11744.45,11738.08,11740.74,0,0
^BET,5,20221117,105000,11740.59,11740.59,11737.04,11739.81,0,0
^BET,5,20221117,105500,11742.48,11742.48,11730.03,11739.79,0,0
^BET,5,20221117,110000,11735.4,11735.4,11719.44,11731.64,0,0
^BET,5,20221117,110500,11732.36,11739.72,11732.36,11739.72,0,0
^BET,5,20221117,111000,11738.06,11739.39,11728.01,11728.01,0,0
^BET,5,20221117,111500,11727.86,11736.71,11726.23,11736.44,0,0
^BET,5,20221117,112000,11735.72,11740.59,11730.42,11730.42,0,0
^BET,5,20221117,112500,11727.99,11730.77,11724.44,11724.67,0,0
^BET,5,20221117,113000,11730.77,11736.01,11728.27,11734.15,0,0
^BET,5,20221117,113500,11732.87,11732.87,11731.47,11731.47,0,0
^BET,5,20221117,114000,11721.77,11722.01,11719,11719.48,0,0
^BET,5,20221117,114500,11718.1,11730.18,11716.36,11723.29,0,0
^BET,5,20221117,115000,11728.62,11728.62,11719.21,11719.21,0,0
^BET,5,20221117,115500,11721.98,11730.96,11719.78,11729.16,0,0
^BET,5,20221117,120000,11722.5,11722.5,11700.85,11715.29,0,0
^BET,5,20221117,120500,11713.1,11718.43,11713.1,11713.85,0,0
^BET,5,20221117,121000,11715.25,11716.41,11713.97,11716.41,0,0
^BET,5,20221117,121500,11715.03,11722.8,11715.03,11720.54,0,0
^BET,5,20221117,122000,11715.49,11716.09,11709.99,11712.43,0,0
^BET,5,20221117,122500,11712.99,11716.74,11706.44,11713.55,0,0
^BET,5,20221117,123000,11723.22,11737.04,11723.22,11737.04,0,0
^BET,5,20221117,123500,11730.94,11731.07,11728.31,11730.94,0,0
^BET,5,20221117,124000,11728.74,11735.41,11728.74,11733.22,0,0
^BET,5,20221117,124500,11735.41,11744.74,11735.41,11744.74,0,0
^BET,5,20221117,125000,11746.12,11746.12,11741.57,11741.57,0,0
^BET,5,20221117,125500,11743.77,11743.77,11726.12,11728.32,0,0
^BET,5,20221117,130000,11734.41,11744.59,11723.18,11726.71,0,0
^BET,5,20221117,130500,11728.3,11734.36,11727.05,11734.36,0,0
^BET,5,20221117,131000,11739.41,11760.53,11739.41,11760.53,0,0
^BET,5,20221117,131500,11759.15,11760.4,11746.53,11746.53,0,0
^BET,5,20221117,132000,11747.91,11759.44,11747.91,11755.02,0,0
