<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BUX,5,20221117,090000,44278,44477,44255,44477,42529,0
^BUX,5,20221117,090500,44494,44515,44473,44473,9602,0
^BUX,5,20221117,091000,44464,44464,44450,44456,5506,0
^BUX,5,20221117,091500,44431,44454,44395,44452,10681,0
^BUX,5,20221117,092000,44528,44589,44528,44579,24373,0
^BUX,5,20221117,092500,44596,44638,44561,44581,23517,0
^BUX,5,20221117,093000,44616,44667,44587,44604,7865,0
^BUX,5,20221117,093500,44616,44642,44506,44506,16205,0
^BUX,5,20221117,094000,44518,44531,44440,44440,31916,0
^BUX,5,20221117,094500,44465,44483,44416,44432,8715,0
^BUX,5,20221117,095000,44457,44457,44342,44342,12605,0
^BUX,5,20221117,095500,44325,44334,44201,44235,36575,0
^BUX,5,20221117,100000,44233,44274,44229,44266,15594,0
^BUX,5,20221117,100500,44274,44286,44266,44286,10966,0
^BUX,5,20221117,101000,44287,44372,44270,44359,8118,0
^BUX,5,20221117,101500,44334,44351,44325,44351,6377,0
^BUX,5,20221117,102000,44283,44340,44260,44271,7252,0
^BUX,5,20221117,102500,44263,44329,44263,44329,718,0
^BUX,5,20221117,103000,44311,44345,44311,44345,4575,0
^BUX,5,20221117,103500,44315,44343,44304,44322,3454,0
^BUX,5,20221117,104000,44319,44319,44294,44294,2863,0
^BUX,5,20221117,104500,44268,44316,44268,44314,9186,0
^BUX,5,20221117,105000,44322,44357,44305,44334,4474,0
^BUX,5,20221117,105500,44308,44309,44278,44281,22897,0
^BUX,5,20221117,110000,44256,44273,44239,44239,5745,0
^BUX,5,20221117,110500,44231,44231,44123,44156,14854,0
^BUX,5,20221117,111000,44116,44150,44003,44037,16279,0
^BUX,5,20221117,111500,44062,44122,44045,44122,14766,0
^BUX,5,20221117,112000,44125,44175,44094,44127,5972,0
^BUX,5,20221117,112500,44052,44153,44052,44112,4020,0
^BUX,5,20221117,113000,44153,44153,44084,44093,14596,0
^BUX,5,20221117,113500,44009,44023,43990,44015,36901,0
^BUX,5,20221117,114000,44016,44066,43858,43867,16406,0
^BUX,5,20221117,114500,43858,43958,43837,43930,25565,0
^BUX,5,20221117,115000,43802,43852,43710,43844,24394,0
^BUX,5,20221117,115500,43859,43859,43688,43688,19583,0
^BUX,5,20221117,120000,43672,43804,43672,43737,10308,0
^BUX,5,20221117,120500,43774,43850,43774,43843,19458,0
^BUX,5,20221117,121000,43809,43809,43738,43738,9670,0
^BUX,5,20221117,121500,43761,43773,43736,43765,3880,0
^BUX,5,20221117,122000,43756,43790,43731,43790,9162,0
^BUX,5,20221117,122500,43763,43770,43609,43643,32477,0
^BUX,5,20221117,123000,43669,43771,43669,43715,6495,0
^BUX,5,20221117,123500,43761,43783,43709,43783,3844,0
^BUX,5,20221117,124000,43725,43791,43725,43791,1005,0
^BUX,5,20221117,124500,43790,43821,43771,43821,10773,0
^BUX,5,20221117,125000,43786,43832,43779,43806,744,0
^BUX,5,20221117,125500,43764,43798,43748,43748,5030,0
^BUX,5,20221117,130000,43806,43806,43806,43806,500,0
^BUX,5,20221117,130500,43790,43842,43765,43842,7255,0
^BUX,5,20221117,131000,43850,43892,43833,43833,2665,0
^BUX,5,20221117,131500,43850,43909,43850,43907,2002,0
^BUX,5,20221117,132000,43915,43915,43872,43880,30696,0
