<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BVP,5,20221117,140000,110240.66,110241.8,109755.43,109755.43,0,0
^BVP,5,20221117,140500,109790.66,109844.32,108429.14,108429.14,0,0
^BVP,5,20221117,141000,108146.97,108218.98,107774.9,108037.43,0,0
^BVP,5,20221117,141500,108062.53,108062.53,107670.17,107670.17,0,0
^BVP,5,20221117,142000,107674.08,107864.6,107507.71,107864.6,0,0
^BVP,5,20221117,142500,107861.29,108152.53,107861.29,108152.53,0,0
^BVP,5,20221117,143000,108045.74,108233.19,107862.17,107862.17,0,0
^BVP,5,20221117,143500,107882.81,107933.78,107744.86,107883.59,0,0
^BVP,5,20221117,144000,107874.38,107874.38,107686.31,107729.42,0,0
^BVP,5,20221117,144500,107716.94,107716.94,107553.55,107567.13,0,0
^BVP,5,20221117,145000,107553.59,107612.54,107455.34,107528.09,0,0
^BVP,5,20221117,145500,107609.18,107794.16,107562.95,107660.55,0,0
^BVP,5,20221117,150000,107586.28,107586.28,107355.38,107378.93,0,0
^BVP,5,20221117,150500,107499.65,107499.65,107245.13,107378.68,0,0
^BVP,5,20221117,151000,107370.2,107471.6,107297.25,107381.11,0,0
^BVP,5,20221117,151500,107438.64,107564.84,107360.92,107360.92,0,0
^BVP,5,20221117,152000,107325.4,107512.45,107325.4,107512.45,0,0
^BVP,5,20221117,152500,107513.22,107642.09,107472.01,107594.09,0,0
^BVP,5,20221117,153000,107708.09,107742.68,107562.99,107588.78,0,0
^BVP,5,20221117,153500,107708.27,107828.02,107578.39,107828.02,0,0
^BVP,5,20221117,154000,107781.1,107926.2,107772.43,107855.13,0,0
^BVP,5,20221117,154500,107839.27,108183.57,107763.64,108183.57,0,0
^BVP,5,20221117,155000,108185.13,108372.96,107943.2,107943.2,0,0
^BVP,5,20221117,155500,107979.29,108114.73,107901.88,108089.18,0,0
^BVP,5,20221117,160000,108077.4,108292.37,108077.4,108292.37,0,0
^BVP,5,20221117,160500,108286.13,108286.13,108043.17,108149.45,0,0
^BVP,5,20221117,161000,108230.53,108463.95,108110.97,108277.17,0,0
^BVP,5,20221117,161500,108248.64,108470.03,108244.01,108470.03,0,0
^BVP,5,20221117,162000,108548.26,108553.58,108446.83,108470.74,0,0
^BVP,5,20221117,162500,108474.43,108832.84,108474.43,108792.4,0,0
^BVP,5,20221117,163000,108844.79,108844.79,108639.57,108647.86,0,0
^BVP,5,20221117,163500,108664.98,108681.09,108565.73,108581.08,0,0
^BVP,5,20221117,164000,108572.45,108612.8,108502.39,108524.33,0,0
^BVP,5,20221117,164500,108552.29,108552.29,108097.25,108097.25,0,0
^BVP,5,20221117,165000,108131.26,108298.12,108131.26,108213.38,0,0
^BVP,5,20221117,165500,108209.87,108232.94,108127.79,108152.95,0,0
^BVP,5,20221117,170000,108150.81,108193.18,107909.47,107943.95,0,0
^BVP,5,20221117,170500,107936.38,107936.38,107716.08,107844.24,0,0
^BVP,5,20221117,171000,107778.61,107821.3,107700.15,107711.37,0,0
^BVP,5,20221117,171500,107675.68,107709.32,107543.41,107543.41,0,0
^BVP,5,20221117,172000,107490.61,107618.51,107355.01,107618.51,0,0
^BVP,5,20221117,172500,107572.27,107572.27,107491.92,107527,0,0
^BVP,5,20221117,173000,107564.71,107598.22,107449.06,107598.22,0,0
^BVP,5,20221117,173500,107625.66,107703.58,107400.92,107502.39,0,0
^BVP,5,20221117,174000,107454.72,107607.37,107447.04,107607.37,0,0
^BVP,5,20221117,174500,107542.44,107542.44,107455.53,107478.85,0,0
^BVP,5,20221117,175000,107446.86,107523.53,107336.39,107336.39,0,0
^BVP,5,20221117,175500,107332.18,107689.37,107332.18,107689.37,0,0
^BVP,5,20221117,180000,107665.49,107801.31,107649.93,107801.31,0,0
^BVP,5,20221117,180500,107842.51,108014.95,107842.51,108014.95,0,0
^BVP,5,20221117,181000,108007.66,108007.66,107932.82,107954.07,0,0
^BVP,5,20221117,181500,107921.8,107995.92,107862.07,107866.45,0,0
^BVP,5,20221117,182000,107927.16,108034.08,107899.26,108013.37,0,0
^BVP,5,20221117,182500,107954.13,107954.13,107615.2,107666.87,0,0
^BVP,5,20221117,183000,107630.99,107662.26,107473.05,107573.18,0,0
^BVP,5,20221117,183500,107602.32,107735,107602.32,107644.06,0,0
^BVP,5,20221117,184000,107698.6,107806.84,107642.6,107709.89,0,0
^BVP,5,20221117,184500,107724.92,107792.34,107653.44,107728.72,0,0
^BVP,5,20221117,185000,107713.52,107899.68,107673.01,107673.01,0,0
^BVP,5,20221117,185500,107731.29,107860.19,107700.59,107812.76,0,0
^BVP,5,20221117,190000,107764.97,108099.11,107764.97,108017.3,0,0
^BVP,5,20221117,190500,108005.28,108005.28,107862.69,107862.69,0,0
^BVP,5,20221117,191000,107838.94,108016.68,107838.94,107901.01,0,0
^BVP,5,20221117,191500,107906.37,107972.05,107891.35,107949.04,0,0
^BVP,5,20221117,192000,108150.68,108277.98,108129,108129,0,0
^BVP,5,20221117,192500,108100.05,108100.05,107882.4,107895.27,0,0
^BVP,5,20221117,193000,107860.1,107862.82,107646.98,107762.3,0,0
^BVP,5,20221117,193500,107770.06,107979.05,107770.06,107858.79,0,0
^BVP,5,20221117,194000,107807.13,107807.13,107628.36,107628.36,0,0
^BVP,5,20221117,194500,107654.69,107717.61,107579.46,107579.46,0,0
^BVP,5,20221117,195000,107621.79,107683.08,107591.96,107660.29,0,0
^BVP,5,20221117,195500,107682.34,107768.02,107674.99,107701.32,0,0
^BVP,5,20221117,200000,107685.21,108012.46,107685.21,107878.63,0,0
^BVP,5,20221117,200500,107874.1,108005.06,107867.4,107867.4,0,0
^BVP,5,20221117,201000,107871.24,107881.34,107778.07,107881.34,0,0
^BVP,5,20221117,201500,107830.15,107963.07,107765.36,107963.07,0,0
^BVP,5,20221117,202000,108006.47,108006.47,107744.86,107891.99,0,0
^BVP,5,20221117,202500,107839.61,107900.15,107806.57,107819.42,0,0
^BVP,5,20221117,203000,107797.65,107873.55,107797.65,107852.78,0,0
^BVP,5,20221117,203500,107870.13,107870.13,107803.53,107820.38,0,0
^BVP,5,20221117,204000,107801.48,107803.35,107737.59,107770.97,0,0
^BVP,5,20221117,204500,107779.86,107911.06,107668.13,107911.06,0,0
^BVP,5,20221117,205000,107873.31,107953.12,107873.31,107940.85,0,0
^BVP,5,20221117,205500,108166.83,108655.66,108119.5,108655.66,0,0
