<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^CAC,5,20221117,090000,6624.47,6632.92,6623.88,6630.99,0,0
^CAC,5,20221117,090500,6627.28,6632.7,6624.19,6624.19,0,0
^CAC,5,20221117,091000,6624.19,6626.41,6620.29,6622.32,0,0
^CAC,5,20221117,091500,6622.41,6634.73,6622.41,6631.82,0,0
^CAC,5,20221117,092000,6631.11,6631.11,6622.31,6622.67,0,0
^CAC,5,20221117,092500,6622.61,6622.61,6615.84,6616.89,0,0
^CAC,5,20221117,093000,6616.97,6618.51,6613.23,6618.51,0,0
^CAC,5,20221117,093500,6618.23,6619.76,6616.75,6616.75,0,0
^CAC,5,20221117,094000,6616.74,6616.97,6609.36,6609.5,0,0
^CAC,5,20221117,094500,6609.5,6613.13,6608.05,6608.2,0,0
^CAC,5,20221117,095000,6608.42,6608.85,6605.27,6605.63,0,0
^CAC,5,20221117,095500,6605.15,6606.93,6603.74,6603.74,0,0
^CAC,5,20221117,100000,6601.94,6602.16,6596.76,6596.76,0,0
^CAC,5,20221117,100500,6597.21,6598.36,6591.36,6595.56,0,0
^CAC,5,20221117,101000,6595.57,6599.23,6593.71,6593.71,0,0
^CAC,5,20221117,101500,6594.03,6595.44,6593.23,6593.62,0,0
^CAC,5,20221117,102000,6593.62,6597.01,6589.95,6591.25,0,0
^CAC,5,20221117,102500,6591.48,6593.44,6590.84,6590.84,0,0
^CAC,5,20221117,103000,6590.33,6590.33,6583.17,6584.73,0,0
^CAC,5,20221117,103500,6584.77,6584.77,6579.44,6579.44,0,0
^CAC,5,20221117,104000,6579.38,6583.41,6577.2,6578.1,0,0
^CAC,5,20221117,104500,6576.48,6580.4,6576.48,6579.68,0,0
^CAC,5,20221117,105000,6578.29,6578.29,6570.47,6573.74,0,0
^CAC,5,20221117,105500,6574.04,6574.04,6569.17,6570.44,0,0
^CAC,5,20221117,110000,6570.66,6577.32,6570.66,6574.77,0,0
^CAC,5,20221117,110500,6575.03,6582.12,6575.03,6577.1,0,0
^CAC,5,20221117,111000,6577.01,6577.01,6571.3,6573.87,0,0
^CAC,5,20221117,111500,6574.53,6579.64,6573.34,6579.64,0,0
^CAC,5,20221117,112000,6579.69,6581.98,6577.64,6581.51,0,0
^CAC,5,20221117,112500,6581.52,6583.13,6580.14,6580.14,0,0
^CAC,5,20221117,113000,6580.33,6580.33,6573.26,6573.26,0,0
^CAC,5,20221117,113500,6573.13,6573.13,6569.28,6570.3,0,0
^CAC,5,20221117,114000,6570.44,6572,6569.42,6569.83,0,0
^CAC,5,20221117,114500,6569.83,6570.19,6562.86,6562.86,0,0
^CAC,5,20221117,115000,6563.26,6564.1,6555.78,6556.69,0,0
^CAC,5,20221117,115500,6556.02,6556.02,6551.81,6551.82,0,0
^CAC,5,20221117,120000,6552.26,6561.73,6552.26,6559.2,0,0
^CAC,5,20221117,120500,6559.22,6564.09,6559.22,6561.71,0,0
^CAC,5,20221117,121000,6562.13,6562.13,6557.36,6557.36,0,0
^CAC,5,20221117,121500,6555.6,6559.2,6554.42,6557.68,0,0
^CAC,5,20221117,122000,6557.18,6557.81,6554.03,6555.02,0,0
^CAC,5,20221117,122500,6554.73,6556.07,6553.94,6555.18,0,0
^CAC,5,20221117,123000,6555.6,6560.71,6555.35,6560.71,0,0
^CAC,5,20221117,123500,6560.36,6562.93,6549.26,6549.96,0,0
^CAC,5,20221117,124000,6549.96,6555.76,6549.96,6555.76,0,0
^CAC,5,20221117,124500,6555.77,6562.26,6555.77,6561.14,0,0
^CAC,5,20221117,125000,6560.51,6565.61,6559.92,6560.76,0,0
^CAC,5,20221117,125500,6560.7,6561.85,6558.62,6560.54,0,0
^CAC,5,20221117,130000,6560.3,6563.06,6558.9,6558.9,0,0
^CAC,5,20221117,130500,6558.52,6558.87,6555.79,6558.79,0,0
^CAC,5,20221117,131000,6559.87,6560.25,6559.38,6560.05,0,0
^CAC,5,20221117,131500,6560.09,6561.78,6557.34,6557.41,0,0
^CAC,5,20221117,132000,6557.39,6558.05,6552.71,6552.71,0,0
^CAC,5,20221117,132500,6554.96,6564.55,6554.96,6557.84,0,0
^CAC,5,20221117,133000,6558.09,6558.41,6552.44,6553.35,0,0
^CAC,5,20221117,133500,6553.15,6556.63,6552.28,6553.12,0,0
^CAC,5,20221117,134000,6552.7,6554.14,6550.35,6550.35,0,0
^CAC,5,20221117,134500,6550.63,6550.63,6547.6,6547.6,0,0
^CAC,5,20221117,135000,6548.1,6550.85,6548.1,6550.85,0,0
^CAC,5,20221117,135500,6550.85,6551.62,6545.65,6547.52,0,0
^CAC,5,20221117,140000,6547.52,6547.52,6540.82,6540.82,0,0
^CAC,5,20221117,140500,6539.4,6539.59,6535.67,6537.97,0,0
^CAC,5,20221117,141000,6537.77,6538.31,6534.7,6538.31,0,0
^CAC,5,20221117,141500,6538.35,6544.78,6538.35,6544.47,0,0
^CAC,5,20221117,142000,6544.8,6545.94,6540.39,6541.92,0,0
^CAC,5,20221117,142500,6542.7,6545.21,6542.4,6543.4,0,0
^CAC,5,20221117,143000,6544.14,6548.45,6538.43,6541.56,0,0
^CAC,5,20221117,143500,6542.26,6542.26,6535.91,6537.54,0,0
^CAC,5,20221117,144000,6537.54,6537.54,6531.11,6536.32,0,0
^CAC,5,20221117,144500,6536.53,6538.18,6528.72,6528.78,0,0
^CAC,5,20221117,145000,6528,6529.41,6525.56,6526.8,0,0
^CAC,5,20221117,145500,6527.27,6528.36,6524.9,6525.25,0,0
^CAC,5,20221117,150000,6524.89,6529.92,6522.28,6528.53,0,0
^CAC,5,20221117,150500,6527.96,6536.65,6526.84,6536.65,0,0
^CAC,5,20221117,151000,6537.64,6538.72,6531.92,6536.65,0,0
^CAC,5,20221117,151500,6536.6,6538.98,6535.95,6536.34,0,0
^CAC,5,20221117,152000,6535.83,6537.28,6530.85,6530.96,0,0
^CAC,5,20221117,152500,6530.96,6535.24,6527.33,6535.24,0,0
^CAC,5,20221117,153000,6535.37,6546.85,6535.37,6544.92,0,0
^CAC,5,20221117,153500,6544.53,6546.22,6541.15,6542.89,0,0
^CAC,5,20221117,154000,6542.31,6546.48,6540.38,6545.01,0,0
^CAC,5,20221117,154500,6545.95,6547.98,6543.98,6547.98,0,0
^CAC,5,20221117,155000,6548.07,6551.22,6545.83,6546.46,0,0
^CAC,5,20221117,155500,6546.29,6546.6,6542.75,6543.18,0,0
^CAC,5,20221117,160000,6543.18,6549.98,6541.18,6549.53,0,0
^CAC,5,20221117,160500,6549.91,6554.9,6548.65,6552.71,0,0
^CAC,5,20221117,161000,6553.01,6556.49,6553.01,6556.49,0,0
^CAC,5,20221117,161500,6556.9,6560.68,6556.9,6560.68,0,0
^CAC,5,20221117,162000,6561.67,6563.1,6556.76,6557.75,0,0
^CAC,5,20221117,162500,6557.39,6564.37,6557.39,6563.03,0,0
^CAC,5,20221117,163000,6563.44,6563.44,6560.28,6560.28,0,0
^CAC,5,20221117,163500,6560.09,6564.35,6560.09,6562.31,0,0
^CAC,5,20221117,164000,6561.24,6563.08,6560.38,6561.81,0,0
^CAC,5,20221117,164500,6561.65,6561.65,6556.3,6556.61,0,0
^CAC,5,20221117,165000,6557.63,6559.15,6556.55,6556.55,0,0
^CAC,5,20221117,165500,6556.98,6556.98,6553.52,6555.23,0,0
^CAC,5,20221117,170000,6554.64,6557.21,6554.64,6556.31,0,0
^CAC,5,20221117,170500,6555.94,6558.82,6555.94,6556.54,0,0
^CAC,5,20221117,171000,6555.52,6560.64,6555.52,6560.34,0,0
^CAC,5,20221117,171500,6560.68,6560.68,6560.68,6560.68,0,0
^CAC,5,20221117,172500,6564.76,6576.12,6564.76,6576.12,0,0
^CAC,5,20221118,090000,6620.58,6623.08,6610.82,6610.82,0,0
^CAC,5,20221118,090500,6610.05,6619.77,6610.05,6619.77,0,0
