<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^CDAX,5,20221117,090000,1259.55,1265.65,1259.2,1265.65,0,0
^CDAX,5,20221117,090500,1266,1268.48,1266,1266.09,0,0
^CDAX,5,20221117,091000,1265.57,1266.97,1265.5,1265.5,0,0
^CDAX,5,20221117,091500,1265.48,1268.08,1265.48,1268.08,0,0
^CDAX,5,20221117,092000,1267.85,1267.85,1266.21,1266.21,0,0
^CDAX,5,20221117,092500,1265.31,1265.31,1264.14,1264.33,0,0
^CDAX,5,20221117,093000,1263.52,1263.8,1263.26,1263.38,0,0
^CDAX,5,20221117,093500,1263.54,1264.92,1263.54,1264.76,0,0
^CDAX,5,20221117,094000,1264.41,1264.41,1263.15,1263.15,0,0
^CDAX,5,20221117,094500,1262.79,1263.63,1262.79,1262.95,0,0
^CDAX,5,20221117,095000,1262.84,1262.84,1261.99,1262.36,0,0
^CDAX,5,20221117,095500,1261.77,1261.84,1261.74,1261.84,0,0
^CDAX,5,20221117,100000,1261.38,1261.57,1260.72,1260.72,0,0
^CDAX,5,20221117,100500,1260.27,1260.57,1259.36,1259.43,0,0
^CDAX,5,20221117,101000,1259.44,1259.5,1259.2,1259.2,0,0
^CDAX,5,20221117,101500,1258.91,1259.43,1258.91,1259.17,0,0
^CDAX,5,20221117,102000,1259.21,1259.6,1258.93,1258.93,0,0
^CDAX,5,20221117,102500,1259.12,1259.92,1259.12,1259.9,0,0
^CDAX,5,20221117,103000,1259.5,1259.5,1257.34,1257.37,0,0
^CDAX,5,20221117,103500,1257.67,1258.17,1257.3,1258.17,0,0
^CDAX,5,20221117,104000,1257.59,1258.75,1257.59,1258.1,0,0
^CDAX,5,20221117,104500,1257.9,1258.38,1257.9,1258.38,0,0
^CDAX,5,20221117,105000,1258.13,1258.13,1256.77,1257.28,0,0
^CDAX,5,20221117,105500,1257.59,1257.85,1257.33,1257.85,0,0
^CDAX,5,20221117,110000,1257.86,1258.45,1257.74,1258.39,0,0
^CDAX,5,20221117,110500,1258.23,1258.47,1257.63,1257.63,0,0
^CDAX,5,20221117,111000,1257.3,1257.3,1256.09,1256.67,0,0
^CDAX,5,20221117,111500,1256.74,1257.94,1256.74,1257.94,0,0
^CDAX,5,20221117,112000,1258.17,1258.36,1257.9,1258.36,0,0
^CDAX,5,20221117,112500,1258.75,1259.09,1258.75,1258.84,0,0
^CDAX,5,20221117,113000,1258.89,1258.89,1258.31,1258.31,0,0
^CDAX,5,20221117,113500,1258.37,1258.37,1257.93,1258.08,0,0
^CDAX,5,20221117,114000,1258.13,1258.13,1257.46,1257.58,0,0
^CDAX,5,20221117,114500,1257.34,1257.34,1256.02,1256.02,0,0
^CDAX,5,20221117,115000,1255.85,1255.85,1254.28,1254.69,0,0
^CDAX,5,20221117,115500,1254.2,1254.2,1253.96,1254.14,0,0
^CDAX,5,20221117,120000,1253.89,1255.74,1253.89,1255.62,0,0
^CDAX,5,20221117,120500,1255.71,1256.07,1255.52,1255.52,0,0
^CDAX,5,20221117,121000,1255.38,1255.38,1254.76,1254.97,0,0
^CDAX,5,20221117,121500,1254.66,1255,1254.51,1255,0,0
^CDAX,5,20221117,122000,1254.75,1254.88,1254.39,1254.39,0,0
^CDAX,5,20221117,122500,1254.14,1254.35,1253.68,1253.68,0,0
^CDAX,5,20221117,123000,1253.5,1254.37,1253.5,1254.24,0,0
^CDAX,5,20221117,123500,1254.22,1254.67,1252.36,1252.36,0,0
^CDAX,5,20221117,124000,1252.45,1253.26,1252.45,1252.95,0,0
^CDAX,5,20221117,124500,1253.37,1254.72,1253.37,1254.26,0,0
^CDAX,5,20221117,125000,1253.9,1255.24,1253.9,1254.45,0,0
^CDAX,5,20221117,125500,1254.14,1254.35,1253.92,1254.35,0,0
^CDAX,5,20221117,130000,1254.42,1255.19,1254.42,1255.19,0,0
^CDAX,5,20221117,130500,1254.69,1254.69,1253.98,1254.19,0,0
^CDAX,5,20221117,131000,1254.61,1254.61,1253.84,1253.84,0,0
^CDAX,5,20221117,131500,1253.85,1254.12,1253.74,1253.74,0,0
^CDAX,5,20221117,132000,1253.86,1253.86,1253.12,1253.12,0,0
^CDAX,5,20221117,132500,1253.26,1255.51,1253.26,1254.08,0,0
^CDAX,5,20221117,133000,1253.51,1253.67,1253.27,1253.27,0,0
