<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^DAX,5,20221117,090000,14348.46,14372.64,14345.55,14365.32,0,0
^DAX,5,20221117,090500,14363.93,14384.54,14352.49,14352.49,0,0
^DAX,5,20221117,091000,14352.22,14367.35,14346.36,14348.23,0,0
^DAX,5,20221117,091500,14349.91,14379.59,14349.91,14369.86,0,0
^DAX,5,20221117,092000,14370.08,14370.08,14342.37,14342.37,0,0
^DAX,5,20221117,092500,14340.45,14340.45,14325.51,14325.96,0,0
^DAX,5,20221117,093000,14323.77,14332.41,14319.74,14330.43,0,0
^DAX,5,20221117,093500,14331.85,14341.74,14331.85,14337.74,0,0
^DAX,5,20221117,094000,14336.26,14336.26,14317.55,14319.33,0,0
^DAX,5,20221117,094500,14319.23,14333.08,14319.23,14323.47,0,0
^DAX,5,20221117,095000,14323.02,14323.02,14311.36,14314.17,0,0
^DAX,5,20221117,095500,14313.2,14316,14309.52,14310.6,0,0
^DAX,5,20221117,100000,14307.52,14312.05,14295.17,14295.17,0,0
^DAX,5,20221117,100500,14295.2,14300.29,14282.69,14288.96,0,0
^DAX,5,20221117,101000,14285.78,14292.89,14284.59,14285.34,0,0
^DAX,5,20221117,101500,14284.89,14292.28,14284.4,14284.77,0,0
^DAX,5,20221117,102000,14285.59,14290.9,14281.25,14285.15,0,0
^DAX,5,20221117,102500,14285.75,14293.96,14285.75,14289.27,0,0
^DAX,5,20221117,103000,14289.27,14289.27,14262.93,14265.27,0,0
^DAX,5,20221117,103500,14267.37,14274.95,14262.24,14268.05,0,0
^DAX,5,20221117,104000,14266.74,14280.44,14266.74,14270.82,0,0
^DAX,5,20221117,104500,14267.61,14273.03,14267.61,14269.29,0,0
^DAX,5,20221117,105000,14268.15,14268.15,14250.76,14262.82,0,0
^DAX,5,20221117,105500,14263.51,14264.42,14259.47,14262.26,0,0
