<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^DJC,5,20221117,153000,11066.57,11069.59,11053.32,11056.85,21638068,0
^DJC,5,20221117,153500,11056.35,11058.33,11041.07,11050.05,6783511,0
^DJC,5,20221117,154000,11048.85,11055.39,11045.38,11047.87,7260471,0
^DJC,5,20221117,154500,11050.87,11059.4,11045.64,11047.51,6477622,0
^DJC,5,20221117,155000,11045.97,11058.14,11044.39,11044.84,4940444,0
^DJC,5,20221117,155500,11042.61,11044.24,11025.72,11026.47,5779972,0
^DJC,5,20221117,160000,11027.67,11042.26,11025.51,11032.54,5870423,0
^DJC,5,20221117,160500,11032.42,11039.27,11030.03,11030.05,5352357,0
^DJC,5,20221117,161000,11029.64,11042.25,11029.51,11037.46,4952244,0
^DJC,5,20221117,161500,11038.12,11044.37,11033.02,11044.37,5720851,0
^DJC,5,20221117,162000,11045.89,11055.37,11041.5,11041.5,5003720,0
^DJC,5,20221117,162500,11042.4,11055.38,11041.41,11054.6,3768195,0
^DJC,5,20221117,163000,11055.06,11055.15,11041.61,11041.61,4306540,0
^DJC,5,20221117,163500,11041.92,11042.24,11033.54,11034.15,3965700,0
^DJC,5,20221117,164000,11032.87,11036.62,11025.35,11026.31,3932929,0
^DJC,5,20221117,164500,11025.55,11025.55,11011.54,11011.7,4120987,0
^DJC,5,20221117,165000,11013.06,11017.24,11006.75,11007.19,4100102,0
^DJC,5,20221117,165500,11007.66,11008.12,11001.74,11008.12,7155422,0
^DJC,5,20221117,170000,11007.39,11016.84,11006.66,11012.05,3358029,0
^DJC,5,20221117,170500,11011.81,11020.36,11011.21,11013.85,3756780,0
^DJC,5,20221117,171000,11013.18,11017.34,11009.17,11015.48,3320084,0
^DJC,5,20221117,171500,11016.34,11023.09,11014.56,11018.45,3453844,0
^DJC,5,20221117,172000,11018.03,11029.55,11016.8,11029.49,3432700,0
^DJC,5,20221117,172500,11029.54,11037.02,11027.4,11034.26,3861610,0
^DJC,5,20221117,173000,11034.86,11038.78,11031.55,11038.78,3499845,0
^DJC,5,20221117,173500,11039.86,11046.14,11037.89,11044.44,3628637,0
^DJC,5,20221117,174000,11044.48,11044.8,11041.62,11043.95,3450829,0
^DJC,5,20221117,174500,11044.01,11050.88,11043.1,11043.1,3382741,0
^DJC,5,20221117,175000,11043.36,11047.33,11040.03,11044.43,3721020,0
^DJC,5,20221117,175500,11044.1,11087.66,11044.1,11086.54,5551237,0
^DJC,5,20221117,180000,11087.72,11098.93,11087.72,11095.89,3811132,0
^DJC,5,20221117,180500,11096.85,11100.73,11093.46,11094.89,4088874,0
^DJC,5,20221117,181000,11094.96,11099.48,11092.23,11092.76,3006480,0
^DJC,5,20221117,181500,11092.59,11098.07,11089.14,11097.64,3053359,0
^DJC,5,20221117,182000,11098.77,11099.53,11094.15,11095.74,2749826,0
^DJC,5,20221117,182500,11095.87,11099.21,11095.09,11096.75,2852070,0
^DJC,5,20221117,183000,11094.7,11102.87,11092.55,11093.21,3027930,0
^DJC,5,20221117,183500,11092.96,11102.64,11092.16,11100.35,1963157,0
^DJC,5,20221117,184000,11107.05,11108.67,11103.82,11108.67,4200947,0
^DJC,5,20221117,184500,11109.13,11115.34,11108.91,11112.23,3456122,0
^DJC,5,20221117,185000,11112.26,11130.52,11111.91,11126.43,4712864,0
^DJC,5,20221117,185500,11126.19,11128.54,11120.87,11125.17,4229448,0
^DJC,5,20221117,190000,11124.86,11129.35,11124.15,11125.88,3310769,0
^DJC,5,20221117,190500,11125.72,11128.02,11120.07,11121.49,3599202,0
^DJC,5,20221117,191000,11121.7,11133.85,11121.53,11127.93,3611689,0
^DJC,5,20221117,191500,11128.55,11128.63,11121.17,11127.93,2920823,0
^DJC,5,20221117,192000,11127.97,11130.74,11120.81,11120.81,2980048,0
^DJC,5,20221117,192500,11120.29,11122.09,11117.82,11118.73,2553776,0
^DJC,5,20221117,193000,11118.29,11118.67,11110.66,11112.96,2674669,0
^DJC,5,20221117,193500,11113.32,11126.27,11112.6,11126.08,3363981,0
^DJC,5,20221117,194000,11126.87,11126.96,11121.09,11121.33,3759417,0
^DJC,5,20221117,194500,11120.23,11120.23,11108.7,11108.7,3135246,0
^DJC,5,20221117,195000,11108.25,11110.07,11104.54,11110.07,3327980,0
^DJC,5,20221117,195500,11110.01,11115.94,11104.43,11115.65,3377376,0
^DJC,5,20221117,200000,11115.75,11126.26,11115.71,11122.46,3205244,0
^DJC,5,20221117,200500,11121.72,11121.92,11110.8,11110.8,3316702,0
^DJC,5,20221117,201000,11109.69,11109.84,11098.39,11102.2,3594390,0
^DJC,5,20221117,201500,11102.57,11102.57,11092.59,11093.42,3882123,0
^DJC,5,20221117,202000,11093.25,11095.86,11086,11095.86,4011251,0
^DJC,5,20221117,202500,11095.23,11095.45,11090.85,11091.66,3462669,0
^DJC,5,20221117,203000,11091.84,11095.95,11089.2,11092.26,3262771,0
^DJC,5,20221117,203500,11093.93,11094.09,11085.07,11088.5,3520562,0
^DJC,5,20221117,204000,11088.38,11089.66,11077.49,11081.25,3495376,0
^DJC,5,20221117,204500,11080.12,11090.93,11073.8,11089.79,3991588,0
^DJC,5,20221117,205000,11090.37,11095.04,11084.98,11095.04,3619213,0
^DJC,5,20221117,205500,11095.73,11098.05,11092.97,11095.2,3046951,0
^DJC,5,20221117,210000,11094.91,11099.3,11086.99,11090.78,3579453,0
^DJC,5,20221117,210500,11090.71,11097.61,11085.11,11085.11,4175105,0
^DJC,5,20221117,211000,11085.14,11085.14,11076.12,11076.6,4300874,0
^DJC,5,20221117,211500,11076.8,11077.4,11066.7,11066.7,4042231,0
^DJC,5,20221117,212000,11066.92,11072.24,11061.23,11067.14,4501538,0
^DJC,5,20221117,212500,11066.6,11072.61,11064.82,11072.15,4925967,0
^DJC,5,20221117,213000,11070.9,11084.19,11070.77,11081.51,5692926,0
^DJC,5,20221117,213500,11081.68,11089.31,11079.8,11087.91,4721697,0
^DJC,5,20221117,214000,11088.5,11096.16,11088.5,11094.84,5459562,0
^DJC,5,20221117,214500,11093.97,11113.25,11093.97,11111.84,8187128,0
^DJC,5,20221117,215000,11115.66,11115.66,11102.5,11102.5,12034080,0
^DJC,5,20221117,215500,11099.36,11125.54,11096.92,11122.44,94862448,0
^DJC,5,20221118,153000,11206.47,11232.05,11198.66,11200.06,28562822,0
^DJC,5,20221118,153500,11200.3,11207.89,11192.45,11201.22,8638057,0
^DJC,5,20221118,154000,11201.83,11207.45,11182.02,11187.63,7317052,0
^DJC,5,20221118,154500,11187.22,11195.4,11177.47,11177.47,6653084,0
^DJC,5,20221118,155000,11175.95,11180.56,11174.71,11178.44,5365028,0
^DJC,5,20221118,155500,11178.95,11188.75,11167.02,11168.34,5511014,0
^DJC,5,20221118,160000,11170.11,11175.38,11162.75,11171.52,5985138,0
^DJC,5,20221118,160500,11170.92,11172.8,11153.29,11161.17,4393587,0
^DJC,5,20221118,161000,11161.47,11177.41,11161.47,11172.18,4270867,0
^DJC,5,20221118,161500,11171.61,11179.14,11168.53,11168.53,4542834,0
^DJC,5,20221118,162000,11169.26,11183.66,11168.51,11180.79,4264838,0
^DJC,5,20221118,162500,11181.04,11182.47,11165.89,11180.58,4060357,0
^DJC,5,20221118,163000,11182.12,11184.64,11174.42,11175.09,3682680,0
^DJC,5,20221118,163500,11176.08,11188.81,11176.08,11181.85,4135973,0
^DJC,5,20221118,164000,11180.83,11183.81,11176.82,11177.26,4341025,0
^DJC,5,20221118,164500,11177.84,11180.8,11171.31,11178.5,3971973,0
^DJC,5,20221118,165000,11178.1,11178.1,11167.95,11174.51,3741136,0
^DJC,5,20221118,165500,11174.93,11175.44,11152.18,11156.59,4457287,0
^DJC,5,20221118,170000,11157.66,11160.62,11147.95,11150.46,3793366,0
^DJC,5,20221118,170500,11150.63,11159.19,11149.78,11158.46,3239316,0
^DJC,5,20221118,171000,11158.61,11171.42,11157.48,11171.42,3923089,0
^DJC,5,20221118,171500,11170.73,11183.64,11168.49,11183.64,3937584,0
^DJC,5,20221118,172000,11185.15,11189.96,11183.87,11185.68,5466296,0
^DJC,5,20221118,172500,11187.95,11190.88,11184.87,11186.93,4027608,0
^DJC,5,20221118,173000,11188.35,11199.25,11188.35,11192.23,3727121,0
^DJC,5,20221118,173500,11191.36,11194.71,11185.44,11187.55,3956203,0
^DJC,5,20221118,174000,11188.44,11190.64,11180.98,11188.66,3376318,0
^DJC,5,20221118,174500,11188.83,11189.51,11174.42,11174.5,3443943,0
^DJC,5,20221118,175000,11173.59,11175.5,11167.9,11174.68,2855840,0
^DJC,5,20221118,175500,11174.7,11185.96,11172.8,11182.79,3420571,0
^DJC,5,20221118,180000,11184.47,11186.48,11180.71,11185.89,3031033,0
^DJC,5,20221118,180500,11186.01,11186.88,11172.25,11174.1,4164814,0
^DJC,5,20221118,181000,11172.89,11173.27,11168.86,11169.63,2656695,0
^DJC,5,20221118,181500,11170.53,11170.53,11145.08,11145.99,5198836,0
^DJC,5,20221118,182000,11144.3,11145.52,11136.58,11138.97,3836652,0
^DJC,5,20221118,182500,11138.28,11157.77,11137.8,11157.77,2998277,0
^DJC,5,20221118,183000,11157.64,11157.87,11150.77,11154.31,2886544,0
^DJC,5,20221118,183500,11154.28,11169.96,11154.09,11169.43,2880037,0
^DJC,5,20221118,184000,11170.11,11170.35,11159.75,11159.75,2943679,0
^DJC,5,20221118,184500,11159.6,11160.64,11152,11153.51,2733813,0
^DJC,5,20221118,185000,11153.57,11158.76,11144.92,11151.12,3558699,0
^DJC,5,20221118,185500,11150.01,11160.34,11147.96,11157.78,2807299,0
^DJC,5,20221118,190000,11158.02,11160.28,11154.74,11158.05,2309815,0
^DJC,5,20221118,190500,11158.45,11174.19,11157.63,11173.39,2860230,0
^DJC,5,20221118,191000,11173.53,11176.79,11171.48,11176.01,2585240,0
^DJC,5,20221118,191500,11176.03,11176.18,11165.49,11167.85,3027304,0
^DJC,5,20221118,192000,11167.59,11172.12,11158.85,11172.12,3104655,0
^DJC,5,20221118,192500,11172.61,11182.11,11168.73,11181.89,3361664,0
^DJC,5,20221118,193000,11181.84,11188.4,11181.84,11188.4,2809200,0
^DJC,5,20221118,193500,11188.87,11189.21,11174.84,11175.8,2620788,0
^DJC,5,20221118,194000,11175.43,11178.24,11160.85,11160.85,2883867,0
^DJC,5,20221118,194500,11161.11,11164.17,11157.05,11157.13,2957629,0
^DJC,5,20221118,195000,11157.75,11159.82,11153.2,11154.2,3085071,0
^DJC,5,20221118,195500,11153.62,11164.78,11153.44,11163.59,2712331,0
^DJC,5,20221118,200000,11164.74,11183.17,11164.74,11182.85,4564422,0
^DJC,5,20221118,200500,11183.6,11184.63,11180.13,11181.97,2563507,0
^DJC,5,20221118,201000,11181.67,11183.27,11177.3,11178.42,2473304,0
^DJC,5,20221118,201500,11178.68,11188.1,11178.03,11181.39,3172822,0
^DJC,5,20221118,202000,11180.5,11185.9,11180.5,11185.51,2482647,0
^DJC,5,20221118,202500,11185.48,11187.49,11183.23,11186.51,2903555,0
^DJC,5,20221118,203000,11186.32,11193.47,11177.12,11183.21,3406411,0
^DJC,5,20221118,203500,11183.08,11183.15,11172.78,11178.12,2853403,0
^DJC,5,20221118,204000,11178.89,11183.65,11177.45,11179.95,2697529,0
^DJC,5,20221118,204500,11179.42,11182.75,11177.05,11179.65,2838486,0
^DJC,5,20221118,205000,11179.74,11186.24,11179.74,11183.14,2663691,0
^DJC,5,20221118,205500,11183.15,11191.16,11183.15,11191.16,3593018,0
^DJC,5,20221118,210000,11189.63,11205.42,11188.53,11200.86,3917107,0
^DJC,5,20221118,210500,11201.1,11208.28,11201,11207.86,4238573,0
^DJC,5,20221118,211000,11209.17,11212.31,11207.41,11207.62,3688221,0
^DJC,5,20221118,211500,11206.49,11206.97,11197.38,11200.06,4123558,0
^DJC,5,20221118,212000,11200.61,11200.61,11188.5,11193.5,3910854,0
^DJC,5,20221118,212500,11193.77,11213.03,11192.91,11213.03,4102435,0
^DJC,5,20221118,213000,11214,11217.51,11208.6,11208.6,4895690,0
^DJC,5,20221118,213500,11206.82,11218.35,11205.64,11218.23,5780097,0
^DJC,5,20221118,214000,11218.95,11225.75,11216.67,11224.66,6251192,0
^DJC,5,20221118,214500,11224.17,11228.46,11217.93,11228.3,8055773,0
^DJC,5,20221118,215000,11231.49,11238.48,11196.44,11196.44,15003532,0
^DJC,5,20221118,215500,11195.71,11219.26,11195.71,11216.86,108680174,0
^DJC,5,20221121,153000,11212.34,11236.34,11212.34,11225.08,31962062,0
^DJC,5,20221121,153500,11226.46,11228.62,11204.36,11207.03,10415806,0
^DJC,5,20221121,154000,11205.6,11213.01,11200.77,11202.98,8414343,0
^DJC,5,20221121,154500,11203.58,11225.92,11203.58,11225.92,8322140,0
^DJC,5,20221121,155000,11225.56,11232.12,11219.8,11227.03,12995199,0
^DJC,5,20221121,155500,11227.83,11227.83,11218.06,11221.13,6225704,0
^DJC,5,20221121,160000,11222.27,11235.3,11222.27,11225.36,7962349,0
