<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^DJI,5,20221117,153000,33329.27,33338.38,33239.75,33308.9,10092878,0
^DJI,5,20221117,153500,33314.3,33331.53,33288.31,33312.29,4121050,0
^DJI,5,20221117,154000,33311.58,33333.9,33296.05,33309.06,4222215,0
^DJI,5,20221117,154500,33310.7,33349.57,33290.18,33309.28,4126444,0
^DJI,5,20221117,155000,33309.6,33319.04,33288.3,33288.7,3182727,0
^DJI,5,20221117,155500,33289.36,33297.28,33254.21,33259.69,3700605,0
^DJI,5,20221117,160000,33262.13,33298.69,33252.91,33288.57,3432492,0
^DJI,5,20221117,160500,33289.3,33310.85,33277.47,33283.3,3134857,0
^DJI,5,20221117,161000,33280.24,33321.36,33277.38,33315.64,2962115,0
^DJI,5,20221117,161500,33315.09,33350.88,33300.8,33350.67,3401438,0
^DJI,5,20221117,162000,33351.42,33373.55,33348.19,33351.87,3030074,0
^DJI,5,20221117,162500,33352.11,33395.18,33351.35,33389.71,2240226,0
^DJI,5,20221117,163000,33390.04,33390.04,33368.18,33370.84,2777016,0
^DJI,5,20221117,163500,33371.48,33377.05,33357.25,33358.43,2256230,0
^DJI,5,20221117,164000,33358.12,33367.38,33324.31,33330.41,2263280,0
^DJI,5,20221117,164500,33330.39,33330.39,33297.08,33305.36,2525800,0
^DJI,5,20221117,165000,33306.1,33315.19,33280.51,33287.66,2335173,0
^DJI,5,20221117,165500,33287.76,33298.7,33277.79,33284.76,1992661,0
^DJI,5,20221117,170000,33283.55,33314.51,33281.79,33306.23,2094655,0
^DJI,5,20221117,170500,33306.1,33332.22,33299.51,33307.21,2451541,0
^DJI,5,20221117,171000,33306.63,33312.31,33283.79,33304.9,2048984,0
^DJI,5,20221117,171500,33305.44,33319.77,33298.28,33308.26,2132441,0
^DJI,5,20221117,172000,33307.89,33322.32,33287.51,33319.27,2161561,0
^DJI,5,20221117,172500,33320.1,33346.35,33315.91,33336.95,2478443,0
^DJI,5,20221117,173000,33336.84,33369.63,33332.09,33369.63,2094990,0
^DJI,5,20221117,173500,33369.89,33385.54,33364.93,33374.08,1965359,0
^DJI,5,20221117,174000,33374.49,33384.85,33367.35,33381.34,2168008,0
^DJI,5,20221117,174500,33381.49,33412.09,33380.57,33383.67,2200488,0
^DJI,5,20221117,175000,33384.28,33400.21,33374.61,33392.74,2385949,0
^DJI,5,20221117,175500,33392.77,33522.57,33392.29,33516.07,3746448,0
^DJI,5,20221117,180000,33516.68,33551.45,33516.68,33545.05,2307644,0
^DJI,5,20221117,180500,33545.32,33560.34,33538.21,33544.59,2119797,0
^DJI,5,20221117,181000,33545.13,33561.49,33534.87,33535.53,1852242,0
^DJI,5,20221117,181500,33535.21,33555.25,33521.66,33555.25,1820849,0
^DJI,5,20221117,182000,33555.72,33557.12,33528.04,33534.6,1567471,0
^DJI,5,20221117,182500,33534.8,33536.73,33526.67,33526.81,26554307,0
^DJI,5,20221117,193000,33584.97,33587.31,33560.18,33569.54,1474690,0
^DJI,5,20221117,193500,33568.53,33594.95,33564.4,33592.98,2009661,0
^DJI,5,20221117,194000,33592.85,33595.23,33565.3,33565.3,1398386,0
^DJI,5,20221117,194500,33565.06,33565.06,33537.49,33539.63,1837333,0
^DJI,5,20221117,195000,33538.58,33542.52,33525.34,33538.02,1845354,0
^DJI,5,20221117,195500,33537.93,33557.27,33519.74,33553,1898305,0
^DJI,5,20221117,200000,33553.79,33592.48,33549.81,33582.1,1788044,0
^DJI,5,20221117,200500,33582.13,33585.73,33547.19,33547.19,1880335,0
^DJI,5,20221117,201000,33547.5,33547.5,33519.83,33533.64,2433563,0
^DJI,5,20221117,201500,33533.83,33534.08,33499.19,33505.48,2731945,0
^DJI,5,20221117,202000,33506.03,33517.62,33482.1,33516.8,2522313,0
^DJI,5,20221117,202500,33516.04,33516.04,33494.12,33501.7,2093532,0
^DJI,5,20221117,203000,33502.57,33502.57,33502.2,33502.2,98638742,0
^DJI,5,20221117,215500,33546.32,33546.32,33546.32,33546.32,0,0
^DJI,5,20221118,155000,33640.57,33668.32,33636.18,33660.17,2718847,0
^DJI,5,20221118,155500,33659.99,33693.21,33635.87,33651.67,3312735,0
^DJI,5,20221118,160000,33652.55,33668.72,33614.96,33638.25,3484615,0
^DJI,5,20221118,160500,33637.88,33646.36,33582.34,33617.85,2712832,0
^DJI,5,20221118,161000,33618.91,33663.52,33618.91,33643.61,2643899,0
^DJI,5,20221118,161500,33642.27,33663.66,33637.78,33641.79,2848806,0
^DJI,5,20221118,162000,33641.7,33689.67,33640.24,33679.48,2527010,0
^DJI,5,20221118,162500,33678.83,33682.88,33616.77,33669.9,2386667,0
^DJI,5,20221118,163000,33670.39,33680.04,33640.69,33647.03,1931267,0
^DJI,5,20221118,163500,33650.85,33692.97,33644.89,33675.82,2230159,0
^DJI,5,20221118,164000,33675.18,33695.99,33672.47,33685.18,2219051,0
^DJI,5,20221118,164500,33685.21,33704.99,33655.67,33702.88,2190547,0
^DJI,5,20221118,165000,33702.98,33703.9,33684.04,33696.8,2062812,0
^DJI,5,20221118,165500,33697.53,33703.09,33616.16,33633.92,2681757,0
^DJI,5,20221118,170000,33635.83,33647.75,33604.56,33616.14,1875140,0
^DJI,5,20221118,170500,33615.42,33654.67,33611.19,33654.67,1906502,0
^DJI,5,20221118,171000,33654.91,33690.49,33647.72,33690.49,2279623,0
^DJI,5,20221118,171500,33690.87,33725.35,33674.72,33724.69,2456850,0
^DJI,5,20221118,172000,33724.31,33747.46,33714.55,33734.62,2782517,0
^DJI,5,20221118,172500,33734.48,33748.13,33723.71,33727.67,2383277,0
^DJI,5,20221118,173000,33727.28,33764.81,33727.28,33734.38,2156515,0
^DJI,5,20221118,173500,33734.1,33746.8,33702.26,33709.36,2241418,0
^DJI,5,20221118,174000,33709.06,33725.25,33694.63,33721.32,2074951,0
^DJI,5,20221118,174500,33720.47,33726.21,33679.29,33680.43,2000024,0
^DJI,5,20221118,175000,33680.88,33693.63,33680.8,33691.06,20308153,0
^DJI,5,20221118,185000,33572.74,33572.74,33543.2,33564.27,891365,0
^DJI,5,20221118,185500,33563.39,33606.93,33554.28,33598.22,1520606,0
^DJI,5,20221118,190000,33598.16,33604.77,33586.06,33593.7,1387464,0
^DJI,5,20221118,190500,33593.84,33640.44,33592.47,33637.17,1425732,0
^DJI,5,20221118,191000,33637.26,33644.79,33630.82,33641.97,1381938,0
^DJI,5,20221118,191500,33642.34,33642.34,33608.3,33615.14,1708992,0
^DJI,5,20221118,192000,33614.97,33627.11,33587.67,33627.11,1673324,0
^DJI,5,20221118,192500,33627.94,33659.01,33618.89,33656.99,1545895,0
^DJI,5,20221118,193000,33656.8,33670.76,33654.12,33670.02,1555161,0
^DJI,5,20221118,193500,33669.82,33671.56,33623.74,33628.69,1327489,0
^DJI,5,20221118,194000,33628.71,33635.87,33576.9,33579.28,1690485,0
^DJI,5,20221118,194500,33579.14,33593.3,33573.37,33573.42,1397283,0
^DJI,5,20221118,195000,33573.26,33581.61,33555.02,33561.8,1411598,0
^DJI,5,20221118,195500,33561.48,33588.69,33558.56,33588.69,1229410,0
^DJI,5,20221118,200000,33590.23,33631.71,33586.33,33630.36,1616100,0
^DJI,5,20221118,200500,33630.4,33636.58,33619.28,33625.71,1239377,0
^DJI,5,20221118,201000,33625.41,33630.71,33611.7,33614.2,1208427,0
^DJI,5,20221118,201500,33614.49,33648.07,33613.82,33617.06,1476664,0
^DJI,5,20221118,202000,33616.68,33636.71,33616.57,33633.46,1098368,0
^DJI,5,20221118,202500,33634.14,33642.9,33625.25,33636.2,1464939,0
^DJI,5,20221118,203000,33636.03,33658.74,33608.06,33625.05,1908895,0
^DJI,5,20221118,203500,33625.43,33625.56,33591.43,33613.4,1599362,0
^DJI,5,20221118,204000,33612.99,33626.56,33604.95,33609.87,1476568,0
^DJI,5,20221118,204500,33609.09,33614.62,33594.47,33601.41,1590871,0
^DJI,5,20221118,205000,33601.47,33621.34,33601.04,33616.75,1525706,0
^DJI,5,20221118,205500,33610.03,33639.33,33609.64,33638.99,1834485,0
^DJI,5,20221118,210000,33638.1,33695.73,33634.64,33682.3,2402812,0
^DJI,5,20221118,210500,33682.82,33709.75,33682.82,33707.34,2473793,0
^DJI,5,20221118,211000,33707.86,33724.33,33705.12,33705.12,2137016,0
^DJI,5,20221118,211500,33705.27,33706.34,33675.58,33687.47,2046938,0
