<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^DJT,5,20221117,153000,14223.05,14223.05,14034.51,14034.51,0,0
^DJT,5,20221117,153500,14034.82,14046.44,13985.01,14002.38,0,0
^DJT,5,20221117,154000,14002.32,14015.23,13986.16,13994.19,0,0
^DJT,5,20221117,154500,13994.19,14000.28,13984.05,13993.14,0,0
^DJT,5,20221117,155000,13993.39,14038.19,13985.71,13987.12,0,0
^DJT,5,20221117,155500,13984.61,13985.01,13942.86,13946.42,0,0
^DJT,5,20221117,160000,13946.48,13984.1,13943.06,13948.97,0,0
^DJT,5,20221117,160500,13949.43,13951.81,13935.61,13940.08,0,0
^DJT,5,20221117,161000,13940.36,13962.55,13938.98,13950.91,0,0
^DJT,5,20221117,161500,13950.91,13966.07,13945.65,13966.07,0,0
^DJT,5,20221117,162000,13965.55,13986.61,13955.84,13956.01,0,0
^DJT,5,20221117,162500,13956.04,13967.83,13948.24,13965.25,0,0
^DJT,5,20221117,163000,13965.22,13968.03,13933,13933.19,0,0
^DJT,5,20221117,163500,13933.06,13933.06,13912.84,13920.69,0,0
^DJT,5,20221117,164000,13920.66,13930.66,13919.1,13922.58,0,0
^DJT,5,20221117,164500,13922.58,13922.58,13888.4,13892.05,0,0
^DJT,5,20221117,165000,13892.12,13905.67,13878.4,13879.13,0,0
^DJT,5,20221117,165500,13879.14,13883.33,13865.75,13883.32,0,0
^DJT,5,20221117,170000,13883.29,13903.3,13875.73,13886.62,0,0
^DJT,5,20221117,170500,13887.23,13902.52,13886.56,13891.43,0,0
^DJT,5,20221117,171000,13891.43,13900.08,13884.66,13898.79,0,0
^DJT,5,20221117,171500,13898.79,13914.56,13896.22,13904.32,0,0
^DJT,5,20221117,172000,13904.29,13939.83,13904.29,13938.61,0,0
^DJT,5,20221117,172500,13938.36,13950.6,13927.41,13947.03,0,0
^DJT,5,20221117,173000,13946.67,13947.01,13936.05,13939.39,0,0
^DJT,5,20221117,173500,13940.65,13966.1,13940.07,13965.81,0,0
^DJT,5,20221117,174000,13965.99,13967.1,13956.56,13964.49,0,0
^DJT,5,20221117,174500,13964.77,13966.68,13960.6,13960.81,0,0
^DJT,5,20221117,175000,13960.75,13968.34,13958.55,13962.82,0,0
^DJT,5,20221117,175500,13962.82,14033.53,13962.6,14032.83,0,0
^DJT,5,20221117,180000,14032.83,14048.55,14029.71,14044.06,0,0
^DJT,5,20221117,180500,14044,14049.32,14032.89,14037.55,0,0
^DJT,5,20221117,181000,14037.52,14042.74,14029.66,14030.32,0,0
^DJT,5,20221117,181500,14030.25,14037.69,14022.24,14032.98,0,0
^DJT,5,20221117,182000,14032.98,14042.21,14030.35,14036.01,0,0
^DJT,5,20221117,182500,14036.01,14047.93,14035.86,14044.94,0,0
^DJT,5,20221117,183000,14044.91,14054.56,14043.59,14047.55,0,0
^DJT,5,20221117,183500,14047.55,14067.62,14042.86,14066.13,0,0
^DJT,5,20221117,184000,14066.38,14076.42,14065.86,14076.38,0,0
^DJT,5,20221117,184500,14077.12,14090.49,14076.72,14086.09,0,0
^DJT,5,20221117,185000,14085.96,14122.19,14085.71,14120.83,0,0
^DJT,5,20221117,185500,14120.4,14120.93,14107.54,14116.6,0,0
^DJT,5,20221117,190000,14116.29,14117.99,14113.96,14115.49,0,0
^DJT,5,20221117,190500,14115.48,14119.93,14106.53,14107.64,0,0
^DJT,5,20221117,191000,14107.64,14120.59,14106.43,14108.37,0,0
^DJT,5,20221117,191500,14108.37,14108.37,14079.17,14093.8,0,0
^DJT,5,20221117,192000,14093.8,14104.91,14091.65,14094.05,0,0
^DJT,5,20221117,192500,14094.01,14094.67,14076.36,14076.36,0,0
^DJT,5,20221117,193000,14076.15,14076.15,14063.16,14066.12,0,0
^DJT,5,20221117,193500,14066.02,14092.94,14065.6,14092.88,0,0
^DJT,5,20221117,194000,14092.88,14098.46,14089.66,14098.1,0,0
^DJT,5,20221117,194500,14098.1,14098.14,14075.51,14075.96,0,0
^DJT,5,20221117,195000,14075.68,14077.41,14066.72,14077.12,0,0
^DJT,5,20221117,195500,14077.28,14090.78,14072.78,14090.51,0,0
^DJT,5,20221117,200000,14090.51,14101.68,14090.51,14095.27,0,0
^DJT,5,20221117,200500,14095.27,14098.77,14079.3,14079.3,0,0
^DJT,5,20221117,201000,14078.69,14078.93,14053.68,14060.14,0,0
^DJT,5,20221117,201500,14059.98,14060.43,14041.63,14043.04,0,0
^DJT,5,20221117,202000,14042.14,14043.83,14031.83,14039.16,0,0
^DJT,5,20221117,202500,14039.13,14042.57,14036.53,14036.83,0,0
^DJT,5,20221117,203000,14036.99,14050.64,14035.92,14047.46,0,0
^DJT,5,20221117,203500,14047.76,14048.31,14033.55,14033.67,0,0
^DJT,5,20221117,204000,14033.92,14037.81,14029.77,14034.25,0,0
^DJT,5,20221117,204500,14035.09,14061.38,14027.5,14061.26,0,0
^DJT,5,20221117,205000,14061.26,14067.89,14055.72,14067.89,0,0
^DJT,5,20221117,205500,14068.5,14091.46,14068.44,14083.94,0,0
^DJT,5,20221117,210000,14084.15,14090.06,14078.4,14082,0,0
^DJT,5,20221117,210500,14081.99,14085.81,14070.51,14070.51,0,0
^DJT,5,20221117,211000,14070.87,14070.87,14062.93,14067.21,0,0
^DJT,5,20221117,211500,14067.21,14067.83,14056.03,14060.33,0,0
^DJT,5,20221117,212000,14060.33,14064.85,14048.38,14059.04,0,0
^DJT,5,20221117,212500,14058.92,14068.4,14057.76,14065.87,0,0
^DJT,5,20221117,213000,14065.81,14079.62,14064.92,14078.82,0,0
^DJT,5,20221117,213500,14078.74,14107.81,14075.34,14103.13,0,0
^DJT,5,20221117,214000,14103.22,14131.94,14103.22,14130.43,0,0
^DJT,5,20221117,214500,14128.47,14153.77,14126.44,14153.59,0,0
^DJT,5,20221117,215000,14153.59,14160.64,14132.56,14132.56,0,0
^DJT,5,20221117,215500,14132.37,14167.03,14122.9,14159.91,0,0
^DJT,5,20221118,153000,14208.67,14355.22,14208.67,14272.98,0,0
^DJT,5,20221118,153500,14273.28,14278.9,14238.19,14274.31,0,0
^DJT,5,20221118,154000,14274.87,14286.65,14241.71,14250.12,0,0
^DJT,5,20221118,154500,14250.15,14258.29,14224.52,14227.16,0,0
^DJT,5,20221118,155000,14226.41,14231.58,14220.41,14228.55,0,0
^DJT,5,20221118,155500,14228.46,14244.88,14197.35,14198.62,0,0
^DJT,5,20221118,160000,14198.59,14220.9,14198.39,14215.64,0,0
^DJT,5,20221118,160500,14214.13,14218.49,14176.82,14181.63,0,0
^DJT,5,20221118,161000,14181.69,14219.21,14181.69,14212.16,0,0
^DJT,5,20221118,161500,14212.71,14221.78,14193.53,14193.59,0,0
^DJT,5,20221118,162000,14193.68,14214.6,14189.38,14211.44,0,0
^DJT,5,20221118,162500,14211.44,14222.48,14200.28,14220.79,0,0
^DJT,5,20221118,163000,14221.11,14231.24,14218.69,14221.46,0,0
^DJT,5,20221118,163500,14221.7,14237.23,14217.97,14218,0,0
^DJT,5,20221118,164000,14217.94,14220.97,14190.89,14191.54,0,0
^DJT,5,20221118,164500,14191.32,14197.81,14177.12,14178.23,0,0
^DJT,5,20221118,165000,14178.27,14178.27,14150.61,14170.11,0,0
^DJT,5,20221118,165500,14169.84,14170.48,14143.12,14152.43,0,0
^DJT,5,20221118,170000,14152.43,14156.2,14140.79,14144.65,0,0
^DJT,5,20221118,170500,14144.55,14147.12,14137.21,14137.36,0,0
^DJT,5,20221118,171000,14137.36,14158.88,14136.29,14158.88,0,0
^DJT,5,20221118,171500,14158.85,14176.5,14155.52,14176.44,0,0
^DJT,5,20221118,172000,14176.43,14178.63,14168.01,14168.01,0,0
^DJT,5,20221118,172500,14167.98,14179.34,14167.16,14168.7,0,0
^DJT,5,20221118,173000,14168.48,14183.58,14168.48,14178.47,0,0
^DJT,5,20221118,173500,14178.49,14181.82,14173.94,14177.67,0,0
^DJT,5,20221118,174000,14178.1,14178.21,14158.5,14166.44,0,0
^DJT,5,20221118,174500,14166.41,14168.34,14138.17,14138.17,0,0
^DJT,5,20221118,175000,14138.23,14138.72,14121.88,14138.6,0,0
^DJT,5,20221118,175500,14138.62,14159.35,14137.32,14158.59,0,0
^DJT,5,20221118,180000,14158.62,14169.83,14155.04,14169.24,0,0
^DJT,5,20221118,180500,14169.24,14171.34,14156.31,14156.86,0,0
^DJT,5,20221118,181000,14156.97,14158.53,14153.48,14158.53,0,0
^DJT,5,20221118,181500,14158.53,14158.53,14132.57,14139.26,0,0
^DJT,5,20221118,182000,14139.26,14139.26,14115.64,14124.57,0,0
^DJT,5,20221118,182500,14124.57,14153.51,14124.47,14153.51,0,0
^DJT,5,20221118,183000,14153.51,14162.28,14147.06,14157.18,0,0
^DJT,5,20221118,183500,14157.24,14192.24,14156.1,14191.92,0,0
^DJT,5,20221118,184000,14191.84,14194.9,14180.42,14180.42,0,0
^DJT,5,20221118,184500,14180.49,14183.49,14162.14,14168.01,0,0
^DJT,5,20221118,185000,14167.59,14175.65,14164.01,14168.06,0,0
^DJT,5,20221118,185500,14164.88,14173.94,14163.33,14170.11,0,0
^DJT,5,20221118,190000,14170.08,14171.96,14164.69,14170.26,0,0
^DJT,5,20221118,190500,14170.39,14191.81,14167.3,14190.9,0,0
^DJT,5,20221118,191000,14190.91,14190.91,14185.01,14188.18,0,0
^DJT,5,20221118,191500,14188.18,14188.42,14171.84,14181.9,0,0
^DJT,5,20221118,192000,14181.93,14194.49,14173.96,14194.49,0,0
^DJT,5,20221118,192500,14194.64,14208.74,14189.45,14207.82,0,0
^DJT,5,20221118,193000,14207.82,14221.92,14207.78,14221.92,0,0
^DJT,5,20221118,193500,14221.86,14224.94,14205.59,14205.89,0,0
^DJT,5,20221118,194000,14205.89,14214.57,14189.27,14189.27,0,0
^DJT,5,20221118,194500,14189.58,14194.5,14180.2,14183.21,0,0
^DJT,5,20221118,195000,14183.21,14189.15,14182.84,14183.03,0,0
^DJT,5,20221118,195500,14182.82,14207.09,14181.42,14203.7,0,0
^DJT,5,20221118,200000,14203.7,14236.69,14203.7,14236.69,0,0
^DJT,5,20221118,200500,14236.69,14238.34,14231.77,14235.02,0,0
^DJT,5,20221118,201000,14235.13,14240.36,14233.19,14236.48,0,0
^DJT,5,20221118,201500,14236.45,14242.55,14228,14238.25,0,0
^DJT,5,20221118,202000,14238.16,14242.84,14238.07,14240.57,0,0
^DJT,5,20221118,202500,14240.57,14242.52,14236.44,14236.48,0,0
^DJT,5,20221118,203000,14236.48,14244.13,14220.66,14232.77,0,0
^DJT,5,20221118,203500,14232.74,14232.74,14215.49,14219.43,0,0
^DJT,5,20221118,204000,14219.43,14223.55,14218.47,14219.81,0,0
^DJT,5,20221118,204500,14219.62,14229.87,14219.62,14225.88,0,0
^DJT,5,20221118,205000,14225.97,14239.57,14225.71,14236.49,0,0
^DJT,5,20221118,205500,14236.49,14241.43,14233.43,14239.87,0,0
^DJT,5,20221118,210000,14238.54,14250.55,14235.62,14246.18,0,0
^DJT,5,20221118,210500,14245.93,14258.87,14245.93,14258.69,0,0
^DJT,5,20221118,211000,14258.69,14261.54,14252.61,14253.89,0,0
^DJT,5,20221118,211500,14253.89,14254.04,14246.9,14250.57,0,0
^DJT,5,20221118,212000,14250.32,14250.38,14227.41,14237.75,0,0
^DJT,5,20221118,212500,14237.81,14268.34,14237.23,14268.25,0,0
^DJT,5,20221118,213000,14267.94,14277.61,14262.72,14262.88,0,0
^DJT,5,20221118,213500,14262.15,14268.8,14258.86,14268.43,0,0
^DJT,5,20221118,214000,14267.84,14277.66,14267.31,14275.55,0,0
^DJT,5,20221118,214500,14275.58,14276.52,14263.41,14273.18,0,0
^DJT,5,20221118,215000,14273.19,14293.26,14240.7,14240.7,0,0
^DJT,5,20221118,215500,14240.64,14256.72,14239.57,14254.8,0,0
^DJT,5,20221121,153000,14232.26,14232.26,14179.35,14220.5,0,0
^DJT,5,20221121,153500,14220.51,14225.37,14186,14192.39,0,0
^DJT,5,20221121,154000,14192.33,14208.85,14189.56,14199.06,0,0
^DJT,5,20221121,154500,14199.06,14241.2,14197.27,14235.16,0,0
^DJT,5,20221121,155000,14235.16,14248.96,14222.44,14247.42,0,0
^DJT,5,20221121,155500,14247.42,14254.69,14225.89,14229.01,0,0
^DJT,5,20221121,160000,14231.46,14259.7,14231.46,14250.27,0,0
^DJT,5,20221121,160500,14250.62,14260.55,14225.64,14226.99,0,0
^DJT,5,20221121,161000,14227.36,14243.44,14227.33,14243.05,0,0
^DJT,5,20221121,161500,14243.09,14266.06,14236.23,14253.28,0,0
^DJT,5,20221121,162000,14253.34,14257.67,14232.18,14238.17,0,0
^DJT,5,20221121,162500,14238.17,14247.54,14235.05,14244.58,0,0
^DJT,5,20221121,163000,14244.95,14250.28,14237.52,14249.91,0,0
^DJT,5,20221121,163500,14249.73,14262.76,14249.73,14256.42,0,0
^DJT,5,20221121,164000,14256.39,14256.42,14222.69,14224.42,0,0
^DJT,5,20221121,164500,14224.2,14224.67,14209.99,14217.42,0,0
^DJT,5,20221121,165000,14217.47,14221.14,14208.06,14216.82,0,0
^DJT,5,20221121,165500,14216.85,14251.37,14216.85,14244.88,0,0
^DJT,5,20221121,170000,14244.98,14253.79,14227.17,14227.42,0,0
^DJT,5,20221121,170500,14227.42,14230.76,14221.52,14227.62,0,0
^DJT,5,20221121,171000,14227.66,14233.91,14221.13,14223.59,0,0
^DJT,5,20221121,171500,14223.56,14240.13,14222.1,14235.78,0,0
^DJT,5,20221121,172000,14235.75,14257.87,14230.55,14256.43,0,0
^DJT,5,20221121,172500,14256.34,14256.4,14244.5,14245.53,0,0
^DJT,5,20221121,173000,14245.5,14247.69,14222.63,14223.84,0,0
^DJT,5,20221121,173500,14224.24,14237.24,14223.57,14233.94,0,0
^DJT,5,20221121,174000,14234.06,14237.84,14231,14237.61,0,0
^DJT,5,20221121,174500,14237.64,14254.63,14235.29,14254.14,0,0
^DJT,5,20221121,175000,14253.99,14258.39,14250.4,14250.95,0,0
^DJT,5,20221121,175500,14250.89,14250.89,14206.51,14212.32,0,0
^DJT,5,20221121,180000,14212.25,14241.75,14212.02,14240.47,0,0
^DJT,5,20221121,180500,14240.47,14256,14239.48,14255.76,0,0
^DJT,5,20221121,181000,14255.9,14263.7,14254.6,14255.69,0,0
^DJT,5,20221121,181500,14255.69,14256.44,14231.04,14231.14,0,0
^DJT,5,20221121,182000,14231.12,14239.74,14227.89,14237.33,0,0
^DJT,5,20221121,182500,14237.43,14251.96,14237.43,14250.81,0,0
^DJT,5,20221121,183000,14251.15,14276.37,14248.57,14275.56,0,0
^DJT,5,20221121,183500,14275.59,14299.13,14273.43,14289.95,0,0
^DJT,5,20221121,184000,14289.95,14300.84,14289.68,14300.84,0,0
^DJT,5,20221121,184500,14300.84,14302.35,14293.45,14296.29,0,0
^DJT,5,20221121,185000,14296.29,14299.16,14287.66,14298.89,0,0
^DJT,5,20221121,185500,14298.89,14308.6,14298.21,14303.81,0,0
^DJT,5,20221121,190000,14303.97,14313.13,14303.93,14308.49,0,0
^DJT,5,20221121,190500,14308.73,14315.97,14307.21,14311.62,0,0
^DJT,5,20221121,191000,14311.58,14325.5,14311.58,14321.57,0,0
^DJT,5,20221121,191500,14321.57,14323.45,14311.72,14315.15,0,0
^DJT,5,20221121,192000,14315.21,14317.17,14301.18,14301.81,0,0
^DJT,5,20221121,192500,14301.7,14301.91,14293.66,14296.84,0,0
^DJT,5,20221121,193000,14296.84,14308.99,14296.37,14308.8,0,0
^DJT,5,20221121,193500,14309.16,14322.14,14309.16,14322.14,0,0
^DJT,5,20221121,194000,14322.47,14324.92,14314.44,14320.38,0,0
^DJT,5,20221121,194500,14320.38,14324.68,14312.86,14312.89,0,0
