<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^DJU,5,20221117,153000,926.6,927.28,922.05,922.15,0,0
^DJU,5,20221117,153500,922.13,922.56,920.8,922.49,0,0
^DJU,5,20221117,154000,922.49,923.98,921.79,923.74,0,0
^DJU,5,20221117,154500,923.75,924.08,921.76,921.81,0,0
^DJU,5,20221117,155000,921.78,923.79,921.07,923.26,0,0
^DJU,5,20221117,155500,923.26,923.31,920.89,922.08,0,0
^DJU,5,20221117,160000,922.08,922.62,921.21,921.55,0,0
^DJU,5,20221117,160500,921.54,923.16,921.54,922.07,0,0
^DJU,5,20221117,161000,922.07,922.14,920.76,921.33,0,0
^DJU,5,20221117,161500,921.34,921.37,919.63,920.04,0,0
^DJU,5,20221117,162000,920.11,921.04,918.74,918.86,0,0
^DJU,5,20221117,162500,918.86,920.87,918.84,920.74,0,0
^DJU,5,20221117,163000,920.74,920.77,918.21,919.07,0,0
^DJU,5,20221117,163500,919.15,919.32,917.51,917.51,0,0
^DJU,5,20221117,164000,917.5,917.53,915.79,916.15,0,0
^DJU,5,20221117,164500,916.15,916.15,914.58,914.99,0,0
^DJU,5,20221117,165000,915.01,915.67,914.62,915.67,0,0
^DJU,5,20221117,165500,915.67,915.83,913.94,915.42,0,0
^DJU,5,20221117,170000,915.4,915.51,914.41,915.1,0,0
^DJU,5,20221117,170500,915.1,915.34,914.67,915.24,0,0
^DJU,5,20221117,171000,915.24,916.17,915.2,915.96,0,0
^DJU,5,20221117,171500,915.98,916.65,915.98,916.16,0,0
^DJU,5,20221117,172000,916.16,917.37,915.67,917.37,0,0
^DJU,5,20221117,172500,917.38,917.72,917.19,917.45,0,0
^DJU,5,20221117,173000,917.45,917.45,916.77,917.2,0,0
^DJU,5,20221117,173500,917.18,917.35,916.16,916.37,0,0
^DJU,5,20221117,174000,916.35,916.35,914.77,915.29,0,0
^DJU,5,20221117,174500,915.29,916.23,915.04,915.04,0,0
^DJU,5,20221117,175000,914.99,915.19,914.11,914.38,0,0
^DJU,5,20221117,175500,914.38,916.73,914.38,916.22,0,0
^DJU,5,20221117,180000,916.23,917.82,916.23,917.53,0,0
^DJU,5,20221117,180500,917.55,918.02,917.24,917.34,0,0
^DJU,5,20221117,181000,917.34,918.04,917.33,918.01,0,0
^DJU,5,20221117,181500,918.02,919,917.89,919,0,0
^DJU,5,20221117,182000,919.03,919.48,918.96,919.4,0,0
^DJU,5,20221117,182500,919.4,920.11,919.36,919.72,0,0
^DJU,5,20221117,183000,919.71,919.78,919.03,919.23,0,0
^DJU,5,20221117,183500,919.23,920.04,919.23,920.02,0,0
