<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^FMIB,5,20221117,090000,24626,24672.57,24626,24647.65,0,0
^FMIB,5,20221117,090500,24649.58,24677.73,24636.78,24641.51,0,0
^FMIB,5,20221117,091000,24639.16,24640.48,24618.86,24621.19,0,0
^FMIB,5,20221117,091500,24624.67,24670.88,24623.32,24661.21,0,0
^FMIB,5,20221117,092000,24660.2,24660.2,24622.49,24622.49,0,0
^FMIB,5,20221117,092500,24621.12,24621.12,24595.08,24601.79,0,0
^FMIB,5,20221117,093000,24601.96,24601.96,24583.13,24593.05,0,0
^FMIB,5,20221117,093500,24593.7,24603.74,24592.65,24592.79,0,0
^FMIB,5,20221117,094000,24594.97,24595.8,24567.37,24567.37,0,0
^FMIB,5,20221117,094500,24568.55,24575.73,24553.42,24555.24,0,0
^FMIB,5,20221117,095000,24553.88,24554.1,24529.95,24529.95,0,0
^FMIB,5,20221117,095500,24528.33,24535.05,24521.46,24521.69,0,0
^FMIB,5,20221117,100000,24517.28,24527.88,24503.97,24503.97,0,0
^FMIB,5,20221117,100500,24505.55,24505.55,24474.98,24490.04,0,0
^FMIB,5,20221117,101000,24489.53,24498.53,24479.19,24479.31,0,0
^FMIB,5,20221117,101500,24478.75,24493.3,24478.75,24493.3,0,0
^FMIB,5,20221117,102000,24493.84,24507.77,24481.87,24489.02,0,0
^FMIB,5,20221117,102500,24487.77,24500.76,24487.39,24493.08,0,0
^FMIB,5,20221117,103000,24487.86,24489.14,24458.09,24459.58,0,0
^FMIB,5,20221117,103500,24459.16,24462.98,24448.29,24451.07,0,0
^FMIB,5,20221117,104000,24451.2,24467.08,24450.62,24457.82,0,0
^FMIB,5,20221117,104500,24457.7,24470.12,24457.7,24467.85,0,0
^FMIB,5,20221117,105000,24467.75,24467.75,24441.87,24453.89,0,0
^FMIB,5,20221117,105500,24454.11,24458.42,24444.9,24457.58,0,0
^FMIB,5,20221117,110000,24457.35,24479.65,24456.43,24465.68,0,0
^FMIB,5,20221117,110500,24466.43,24487.59,24466.43,24473.41,0,0
^FMIB,5,20221117,111000,24471.79,24471.79,24454.3,24459.7,0,0
^FMIB,5,20221117,111500,24463.8,24481.68,24462.27,24480.24,0,0
^FMIB,5,20221117,112000,24480.62,24480.62,24467.84,24474.97,0,0
^FMIB,5,20221117,112500,24474.76,24484.06,24474.33,24479.33,0,0
^FMIB,5,20221117,113000,24479.35,24479.35,24451.41,24451.41,0,0
^FMIB,5,20221117,113500,24452.11,24452.11,24441.39,24448.84,0,0
^FMIB,5,20221117,114000,24448.84,24457.92,24441.62,24454.7,0,0
^FMIB,5,20221117,114500,24453.52,24454.35,24422.59,24422.87,0,0
^FMIB,5,20221117,115000,24422.93,24422.93,24387.33,24398.02,0,0
^FMIB,5,20221117,115500,24397.46,24408.9,24394.55,24406.94,0,0
^FMIB,5,20221117,120000,24406.94,24427.18,24406.94,24419.62,0,0
^FMIB,5,20221117,120500,24417.99,24430.49,24417.79,24420.25,0,0
^FMIB,5,20221117,121000,24419.99,24419.99,24404.75,24404.75,0,0
^FMIB,5,20221117,121500,24402.16,24415.17,24385.39,24413.28,0,0
^FMIB,5,20221117,122000,24413.28,24413.28,24398.66,24398.94,0,0
^FMIB,5,20221117,122500,24397.41,24398.31,24382.87,24383.28,0,0
^FMIB,5,20221117,123000,24383.28,24393.62,24381.3,24392.61,0,0
^FMIB,5,20221117,123500,24392.38,24401.35,24344.92,24349.5,0,0
^FMIB,5,20221117,124000,24351.75,24368.51,24351.75,24366.19,0,0
^FMIB,5,20221117,124500,24365.1,24392.38,24365.1,24383.47,0,0
^FMIB,5,20221117,125000,24383.42,24398.96,24379.12,24380.46,0,0
^FMIB,5,20221117,125500,24381.34,24384.03,24364.53,24370.95,0,0
^FMIB,5,20221117,130000,24372.82,24385.86,24372.82,24374.66,0,0
^FMIB,5,20221117,130500,24374.98,24374.98,24356.17,24363.1,0,0
^FMIB,5,20221117,131000,24364.04,24364.04,24356.99,24359.68,0,0
^FMIB,5,20221117,131500,24359.14,24367.61,24351.9,24351.9,0,0
^FMIB,5,20221117,132000,24352.82,24352.82,24332.21,24332.21,0,0
^FMIB,5,20221117,132500,24337.08,24377.44,24337.08,24344.65,0,0
^FMIB,5,20221117,133000,24344.94,24349.61,24337.45,24338.37,0,0
^FMIB,5,20221117,133500,24334.52,24344.17,24324.21,24324.5,0,0
^FMIB,5,20221117,134000,24323.43,24328.02,24298.86,24298.86,0,0
^FMIB,5,20221117,134500,24298.51,24299.3,24270.38,24273.21,0,0
^FMIB,5,20221117,135000,24275.02,24285.14,24274.34,24283.73,0,0
^FMIB,5,20221117,135500,24282.79,24282.79,24263.56,24277.46,0,0
^FMIB,5,20221117,140000,24276.29,24280.9,24257.52,24262.93,0,0
^FMIB,5,20221117,140500,24261.79,24261.79,24238.5,24248.25,0,0
^FMIB,5,20221117,141000,24243.39,24261.89,24241.18,24261.89,0,0
^FMIB,5,20221117,141500,24261.28,24271.86,24256.73,24271.03,0,0
^FMIB,5,20221117,142000,24273.18,24278.85,24260.4,24262.59,0,0
^FMIB,5,20221117,142500,24262.66,24273.2,24261.51,24267.04,0,0
^FMIB,5,20221117,143000,24267.26,24281.75,24254.43,24266.39,0,0
^FMIB,5,20221117,143500,24267.24,24267.51,24249.85,24255.51,0,0
^FMIB,5,20221117,144000,24251.94,24252.53,24237.62,24252.34,0,0
^FMIB,5,20221117,144500,24252.34,24270.24,24222.35,24222.35,0,0
^FMIB,5,20221117,145000,24222.26,24229.11,24208.34,24208.58,0,0
^FMIB,5,20221117,145500,24208.5,24214.68,24199.15,24203.17,0,0
^FMIB,5,20221117,150000,24203.17,24218.26,24184.59,24207.7,0,0
^FMIB,5,20221117,150500,24206.28,24243.93,24204.01,24243.35,0,0
^FMIB,5,20221117,151000,24243.77,24249.47,24231.57,24243.35,0,0
^FMIB,5,20221117,151500,24240.68,24255.95,24239.55,24247.22,0,0
^FMIB,5,20221117,152000,24247.16,24248.85,24226.22,24226.22,0,0
^FMIB,5,20221117,152500,24223.99,24234.27,24214.35,24234.27,0,0
^FMIB,5,20221117,153000,24234.4,24286.53,24229.52,24273.68,0,0
^FMIB,5,20221117,153500,24273.68,24297.35,24273.68,24291.54,0,0
^FMIB,5,20221117,154000,24291.97,24306.52,24278.39,24294.86,0,0
^FMIB,5,20221117,154500,24298.63,24313.03,24290.59,24313.03,0,0
^FMIB,5,20221117,155000,24310.63,24320.26,24287.86,24287.86,0,0
^FMIB,5,20221117,155500,24286.82,24294.41,24274.26,24289.67,0,0
^FMIB,5,20221117,160000,24290.82,24314.84,24283.78,24314.84,0,0
^FMIB,5,20221117,160500,24316.63,24324.48,24312.01,24312.3,0,0
^FMIB,5,20221117,161000,24313.45,24324.94,24307.32,24323.91,0,0
^FMIB,5,20221117,161500,24324.45,24336.63,24321.92,24335.14,0,0
^FMIB,5,20221117,162000,24343.76,24350.93,24336.96,24337.78,0,0
^FMIB,5,20221117,162500,24336.64,24357.81,24335.36,24348.23,0,0
^FMIB,5,20221117,163000,24347.27,24354.28,24333.47,24333.47,0,0
^FMIB,5,20221117,163500,24333.36,24345.6,24332.28,24342.45,0,0
^FMIB,5,20221117,164000,24339.74,24348.46,24332.2,24339.58,0,0
^FMIB,5,20221117,164500,24340.61,24340.61,24320.1,24320.1,0,0
^FMIB,5,20221117,165000,24322.01,24325.1,24311.38,24316.94,0,0
^FMIB,5,20221117,165500,24317.58,24321.36,24298.64,24303.28,0,0
^FMIB,5,20221117,170000,24303.71,24307.94,24292.73,24292.73,0,0
^FMIB,5,20221117,170500,24291.77,24317.8,24291.77,24296.76,0,0
