<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^FTM,5,20221117,090000,19106.33,19115.49,19074.97,19114.82,0,0
^FTM,5,20221117,090500,19111.1,19146.32,19110.01,19142.77,0,0
^FTM,5,20221117,091000,19145.42,19147.93,19131.93,19131.93,0,0
^FTM,5,20221117,091500,19130.88,19134.54,19122.85,19133.81,0,0
^FTM,5,20221117,092000,19134.58,19135.08,19115.71,19115.98,0,0
^FTM,5,20221117,092500,19114.68,19114.68,19076.41,19076.41,0,0
^FTM,5,20221117,093000,19076.2,19077.85,19065.96,19065.96,0,0
^FTM,5,20221117,093500,19063.89,19105.95,19063.89,19105.25,0,0
^FTM,5,20221117,094000,19105.45,19105.45,19070.34,19070.35,0,0
^FTM,5,20221117,094500,19070.41,19072.41,19060.97,19060.97,0,0
^FTM,5,20221117,095000,19059.66,19059.66,19045.5,19045.5,0,0
^FTM,5,20221117,095500,19045.15,19051.61,19042.53,19047.43,0,0
^FTM,5,20221117,100000,19046.8,19050.85,19046.8,19049.79,0,0
^FTM,5,20221117,100500,19049.79,19061.42,19049.79,19060.61,0,0
^FTM,5,20221117,101000,19060.55,19060.55,19046.3,19046.3,0,0
^FTM,5,20221117,101500,19045.78,19045.78,19038.05,19043.62,0,0
^FTM,5,20221117,102000,19044.26,19054.35,19044.26,19050.59,0,0
^FTM,5,20221117,102500,19050.5,19056.18,19050.5,19055.7,0,0
^FTM,5,20221117,103000,19056.08,19056.38,19044.97,19044.97,0,0
^FTM,5,20221117,103500,19044.97,19047.53,19042.27,19045.17,0,0
^FTM,5,20221117,104000,19044.88,19053.29,19044.24,19051.91,0,0
^FTM,5,20221117,104500,19052.23,19058.01,19052.22,19058.01,0,0
^FTM,5,20221117,105000,19057.18,19057.18,19045.01,19051.73,0,0
^FTM,5,20221117,105500,19051.78,19052.96,19050.22,19050.64,0,0
^FTM,5,20221117,110000,19050.81,19056.63,19049.7,19053.26,0,0
^FTM,5,20221117,110500,19053.2,19055.27,19048.75,19048.75,0,0
^FTM,5,20221117,111000,19048.6,19048.62,19044.89,19048.62,0,0
^FTM,5,20221117,111500,19049.04,19055.89,19049.04,19053.37,0,0
^FTM,5,20221117,112000,19053.73,19054.79,19052.76,19054.12,0,0
^FTM,5,20221117,112500,19053.61,19062.77,19053.31,19062.77,0,0
^FTM,5,20221117,113000,19062.77,19063.3,19060.71,19060.71,0,0
^FTM,5,20221117,113500,19060.76,19060.76,19055.69,19055.69,0,0
^FTM,5,20221117,114000,19056.06,19059.24,19055.33,19057.38,0,0
^FTM,5,20221117,114500,19057.5,19057.71,19040.66,19040.66,0,0
^FTM,5,20221117,115000,19040.47,19040.49,19011.63,19011.63,0,0
^FTM,5,20221117,115500,19011.63,19012.09,19009.92,19009.92,0,0
^FTM,5,20221117,120000,19009.98,19028.57,19009.56,19028.57,0,0
^FTM,5,20221117,120500,19028.63,19033.46,19028.4,19030.66,0,0
^FTM,5,20221117,121000,19031.22,19031.36,19026.75,19026.75,0,0
^FTM,5,20221117,121500,19026.35,19029.82,19023.76,19029.2,0,0
^FTM,5,20221117,122000,19029.06,19032,19027.79,19028.61,0,0
^FTM,5,20221117,122500,19028.61,19030.8,19027.92,19030.25,0,0
^FTM,5,20221117,123000,19030.25,19033.17,19028.91,19032.75,0,0
^FTM,5,20221117,123500,19031.79,19031.79,19009.95,19010.14,0,0
^FTM,5,20221117,124000,19010.57,19015.66,19010.55,19015.66,0,0
^FTM,5,20221117,124500,19015.51,19038.6,19015.51,19035.27,0,0
^FTM,5,20221117,125000,19035.26,19067.08,19035.26,19061.41,0,0
^FTM,5,20221117,125500,19061.61,19062.25,19056.93,19059.7,0,0
^FTM,5,20221117,130000,19059.16,19062.87,19057.83,19059.03,0,0
^FTM,5,20221117,130500,19058.29,19058.29,19052.37,19052.7,0,0
^FTM,5,20221117,131000,19054.19,19059.64,19053.85,19059.64,0,0
^FTM,5,20221117,131500,19060.34,19075.6,19060.34,19075.28,0,0
^FTM,5,20221117,132000,19075.6,19077.72,19073.44,19073.99,0,0
^FTM,5,20221117,132500,19073.99,19086.17,19073.83,19085.41,0,0
^FTM,5,20221117,133000,19085.51,19097.72,19085.51,19097.3,0,0
^FTM,5,20221117,133500,19096.86,19099.7,19095.42,19099.08,0,0
^FTM,5,20221117,134000,19100.2,19112.08,19100.2,19106.01,0,0
^FTM,5,20221117,134500,19106.01,19107.76,19089.9,19089.9,0,0
^FTM,5,20221117,135000,19089.2,19089.41,19085.53,19086.26,0,0
^FTM,5,20221117,135500,19086.4,19088.49,19084.95,19084.95,0,0
^FTM,5,20221117,140000,19085.48,19085.53,19070.1,19070.1,0,0
^FTM,5,20221117,140500,19069.59,19069.59,19034.9,19035.02,0,0
^FTM,5,20221117,141000,19035.16,19035.16,19025.62,19029.97,0,0
^FTM,5,20221117,141500,19029.82,19041.22,19029.82,19033.86,0,0
^FTM,5,20221117,142000,19034.03,19034.03,19026.43,19026.43,0,0
^FTM,5,20221117,142500,19026.77,19038.47,19025.83,19037.86,0,0
^FTM,5,20221117,143000,19038.49,19050.79,19038.42,19046.12,0,0
^FTM,5,20221117,143500,19045.73,19045.84,19040.08,19043.31,0,0
^FTM,5,20221117,144000,19043.09,19055.26,19042.38,19054.27,0,0
^FTM,5,20221117,144500,19053.93,19057.5,19040.64,19040.64,0,0
^FTM,5,20221117,145000,19041.27,19041.27,19031.52,19036.41,0,0
^FTM,5,20221117,145500,19036.41,19036.41,19030.4,19032,0,0
^FTM,5,20221117,150000,19031.77,19037.31,19030.97,19037.31,0,0
^FTM,5,20221117,150500,19037.29,19039.31,19035.1,19038.77,0,0
^FTM,5,20221117,151000,19042.54,19049.26,19042.54,19043.45,0,0
^FTM,5,20221117,151500,19042.68,19044.56,19042.06,19042.61,0,0
^FTM,5,20221117,152000,19042.47,19043.44,19040.8,19040.81,0,0
^FTM,5,20221117,152500,19040.65,19040.83,19037.53,19040.56,0,0
^FTM,5,20221117,153000,19040.32,19054.37,19040.32,19052.07,0,0
^FTM,5,20221117,153500,19052.87,19085.79,19052.87,19071.36,0,0
^FTM,5,20221117,154000,19071.35,19081.23,19068.48,19076.88,0,0
^FTM,5,20221117,154500,19076.36,19078.3,19073.95,19078.3,0,0
^FTM,5,20221117,155000,19078.24,19084.41,19078.24,19083.41,0,0
^FTM,5,20221117,155500,19080.33,19080.33,19069.15,19072.17,0,0
^FTM,5,20221117,160000,19072.9,19074.68,19067.39,19073.18,0,0
^FTM,5,20221117,160500,19073.38,19074.58,19069.4,19072.09,0,0
^FTM,5,20221117,161000,19070.92,19070.92,19064.02,19065.72,0,0
^FTM,5,20221117,161500,19066.15,19099.71,19066.15,19099.71,0,0
^FTM,5,20221117,162000,19104.48,19116.18,19104.48,19107.96,0,0
^FTM,5,20221117,162500,19106.82,19106.84,19103.21,19104.82,0,0
^FTM,5,20221117,163000,19105.13,19105.73,19092.31,19092.31,0,0
^FTM,5,20221117,163500,19092.09,19092.09,19080.93,19080.93,0,0
^FTM,5,20221117,164000,19080.06,19080.06,19077.45,19079.17,0,0
^FTM,5,20221117,164500,19079.16,19084.65,19076.68,19076.68,0,0
^FTM,5,20221117,165000,19075.92,19077.79,19073.73,19073.73,0,0
^FTM,5,20221117,165500,19073.53,19075.44,19065.56,19065.99,0,0
^FTM,5,20221117,170000,19064.67,19065.01,19060.35,19060.35,0,0
^FTM,5,20221117,170500,19060.02,19062.62,19059.86,19060.96,0,0
^FTM,5,20221117,171000,19061.29,19064.95,19061.22,19064.95,0,0
^FTM,5,20221117,171500,19065.28,19073.74,19065.28,19073.74,0,0
^FTM,5,20221117,172000,19073.94,19074.22,19071.53,19072.41,0,0
^FTM,5,20221117,172500,19071.59,19122.31,19070.6,19122.31,0,0
^FTM,5,20221118,090000,19137.41,19162.57,19137.41,19146.61,0,0
^FTM,5,20221118,090500,19145.47,19159.49,19143.6,19152.14,0,0
^FTM,5,20221118,091000,19149.82,19149.82,19112.5,19114.84,0,0
^FTM,5,20221118,091500,19114.56,19114.97,19100.66,19102.75,0,0
^FTM,5,20221118,092000,19102.92,19102.92,19084.58,19084.58,0,0
^FTM,5,20221118,092500,19083.92,19091.46,19082.72,19090.56,0,0
^FTM,5,20221118,093000,19090.79,19092.46,19084.55,19087.8,0,0
