<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^HEX,5,20221117,090000,10872.17,10911.66,10872.17,10911.66,0,0
^HEX,5,20221117,090500,10914.09,10917.36,10902.7,10913.57,0,0
^HEX,5,20221117,091000,10910.27,10923.17,10909.62,10916.65,0,0
^HEX,5,20221117,091500,10914.98,10937.94,10914.98,10937.94,0,0
^HEX,5,20221117,092000,10940.42,10940.42,10930.82,10932.1,0,0
^HEX,5,20221117,092500,10919.14,10919.14,10905.06,10907.57,0,0
^HEX,5,20221117,093000,10906.21,10907.97,10901.08,10907.97,0,0
^HEX,5,20221117,093500,10908.21,10919.19,10908.21,10919.19,0,0
^HEX,5,20221117,094000,10920.19,10920.19,10916.14,10916.98,0,0
^HEX,5,20221117,094500,10906.72,10910.98,10906.72,10910.06,0,0
^HEX,5,20221117,095000,10905.88,10905.88,10894.59,10896.33,0,0
^HEX,5,20221117,095500,10898.07,10898.61,10893.41,10896.59,0,0
^HEX,5,20221117,100000,10895.63,10895.63,10887.09,10887.09,0,0
^HEX,5,20221117,100500,10886.36,10886.36,10879.22,10879.22,0,0
^HEX,5,20221117,101000,10879.89,10881.29,10878.5,10878.5,0,0
^HEX,5,20221117,101500,10878.37,10879.05,10874.33,10876.59,0,0
^HEX,5,20221117,102000,10878.78,10886.16,10877.47,10886.16,0,0
^HEX,5,20221117,102500,10886.74,10893.21,10886.74,10891.22,0,0
^HEX,5,20221117,103000,10889.62,10889.62,10868.09,10868.09,0,0
^HEX,5,20221117,103500,10867.91,10867.91,10863.52,10867.43,0,0
^HEX,5,20221117,104000,10868.85,10874.9,10868.49,10869.14,0,0
^HEX,5,20221117,104500,10869.72,10870.05,10869.29,10870.05,0,0
^HEX,5,20221117,105000,10871.7,10871.7,10860.53,10864.41,0,0
^HEX,5,20221117,105500,10865.35,10867.44,10864.78,10865.91,0,0
^HEX,5,20221117,110000,10867.24,10872.17,10866.54,10872.17,0,0
^HEX,5,20221117,110500,10873.19,10874.06,10867.17,10874.06,0,0
^HEX,5,20221117,111000,10869.54,10869.54,10854.16,10854.16,0,0
^HEX,5,20221117,111500,10855.04,10855.33,10852.49,10854.38,0,0
^HEX,5,20221117,112000,10856.77,10861.56,10856.77,10861.54,0,0
^HEX,5,20221117,112500,10860.31,10860.31,10856.72,10860.17,0,0
^HEX,5,20221117,113000,10861.04,10861.04,10856.5,10856.5,0,0
^HEX,5,20221117,113500,10854.9,10854.9,10844.42,10844.42,0,0
^HEX,5,20221117,114000,10842.87,10852.76,10842.87,10852.76,0,0
^HEX,5,20221117,114500,10852.99,10852.99,10847.31,10847.31,0,0
^HEX,5,20221117,115000,10843.48,10843.48,10828.78,10828.78,0,0
^HEX,5,20221117,115500,10830.88,10835.52,10829.08,10835.52,0,0
^HEX,5,20221117,120000,10837.22,10853.14,10837.22,10853.14,0,0
^HEX,5,20221117,120500,10853.1,10853.1,10845.59,10845.59,0,0
^HEX,5,20221117,121000,10843.73,10843.73,10841.75,10843.59,0,0
^HEX,5,20221117,121500,10844.12,10844.12,10835.54,10837.35,0,0
^HEX,5,20221117,122000,10839.41,10839.41,10836.06,10837.39,0,0
^HEX,5,20221117,122500,10836.78,10836.78,10820.62,10820.62,0,0
^HEX,5,20221117,123000,10818.83,10824.06,10818.83,10822.22,0,0
^HEX,5,20221117,123500,10821.23,10824.51,10819.93,10819.93,0,0
^HEX,5,20221117,124000,10804.49,10804.49,10802.05,10803.42,0,0
^HEX,5,20221117,124500,10801.72,10811.7,10801.72,10811.7,0,0
^HEX,5,20221117,125000,10816.08,10820.24,10813.27,10820.24,0,0
^HEX,5,20221117,125500,10818.29,10818.29,10811.16,10811.73,0,0
^HEX,5,20221117,130000,10812.89,10812.89,10808.62,10809.42,0,0
^HEX,5,20221117,130500,10809.59,10809.59,10798.58,10798.58,0,0
^HEX,5,20221117,131000,10798.87,10802.24,10798.87,10801.43,0,0
^HEX,5,20221117,131500,10800.15,10802.07,10799.4,10799.4,0,0
^HEX,5,20221117,132000,10799.7,10799.86,10797.28,10797.84,0,0
^HEX,5,20221117,132500,10796.27,10811.16,10796.27,10804.76,0,0
^HEX,5,20221117,133000,10802.51,10804.81,10802.51,10804.81,0,0
^HEX,5,20221117,133500,10801.9,10801.9,10796.76,10799.9,0,0
^HEX,5,20221117,134000,10796.9,10798.31,10795.34,10798.31,0,0
^HEX,5,20221117,134500,10796.31,10796.31,10782.7,10782.7,0,0
^HEX,5,20221117,135000,10780.3,10780.3,10773.62,10774.79,0,0
^HEX,5,20221117,135500,10776.03,10777.72,10770.98,10770.98,0,0
^HEX,5,20221117,140000,10772.69,10772.69,10758.53,10758.53,0,0
^HEX,5,20221117,140500,10758.73,10758.73,10748.53,10748.53,0,0
^HEX,5,20221117,141000,10749.31,10750.66,10749.1,10750.25,0,0
^HEX,5,20221117,141500,10751.42,10761.04,10751.42,10761.04,0,0
^HEX,5,20221117,142000,10765.46,10768.6,10764.86,10768.51,0,0
^HEX,5,20221117,142500,10765.62,10767.34,10764.84,10766.4,0,0
^HEX,5,20221117,143000,10767,10767,10758.19,10758.19,0,0
^HEX,5,20221117,143500,10751.24,10755.31,10750.95,10750.95,0,0
^HEX,5,20221117,144000,10752.9,10752.9,10738.59,10738.59,0,0
^HEX,5,20221117,144500,10739.99,10748.01,10739.99,10743.24,0,0
^HEX,5,20221117,145000,10738,10738,10734.69,10736.39,0,0
^HEX,5,20221117,145500,10740.13,10743.17,10736.92,10736.92,0,0
^HEX,5,20221117,150000,10734.78,10737.83,10732.18,10737.83,0,0
^HEX,5,20221117,150500,10738.6,10739.85,10734.82,10734.82,0,0
^HEX,5,20221117,151000,10740.82,10745.13,10737.85,10737.85,0,0
