<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^HSI,5,20221117,023000,18071.6,18125.36,18020.81,18035,0,0
^HSI,5,20221117,023500,18045.54,18046.71,17956.83,18017.99,0,0
^HSI,5,20221117,024000,18013.27,18059.04,17983.79,17998.54,0,0
^HSI,5,20221117,024500,17998.55,18017.16,17939.81,17939.81,0,0
^HSI,5,20221117,025000,17941.14,17968.48,17908.22,17908.22,0,0
^HSI,5,20221117,025500,17904.44,17918.8,17892.03,17903.16,0,0
^HSI,5,20221117,030000,17903.06,17955.13,17882.64,17882.64,0,0
^HSI,5,20221117,030500,17882.69,17885.83,17813.88,17813.88,0,0
^HSI,5,20221117,031000,17812.7,17841.27,17789.03,17799.75,0,0
^HSI,5,20221117,031500,17798.45,17832.78,17794.78,17802.68,0,0
^HSI,5,20221117,032000,17801.96,17801.96,17745.94,17750.08,0,0
^HSI,5,20221117,032500,17748.81,17748.81,17714.8,17747.38,0,0
^HSI,5,20221117,033000,17747.14,17777.01,17744.98,17751.5,0,0
^HSI,5,20221117,033500,17751.77,17758.73,17725.41,17758.65,0,0
^HSI,5,20221117,034000,17764.43,17792.39,17764.43,17775.49,0,0
^HSI,5,20221117,034500,17773.37,17813.88,17768.84,17796.95,0,0
^HSI,5,20221117,035000,17792.6,17809.6,17776.02,17791.5,0,0
^HSI,5,20221117,035500,17788.73,17846.44,17788.17,17831.39,0,0
^HSI,5,20221117,040000,17831.34,17831.34,17790.99,17791.06,0,0
^HSI,5,20221117,040500,17790.87,17790.87,17768.35,17768.35,0,0
^HSI,5,20221117,041000,17767.9,17769.08,17741.97,17743.86,0,0
^HSI,5,20221117,041500,17743.28,17748.65,17713.29,17731.76,0,0
^HSI,5,20221117,042000,17731.25,17757.47,17727.93,17757.47,0,0
^HSI,5,20221117,042500,17758.93,17758.93,17727.65,17754.6,0,0
^HSI,5,20221117,043000,17752.16,17752.33,17726.71,17738.77,0,0
^HSI,5,20221117,043500,17739.31,17739.31,17718.88,17718.88,0,0
^HSI,5,20221117,044000,17720.64,17755.74,17720.64,17751.58,0,0
^HSI,5,20221117,044500,17749.61,17758.25,17748,17755.51,0,0
^HSI,5,20221117,045000,17755.61,17778.32,17753.42,17776.36,0,0
^HSI,5,20221117,045500,17777.32,17797.97,17777.32,17793.79,0,0
^HSI,5,20221117,050000,17794.5,17794.52,17794.5,17794.52,0,0
^HSI,5,20221117,060000,17788.51,17804.94,17761.79,17792.11,0,0
^HSI,5,20221117,060500,17795.9,17822.34,17785.46,17799.29,0,0
^HSI,5,20221117,061000,17802.47,17813.58,17792.93,17805.02,0,0
^HSI,5,20221117,061500,17799.32,17886.79,17799.32,17881.04,0,0
^HSI,5,20221117,062000,17876.83,17986.6,17867.73,17892.03,0,0
^HSI,5,20221117,062500,17885.16,17923.6,17860.61,17865.81,0,0
^HSI,5,20221117,063000,17864.06,17875.36,17842.34,17852.65,0,0
^HSI,5,20221117,063500,17854.22,17907.96,17851.5,17906.03,0,0
^HSI,5,20221117,064000,17903.23,17947.46,17878.02,17878.02,0,0
^HSI,5,20221117,064500,17876.65,17876.65,17850.31,17854.49,0,0
^HSI,5,20221117,065000,17832.11,17833.73,17808.69,17811.52,0,0
^HSI,5,20221117,065500,17815.67,17840.58,17815.67,17840.39,0,0
^HSI,5,20221117,070000,17841.93,17874.08,17831.66,17870.46,0,0
^HSI,5,20221117,070500,17868.02,17888.45,17859.49,17876.58,0,0
^HSI,5,20221117,071000,17875.56,17922.39,17864.81,17902.73,0,0
^HSI,5,20221117,071500,17904.86,17904.86,17882.16,17890.88,0,0
^HSI,5,20221117,072000,17891.88,17891.88,17872.55,17887.98,0,0
^HSI,5,20221117,072500,17888.56,17924.42,17881.11,17919.98,0,0
^HSI,5,20221117,073000,17918.21,17924.8,17908.04,17915.63,0,0
^HSI,5,20221117,073500,17916.5,17944.86,17914.3,17935.3,0,0
^HSI,5,20221117,074000,17936.35,17982.36,17936.35,17975.98,0,0
^HSI,5,20221117,074500,17974.64,18059.82,17974.64,18029.26,0,0
^HSI,5,20221117,075000,18023.54,18033.36,17993.88,18026.2,0,0
^HSI,5,20221117,075500,18026.13,18046.34,18000.91,18046.34,0,0
^HSI,5,20221117,080000,18054.03,18085.16,18038.25,18071.27,0,0
^HSI,5,20221117,080500,18071.98,18090.67,18052.65,18089.59,0,0
^HSI,5,20221117,081000,18090.55,18117.66,18075.93,18075.93,0,0
^HSI,5,20221117,081500,18073.47,18073.64,18043.39,18065.54,0,0
^HSI,5,20221117,082000,18070.93,18082.48,18062.39,18067.02,0,0
^HSI,5,20221117,082500,18061.22,18103.97,18060.94,18103.45,0,0
^HSI,5,20221117,083000,18103.87,18155.26,18067.89,18153,0,0
^HSI,5,20221117,083500,18148.13,18217.06,18148.13,18194.26,0,0
^HSI,5,20221117,084000,18191.71,18191.71,18134.61,18149.84,0,0
^HSI,5,20221117,084500,18149.64,18150.18,18107.49,18107.49,0,0
^HSI,5,20221117,085000,18102.73,18103.67,18074.9,18074.9,0,0
^HSI,5,20221117,085500,18073.16,18075.29,18045.66,18045.66,0,0
^HSI,5,20221118,023000,18316.36,18329.89,18201.63,18243.54,0,0
^HSI,5,20221118,023500,18245.44,18281.04,18177.89,18177.89,0,0
^HSI,5,20221118,024000,18177.89,18213.29,18167.46,18204.65,0,0
^HSI,5,20221118,024500,18201.02,18241.67,18181.93,18225.79,0,0
^HSI,5,20221118,025000,18223.4,18242.13,18185.39,18241.35,0,0
^HSI,5,20221118,025500,18241.6,18274.75,18218.91,18258.52,0,0
^HSI,5,20221118,030000,18262.05,18320.36,18262.05,18295.09,0,0
^HSI,5,20221118,030500,18295.23,18374.29,18295.23,18365.98,0,0
^HSI,5,20221118,031000,18369.34,18376.65,18316.76,18320.31,0,0
^HSI,5,20221118,031500,18318.58,18356.55,18303.52,18333.58,0,0
^HSI,5,20221118,032000,18334.58,18339.09,18319.85,18319.85,0,0
^HSI,5,20221118,032500,18319.61,18319.61,18269.56,18280.25,0,0
^HSI,5,20221118,033000,18280.11,18322.63,18280.11,18318.88,0,0
^HSI,5,20221118,033500,18323.81,18338.7,18305.23,18314.7,0,0
^HSI,5,20221118,034000,18314.75,18330.36,18233.08,18233.5,0,0
^HSI,5,20221118,034500,18237.3,18266.85,18198.42,18198.42,0,0
^HSI,5,20221118,035000,18194.88,18199.79,18140.59,18141.36,0,0
^HSI,5,20221118,035500,18140.03,18142.07,18116.12,18130.96,0,0
^HSI,5,20221118,040000,18136.92,18168.51,18132.87,18158.03,0,0
^HSI,5,20221118,040500,18158.38,18204.78,18142.78,18204.26,0,0
^HSI,5,20221118,041000,18206.71,18212.13,18169.58,18177.27,0,0
^HSI,5,20221118,041500,18176.16,18177.46,18131.87,18146.5,0,0
^HSI,5,20221118,042000,18146.46,18222.89,18146.46,18200.62,0,0
^HSI,5,20221118,042500,18195.83,18196.21,18177.38,18187.51,0,0
^HSI,5,20221118,043000,18187.49,18204.91,18186.34,18204.91,0,0
^HSI,5,20221118,043500,18205.49,18205.49,18182.04,18182.27,0,0
^HSI,5,20221118,044000,18182.54,18182.54,18147.83,18168.06,0,0
^HSI,5,20221118,044500,18166.04,18171.14,18157.42,18166.93,0,0
^HSI,5,20221118,045000,18166.84,18174.45,18158.29,18167.43,0,0
^HSI,5,20221118,045500,18164.17,18164.17,18145.43,18146.29,0,0
^HSI,5,20221118,050000,18147.05,18147.05,18146.46,18146.46,0,0
^HSI,5,20221118,060000,18146.65,18168.81,18125.63,18125.63,0,0
^HSI,5,20221118,060500,18126.5,18126.74,18062.89,18077.03,0,0
^HSI,5,20221118,061000,18070.78,18119.27,18069.2,18119.27,0,0
^HSI,5,20221118,061500,18127.86,18212.62,18127.86,18185.18,0,0
^HSI,5,20221118,062000,18187.77,18189.21,18124.79,18124.79,0,0
^HSI,5,20221118,062500,18123.63,18129.84,18112.85,18118.38,0,0
^HSI,5,20221118,063000,18118.38,18126.3,18087.74,18093.34,0,0
^HSI,5,20221118,063500,18095.22,18107.78,18091.17,18100.99,0,0
^HSI,5,20221118,064000,18100.94,18100.94,18065.48,18065.48,0,0
^HSI,5,20221118,064500,18065.16,18074.75,18043.1,18069.67,0,0
^HSI,5,20221118,065000,18070.34,18074.47,18047.7,18071.61,0,0
^HSI,5,20221118,065500,18074.02,18101.74,18071.79,18093.79,0,0
^HSI,5,20221118,070000,18090.66,18111.22,18065.03,18065.33,0,0
^HSI,5,20221118,070500,18065.25,18067.02,17963.9,17968.06,0,0
^HSI,5,20221118,071000,17969.33,17981.39,17961.03,17976.98,0,0
^HSI,5,20221118,071500,17983.14,17994.82,17958.02,17958.02,0,0
^HSI,5,20221118,072000,17952.36,17999.58,17943.45,17986.93,0,0
^HSI,5,20221118,072500,17986.69,17988.71,17937.81,17939.63,0,0
^HSI,5,20221118,073000,17937.09,17937.09,17912.8,17920.15,0,0
^HSI,5,20221118,073500,17924.78,17958.26,17924.78,17940.42,0,0
^HSI,5,20221118,074000,17943.05,17974.83,17939.55,17951.33,0,0
^HSI,5,20221118,074500,17955.39,17956.59,17927.55,17939.59,0,0
^HSI,5,20221118,075000,17936.29,17969.38,17931.73,17961.12,0,0
^HSI,5,20221118,075500,17961.96,17998.74,17961.96,17998.15,0,0
^HSI,5,20221118,080000,17994.35,17998.12,17974.85,17978.19,0,0
^HSI,5,20221118,080500,17976.65,17977.77,17959.52,17962.84,0,0
^HSI,5,20221118,081000,17961.93,17962.04,17936.74,17945.88,0,0
^HSI,5,20221118,081500,17942.31,17942.31,17910.66,17935.07,0,0
^HSI,5,20221118,082000,17935.88,17977.11,17935.88,17971.74,0,0
^HSI,5,20221118,082500,17970.1,17987.06,17959.88,17982.81,0,0
^HSI,5,20221118,083000,17984.87,17997.53,17973.17,17985.94,0,0
^HSI,5,20221118,083500,17987.55,17992.89,17971.18,17979.99,0,0
^HSI,5,20221118,084000,17980.17,17988.93,17965.77,17986.27,0,0
^HSI,5,20221118,084500,17986.09,18021.65,17981.73,17995.74,0,0
^HSI,5,20221118,085000,17993.84,17993.84,17958.36,17958.36,0,0
^HSI,5,20221118,085500,17956.01,17996.6,17953.7,17992.54,0,0
^HSI,5,20221121,023000,17654.15,17654.15,17391.49,17442.88,0,0
^HSI,5,20221121,023500,17473.28,17541.7,17426.11,17537.34,0,0
^HSI,5,20221121,024000,17533.05,17566.75,17509.64,17560.01,0,0
