<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^IBEX,5,20221117,090000,8112.5,8121.2,8110,8110,218031450,0
^IBEX,5,20221117,090500,8110.7,8113.5,8100.9,8101.1,0,0
^IBEX,5,20221117,091000,8100,8100.6,8088.1,8090,0,0
^IBEX,5,20221117,091500,8089.5,8103.2,8088.2,8102.4,0,0
^IBEX,5,20221117,092000,8102.9,8104.6,8096.3,8098.5,0,0
^IBEX,5,20221117,092500,8098.2,8100,8093.6,8100,0,0
^IBEX,5,20221117,093000,8100,8101.6,8093.8,8095.3,0,0
^IBEX,5,20221117,093500,8093.6,8100.3,8093.6,8099.9,0,0
^IBEX,5,20221117,094000,8100.4,8100.4,8091.4,8091.4,0,0
^IBEX,5,20221117,094500,8091.7,8094.5,8090.5,8092.7,0,0
^IBEX,5,20221117,095000,8092.7,8098.2,8092,8094.1,0,0
^IBEX,5,20221117,095500,8093.5,8099.9,8092,8095.1,0,0
^IBEX,5,20221117,100000,8093.1,8097.8,8090.2,8090.2,0,0
^IBEX,5,20221117,100500,8089.8,8090.3,8083.3,8084.6,15689603,0
^IBEX,5,20221117,101000,8084.5,8084.6,8078.9,8078.9,993231,0
^IBEX,5,20221117,101500,8079.4,8081.5,8077.5,8081.5,667615,0
^IBEX,5,20221117,102000,8081,8084.2,8075.9,8078.4,1121751,0
^IBEX,5,20221117,102500,8078.5,8083.6,8077.4,8082.2,688669,0
^IBEX,5,20221117,103000,8080.4,8080.5,8072.7,8073.5,1655223,0
^IBEX,5,20221117,103500,8073.7,8073.7,8062.6,8065.1,1109823,0
^IBEX,5,20221117,104000,8062.3,8062.9,8057.7,8059.9,1054563,0
^IBEX,5,20221117,104500,8059.6,8068.5,8059.4,8068,669542,0
^IBEX,5,20221117,105000,8067.4,8067.4,8058.7,8060.8,861899,0
^IBEX,5,20221117,105500,8061.3,8061.3,8052.9,8052.9,476642,0
^IBEX,5,20221117,110000,8052.9,8058,8050.2,8050.2,533457,0
^IBEX,5,20221117,110500,8050.2,8058.8,8050.2,8058.7,652791,0
^IBEX,5,20221117,111000,8058.4,8058.6,8053.3,8056,552206,0
^IBEX,5,20221117,111500,8056,8059.2,8055.7,8058.7,594624,0
^IBEX,5,20221117,112000,8057.7,8059.3,8057.2,8058.9,309059,0
^IBEX,5,20221117,112500,8058.7,8061.6,8058.6,8060.4,0,0
^IBEX,5,20221117,113000,8060.2,8060.2,8054,8055,0,0
^IBEX,5,20221117,113500,8055.2,8055.2,8046.9,8049.8,0,0
^IBEX,5,20221117,114000,8049.7,8053.6,8048,8052,0,0
