<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^ICEX,5,20221117,103000,2288.13,2288.13,2287.13,2287.13,0,0
^ICEX,5,20221117,103500,2287.27,2288.15,2287.27,2288.15,0,0
^ICEX,5,20221117,105000,2286.51,2286.51,2283.23,2283.23,0,0
^ICEX,5,20221117,105500,2281.22,2281.22,2280.64,2280.64,0,0
^ICEX,5,20221117,110000,2280.2,2282.69,2280.2,2281.57,0,0
^ICEX,5,20221117,110500,2280.03,2281.22,2280.03,2281.22,0,0
^ICEX,5,20221117,111000,2282.85,2283.92,2282.28,2282.28,0,0
^ICEX,5,20221117,111500,2280.37,2280.37,2280.37,2280.37,0,0
^ICEX,5,20221117,112000,2284,2284,2281.6,2281.6,0,0
^ICEX,5,20221117,112500,2282.12,2282.12,2282.12,2282.12,0,0
^ICEX,5,20221117,113000,2280.48,2280.48,2278.68,2280.17,0,0
^ICEX,5,20221117,113500,2279.64,2279.64,2279.64,2279.64,0,0
^ICEX,5,20221117,114000,2279.56,2279.56,2277.92,2278.18,0,0
^ICEX,5,20221117,114500,2276.24,2281.35,2276.24,2281.35,0,0
^ICEX,5,20221117,115000,2277.51,2277.51,2273.99,2274.66,0,0
^ICEX,5,20221117,115500,2274.75,2274.75,2274.75,2274.75,0,0
^ICEX,5,20221117,120000,2274.31,2274.31,2272.18,2272.18,0,0
^ICEX,5,20221117,120500,2274.31,2280.32,2274.31,2280.32,0,0
^ICEX,5,20221117,121500,2280.24,2280.24,2278.11,2278.11,0,0
^ICEX,5,20221117,122000,2277.65,2281.44,2277.65,2278.6,0,0
^ICEX,5,20221117,122500,2278.3,2279.34,2278.3,2279.34,0,0
^ICEX,5,20221117,123000,2278.84,2278.84,2277.8,2278.3,0,0
^ICEX,5,20221117,123500,2280.8,2280.8,2278.16,2278.16,0,0
^ICEX,5,20221117,124000,2277.46,2277.46,2277.46,2277.46,0,0
^ICEX,5,20221117,124500,2277.99,2277.99,2277.99,2277.99,0,0
^ICEX,5,20221117,125000,2276.35,2276.35,2276.35,2276.35,0,0
^ICEX,5,20221117,130000,2276.87,2276.87,2276.87,2276.87,0,0
^ICEX,5,20221117,131000,2276.78,2276.78,2276.69,2276.69,0,0
^ICEX,5,20221117,131500,2279.1,2279.1,2276.55,2276.55,0,0
^ICEX,5,20221117,133000,2272.26,2272.26,2272.26,2272.26,0,0
^ICEX,5,20221117,134000,2273.9,2273.9,2273.9,2273.9,0,0
^ICEX,5,20221117,134500,2273.57,2273.57,2273.57,2273.57,0,0
^ICEX,5,20221117,135000,2265.65,2265.65,2261.53,2261.53,0,0
^ICEX,5,20221117,135500,2261.1,2261.88,2261.1,2261.41,0,0
^ICEX,5,20221117,140000,2261.99,2262.13,2261.99,2262.13,0,0
^ICEX,5,20221117,140500,2264.67,2264.67,2264.67,2264.67,0,0
^ICEX,5,20221117,141000,2264.96,2264.96,2264.96,2264.96,0,0
^ICEX,5,20221117,141500,2265.48,2266.28,2265.48,2266.28,0,0
^ICEX,5,20221117,142000,2266.57,2266.57,2266.57,2266.57,0,0
^ICEX,5,20221117,143000,2268.17,2268.17,2267.32,2267.32,0,0
^ICEX,5,20221117,143500,2263.31,2263.31,2256.28,2256.28,0,0
^ICEX,5,20221117,144000,2252.39,2255.67,2252.39,2255.67,0,0
^ICEX,5,20221117,144500,2254.73,2254.73,2251.46,2251.46,0,0
^ICEX,5,20221117,145500,2252.07,2252.07,2252.07,2252.07,0,0
^ICEX,5,20221117,150000,2253.15,2253.15,2253.15,2253.15,0,0
^ICEX,5,20221117,150500,2253.38,2253.38,2252.96,2252.96,0,0
^ICEX,5,20221117,151000,2252.3,2253.21,2252.3,2252.91,0,0
