<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^IPC,5,20221117,153000,51544.94,51544.94,51275.45,51292.16,0,0
^IPC,5,20221117,153500,51306.82,51413.97,51306.82,51413.97,0,0
^IPC,5,20221117,154000,51467.73,51485.3,51410.75,51410.75,0,0
^IPC,5,20221117,154500,51407.95,51508.13,51407.95,51508.13,0,0
^IPC,5,20221117,155000,51544.04,51551.41,51513.74,51513.74,0,0
^IPC,5,20221117,155500,51496.24,51496.24,51384.27,51397.56,0,0
^IPC,5,20221117,160000,51403.66,51420.42,51403.66,51420.42,0,0
^IPC,5,20221117,160500,51417.13,51441.15,51417.13,51441.15,0,0
^IPC,5,20221117,161000,51454.35,51454.35,51365.91,51398.81,0,0
^IPC,5,20221117,161500,51428.34,51440.4,51393.65,51402.62,0,0
^IPC,5,20221117,162000,51402.73,51408.99,51359.29,51408.99,0,0
^IPC,5,20221117,162500,51425.84,51444.11,51393.05,51393.05,0,0
^IPC,5,20221117,163000,51392.71,51392.71,51273.32,51273.32,0,0
^IPC,5,20221117,163500,51278.41,51278.41,51201.93,51201.93,0,0
^IPC,5,20221117,164000,51177.69,51184.35,51148.22,51148.22,0,0
^IPC,5,20221117,164500,51140.7,51140.7,51078.94,51095.97,0,0
^IPC,5,20221117,165000,51101.72,51170.49,51101.72,51170.49,0,0
^IPC,5,20221117,165500,51195.77,51197.66,51191.04,51193.3,0,0
^IPC,5,20221117,170000,51196.21,51200.92,51184.31,51187.02,0,0
^IPC,5,20221117,170500,51183.99,51203.86,51182.38,51187.58,0,0
^IPC,5,20221117,171000,51171.57,51192.59,51163.22,51192.59,0,0
^IPC,5,20221117,171500,51191.08,51245.83,51191.08,51245.83,0,0
^IPC,5,20221117,172000,51235.35,51245.48,51229.61,51245.48,0,0
^IPC,5,20221117,172500,51230.59,51254.79,51224.41,51254.79,0,0
^IPC,5,20221117,173000,51256.85,51292.04,51247.89,51292.04,0,0
^IPC,5,20221117,173500,51296.71,51307.81,51283.44,51283.44,0,0
^IPC,5,20221117,174000,51294.16,51304.65,51283.26,51298.31,0,0
^IPC,5,20221117,174500,51287.56,51315.37,51287.56,51310.58,0,0
^IPC,5,20221117,175000,51309.28,51309.28,51230.73,51230.73,0,0
^IPC,5,20221117,175500,51271.88,51318.56,51271.88,51314.55,0,0
^IPC,5,20221117,180000,51350.6,51364.21,51346.07,51346.07,0,0
^IPC,5,20221117,180500,51367.37,51410.89,51367.37,51398.94,0,0
^IPC,5,20221117,181000,51406.17,51455.64,51406.17,51451.69,0,0
^IPC,5,20221117,181500,51416.09,51421.33,51403.09,51421.33,0,0
^IPC,5,20221117,182000,51424.49,51449.73,51397.87,51449.73,0,0
^IPC,5,20221117,182500,51444.95,51444.95,51413.89,51418.9,0,0
^IPC,5,20221117,183000,51433.69,51433.69,51419.38,51419.38,0,0
^IPC,5,20221117,183500,51412.73,51412.73,51378.67,51378.67,0,0
^IPC,5,20221117,184000,51371.82,51371.82,51286.89,51286.89,0,0
^IPC,5,20221117,184500,51284.83,51284.83,51270.61,51275.41,0,0
^IPC,5,20221117,185000,51306.28,51319.45,51295.48,51319.45,0,0
^IPC,5,20221117,185500,51328.62,51348.72,51328.62,51348.72,0,0
^IPC,5,20221117,190000,51327.14,51366.57,51327.14,51357.12,0,0
^IPC,5,20221117,190500,51343.21,51352.02,51343.21,51352.02,0,0
^IPC,5,20221117,191000,51337.61,51364.94,51337.61,51364.94,0,0
^IPC,5,20221117,191500,51358.56,51358.56,51332.62,51333.63,0,0
^IPC,5,20221117,192000,51340.37,51354.69,51333.99,51333.99,0,0
^IPC,5,20221117,192500,51314.26,51330.26,51300.3,51330.26,0,0
^IPC,5,20221117,193000,51326.9,51326.9,51285.74,51288.88,0,0
^IPC,5,20221117,193500,51292.16,51300.56,51288.65,51288.65,0,0
^IPC,5,20221117,194000,51297.18,51306.71,51284.16,51284.16,0,0
^IPC,5,20221117,194500,51282.62,51282.62,51251.55,51251.55,0,0
^IPC,5,20221117,195000,51225.97,51288.04,51220.27,51288.04,0,0
^IPC,5,20221117,195500,51295.35,51295.35,51282.57,51291.27,0,0
^IPC,5,20221117,200000,51275.41,51293.76,51275.41,51282,0,0
^IPC,5,20221117,200500,51271.86,51309.43,51271.86,51309.43,0,0
^IPC,5,20221117,201000,51265.31,51278.23,51265.31,51272.34,0,0
^IPC,5,20221117,201500,51268.77,51286.21,51256.8,51286.21,0,0
^IPC,5,20221117,202000,51296.68,51296.68,51278.08,51284.76,0,0
^IPC,5,20221117,202500,51294.84,51303.89,51280.4,51303.89,0,0
^IPC,5,20221117,203000,51302.44,51325.69,51302.44,51325.69,0,0
^IPC,5,20221117,203500,51330.09,51340.29,51325.73,51325.73,0,0
^IPC,5,20221117,204000,51323.59,51375.91,51323.59,51375.91,0,0
^IPC,5,20221117,204500,51353.77,51353.77,51330.39,51349.35,0,0
^IPC,5,20221117,205000,51348.09,51348.09,51315.04,51318.22,0,0
^IPC,5,20221117,205500,51315.82,51328.88,51315.82,51319.58,0,0
^IPC,5,20221117,210000,51319.17,51355.5,51319.17,51342.33,0,0
^IPC,5,20221117,210500,51339.09,51341.53,51334.98,51341.53,0,0
^IPC,5,20221117,211000,51321.37,51321.37,51295.37,51301.06,0,0
^IPC,5,20221117,211500,51258.5,51258.5,51228.12,51231.63,0,0
^IPC,5,20221117,212000,51221.62,51276.44,51217.11,51276.44,0,0
^IPC,5,20221117,212500,51297.57,51297.57,51290.63,51292.46,0,0
^IPC,5,20221117,213000,51292.49,51316.7,51289.27,51309.63,0,0
^IPC,5,20221117,213500,51319.18,51325.15,51315,51325.15,0,0
^IPC,5,20221117,214000,51324.84,51365.28,51324.84,51343.4,0,0
^IPC,5,20221117,214500,51359.47,51404.77,51349.86,51376.76,0,0
^IPC,5,20221117,215000,51354.35,51357.96,51346.06,51351.35,0,0
^IPC,5,20221117,215500,51337.98,51392.02,51337.98,51382.2,0,0
^IPC,5,20221117,220000,51389.88,51389.88,51389.88,51389.88,0,0
^IPC,5,20221117,220500,51389.88,51389.88,51389.88,51389.88,0,0
^IPC,5,20221117,221000,51389.88,51389.88,51360.87,51360.87,0,0
^IPC,5,20221117,221500,51360.87,51360.87,51360.87,51360.87,0,0
^IPC,5,20221118,153000,51360.87,51613.4,51360.87,51613.4,0,0
^IPC,5,20221118,153500,51649.9,51721.42,51649.9,51690.87,0,0
^IPC,5,20221118,154000,51703.43,51725.64,51654.05,51683.81,0,0
^IPC,5,20221118,154500,51716.26,51824.1,51716.26,51824.1,0,0
^IPC,5,20221118,155000,51773.86,51828.51,51773.86,51828.51,0,0
^IPC,5,20221118,155500,51843.44,51906.02,51786.58,51906.02,0,0
^IPC,5,20221118,160000,51919.55,51921.05,51870.92,51870.92,0,0
^IPC,5,20221118,160500,51853.38,51893.82,51853.38,51866.08,0,0
^IPC,5,20221118,161000,51904.46,51935.65,51879.57,51886.24,0,0
^IPC,5,20221118,161500,51871.22,51884.22,51856.47,51878.4,0,0
^IPC,5,20221118,162000,51891.61,51984.82,51891.61,51984.82,0,0
^IPC,5,20221118,162500,51964.86,52021.35,51964.86,52021.35,0,0
^IPC,5,20221118,163000,52032.36,52032.36,51995.13,51995.13,0,0
^IPC,5,20221118,163500,51986.9,51986.9,51928.15,51929.87,0,0
^IPC,5,20221118,164000,51900.49,51948.49,51900.49,51948.49,0,0
^IPC,5,20221118,164500,51957.53,51970.8,51950.52,51954.68,0,0
^IPC,5,20221118,165000,51934.37,51934.37,51899,51899,0,0
^IPC,5,20221118,165500,51889.47,51889.47,51855.43,51855.43,0,0
^IPC,5,20221118,170000,51863.78,51883.64,51862.44,51881.74,0,0
^IPC,5,20221118,170500,51879.73,51899.23,51879.73,51899.23,0,0
^IPC,5,20221118,171000,51860.86,51864.68,51828.09,51864.39,0,0
^IPC,5,20221118,171500,51882.98,51927.51,51882.98,51927.51,0,0
^IPC,5,20221118,172000,51919.43,51937.58,51910.23,51910.23,0,0
^IPC,5,20221118,172500,51904.06,51917.06,51904.06,51907.35,0,0
^IPC,5,20221118,173000,51905.12,51905.12,51834.85,51834.85,0,0
^IPC,5,20221118,173500,51827.99,51827.99,51769.1,51823.18,0,0
^IPC,5,20221118,174000,51789.05,51809.86,51783.77,51783.77,0,0
^IPC,5,20221118,174500,51795.81,51837.14,51793.06,51837.14,0,0
^IPC,5,20221118,175000,51843.07,51850.46,51804.6,51807.64,0,0
^IPC,5,20221118,175500,51826.64,51832.07,51771.44,51771.44,0,0
^IPC,5,20221118,180000,51744.03,51756.87,51736.92,51736.92,0,0
^IPC,5,20221118,180500,51692.12,51704.79,51666.4,51704.79,0,0
^IPC,5,20221118,181000,51705.86,51705.86,51658.51,51678.01,0,0
^IPC,5,20221118,181500,51658.57,51658.57,51539.59,51585.33,0,0
^IPC,5,20221118,182000,51597.34,51605.47,51597.34,51605.31,0,0
^IPC,5,20221118,182500,51587.56,51591.86,51571.35,51590.27,0,0
^IPC,5,20221118,183000,51572.65,51572.89,51567.32,51571.61,0,0
^IPC,5,20221118,183500,51557.4,51562.07,51548.15,51562.07,0,0
^IPC,5,20221118,184000,51566.53,51569.53,51537.83,51537.83,0,0
^IPC,5,20221118,184500,51534.15,51534.15,51451.67,51451.67,0,0
^IPC,5,20221118,185000,51455.84,51468.58,51446.1,51446.1,0,0
^IPC,5,20221118,185500,51443.52,51462.76,51443.52,51448.22,0,0
^IPC,5,20221118,190000,51440.99,51466.24,51440.99,51466.24,0,0
^IPC,5,20221118,190500,51458.69,51524.95,51458.69,51524.95,0,0
^IPC,5,20221118,191000,51509.5,51568.31,51509.5,51568.31,0,0
^IPC,5,20221118,191500,51553.64,51562.33,51536.12,51543.81,0,0
^IPC,5,20221118,192000,51531.37,51537.63,51513.47,51537.63,0,0
^IPC,5,20221118,192500,51548.29,51633.98,51548.29,51633.98,0,0
^IPC,5,20221118,193000,51653.54,51703.22,51653.54,51703.22,0,0
^IPC,5,20221118,193500,51704.86,51704.86,51669.04,51669.04,0,0
^IPC,5,20221118,194000,51659.13,51659.13,51584.2,51586.46,0,0
^IPC,5,20221118,194500,51588.59,51594.98,51565.16,51594.98,0,0
^IPC,5,20221118,195000,51564.55,51599.94,51564.55,51587.12,0,0
^IPC,5,20221118,195500,51575.17,51593.02,51575.17,51580.92,0,0
^IPC,5,20221118,200000,51568.34,51596.97,51568.34,51587.46,0,0
^IPC,5,20221118,200500,51584.37,51588.79,51577.99,51583.58,0,0
^IPC,5,20221118,201000,51557.58,51565.27,51544.16,51544.16,0,0
^IPC,5,20221118,201500,51574.76,51600.59,51574.76,51578.76,0,0
^IPC,5,20221118,202000,51568.15,51568.15,51504.76,51504.76,0,0
^IPC,5,20221118,202500,51487.98,51516.5,51487.98,51516.5,0,0
^IPC,5,20221118,203000,51501.06,51501.06,51430.11,51430.11,0,0
^IPC,5,20221118,203500,51418.61,51418.61,51369.46,51370.3,0,0
^IPC,5,20221118,204000,51333.66,51349.17,51333.66,51337.59,0,0
^IPC,5,20221118,204500,51355.73,51366.03,51339.93,51366.03,0,0
^IPC,5,20221118,205000,51412.89,51458.78,51412.89,51458.78,0,0
^IPC,5,20221118,205500,51455.95,51455.95,51443.74,51454.58,0,0
^IPC,5,20221118,210000,51479.38,51479.38,51458.31,51459.7,0,0
^IPC,5,20221118,210500,51458.98,51502.18,51458.98,51469.53,0,0
^IPC,5,20221118,211000,51480.04,51533.44,51480.04,51533.44,0,0
^IPC,5,20221118,211500,51559.64,51559.64,51502.01,51502.01,0,0
^IPC,5,20221118,212000,51484.38,51500.77,51465.46,51500.77,0,0
^IPC,5,20221118,212500,51504.07,51518.84,51476.52,51483.1,0,0
^IPC,5,20221118,213000,51483.33,51541.12,51483.33,51528.73,0,0
^IPC,5,20221118,213500,51519.55,51519.55,51462.09,51462.09,0,0
^IPC,5,20221118,214000,51535.22,51620.83,51535.22,51620.83,0,0
^IPC,5,20221118,214500,51631.19,51631.19,51585.08,51593.87,0,0
^IPC,5,20221118,215000,51582.65,51588.84,51573.89,51588.69,0,0
^IPC,5,20221118,215500,51525.56,51550.41,51525.56,51550.41,0,0
^IPC,5,20221118,220000,51540.3,51540.3,51540.3,51540.3,0,0
^IPC,5,20221118,220500,51540.3,51540.3,51540.3,51540.3,0,0
^IPC,5,20221118,221000,51540.3,51569.72,51540.3,51569.72,0,0
^IPC,5,20221118,221500,51569.72,51569.72,51569.72,51569.72,0,0
^IPC,5,20221122,153000,51569.72,51807.04,51569.72,51807.04,0,0
^IPC,5,20221122,153500,51790.44,51853.43,51790.44,51853.43,0,0
^IPC,5,20221122,154000,51969.19,52059.12,51969.19,52059.12,0,0
^IPC,5,20221122,154500,52084.99,52093,52074.26,52080.61,0,0
^IPC,5,20221122,155000,52100.05,52159.16,52100.05,52157.95,0,0
^IPC,5,20221122,155500,52191.49,52204.05,52163.16,52204.05,0,0
^IPC,5,20221122,160000,52170.59,52270.65,52170.59,52270.65,0,0
^IPC,5,20221122,160500,52281.27,52300.38,52250.82,52250.82,0,0
^IPC,5,20221122,161000,52274.09,52274.09,52212.7,52212.7,0,0
^IPC,5,20221122,161500,52245.76,52315.41,52245.76,52315.41,0,0
^IPC,5,20221122,162000,52315.27,52315.27,52256.07,52256.07,0,0
^IPC,5,20221122,162500,52293.49,52323.62,52293.49,52323.62,0,0
^IPC,5,20221122,163000,52277.56,52310.99,52274.26,52310.99,0,0
^IPC,5,20221122,163500,52342.83,52342.83,52308,52321.6,0,0
^IPC,5,20221122,164000,52340.48,52353.56,52340.48,52350.09,0,0
^IPC,5,20221122,164500,52317.03,52361.36,52317.03,52361.36,0,0
^IPC,5,20221122,165000,52325.6,52325.6,52277.57,52282.44,0,0
^IPC,5,20221122,165500,52279.87,52282.16,52262.91,52273.89,0,0
^IPC,5,20221122,170000,52298.06,52298.06,52220.18,52220.84,0,0
^IPC,5,20221122,170500,52221.22,52221.22,52185.82,52185.82,0,0
^IPC,5,20221122,171000,52185.52,52236.97,52185.52,52236.97,0,0
^IPC,5,20221122,171500,52243.1,52243.1,52218.25,52218.25,0,0
^IPC,5,20221122,172000,52207.42,52207.42,52132.74,52132.74,0,0
^IPC,5,20221122,172500,52124.16,52136.87,52111.78,52111.78,0,0
^IPC,5,20221122,173000,52094.02,52103.49,52086.45,52101.03,0,0
^IPC,5,20221122,173500,52114.35,52120.3,52093.92,52101.34,0,0
^IPC,5,20221122,174000,52111.57,52176.37,52105.7,52176.37,0,0
^IPC,5,20221122,174500,52170.35,52200.7,52165.41,52200.7,0,0
^IPC,5,20221122,175000,52211.36,52238.06,52200.37,52238.06,0,0
^IPC,5,20221122,175500,52238.76,52272.41,52238.76,52247.71,0,0
^IPC,5,20221122,180000,52240.91,52278.77,52240.63,52265.29,0,0
^IPC,5,20221122,180500,52233.78,52233.78,52206.08,52209.13,0,0
^IPC,5,20221122,181000,52202.48,52202.48,52171.52,52188.28,0,0
^IPC,5,20221122,181500,52189.15,52189.15,52170.04,52187.33,0,0
^IPC,5,20221122,182000,52174.74,52207.47,52174.74,52200.31,0,0
^IPC,5,20221122,182500,52203.06,52214.23,52202.74,52202.74,0,0
^IPC,5,20221122,183000,52216,52220.75,52212.69,52214.16,0,0
^IPC,5,20221122,183500,52223.38,52237.52,52223.38,52225.48,0,0
^IPC,5,20221122,184000,52226.62,52226.62,52196.07,52200.71,0,0
^IPC,5,20221122,184500,52194.08,52194.08,52135.28,52135.28,0,0
^IPC,5,20221122,185000,52156.37,52176.32,52156.37,52174.46,0,0
^IPC,5,20221122,185500,52170.76,52170.76,52151.99,52154.14,0,0
^IPC,5,20221122,190000,52149.62,52159.73,52142.79,52159.73,0,0
^IPC,5,20221122,190500,52159.75,52159.75,52131.91,52131.91,0,0
^IPC,5,20221122,191000,52145.41,52158,52142.02,52158,0,0
^IPC,5,20221122,191500,52162.66,52162.66,52149.98,52160.53,0,0
^IPC,5,20221122,192000,52153.65,52154.58,52096.88,52096.88,0,0
^IPC,5,20221122,192500,52079.15,52079.15,52007.18,52007.18,0,0
^IPC,5,20221122,193000,51976.16,51976.16,51932.07,51969.29,0,0
^IPC,5,20221122,193500,51976.98,51976.98,51935.72,51938.44,0,0
^IPC,5,20221122,194000,51935.42,51945.57,51930.65,51945.57,0,0
^IPC,5,20221122,194500,51944.72,51944.72,51889.29,51914.08,0,0
^IPC,5,20221122,195000,51891.61,51891.92,51860.67,51868.3,0,0
^IPC,5,20221122,195500,51865.58,51876.53,51862.73,51876.53,0,0
^IPC,5,20221122,200000,51882.4,51887.64,51861.88,51868.05,0,0
^IPC,5,20221122,200500,51837.7,51837.7,51771.22,51775.2,0,0
^IPC,5,20221122,201000,51780.76,51780.76,51734.22,51734.22,0,0
^IPC,5,20221122,201500,51757.41,51757.41,51722.36,51726.12,0,0
^IPC,5,20221122,202000,51741.69,51741.69,51696.82,51696.82,0,0
^IPC,5,20221122,202500,51691.38,51721.13,51691.38,51712.93,0,0
^IPC,5,20221122,203000,51684.62,51707.45,51659.67,51659.67,0,0
^IPC,5,20221122,203500,51639.02,51663.52,51639.02,51660.91,0,0
^IPC,5,20221122,204000,51668.28,51808.81,51668.28,51808.81,0,0
