<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^IPSA,5,20221117,143000,5254.8,5258.48,5250.18,5253.77,0,0
^IPSA,5,20221117,143500,5263.21,5263.21,5259.73,5262.96,0,0
^IPSA,5,20221117,144000,5262.88,5262.88,5256.24,5256.24,0,0
^IPSA,5,20221117,144500,5256.61,5259.09,5256.18,5256.34,0,0
^IPSA,5,20221117,145000,5258.43,5261.39,5257.95,5261.39,0,0
^IPSA,5,20221117,145500,5258.48,5261.26,5258.48,5259.13,0,0
^IPSA,5,20221117,150000,5258.91,5258.91,5247.76,5247.76,0,0
^IPSA,5,20221117,150500,5248.69,5248.69,5244.8,5244.8,0,0
^IPSA,5,20221117,151000,5243.78,5244.49,5243.78,5244.23,0,0
^IPSA,5,20221117,151500,5246.25,5247.14,5242.96,5242.96,0,0
^IPSA,5,20221117,152000,5242.97,5245.92,5240.84,5240.84,0,0
^IPSA,5,20221117,152500,5240.72,5242.23,5238.19,5239.66,0,0
^IPSA,5,20221117,153000,5240.51,5246.14,5240.51,5246.14,0,0
^IPSA,5,20221117,153500,5245.8,5245.8,5237.29,5237.29,0,0
^IPSA,5,20221117,154000,5238.23,5238.23,5237.39,5237.83,0,0
^IPSA,5,20221117,154500,5239.22,5239.22,5238.03,5238.69,0,0
^IPSA,5,20221117,155000,5239.41,5239.7,5239.31,5239.49,0,0
^IPSA,5,20221117,155500,5240.41,5240.79,5239.6,5240.79,0,0
^IPSA,5,20221117,160000,5240.86,5244.59,5238.3,5238.3,0,0
^IPSA,5,20221117,160500,5241.3,5241.56,5240.39,5240.89,0,0
^IPSA,5,20221117,161000,5240.33,5240.49,5239.17,5239.17,0,0
^IPSA,5,20221117,161500,5239.45,5242.53,5239.45,5242.53,0,0
^IPSA,5,20221117,162000,5243.35,5247.51,5242.52,5247.51,0,0
^IPSA,5,20221117,162500,5250.13,5250.87,5247.34,5250.87,0,0
^IPSA,5,20221117,163000,5251.33,5251.33,5221.92,5221.92,0,0
^IPSA,5,20221117,163500,5220.65,5220.65,5205.32,5205.32,0,0
^IPSA,5,20221117,164000,5202.26,5214.93,5202.26,5214.93,0,0
^IPSA,5,20221117,164500,5221.05,5230.51,5220.53,5225.41,0,0
^IPSA,5,20221117,165000,5224.26,5224.26,5213.19,5213.21,0,0
^IPSA,5,20221117,165500,5213.23,5219.8,5213.23,5219.8,0,0
^IPSA,5,20221117,170000,5214.62,5218.34,5214.3,5218.34,0,0
^IPSA,5,20221117,170500,5222.79,5233.44,5222.79,5230.66,0,0
^IPSA,5,20221117,171000,5230.37,5230.37,5217.26,5218.18,0,0
^IPSA,5,20221117,171500,5216.07,5216.07,5210.52,5210.52,0,0
^IPSA,5,20221117,172000,5211.86,5217.83,5205.8,5205.8,0,0
^IPSA,5,20221117,172500,5200.27,5203.41,5194.95,5203.41,0,0
^IPSA,5,20221117,173000,5203.23,5208.81,5203.23,5208.81,0,0
^IPSA,5,20221117,173500,5208.7,5211.81,5208.7,5211.81,0,0
^IPSA,5,20221117,174000,5207.15,5209.35,5202.49,5204.34,0,0
^IPSA,5,20221117,174500,5205.72,5208.21,5203.97,5206.17,0,0
^IPSA,5,20221117,175000,5204.15,5211.64,5204.15,5208.14,0,0
^IPSA,5,20221117,175500,5207.4,5207.4,5194.02,5194.02,0,0
^IPSA,5,20221117,180000,5200.56,5201.94,5198.7,5200.3,0,0
^IPSA,5,20221117,180500,5197.64,5197.64,5191,5191,0,0
^IPSA,5,20221117,181000,5194.95,5198.32,5193.8,5194.91,0,0
^IPSA,5,20221117,181500,5196.22,5198.92,5195.04,5195.04,0,0
^IPSA,5,20221117,182000,5193.67,5194.46,5191.96,5193.97,0,0
^IPSA,5,20221117,182500,5195.56,5200.74,5195.56,5198.14,0,0
^IPSA,5,20221117,183000,5198.47,5198.47,5195.68,5197.66,0,0
^IPSA,5,20221117,183500,5196.07,5196.07,5191.92,5191.96,0,0
^IPSA,5,20221117,184000,5197.53,5198.7,5195.44,5195.63,0,0
^IPSA,5,20221117,184500,5193.95,5195.61,5193.31,5193.31,0,0
^IPSA,5,20221117,185000,5192.94,5192.94,5188.87,5188.87,0,0
^IPSA,5,20221117,185500,5188.21,5188.21,5184.95,5188.2,0,0
^IPSA,5,20221117,190000,5186.22,5191.87,5186.22,5189.16,0,0
^IPSA,5,20221117,190500,5190.65,5192.24,5190.65,5191.07,0,0
^IPSA,5,20221117,191000,5193.88,5193.88,5189.55,5189.67,0,0
^IPSA,5,20221117,191500,5188.1,5188.1,5183.4,5183.4,0,0
^IPSA,5,20221117,192000,5182.47,5182.47,5173.96,5173.96,0,0
^IPSA,5,20221117,192500,5176.01,5176.01,5172.79,5173.33,0,0
^IPSA,5,20221117,193000,5174.69,5175.18,5174.11,5175.18,0,0
^IPSA,5,20221117,193500,5174.51,5182.41,5174.51,5182.41,0,0
^IPSA,5,20221117,194000,5182.27,5182.27,5178.2,5179.79,0,0
^IPSA,5,20221117,194500,5179.79,5179.79,5169.84,5169.84,0,0
^IPSA,5,20221117,195000,5169.73,5174.32,5169.73,5173.57,0,0
^IPSA,5,20221117,195500,5174.03,5179.35,5174.03,5176.99,0,0
^IPSA,5,20221117,200000,5176.7,5176.7,5174.81,5176.55,0,0
^IPSA,5,20221117,200500,5176.01,5178.09,5175.35,5178.09,0,0
^IPSA,5,20221117,201000,5177.98,5179.38,5176.61,5176.61,0,0
^IPSA,5,20221117,201500,5177.59,5178.29,5174.66,5178.29,0,0
^IPSA,5,20221117,202000,5175.9,5179.65,5175.9,5178.77,0,0
^IPSA,5,20221117,202500,5178.97,5182.51,5177.66,5177.66,0,0
^IPSA,5,20221117,203000,5186.42,5186.42,5176.39,5176.96,0,0
^IPSA,5,20221117,203500,5184.23,5184.5,5179.52,5181.45,0,0
^IPSA,5,20221117,204000,5181.35,5181.35,5181.04,5181.04,0,0
^IPSA,5,20221117,204500,5182.79,5182.79,5178.43,5178.43,0,0
^IPSA,5,20221117,205000,5178.43,5178.43,5178.43,5178.43,0,0
^IPSA,5,20221117,205500,5178.43,5178.43,5178.43,5178.43,0,0
^IPSA,5,20221117,210000,5171.74,5171.74,5171.74,5171.74,0,0
^IPSA,5,20221118,143000,5178.97,5181.98,5178.97,5181.98,0,0
^IPSA,5,20221118,143500,5184.12,5184.12,5177.76,5180.76,0,0
^IPSA,5,20221118,144000,5180.76,5182.84,5180.76,5181.03,0,0
^IPSA,5,20221118,144500,5179.16,5183.41,5179.16,5179.67,0,0
^IPSA,5,20221118,145000,5179.67,5180.8,5178.65,5180.8,0,0
^IPSA,5,20221118,145500,5179.05,5179.05,5172.52,5172.52,0,0
^IPSA,5,20221118,150000,5172.53,5173.45,5168.19,5168.19,0,0
^IPSA,5,20221118,150500,5170.06,5170.06,5168.13,5168.13,0,0
^IPSA,5,20221118,151000,5168.13,5168.13,5166.15,5166.38,0,0
^IPSA,5,20221118,151500,5168.59,5169.57,5167.58,5167.77,0,0
^IPSA,5,20221118,152000,5167.59,5169.03,5165.18,5169.03,0,0
^IPSA,5,20221118,152500,5172.23,5172.92,5172.23,5172.41,0,0
^IPSA,5,20221118,153000,5172.41,5172.41,5166.93,5167.02,0,0
^IPSA,5,20221118,153500,5166.38,5166.38,5162.86,5162.86,0,0
^IPSA,5,20221118,154000,5162.49,5167.41,5162.49,5167.41,0,0
^IPSA,5,20221118,154500,5167.41,5167.41,5163.19,5163.19,0,0
^IPSA,5,20221118,155000,5163.15,5165.04,5162.26,5162.29,0,0
^IPSA,5,20221118,155500,5162.76,5162.95,5162.44,5162.44,0,0
^IPSA,5,20221118,160000,5160.29,5160.29,5156.82,5160.23,0,0
^IPSA,5,20221118,160500,5160.43,5162.07,5155.45,5155.45,0,0
^IPSA,5,20221118,161000,5156.82,5157.24,5156.31,5156.31,0,0
^IPSA,5,20221118,161500,5157.02,5164.31,5157.02,5164.31,0,0
^IPSA,5,20221118,162000,5164.04,5164.04,5163.19,5163.56,0,0
