<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^JCI,5,20221117,030000,7000.543,7005.591,6982.611,6989.146,0,0
^JCI,5,20221117,030500,6989.723,6992.632,6981.06,6990.732,0,0
^JCI,5,20221117,031000,6990.846,6993.084,6981.783,6982.945,0,0
^JCI,5,20221117,031500,6987.63,6989.809,6971.818,6975.505,0,0
^JCI,5,20221117,032000,6976.858,6981.181,6969.329,6972.364,0,0
^JCI,5,20221117,032500,6972.963,6981.115,6970.593,6976.854,0,0
^JCI,5,20221117,033000,6973.928,6983.051,6972.401,6976.023,0,0
^JCI,5,20221117,033500,6975.586,6983.906,6970.129,6977.503,0,0
^JCI,5,20221117,034000,6978.358,6979.72,6966.3,6973.279,0,0
^JCI,5,20221117,034500,6968.21,6975.905,6966.016,6973.988,0,0
^JCI,5,20221117,035000,6970.071,6981.293,6967.827,6981.293,0,0
^JCI,5,20221117,035500,6980.459,6989.139,6975.53,6985.022,0,0
^JCI,5,20221117,040000,6985.268,6994.635,6982.643,6991.299,0,0
^JCI,5,20221117,040500,6996.327,7001.589,6987.463,6993.317,0,0
^JCI,5,20221117,041000,6995.478,7001.588,6989.609,6999.892,0,0
^JCI,5,20221117,041500,6996.565,7003.491,6995.041,6999.55,0,0
^JCI,5,20221117,042000,6999.555,7007.268,6995.501,7003.808,0,0
^JCI,5,20221117,042500,7003.924,7010.417,7000.046,7001.522,0,0
^JCI,5,20221117,043000,7004.642,7006.92,6998.267,7004.213,0,0
^JCI,5,20221117,043500,7004.092,7008.431,6997.03,7002.215,0,0
^JCI,5,20221117,044000,7003.401,7007.034,6996.814,6998.508,0,0
^JCI,5,20221117,044500,6998.447,7007.222,6997.251,7003.405,0,0
^JCI,5,20221117,045000,7000.403,7012.235,6999.305,7002.668,0,0
^JCI,5,20221117,045500,7008.466,7012.475,7000.469,7012.344,0,0
^JCI,5,20221117,050000,7005.868,7014.905,7002.588,7010.088,0,0
^JCI,5,20221117,050500,7011.464,7016.33,7007.207,7011.514,0,0
^JCI,5,20221117,051000,7015.322,7020.197,7011.11,7016.104,0,0
^JCI,5,20221117,051500,7014.569,7019.256,7008.022,7014.828,0,0
^JCI,5,20221117,052000,7018.672,7021.621,7010.672,7014.424,0,0
^JCI,5,20221117,052500,7009.915,7019.451,7009.915,7017.27,0,0
^JCI,5,20221117,073000,7018.855,7027.65,7014.377,7025.064,0,0
^JCI,5,20221117,073500,7025.277,7034.286,7022.845,7033.032,0,0
^JCI,5,20221117,074000,7034.179,7037.203,7028.57,7034.975,0,0
^JCI,5,20221117,074500,7035.503,7040.718,7027.731,7040.364,0,0
^JCI,5,20221117,075000,7035.682,7041.979,7032.033,7034.388,0,0
^JCI,5,20221117,075500,7033.662,7037.545,7027.459,7027.998,0,0
^JCI,5,20221117,080000,7032.5,7036.537,7024.039,7027.535,0,0
^JCI,5,20221117,080500,7028.022,7034.48,7027.443,7033.052,0,0
^JCI,5,20221117,081000,7030.385,7039.037,7028.409,7030.519,0,0
^JCI,5,20221117,081500,7030.34,7040.92,7027.812,7037.232,0,0
^JCI,5,20221117,082000,7033.969,7040.65,7028.296,7040.172,0,0
^JCI,5,20221117,082500,7035.812,7039.89,7030.335,7033.801,0,0
^JCI,5,20221117,083000,7033.615,7038.692,7029.456,7031.933,0,0
^JCI,5,20221117,083500,7031.939,7037.13,7027.01,7031.446,0,0
^JCI,5,20221117,084000,7028.477,7033.85,7023.078,7030.093,0,0
^JCI,5,20221117,084500,7030.419,7048.901,7027.513,7044.16,0,0
^JCI,5,20221117,085000,7049.778,7049.778,7049.778,7049.778,0,0
^JCI,5,20221117,090000,7044.986,7044.986,7044.986,7044.986,0,0
^JCI,5,20221118,030000,7056.709,7061.485,7029.195,7047.404,0,0
^JCI,5,20221118,030500,7049.511,7068.282,7048.326,7063.102,0,0
^JCI,5,20221118,031000,7062.732,7079.871,7060.66,7076.242,0,0
^JCI,5,20221118,031500,7076.574,7077.23,7064.775,7069.257,0,0
^JCI,5,20221118,032000,7070.943,7077.462,7068.834,7072.468,0,0
^JCI,5,20221118,032500,7075.361,7078.77,7069.332,7069.959,0,0
^JCI,5,20221118,033000,7068.971,7076.21,7058.705,7059.91,0,0
^JCI,5,20221118,033500,7060.908,7066.495,7056.983,7060.942,0,0
^JCI,5,20221118,034000,7061.862,7063.733,7053.002,7057.859,0,0
^JCI,5,20221118,034500,7058.148,7065.561,7055.997,7060.747,0,0
^JCI,5,20221118,035000,7059.279,7062.772,7049.14,7049.14,0,0
^JCI,5,20221118,035500,7050.577,7052.427,7042.498,7050.87,0,0
^JCI,5,20221118,040000,7052.083,7055.525,7043.7,7050.488,0,0
^JCI,5,20221118,040500,7051.098,7059.318,7049.017,7051.884,0,0
^JCI,5,20221118,041000,7058.801,7061.943,7053.197,7053.197,0,0
^JCI,5,20221118,041500,7053.731,7062.431,7053.361,7053.361,0,0
^JCI,5,20221118,042000,7058.711,7068.624,7058.076,7062.501,0,0
^JCI,5,20221118,042500,7063.363,7066.364,7055.927,7058.343,0,0
^JCI,5,20221118,043000,7057.237,7064.526,7056.737,7059.04,0,0
^JCI,5,20221118,043500,7062.522,7065.49,7055.93,7063.884,0,0
^JCI,5,20221118,044000,7063.005,7071.279,7059.05,7069.182,0,0
^JCI,5,20221118,044500,7067.12,7073.029,7060.483,7062.801,0,0
^JCI,5,20221118,045000,7065.954,7075.473,7062.281,7069.415,0,0
^JCI,5,20221118,045500,7072.976,7076.704,7065.591,7071.273,0,0
^JCI,5,20221118,050000,7074.686,7075.538,7065.671,7070.348,0,0
^JCI,5,20221118,050500,7067.72,7072.971,7065.602,7067.245,0,0
^JCI,5,20221118,051000,7068.928,7079.346,7067.287,7077.758,0,0
^JCI,5,20221118,051500,7074.129,7079.465,7068.217,7073.1,0,0
^JCI,5,20221118,052000,7072.846,7081.965,7067.681,7078.683,0,0
^JCI,5,20221118,052500,7079.99,7083.056,7072.348,7083.056,0,0
^JCI,5,20221118,073000,7084.787,7084.787,7069.756,7075.749,0,0
^JCI,5,20221118,073500,7076.506,7078.494,7069.593,7069.593,0,0
^JCI,5,20221118,074000,7070.73,7073.802,7064.922,7068.218,0,0
^JCI,5,20221118,074500,7071.356,7085.527,7067.195,7085.069,0,0
^JCI,5,20221118,075000,7087.596,7091.707,7080.765,7089.939,0,0
^JCI,5,20221118,075500,7083.95,7088.879,7076.433,7088.879,0,0
^JCI,5,20221118,080000,7085.274,7087.121,7079.863,7083.53,0,0
^JCI,5,20221118,080500,7082.418,7089.074,7079.281,7084.513,0,0
^JCI,5,20221118,081000,7089.3,7090.216,7081.023,7089.075,0,0
^JCI,5,20221118,081500,7086.012,7091.686,7075.137,7076.436,0,0
^JCI,5,20221118,082000,7076.09,7081.371,7072.349,7078.541,0,0
^JCI,5,20221118,082500,7077.776,7082.763,7074.259,7076.359,0,0
^JCI,5,20221118,083000,7077.302,7081.646,7071.401,7076.484,0,0
^JCI,5,20221118,083500,7071.009,7080.312,7070.493,7074.231,0,0
^JCI,5,20221118,084000,7076.173,7083.921,7072.057,7080.334,0,0
^JCI,5,20221118,084500,7085.432,7090.384,7077.162,7083.941,0,0
^JCI,5,20221118,085000,7084.14,7084.14,7084.14,7084.14,0,0
^JCI,5,20221118,090000,7082.181,7082.181,7082.181,7082.181,0,0
^JCI,5,20221121,030000,7090.376,7094.967,7081.523,7082.126,0,0
^JCI,5,20221121,030500,7084.842,7090.218,7080.494,7085.928,0,0
^JCI,5,20221121,031000,7081.457,7101.129,7081.457,7101.129,0,0
^JCI,5,20221121,031500,7097.305,7106.92,7094.389,7105.903,0,0
^JCI,5,20221121,032000,7104.912,7106.026,7096.203,7102.477,0,0
^JCI,5,20221121,032500,7102.737,7106.272,7091.298,7092.925,0,0
^JCI,5,20221121,033000,7096.632,7098.719,7088.771,7091.658,0,0
^JCI,5,20221121,033500,7090.397,7096.359,7083.887,7090.571,0,0
^JCI,5,20221121,034000,7090.443,7095.705,7078.227,7084.228,0,0
^JCI,5,20221121,034500,7078.05,7082.849,7075.419,7081.635,0,0
^JCI,5,20221121,035000,7080.916,7083.396,7068.686,7073.79,0,0
^JCI,5,20221121,035500,7073.907,7078.579,7067.833,7070.46,0,0
^JCI,5,20221121,040000,7070.715,7076.682,7066.811,7071.357,0,0
^JCI,5,20221121,040500,7070.857,7077.145,7067.762,7076.786,0,0
^JCI,5,20221121,041000,7072.831,7080.654,7069.886,7080.654,0,0
^JCI,5,20221121,041500,7077.359,7082.817,7072.384,7081.084,0,0
^JCI,5,20221121,042000,7082.38,7083.453,7075.168,7081.183,0,0
^JCI,5,20221121,042500,7081.605,7084.953,7072.522,7079.496,0,0
^JCI,5,20221121,043000,7077.505,7082.91,7072.834,7075.144,0,0
^JCI,5,20221121,043500,7075.082,7081.657,7072.75,7076.42,0,0
^JCI,5,20221121,044000,7077.928,7079.534,7070.681,7077.666,0,0
^JCI,5,20221121,044500,7074.018,7081.374,7072.859,7077.25,0,0
^JCI,5,20221121,045000,7075.419,7081.466,7071.659,7080.335,0,0
^JCI,5,20221121,045500,7074.542,7081.582,7071.322,7077.82,0,0
^JCI,5,20221121,050000,7076.818,7077.161,7065.482,7066.662,0,0
^JCI,5,20221121,050500,7068.515,7069.304,7058.471,7063.226,0,0
^JCI,5,20221121,051000,7059.777,7068.78,7058.749,7065.612,0,0
^JCI,5,20221121,051500,7061.106,7066.019,7056.593,7063.842,0,0
^JCI,5,20221121,052000,7065.379,7067.148,7056.25,7056.25,0,0
^JCI,5,20221121,052500,7059.866,7065.016,7054.017,7057.8,0,0
^JCI,5,20221121,073000,7059.674,7061.582,7051.491,7054.505,0,0
^JCI,5,20221121,073500,7054.256,7063.681,7053.073,7058.305,0,0
^JCI,5,20221121,074000,7061.939,7067.659,7054.004,7060.74,0,0
^JCI,5,20221121,074500,7060.229,7067.227,7057.957,7067.227,0,0
^JCI,5,20221121,075000,7066.688,7067.28,7058.666,7062.891,0,0
^JCI,5,20221121,075500,7060.62,7070.608,7059.789,7062.392,0,0
^JCI,5,20221121,080000,7063.767,7068.941,7059.956,7062.138,0,0
^JCI,5,20221121,080500,7062.383,7070.69,7060.877,7061.539,0,0
^JCI,5,20221121,081000,7061.342,7068.956,7060.645,7062.268,0,0
^JCI,5,20221121,081500,7061.428,7067.692,7059.72,7059.89,0,0
^JCI,5,20221121,082000,7061.145,7071.623,7061.145,7071.623,0,0
^JCI,5,20221121,082500,7072.338,7076.925,7067.827,7073.884,0,0
^JCI,5,20221121,083000,7073.762,7079.465,7065.72,7075.479,0,0
^JCI,5,20221121,083500,7075.51,7080.068,7071.119,7072.504,0,0
^JCI,5,20221121,084000,7070.408,7078.91,7068.974,7077.218,0,0
