<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^KLCI,5,20221117,020000,1446.56,1447.27,1446.21,1447.04,0,0
^KLCI,5,20221117,020500,1446.52,1447.15,1446.38,1446.52,0,0
^KLCI,5,20221117,021000,1446.79,1446.79,1446.16,1446.25,0,0
^KLCI,5,20221117,021500,1446.95,1447.77,1446.95,1447,0,0
^KLCI,5,20221117,022000,1447.06,1448.03,1446.91,1446.96,0,0
^KLCI,5,20221117,022500,1446.8,1446.8,1446.09,1446.09,0,0
^KLCI,5,20221117,023000,1446.17,1446.17,1445.35,1445.66,0,0
^KLCI,5,20221117,023500,1445.88,1446.46,1445.59,1446.46,0,0
^KLCI,5,20221117,024000,1446.19,1446.34,1445.66,1445.76,0,0
^KLCI,5,20221117,024500,1445.91,1446.52,1445.77,1446.52,0,0
^KLCI,5,20221117,025000,1446.47,1447.23,1446.38,1447.23,0,0
^KLCI,5,20221117,025500,1446.94,1448.3,1446.94,1447.36,0,0
^KLCI,5,20221117,030000,1447.4,1447.4,1446.78,1446.84,0,0
^KLCI,5,20221117,030500,1446.67,1446.67,1444.55,1444.77,0,0
^KLCI,5,20221117,031000,1444.54,1444.88,1444.17,1444.61,0,0
^KLCI,5,20221117,031500,1444.56,1444.8,1444.51,1444.75,0,0
^KLCI,5,20221117,032000,1444.67,1444.85,1444.3,1444.75,0,0
^KLCI,5,20221117,032500,1444.75,1444.9,1444.4,1444.9,0,0
^KLCI,5,20221117,033000,1444.91,1444.91,1444.6,1444.66,0,0
^KLCI,5,20221117,033500,1444.59,1444.69,1443.95,1443.95,0,0
^KLCI,5,20221117,034000,1443.97,1444.51,1443.78,1444.48,0,0
^KLCI,5,20221117,034500,1444.24,1444.47,1444.06,1444.06,0,0
^KLCI,5,20221117,035000,1443.98,1444.11,1443.6,1443.96,0,0
^KLCI,5,20221117,035500,1443.96,1444.07,1443.49,1443.63,0,0
^KLCI,5,20221117,040000,1444.09,1444.74,1444.04,1444.74,0,0
^KLCI,5,20221117,040500,1444.69,1444.69,1443.65,1444.11,0,0
^KLCI,5,20221117,041000,1444.08,1444.62,1443.91,1444.17,0,0
^KLCI,5,20221117,041500,1444.12,1444.55,1443.9,1443.93,0,0
^KLCI,5,20221117,042000,1444.26,1444.98,1444.26,1444.79,0,0
^KLCI,5,20221117,042500,1444.7,1444.7,1444.03,1444.03,0,0
^KLCI,5,20221117,043000,1443.91,1444.67,1443.91,1444.67,0,0
^KLCI,5,20221117,043500,1444.8,1444.92,1444.54,1444.55,0,0
^KLCI,5,20221117,044000,1444.79,1446.02,1444.49,1444.7,0,0
^KLCI,5,20221117,044500,1444.93,1445.05,1444.06,1444.55,0,0
^KLCI,5,20221117,045000,1444.63,1446.3,1444.63,1445.38,0,0
^KLCI,5,20221117,045500,1445.52,1445.55,1445.2,1445.48,0,0
^KLCI,5,20221117,050000,1445.37,1445.82,1445.15,1445.56,0,0
^KLCI,5,20221117,050500,1445.86,1446.02,1445.08,1445.54,0,0
^KLCI,5,20221117,051000,1445.56,1445.75,1445.3,1445.52,0,0
^KLCI,5,20221117,051500,1445.64,1445.99,1444.95,1445.21,0,0
^KLCI,5,20221117,052000,1445.33,1445.66,1445.08,1445.46,0,0
^KLCI,5,20221117,052500,1445.56,1446.47,1445.3,1446.47,0,0
^KLCI,5,20221117,053000,1446.23,1446.23,1446.23,1446.23,0,0
^KLCI,5,20221117,073000,1446.62,1446.62,1444.97,1445.22,0,0
^KLCI,5,20221117,073500,1445.51,1445.93,1445.28,1445.28,0,0
^KLCI,5,20221117,074000,1445.38,1445.51,1444.83,1445.1,0,0
^KLCI,5,20221117,074500,1444.76,1445.26,1444.68,1445.26,0,0
^KLCI,5,20221117,075000,1445.14,1445.4,1444.26,1444.39,0,0
^KLCI,5,20221117,075500,1445.07,1445.07,1444.34,1444.77,0,0
^KLCI,5,20221117,080000,1444.61,1444.98,1444.35,1444.98,0,0
^KLCI,5,20221117,080500,1444.73,1444.86,1444.16,1444.64,0,0
^KLCI,5,20221117,081000,1444.51,1444.78,1444.09,1444.09,0,0
^KLCI,5,20221117,081500,1444.66,1444.66,1443.51,1444.29,0,0
^KLCI,5,20221117,082000,1443.64,1444.36,1443.36,1443.78,0,0
^KLCI,5,20221117,082500,1443.23,1443.92,1443.2,1443.41,0,0
^KLCI,5,20221117,083000,1443.45,1443.65,1442.97,1442.97,0,0
^KLCI,5,20221117,083500,1443.07,1443.68,1443.07,1443.37,0,0
^KLCI,5,20221117,084000,1443.64,1443.64,1442.97,1443.16,0,0
^KLCI,5,20221117,084500,1443.14,1443.21,1442.36,1443.11,0,0
^KLCI,5,20221117,085000,1442.4,1442.8,1442.04,1442.67,0,0
^KLCI,5,20221117,085500,1442.57,1442.77,1442.13,1442.33,0,0
^KLCI,5,20221117,090000,1442.06,1442.9,1442.06,1442.48,0,0
^KLCI,5,20221117,090500,1442.59,1442.72,1442.31,1442.72,0,0
^KLCI,5,20221117,091000,1442.85,1443.15,1442.51,1442.9,0,0
^KLCI,5,20221117,091500,1442.55,1443.84,1442.55,1443.68,0,0
^KLCI,5,20221117,092000,1443.81,1444.25,1443.11,1444.25,0,0
^KLCI,5,20221117,092500,1444.19,1446.82,1444.09,1445.12,0,0
^KLCI,5,20221117,093000,1444.58,1445.87,1444.58,1445.87,0,0
^KLCI,5,20221117,093500,1446.46,1446.46,1445.11,1445.82,0,0
^KLCI,5,20221117,094000,1446.14,1449.32,1445.4,1449.32,0,0
^KLCI,5,20221121,020000,1434.55,1439.04,1434.5,1434.85,0,0
^KLCI,5,20221121,020500,1435.03,1435.35,1432.02,1433.09,0,0
^KLCI,5,20221121,021000,1432.8,1433.52,1429.32,1433.52,0,0
^KLCI,5,20221121,021500,1432.21,1432.21,1428.22,1429.65,0,0
^KLCI,5,20221121,022000,1430.53,1430.53,1427.98,1430.38,0,0
^KLCI,5,20221121,022500,1430.5,1432.3,1430.5,1432.3,0,0
^KLCI,5,20221121,023000,1431.96,1434.51,1431.84,1434.51,0,0
^KLCI,5,20221121,023500,1435.03,1435.13,1433.82,1435.13,0,0
^KLCI,5,20221121,024000,1435.96,1437.78,1435.96,1437.12,0,0
^KLCI,5,20221121,024500,1437.21,1438.81,1437.21,1438.81,0,0
^KLCI,5,20221121,025000,1438.64,1439.74,1438.64,1439.74,0,0
^KLCI,5,20221121,025500,1440.2,1440.2,1437.8,1437.8,0,0
