<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^KOSPI,5,20221117,020000,2466.5,2467.34,2458.62,2463.85,44909000,0
^KOSPI,5,20221117,020500,2463.58,2467.27,2463.16,2465.49,24532000,0
^KOSPI,5,20221117,021000,2466.44,2467.01,2461.74,2465.93,21479000,0
^KOSPI,5,20221117,021500,2465.8,2467.39,2462.59,2462.59,17187000,0
^KOSPI,5,20221117,022000,2463.26,2463.26,2459.23,2463.01,18176000,0
^KOSPI,5,20221117,022500,2461.44,2464,2460.37,2462.73,16112000,0
^KOSPI,5,20221117,023000,2462.67,2465.73,2460.84,2461.94,12307000,0
^KOSPI,5,20221117,023500,2461.26,2463.63,2460.67,2462.05,11366000,0
^KOSPI,5,20221117,024000,2462.27,2463.39,2460.47,2460.8,14154000,0
^KOSPI,5,20221117,024500,2459.91,2460.41,2454.34,2454.34,15325000,0
^KOSPI,5,20221117,025000,2454.01,2455.1,2453.02,2454.96,14102000,0
^KOSPI,5,20221117,025500,2455.47,2456.05,2454.11,2454.11,8325000,0
^KOSPI,5,20221117,030000,2454.96,2457.42,2454.72,2456.61,7499000,0
^KOSPI,5,20221117,030500,2457.39,2457.39,2454.18,2454.94,6320000,0
^KOSPI,5,20221117,031000,2454.83,2454.89,2450.55,2450.56,9762000,0
^KOSPI,5,20221117,031500,2450.83,2451.01,2448.2,2448.94,8633000,0
^KOSPI,5,20221117,032000,2449.31,2449.99,2446.09,2446.13,8847000,0
^KOSPI,5,20221117,032500,2447.14,2447.49,2445.83,2446.85,9262000,0
^KOSPI,5,20221117,033000,2446.52,2449.64,2446.15,2448.75,9075000,0
^KOSPI,5,20221117,033500,2450.08,2450.57,2447.05,2447.94,6884000,0
^KOSPI,5,20221117,034000,2448.4,2450.7,2448.1,2450.54,5322000,0
^KOSPI,5,20221117,034500,2450.57,2452.32,2449.53,2452.26,5894000,0
^KOSPI,5,20221117,035000,2451.38,2452.56,2450.82,2452.19,11433000,0
^KOSPI,5,20221117,035500,2451.42,2454.09,2451.42,2454.09,21995000,0
^KOSPI,5,20221117,040000,2454.87,2454.87,2450.39,2451.12,21522000,0
^KOSPI,5,20221117,040500,2451.41,2452.02,2449.76,2450.3,25500000,0
^KOSPI,5,20221117,041000,2451.68,2452.03,2449.59,2451.85,17196000,0
^KOSPI,5,20221117,041500,2451.09,2452.2,2450.33,2451.1,12096000,0
^KOSPI,5,20221117,042000,2451.02,2452.46,2450.4,2451.88,10098000,0
^KOSPI,5,20221117,042500,2451.83,2452.01,2450.47,2450.91,20363000,0
^KOSPI,5,20221117,043000,2451.7,2451.92,2450.13,2451.48,20348000,0
^KOSPI,5,20221117,043500,2450.32,2452.08,2449.72,2450.67,21469000,0
^KOSPI,5,20221117,044000,2449.79,2451.53,2449.6,2450.84,17533000,0
^KOSPI,5,20221117,044500,2451.33,2451.51,2449.55,2449.55,17678000,0
^KOSPI,5,20221117,045000,2448.71,2450.38,2448.55,2450.17,15140000,0
^KOSPI,5,20221117,045500,2449.03,2455.11,2448.74,2454.36,9751000,0
^KOSPI,5,20221117,050000,2453.74,2455.79,2453.65,2454.83,12029000,0
^KOSPI,5,20221117,050500,2455.13,2457.06,2454.88,2454.88,8183000,0
^KOSPI,5,20221117,051000,2454.66,2456.24,2453.54,2455.29,10541000,0
^KOSPI,5,20221117,051500,2455.56,2456.7,2454.56,2455.53,9563000,0
^KOSPI,5,20221117,052000,2455.87,2456.58,2454.29,2455.22,12040000,0
^KOSPI,5,20221117,052500,2454.14,2457.13,2454.14,2455.68,16928000,0
^KOSPI,5,20221117,053000,2456.73,2457.41,2453.25,2453.59,11006000,0
^KOSPI,5,20221117,053500,2453,2454.4,2450.5,2450.82,12263000,0
^KOSPI,5,20221117,054000,2451.14,2451.14,2449.08,2449.17,8949000,0
^KOSPI,5,20221117,054500,2449.26,2450.62,2448.64,2450.36,11645000,0
^KOSPI,5,20221117,055000,2449.29,2450.41,2446.56,2446.68,10787000,0
^KOSPI,5,20221117,055500,2447.05,2447.99,2445.5,2445.67,10251000,0
^KOSPI,5,20221117,060000,2445.54,2447.95,2445.54,2447,8761000,0
^KOSPI,5,20221117,060500,2447.64,2449.27,2446.48,2448.38,7549000,0
^KOSPI,5,20221117,061000,2448.91,2449.55,2447.78,2448.55,9506000,0
^KOSPI,5,20221117,061500,2447.8,2450.98,2447.8,2450.98,7862000,0
^KOSPI,5,20221117,062000,2451.3,2453.15,2450.99,2451.63,6808000,0
^KOSPI,5,20221117,062500,2452.26,2452.39,2450.37,2451.23,5642000,0
^KOSPI,5,20221117,063000,2450.88,2451.47,2447.81,2448.6,7521000,0
^KOSPI,5,20221117,063500,2449.1,2449.59,2447.59,2448.72,11864000,0
^KOSPI,5,20221117,064000,2449.32,2451.91,2449.32,2449.92,9232000,0
^KOSPI,5,20221117,064500,2451.72,2451.72,2449.39,2450.28,7775000,0
