<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^MDAX,5,20221117,090000,25672.2,25759.11,25672.2,25737.56,0,0
^MDAX,5,20221117,090500,25738.43,25829.72,25736.09,25759.15,0,0
^MDAX,5,20221117,091000,25759.96,25802.17,25740.67,25740.67,0,0
^MDAX,5,20221117,091500,25738.12,25825.16,25737.53,25814.16,0,0
^MDAX,5,20221117,092000,25809.83,25815.97,25779.88,25779.88,0,0
^MDAX,5,20221117,092500,25775.05,25775.05,25684.57,25686.96,0,0
^MDAX,5,20221117,093000,25678.82,25678.82,25639.51,25644.69,0,0
^MDAX,5,20221117,093500,25644.96,25702.18,25644.96,25695.55,0,0
^MDAX,5,20221117,094000,25692.6,25692.6,25636.15,25636.15,0,0
^MDAX,5,20221117,094500,25631.31,25631.31,25602.9,25602.9,0,0
^MDAX,5,20221117,095000,25601.21,25601.21,25562.75,25562.75,0,0
^MDAX,5,20221117,095500,25561.28,25580.71,25549.4,25572.84,0,0
^MDAX,5,20221117,100000,25569.21,25586.2,25565.77,25576.92,0,0
^MDAX,5,20221117,100500,25577.86,25591.77,25563.14,25564.28,0,0
^MDAX,5,20221117,101000,25557.79,25559.3,25544.14,25544.14,0,0
^MDAX,5,20221117,101500,25541.76,25551.33,25538.28,25551.33,0,0
^MDAX,5,20221117,102000,25554.37,25573.38,25554.37,25564.98,0,0
^MDAX,5,20221117,102500,25565.86,25593.32,25565.37,25592.65,0,0
^MDAX,5,20221117,103000,25594.41,25594.41,25542.3,25543.2,0,0
^MDAX,5,20221117,103500,25547.02,25548.96,25537.74,25538.06,0,0
^MDAX,5,20221117,104000,25537.24,25569.33,25533.78,25568.68,0,0
^MDAX,5,20221117,104500,25568.09,25576.58,25566.63,25571.38,0,0
^MDAX,5,20221117,105000,25568.89,25568.89,25541.72,25557.46,0,0
^MDAX,5,20221117,105500,25558.72,25565.11,25553.49,25561.8,0,0
^MDAX,5,20221117,110000,25566.01,25572.93,25565.76,25565.76,0,0
^MDAX,5,20221117,110500,25567.77,25577.31,25540.21,25540.54,0,0
^MDAX,5,20221117,111000,25536.84,25536.84,25515.32,25528.54,0,0
^MDAX,5,20221117,111500,25530.01,25546.26,25528.04,25545.25,0,0
^MDAX,5,20221117,112000,25545.55,25555.29,25540.92,25555.29,0,0
^MDAX,5,20221117,112500,25553.43,25564.18,25552.37,25562.37,0,0
^MDAX,5,20221117,113000,25562.93,25562.93,25546.4,25546.4,0,0
^MDAX,5,20221117,113500,25545.43,25545.43,25536.02,25536.34,0,0
^MDAX,5,20221117,114000,25536.07,25541.2,25530.89,25531.39,0,0
^MDAX,5,20221117,114500,25529.7,25529.7,25488.56,25488.56,0,0
^MDAX,5,20221117,115000,25487.24,25487.37,25428.87,25432.54,0,0
^MDAX,5,20221117,115500,25433.17,25441.11,25426.76,25436.46,0,0
^MDAX,5,20221117,120000,25435.82,25494.92,25433.61,25492.64,0,0
^MDAX,5,20221117,120500,25492.88,25506.9,25492.88,25500.73,0,0
^MDAX,5,20221117,121000,25498.48,25498.48,25481.63,25483.53,0,0
^MDAX,5,20221117,121500,25482.49,25494.08,25479.64,25491.4,0,0
^MDAX,5,20221117,122000,25490.11,25490.84,25472.96,25472.96,0,0
^MDAX,5,20221117,122500,25472.73,25473.56,25448.33,25448.33,0,0
^MDAX,5,20221117,123000,25448.09,25464.16,25446.1,25460.97,0,0
^MDAX,5,20221117,123500,25461.59,25462.9,25416.49,25416.49,0,0
^MDAX,5,20221117,124000,25419.28,25446.98,25419.28,25446.98,0,0
^MDAX,5,20221117,124500,25445.36,25478.65,25445.36,25478.65,0,0
^MDAX,5,20221117,125000,25479.7,25518.41,25479.7,25496.54,0,0
^MDAX,5,20221117,125500,25495.95,25495.95,25481.23,25487.03,0,0
^MDAX,5,20221117,130000,25487.24,25496.66,25484.4,25485.29,0,0
^MDAX,5,20221117,130500,25484.32,25484.32,25469.31,25472.43,0,0
^MDAX,5,20221117,131000,25473.69,25473.69,25458.94,25459.33,0,0
^MDAX,5,20221117,131500,25459.33,25474,25459.33,25473.49,0,0
^MDAX,5,20221117,132000,25475.04,25479.72,25447.32,25447.32,0,0
^MDAX,5,20221117,132500,25450,25504.93,25450,25472.44,0,0
^MDAX,5,20221117,133000,25472.05,25472.05,25459.1,25460.17,0,0
^MDAX,5,20221117,133500,25460.17,25460.17,25440.71,25440.73,0,0
^MDAX,5,20221117,134000,25440.73,25444.8,25416.08,25416.08,0,0
^MDAX,5,20221117,134500,25415.18,25419.12,25397.69,25397.69,0,0
^MDAX,5,20221117,135000,25397.53,25410.69,25397.53,25404.87,0,0
^MDAX,5,20221117,135500,25404.34,25408.02,25393.62,25401.8,0,0
^MDAX,5,20221117,140000,25399.04,25399.04,25360.69,25368.41,0,0
^MDAX,5,20221117,140500,25360.31,25360.37,25318.86,25327.16,0,0
^MDAX,5,20221117,141000,25327.13,25335.57,25324.09,25335.57,0,0
^MDAX,5,20221117,141500,25335.31,25376.05,25335.31,25375.52,0,0
^MDAX,5,20221117,142000,25374.52,25374.52,25355.39,25355.39,0,0
^MDAX,5,20221117,142500,25356.95,25378.88,25351.54,25378.38,0,0
^MDAX,5,20221117,143000,25377.37,25385.74,25359.92,25362.71,0,0
^MDAX,5,20221117,143500,25362.89,25362.89,25337.68,25337.68,0,0
^MDAX,5,20221117,144000,25337.82,25340.22,25316.9,25334.03,0,0
^MDAX,5,20221117,144500,25333.7,25337.24,25295.14,25295.14,0,0
^MDAX,5,20221117,145000,25295.09,25303.67,25283.34,25301.78,0,0
^MDAX,5,20221117,145500,25302.03,25303.78,25284.65,25284.81,0,0
^MDAX,5,20221117,150000,25281.3,25286.2,25270.52,25281.52,0,0
^MDAX,5,20221117,150500,25281.88,25300.53,25280.9,25299.4,0,0
^MDAX,5,20221117,151000,25301.75,25309.33,25277.47,25278.64,0,0
^MDAX,5,20221117,151500,25279.15,25293.4,25276.99,25286.26,0,0
^MDAX,5,20221117,152000,25286.88,25290.61,25271.93,25271.93,0,0
^MDAX,5,20221117,152500,25270.41,25290.35,25264.75,25290.35,0,0
^MDAX,5,20221117,153000,25292.57,25347.9,25292.57,25337.76,0,0
^MDAX,5,20221117,153500,25342.48,25394.28,25338.97,25350.12,0,0
^MDAX,5,20221117,154000,25350.3,25384.95,25333.46,25355.87,0,0
^MDAX,5,20221117,154500,25355.73,25388.78,25349.59,25388.78,0,0
^MDAX,5,20221117,155000,25392.02,25400.34,25371.92,25371.92,0,0
