<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^MOEX,5,20221117,080000,2227.54,2228.9,2222,2223.9,0,0
^MOEX,5,20221117,080500,2223.57,2228.96,2223.37,2226.58,0,0
^MOEX,5,20221117,081000,2228.78,2233.69,2228.22,2233.67,0,0
^MOEX,5,20221117,081500,2233.59,2235.64,2232.97,2235.56,0,0
^MOEX,5,20221117,082000,2233.72,2235.71,2231.97,2232.84,0,0
^MOEX,5,20221117,082500,2232.53,2232.55,2228.98,2231.62,0,0
^MOEX,5,20221117,083000,2230.39,2230.39,2227.39,2228.49,0,0
^MOEX,5,20221117,083500,2230.16,2230.16,2227.95,2228.89,0,0
^MOEX,5,20221117,084000,2228.85,2228.87,2227.08,2227.67,0,0
^MOEX,5,20221117,084500,2227.44,2227.61,2226.86,2227.05,0,0
^MOEX,5,20221117,085000,2227.61,2230.25,2227.38,2230,0,0
^MOEX,5,20221117,085500,2229.57,2229.57,2227.72,2228.23,0,0
^MOEX,5,20221117,090000,2228.56,2228.6,2225.34,2225.75,0,0
^MOEX,5,20221117,090500,2225.79,2226.41,2225.32,2226.13,0,0
^MOEX,5,20221117,091000,2225.59,2226.1,2222.4,2222.56,0,0
^MOEX,5,20221117,091500,2224,2224.69,2223.28,2224.39,0,0
^MOEX,5,20221117,092000,2223.3,2224.06,2222.85,2223.38,0,0
^MOEX,5,20221117,092500,2223.36,2223.98,2221.98,2222.33,0,0
^MOEX,5,20221117,093000,2222.25,2222.51,2222,2222.31,0,0
^MOEX,5,20221117,093500,2222.07,2225.04,2221.48,2224.1,0,0
^MOEX,5,20221117,094000,2225.09,2226.35,2224.28,2225.31,0,0
^MOEX,5,20221117,094500,2226.48,2228.02,2226.45,2227.21,0,0
^MOEX,5,20221117,095000,2227.55,2228.59,2227.55,2228.47,0,0
^MOEX,5,20221117,095500,2228.54,2229.16,2228.42,2228.85,0,0
^MOEX,5,20221117,100000,2228.37,2228.39,2226.7,2226.84,0,0
