<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^MRV,5,20221117,150000,154108.77,155101.56,154108.77,154897.12,0,0
^MRV,5,20221117,150500,154917.9,155314.83,154917.9,155200.31,0,0
^MRV,5,20221117,151000,154978.33,154978.33,154281.9,154718.05,0,0
^MRV,5,20221117,151500,154703.73,155080.95,154693.2,154887.66,0,0
^MRV,5,20221117,152000,154960.08,155034.34,154400.1,154563.53,0,0
^MRV,5,20221117,152500,154496.7,154496.7,154099.94,154318.94,0,0
^MRV,5,20221117,153000,154240.7,154240.7,153024.23,153524.6,0,0
^MRV,5,20221117,153500,153493.58,153717.39,153261.4,153596.47,0,0
^MRV,5,20221117,154000,153298.94,153427.9,152825.12,153292.44,0,0
^MRV,5,20221117,154500,153286.56,153407.31,153107.6,153154.16,0,0
^MRV,5,20221117,155000,153120.78,153410.23,152946.27,153410.23,0,0
^MRV,5,20221117,155500,153428.14,153428.14,153208.16,153361.97,0,0
^MRV,5,20221117,160000,153362.48,153383.73,153020.08,153267.39,0,0
^MRV,5,20221117,160500,153273.28,153702.05,153273.28,153702.05,0,0
^MRV,5,20221117,161000,153636.62,153838.27,153564.9,153715.02,0,0
^MRV,5,20221117,161500,153607.94,153792.08,153467.77,153791.77,0,0
^MRV,5,20221117,162000,153861.77,153966.48,153845.9,153916.84,0,0
^MRV,5,20221117,162500,153887.97,154555.84,153887.97,154555.84,0,0
^MRV,5,20221117,163000,154526.52,154614.88,154274.62,154568.48,0,0
^MRV,5,20221117,163500,154577.8,154683.45,154347.56,154511.44,0,0
^MRV,5,20221117,164000,154496.05,154637.62,154383.4,154383.4,0,0
^MRV,5,20221117,164500,154370.72,154443.66,154124.2,154186.98,0,0
^MRV,5,20221117,165000,154275.38,154326.34,154157.8,154326.34,0,0
^MRV,5,20221117,165500,154224.7,154318.39,154091.67,154195.84,0,0
^MRV,5,20221117,170000,154251.77,154460.75,154201.52,154246.83,0,0
^MRV,5,20221117,170500,154223.98,154329.33,154203.94,154329.33,0,0
^MRV,5,20221117,171000,154318.78,154423.81,154175.66,154317.33,0,0
^MRV,5,20221117,171500,154309.81,154351.19,154194.89,154194.89,0,0
^MRV,5,20221117,172000,154161.3,154253.95,154139.34,154253.95,0,0
^MRV,5,20221117,172500,154301.89,154491.9,154301.89,154418.66,0,0
^MRV,5,20221117,173000,154378.52,154503.3,154285,154382.4,0,0
^MRV,5,20221117,173500,154400.94,154460.1,154206.8,154220.17,0,0
^MRV,5,20221117,174000,154231.66,154268.56,154173.83,154238.58,0,0
^MRV,5,20221117,174500,154256.16,154261.77,154053.81,154053.81,0,0
^MRV,5,20221117,175000,154083.4,154137.52,153965.58,153969.16,0,0
^MRV,5,20221117,175500,153903.27,154235.86,153868.7,154166.6,0,0
^MRV,5,20221117,180000,154192.42,154261.97,154044.84,154172.53,0,0
^MRV,5,20221117,180500,154158.22,154239.44,154045.19,154083.84,0,0
^MRV,5,20221117,181000,154126.03,154302.73,154100.78,154298.28,0,0
^MRV,5,20221117,181500,154290.44,154327.86,154080.94,154166.42,0,0
^MRV,5,20221117,182000,154155.88,154297.38,154135.27,154266.97,0,0
^MRV,5,20221117,182500,154235.69,154268.25,153962.39,153964.56,0,0
^MRV,5,20221117,183000,154003.02,154017,153852.88,153866.44,0,0
^MRV,5,20221117,183500,153892.36,154032.2,153863.78,154032.2,0,0
^MRV,5,20221117,184000,154075.86,154145.12,153934.1,154122.75,0,0
