<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^MT30,5,20221117,080000,1546.74,1546.92,1542.36,1542.36,0,0
^MT30,5,20221117,080500,1537.99,1540.06,1537.87,1540.06,0,0
^MT30,5,20221117,081000,1540.74,1541.56,1540.74,1540.91,0,0
^MT30,5,20221117,081500,1540.81,1541.84,1540.81,1541.52,0,0
^MT30,5,20221117,082000,1541.14,1541.38,1539.34,1539.34,0,0
^MT30,5,20221117,082500,1539.27,1539.3,1538.81,1539.3,0,0
^MT30,5,20221117,083000,1539.55,1540.05,1538.89,1538.89,0,0
^MT30,5,20221117,083500,1538.29,1538.4,1537.82,1537.82,0,0
^MT30,5,20221117,084000,1538.34,1539.39,1538.34,1539.24,0,0
^MT30,5,20221117,084500,1539.08,1539.12,1538.96,1539.01,0,0
^MT30,5,20221117,085000,1539.04,1541.56,1539.04,1541.56,0,0
^MT30,5,20221117,085500,1540.88,1543.68,1540.88,1543.68,0,0
^MT30,5,20221117,090000,1545.03,1545.71,1544.4,1545.71,0,0
^MT30,5,20221117,090500,1545.51,1545.51,1543.38,1543.91,0,0
^MT30,5,20221117,091000,1543.95,1544.12,1543.05,1543.16,0,0
^MT30,5,20221117,091500,1543.47,1543.6,1542.82,1543.6,0,0
^MT30,5,20221117,092000,1543.9,1544.55,1543.9,1544.55,0,0
^MT30,5,20221117,092500,1545.02,1545.02,1544.62,1544.95,0,0
^MT30,5,20221117,093000,1545.44,1547.35,1545.28,1546.71,0,0
^MT30,5,20221117,093500,1546.94,1547.11,1546.32,1547.09,0,0
^MT30,5,20221117,094000,1546.75,1547.28,1546.56,1547.28,0,0
^MT30,5,20221117,094500,1545.78,1547.78,1545.78,1547.78,0,0
^MT30,5,20221117,095000,1547.03,1547.03,1545.16,1545.16,0,0
^MT30,5,20221117,095500,1545.21,1545.21,1544.17,1544.21,0,0
^MT30,5,20221117,100000,1543.76,1543.77,1542.09,1542.09,0,0
^MT30,5,20221117,100500,1542.29,1542.95,1541.45,1542.95,0,0
^MT30,5,20221117,101000,1542.69,1543.36,1541.66,1541.66,0,0
^MT30,5,20221117,101500,1541.93,1542.36,1541.93,1542.02,0,0
^MT30,5,20221117,102000,1541.83,1541.88,1541.23,1541.24,0,0
^MT30,5,20221117,102500,1541.67,1541.67,1540.81,1540.86,0,0
^MT30,5,20221117,103000,1540.9,1540.9,1540.55,1540.55,0,0
^MT30,5,20221117,103500,1540.5,1540.54,1539.87,1539.87,0,0
^MT30,5,20221117,104000,1540.41,1540.41,1539.48,1540.33,0,0
^MT30,5,20221117,104500,1540.02,1540.02,1539.37,1539.76,0,0
^MT30,5,20221117,105000,1540.28,1540.28,1539.6,1539.6,0,0
^MT30,5,20221117,105500,1539.58,1540.09,1539.58,1539.85,0,0
^MT30,5,20221117,110000,1540.34,1540.64,1539.29,1539.29,0,0
^MT30,5,20221117,110500,1539.65,1539.93,1539.14,1539.14,0,0
^MT30,5,20221117,111000,1539.58,1539.66,1539.21,1539.66,0,0
^MT30,5,20221117,111500,1539.52,1539.74,1538.64,1538.71,0,0
^MT30,5,20221117,112000,1538.22,1538.86,1537.91,1537.91,0,0
^MT30,5,20221117,112500,1538,1538,1537.49,1537.95,0,0
^MT30,5,20221117,113000,1537.74,1537.74,1536.74,1536.89,0,0
^MT30,5,20221117,113500,1536.44,1536.88,1535.8,1536.02,0,0
^MT30,5,20221117,114000,1535.92,1536.27,1535.92,1536.24,0,0
^MT30,5,20221117,114500,1536.36,1537.68,1536.36,1537.68,0,0
^MT30,5,20221117,115000,1538.39,1539.06,1538.39,1538.84,0,0
^MT30,5,20221117,115500,1539.36,1539.36,1538.3,1538.43,0,0
^MT30,5,20221117,120000,1538.46,1538.9,1538.46,1538.9,0,0
^MT30,5,20221117,120500,1539.19,1540.36,1538.86,1540.36,0,0
^MT30,5,20221117,121000,1539.34,1540.07,1539.34,1539.73,0,0
^MT30,5,20221117,121500,1540.49,1541.59,1540.3,1541.59,0,0
^MT30,5,20221117,122000,1541.97,1542.42,1541.73,1542.42,0,0
^MT30,5,20221117,122500,1542.73,1543.06,1542.53,1542.9,0,0
^MT30,5,20221117,123000,1542.48,1543.13,1542.44,1543.13,0,0
^MT30,5,20221117,123500,1542.55,1543.47,1542.55,1543.38,0,0
^MT30,5,20221117,124000,1543.56,1543.56,1542.62,1542.62,0,0
^MT30,5,20221117,124500,1542.97,1543.22,1542.36,1542.64,0,0
^MT30,5,20221117,125000,1542.32,1542.42,1541.91,1542.17,0,0
^MT30,5,20221117,125500,1541.3,1543.66,1540.37,1543.66,0,0
^MT30,5,20221120,080000,1542.81,1542.81,1538.62,1538.62,0,0
^MT30,5,20221120,080500,1537.96,1538.74,1537.39,1538.74,0,0
^MT30,5,20221120,081000,1539.98,1541.73,1539.64,1539.95,0,0
^MT30,5,20221120,081500,1540.27,1540.35,1539.87,1539.88,0,0
^MT30,5,20221120,082000,1540.8,1540.8,1540.04,1540.5,0,0
^MT30,5,20221120,082500,1540.07,1540.07,1539.43,1539.5,0,0
^MT30,5,20221120,083000,1540.15,1540.15,1536.57,1536.57,0,0
^MT30,5,20221120,083500,1536.71,1536.71,1535.58,1535.58,0,0
^MT30,5,20221120,084000,1534.25,1534.39,1534.02,1534.1,0,0
^MT30,5,20221120,084500,1533.87,1533.98,1533.82,1533.92,0,0
^MT30,5,20221120,085000,1534.18,1534.84,1534.18,1534.84,0,0
^MT30,5,20221120,085500,1534.89,1534.94,1534.44,1534.44,0,0
^MT30,5,20221120,090000,1535.32,1535.44,1534.16,1534.16,0,0
^MT30,5,20221120,090500,1534.78,1534.78,1533.5,1533.54,0,0
^MT30,5,20221120,091000,1533.08,1533.61,1532.97,1533.48,0,0
^MT30,5,20221120,091500,1532.71,1532.71,1531.86,1531.86,0,0
^MT30,5,20221120,092000,1532.16,1532.43,1531.27,1531.27,0,0
^MT30,5,20221120,092500,1530.88,1530.88,1530.26,1530.3,0,0
^MT30,5,20221120,093000,1530.11,1530.11,1528.98,1528.98,0,0
^MT30,5,20221120,093500,1529.03,1529.03,1528.45,1528.45,0,0
^MT30,5,20221120,094000,1528.45,1528.45,1527.46,1527.46,0,0
^MT30,5,20221120,094500,1527.43,1527.43,1526.91,1527.21,0,0
^MT30,5,20221120,095000,1527.07,1527.96,1527.07,1527.96,0,0
^MT30,5,20221120,095500,1528.12,1528.12,1527.67,1528.03,0,0
^MT30,5,20221120,100000,1528.54,1529.1,1528.54,1529.1,0,0
^MT30,5,20221120,100500,1529.62,1530.01,1529.62,1529.77,0,0
^MT30,5,20221120,101000,1530.28,1530.66,1529.48,1529.48,0,0
^MT30,5,20221120,101500,1529.62,1531.19,1529.34,1531.19,0,0
^MT30,5,20221120,102000,1531.98,1532.43,1531.53,1531.55,0,0
^MT30,5,20221120,102500,1530.33,1530.72,1529.85,1530.16,0,0
^MT30,5,20221120,103000,1530,1530.94,1530,1530.94,0,0
^MT30,5,20221120,103500,1531.09,1531.09,1530.39,1530.39,0,0
^MT30,5,20221120,104000,1530.12,1531.58,1530.12,1531.42,0,0
^MT30,5,20221120,104500,1531.09,1531.12,1529.73,1529.73,0,0
^MT30,5,20221120,105000,1529.8,1530.77,1529.8,1530.58,0,0
^MT30,5,20221120,105500,1530.39,1530.39,1529.73,1529.88,0,0
^MT30,5,20221120,110000,1529.54,1529.73,1529.14,1529.46,0,0
^MT30,5,20221120,110500,1529.22,1529.41,1529.16,1529.16,0,0
^MT30,5,20221120,111000,1529.47,1529.51,1529.1,1529.1,0,0
^MT30,5,20221120,111500,1529.53,1529.53,1528.54,1528.54,0,0
^MT30,5,20221120,112000,1529.23,1529.54,1529.12,1529.54,0,0
^MT30,5,20221120,112500,1529.19,1529.8,1528.98,1528.98,0,0
^MT30,5,20221120,113000,1529.63,1529.74,1529.2,1529.26,0,0
^MT30,5,20221120,113500,1529.08,1529.77,1528.94,1529.77,0,0
