<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NDQ,5,20221117,153000,11009.718,11031.31,11009.187,11030.949,111479873,0
^NDQ,5,20221117,153500,11031.667,11045.088,11019.987,11030.529,75964215,0
^NDQ,5,20221117,154000,11024.77,11051.269,11021.582,11051.269,73479293,0
^NDQ,5,20221117,154500,11054.211,11070.231,11047.806,11067.398,70141036,0
^NDQ,5,20221117,155000,11067.062,11070.992,11043.926,11043.926,55851191,0
^NDQ,5,20221117,155500,11044.909,11045.762,11028.575,11028.575,53003942,0
^NDQ,5,20221117,160000,11027.319,11044.235,11019.46,11044.235,49837148,0
^NDQ,5,20221117,160500,11047.255,11053.427,11039.125,11041.969,47510642,0
^NDQ,5,20221117,161000,11044.707,11052.884,11033.043,11052.884,44711243,0
^NDQ,5,20221117,161500,11051.576,11093.533,11050.57,11093.533,49529432,0
^NDQ,5,20221117,162000,11095.909,11097.734,11086.717,11086.717,48201521,0
^NDQ,5,20221117,162500,11087.259,11103.98,11087.259,11096.749,40222539,0
^NDQ,5,20221117,163000,11097.153,11097.153,11074.132,11074.132,39735663,0
^NDQ,5,20221117,163500,11074.2705,11093.981,11073.95,11084.865,39592432,0
^NDQ,5,20221117,164000,11082.931,11094.63,11081.457,11089.853,37004842,0
^NDQ,5,20221117,164500,11087.925,11087.925,11059.432,11062.051,37907485,0
^NDQ,5,20221117,165000,11062.795,11068.886,11062.226,11066.507,31029150,0
^NDQ,5,20221117,165500,11066.802,11068.28,11051.279,11051.279,35022494,0
^NDQ,5,20221117,170000,11050.118,11062.835,11050.118,11053.282,28348098,0
^NDQ,5,20221117,170500,11055.36,11073.292,11049.26,11049.26,31317229,0
^NDQ,5,20221117,171000,11046.969,11058.467,11045.533,11058.467,29383241,0
^NDQ,5,20221117,171500,11058.147,11068.519,11054.723,11066.781,28044774,0
^NDQ,5,20221117,172000,11065.9375,11067.9,11052.634,11065.106,28721544,0
^NDQ,5,20221117,172500,11064.771,11079.039,11064.187,11076.288,29503251,0
^NDQ,5,20221117,173000,11077.257,11083.408,11072.339,11082.556,32073338,0
^NDQ,5,20221117,173500,11082.72,11090.327,11081.594,11087.911,29667206,0
^NDQ,5,20221117,174000,11088.525,11092.805,11083.854,11091.5625,24922988,0
^NDQ,5,20221117,174500,11090.249,11094.638,11083.853,11083.853,28818856,0
^NDQ,5,20221117,175000,11085.488,11094.241,11078.075,11084.255,30082884,0
^NDQ,5,20221117,175500,11084.789,11136.503,11084.789,11136.503,38870708,0
^NDQ,5,20221117,180000,11139.293,11145.753,11135.78,11143.936,28313613,0
^NDQ,5,20221117,180500,11144.425,11147.414,11138.696,11141.506,27691257,0
^NDQ,5,20221117,181000,11141.491,11150.013,11140.061,11140.98,28242324,0
^NDQ,5,20221117,181500,11140.261,11140.782,11129.953,11136.031,25258095,0
^NDQ,5,20221117,182000,11137.053,11137.053,11125.831,11126.911,22606936,0
^NDQ,5,20221117,182500,11126.539,11129.795,11123.679,11128.44,23564255,0
^NDQ,5,20221117,183000,11125.762,11133.581,11117.281,11118.537,23372373,0
^NDQ,5,20221117,183500,11117.819,11131.412,11117.445,11131.412,22746432,0
^NDQ,5,20221117,184000,11131.98,11139.567,11129.663,11135.657,24667566,0
^NDQ,5,20221117,184500,11135.298,11145.191,11135.297,11145.191,23644423,0
^NDQ,5,20221117,185000,11145.43,11165.711,11145.43,11161.429,28594667,0
^NDQ,5,20221117,185500,11161.29,11181.999,11161.173,11179.091,28351229,0
^NDQ,5,20221117,190000,11179.746,11186.508,11178.338,11178.338,27979389,0
^NDQ,5,20221117,190500,11178.103,11184.369,11173.123,11173.123,27405522,0
^NDQ,5,20221117,191000,11172.478,11186.321,11172.478,11178.267,24549411,0
^NDQ,5,20221117,191500,11178.568,11193.64,11178.39,11193.64,25188388,0
^NDQ,5,20221117,192000,11193.802,11198.664,11189.588,11191.529,22952325,0
^NDQ,5,20221117,192500,11192.172,11192.333,11178.939,11180.046,23529863,0
^NDQ,5,20221117,193000,11180.289,11182.944,11173.846,11181.165,20792763,0
^NDQ,5,20221117,193500,11181.83,11197.289,11180.864,11196.625,24465381,0
^NDQ,5,20221117,194000,11196.059,11197.499,11185.844,11187.18,25270059,0
^NDQ,5,20221117,194500,11186.452,11186.452,11168.606,11169.287,25536105,0
^NDQ,5,20221117,195000,11169.187,11170.186,11158.838,11163.149,24899782,0
^NDQ,5,20221117,195500,11163.213,11173.1,11159.383,11171.887,22426858,0
^NDQ,5,20221117,200000,11171.747,11179.205,11170.653,11174.41,22684128,0
^NDQ,5,20221117,200500,11174.054,11174.065,11149.321,11149.321,24778921,0
^NDQ,5,20221117,201000,11148.687,11148.687,11133.421,11134.418,30889984,0
^NDQ,5,20221117,201500,11134.818,11134.818,11117.214,11120.504,26671543,0
^NDQ,5,20221117,202000,11120.297,11120.463,11110.141,11119.003,27071353,0
^NDQ,5,20221117,202500,11118.409,11124.234,11112.837,11119.392,25254778,0
^NDQ,5,20221117,203000,11119.541,11124.661,11116.362,11120.005,26017897,0
^NDQ,5,20221117,203500,11122.285,11123.714,11105.327,11113.562,28121562,0
^NDQ,5,20221117,204000,11113.733,11118.643,11105.712,11113.614,25959168,0
^NDQ,5,20221117,204500,11110.719,11123.678,11102.412,11121.314,26350248,0
^NDQ,5,20221117,205000,11120.973,11125.249,11117.401,11125.209,22416409,0
^NDQ,5,20221117,205500,11126.178,11126.178,11118.892,11119.212,24538455,0
^NDQ,5,20221117,210000,11119.364,11123.302,11106.64,11109.197,31604431,0
^NDQ,5,20221117,210500,11108.846,11121.529,11102.923,11103.435,27168011,0
^NDQ,5,20221117,211000,11103.535,11103.535,11085.009,11085.009,30536157,0
^NDQ,5,20221117,211500,11086.448,11087.074,11078.867,11080.692,29703000,0
^NDQ,5,20221117,212000,11080.324,11081.347,11072.259,11073.269,32825575,0
^NDQ,5,20221117,212500,11073.405,11079.113,11067.911,11078.105,34390950,0
^NDQ,5,20221117,213000,11076.823,11091.395,11076.823,11087.936,36131536,0
^NDQ,5,20221117,213500,11088.123,11094.045,11086.159,11094.045,36202687,0
^NDQ,5,20221117,214000,11094.142,11105.583,11094.135,11103.635,43236544,0
^NDQ,5,20221117,214500,11103.244,11133.986,11102.662,11132.307,60596744,0
^NDQ,5,20221117,215000,11137.871,11137.871,11120.147,11120.147,72504178,0
^NDQ,5,20221117,215500,11118.979,11147.088,11118.624,11144.958,334858912,0
^NDQ,5,20221118,153000,11256.087,11256.153,11203.947,11204.705,146962282,0
^NDQ,5,20221118,153500,11205.853,11218.66,11184.68,11184.68,75023240,0
^NDQ,5,20221118,154000,11184.418,11198.413,11184.418,11195.773,64983043,0
^NDQ,5,20221118,154500,11195.3545,11205.314,11177.271,11177.271,54682692,0
^NDQ,5,20221118,155000,11177.945,11200.031,11177.945,11199.711,54523669,0
^NDQ,5,20221118,155500,11198.167,11213.31,11189.822,11192.063,52036467,0
^NDQ,5,20221118,160000,11192.925,11192.925,11145.465,11148.537,52198611,0
^NDQ,5,20221118,160500,11146.317,11149.928,11126.263,11137.552,46055607,0
^NDQ,5,20221118,161000,11140.081,11150.611,11138.824,11139.444,37531567,0
^NDQ,5,20221118,161500,11137.636,11154.055,11133.105,11144.784,43395343,0
^NDQ,5,20221118,162000,11145.458,11165.187,11145.458,11157.058,44241003,0
^NDQ,5,20221118,162500,11158.478,11160.662,11130.659,11149.814,41693305,0
^NDQ,5,20221118,163000,11152.88,11161.867,11148.141,11154.637,36844448,0
^NDQ,5,20221118,163500,11154.589,11165.144,11144.685,11150.769,36388379,0
^NDQ,5,20221118,164000,11150.03,11161.947,11150.03,11151.072,33160180,0
^NDQ,5,20221118,164500,11152.77,11154.423,11139.416,11152.9375,31915412,0
^NDQ,5,20221118,165000,11152.726,11155.99,11145.77,11153.158,35158544,0
^NDQ,5,20221118,165500,11152.875,11153.922,11113.112,11120.318,36137507,0
^NDQ,5,20221118,170000,11120.905,11124.818,11101.962,11104.783,29739779,0
^NDQ,5,20221118,170500,11106.051,11117.856,11106.051,11116.535,30988759,0
^NDQ,5,20221118,171000,11115.6455,11129.456,11111.393,11129.456,29003752,0
^NDQ,5,20221118,171500,11129.546,11151.847,11127.823,11151.847,28167235,0
^NDQ,5,20221118,172000,11152.879,11154.052,11142.762,11146.948,27921443,0
^NDQ,5,20221118,172500,11146.959,11152.003,11139.805,11141.272,28954015,0
^NDQ,5,20221118,173000,11142.43,11152.813,11140.627,11144.168,25379639,0
^NDQ,5,20221118,173500,11143.248,11147.648,11121.165,11122.05,28977232,0
^NDQ,5,20221118,174000,11123.462,11126.764,11117.927,11123.733,23500791,0
^NDQ,5,20221118,174500,11124.388,11126.388,11109.408,11110.016,25593772,0
^NDQ,5,20221118,175000,11109.67,11119.814,11106.499,11118.525,23970182,0
^NDQ,5,20221118,175500,11117.788,11125.919,11115.302,11121.584,22808743,0
^NDQ,5,20221118,180000,11124.66,11130.664,11122.563,11130.172,21013625,0
^NDQ,5,20221118,180500,11129.553,11129.703,11101.745,11108.214,29586811,0
^NDQ,5,20221118,181000,11107.47,11112.029,11105.039,11105.039,22096461,0
^NDQ,5,20221118,181500,11105.092,11105.092,11069.331,11069.331,37752099,0
^NDQ,5,20221118,182000,11068.046,11069.832,11061.168,11061.168,26631028,0
^NDQ,5,20221118,182500,11059.688,11081.458,11059.688,11081.458,29886462,0
^NDQ,5,20221118,183000,11081.552,11083.458,11077.499,11082.752,25562166,0
^NDQ,5,20221118,183500,11082.76,11091.682,11081.258,11091.682,23023170,0
^NDQ,5,20221118,184000,11092.012,11092.743,11078.755,11078.755,22981728,0
^NDQ,5,20221118,184500,11079.469,11083.201,11075.581,11080.48,19632041,0
^NDQ,5,20221118,185000,11080.263,11082.843,11063.472,11069.908,24210071,0
^NDQ,5,20221118,185500,11069.439,11079.477,11066.243,11078.267,20324415,0
^NDQ,5,20221118,190000,11078.63,11083.377,11076.888,11081.135,20724016,0
^NDQ,5,20221118,190500,11081.221,11100.585,11080.819,11100.453,22420880,0
^NDQ,5,20221118,191000,11100.052,11101.247,11093.834,11094.273,19733401,0
^NDQ,5,20221118,191500,11094.714,11094.714,11081.73,11086.7,22546718,0
^NDQ,5,20221118,192000,11086.1455,11094.972,11081.857,11094.972,20165447,0
^NDQ,5,20221118,192500,11095.165,11110.941,11092.658,11110.941,20811097,0
^NDQ,5,20221118,193000,11111.05,11113.451,11105.313,11109.251,18984778,0
^NDQ,5,20221118,193500,11109.415,11111.071,11095.51,11097.181,19106018,0
^NDQ,5,20221118,194000,11096.334,11097.858,11079.021,11079.84,22816057,0
^NDQ,5,20221118,194500,11079.92,11082.481,11076.154,11077.201,20157256,0
^NDQ,5,20221118,195000,11077.2705,11080.046,11073.692,11074.73,20246220,0
^NDQ,5,20221118,195500,11074.556,11085.033,11074.462,11085.033,19886858,0
^NDQ,5,20221118,200000,11085.767,11101.181,11085.767,11100.161,23587589,0
^NDQ,5,20221118,200500,11100.401,11103.739,11097.897,11099.879,19365740,0
^NDQ,5,20221118,201000,11099.389,11100.846,11095.91,11097.16,17874515,0
^NDQ,5,20221118,201500,11097.144,11109.901,11096.936,11097.654,22847053,0
^NDQ,5,20221118,202000,11097.812,11104.131,11097.518,11102.013,17696098,0
^NDQ,5,20221118,202500,11102.236,11103.53,11093.451,11094.465,21014977,0
^NDQ,5,20221118,203000,11094.585,11102.169,11086.78,11092.626,28146431,0
^NDQ,5,20221118,203500,11092.714,11092.737,11084.992,11091.49,23787805,0
^NDQ,5,20221118,204000,11091.146,11098.926,11089.41,11091.293,21449338,0
^NDQ,5,20221118,204500,11091.042,11093.524,11085.273,11087.554,21390201,0
^NDQ,5,20221118,205000,11087.503,11098.049,11087.503,11097.053,22265409,0
^NDQ,5,20221118,205500,11096.979,11109.944,11096.979,11109.492,23261606,0
^NDQ,5,20221118,210000,11107.62,11126.69,11107.396,11125.11,30925767,0
^NDQ,5,20221118,210500,11126.179,11134.56,11126.179,11133.081,30343834,0
^NDQ,5,20221118,211000,11133.632,11136.754,11129.46,11129.776,24420087,0
^NDQ,5,20221118,211500,11128.947,11129.417,11122.248,11127.65,27283429,0
^NDQ,5,20221118,212000,11127.649,11127.649,11113.99,11119.726,27311236,0
^NDQ,5,20221118,212500,11120.125,11144.831,11118.827,11144.831,31421774,0
^NDQ,5,20221118,213000,11146.957,11146.957,11138.345,11138.345,34995416,0
^NDQ,5,20221118,213500,11137.071,11157.399,11135.577,11157.399,38815250,0
