<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NDX,5,20221117,153000,11521.64,11551.988,11519.833,11547.231,27296600,0
^NDX,5,20221117,153500,11550.799,11567.724,11539.515,11553.956,14889854,0
^NDX,5,20221117,154000,11552.499,11573.125,11545.05,11573.125,15746380,0
^NDX,5,20221117,154500,11577.559,11598.9795,11573.444,11594.486,15080110,0
^NDX,5,20221117,155000,11597.259,11601.519,11569.782,11569.782,12168307,0
^NDX,5,20221117,155500,11569.639,11571.469,11554.495,11554.495,12597124,0
^NDX,5,20221117,160000,11554.013,11569.257,11542.722,11569.257,11721517,0
^NDX,5,20221117,160500,11570.033,11582.164,11565.859,11569.246,11089168,0
^NDX,5,20221117,161000,11571.885,11579.665,11557.251,11578.062,9485130,0
^NDX,5,20221117,161500,11579.4795,11620.077,11577.145,11620.077,12082157,0
^NDX,5,20221117,162000,11627.745,11629.48,11618.384,11618.859,10900868,0
^NDX,5,20221117,162500,11617.419,11636.388,11617.419,11627.883,9560965,0
^NDX,5,20221117,163000,11629.31,11629.31,11602.921,11602.921,9354501,0
^NDX,5,20221117,163500,11601.726,11622.172,11601.726,11611.271,8655772,0
^NDX,5,20221117,164000,11610.769,11622.582,11607.334,11618.235,8745281,0
^NDX,5,20221117,164500,11616.708,11616.708,11585.154,11587.96,8569852,0
^NDX,5,20221117,165000,11588.283,11595.654,11587.528,11587.528,7371436,0
^NDX,5,20221117,165500,11592.423,11594.504,11575.335,11576.539,7249036,0
^NDX,5,20221117,170000,11576.005,11588.209,11573.767,11578.549,6301290,0
^NDX,5,20221117,170500,11578.326,11601.299,11576.547,11576.547,7867943,0
^NDX,5,20221117,171000,11573.537,11583.691,11570.289,11583.691,6242909,0
^NDX,5,20221117,171500,11584.312,11596.193,11580.991,11596.193,6750272,0
^NDX,5,20221117,172000,11594.749,11595.124,11578.838,11593.458,7176159,0
^NDX,5,20221117,172500,11593.392,11609.345,11591.706,11606.603,7074986,0
^NDX,5,20221117,173000,11606.078,11614.397,11602.17,11612.424,6878262,0
^NDX,5,20221117,173500,11613.068,11625.077,11613.068,11621.123,6512029,0
^NDX,5,20221117,174000,11620.539,11626.598,11615.706,11624.729,6410828,0
