<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NKX,5,20221117,010000,27952.21,27997.64,27932.57,27932.57,0,0
^NKX,5,20221117,010500,27925.71,27957.97,27910.01,27950.01,0,0
^NKX,5,20221117,011000,27956.26,27995.56,27949.71,27978.57,0,0
^NKX,5,20221117,011500,27976.24,27986.09,27955.7,27963.15,0,0
^NKX,5,20221117,012000,27959.26,27977.64,27957.68,27972.95,0,0
^NKX,5,20221117,012500,27970.45,27978.42,27967.77,27969.71,0,0
^NKX,5,20221117,013000,27971.86,27971.86,27943.43,27953.77,0,0
^NKX,5,20221117,013500,27956.78,27962.75,27937.33,27939.91,0,0
^NKX,5,20221117,014000,27929.88,27935.53,27915.66,27926.41,0,0
^NKX,5,20221117,014500,27925.57,27951.09,27923.18,27950.76,0,0
^NKX,5,20221117,015000,27949.68,27954.12,27922.08,27922.08,0,0
^NKX,5,20221117,015500,27918.97,27960.19,27918.97,27960.19,0,0
^NKX,5,20221117,020000,27959.23,27968.8,27949.44,27967.27,0,0
^NKX,5,20221117,020500,27967.49,27993.6,27964.23,27984.07,0,0
^NKX,5,20221117,021000,27984.16,27993.14,27983.77,27990.47,0,0
^NKX,5,20221117,021500,27985.86,28010.68,27985.67,27986.82,0,0
^NKX,5,20221117,022000,27987.03,27995.83,27975.05,27992,0,0
^NKX,5,20221117,022500,27992.55,28000.91,27987.65,27993.75,0,0
^NKX,5,20221117,023000,27995.25,28010.55,27995.25,28007.25,0,0
^NKX,5,20221117,023500,28007.11,28022.39,28006.3,28021.92,0,0
^NKX,5,20221117,024000,28018.35,28029.62,28006.92,28016.71,0,0
^NKX,5,20221117,024500,28017.73,28020.9,27992.14,27994.26,0,0
^NKX,5,20221117,025000,27986.99,27986.99,27940.2,27944.92,0,0
^NKX,5,20221117,025500,27945.46,27961.8,27945.46,27960.39,0,0
^NKX,5,20221117,030000,27961.62,27979.19,27960.44,27976.2,0,0
^NKX,5,20221117,030500,27976.17,27976.3,27960.13,27960.75,0,0
^NKX,5,20221117,031000,27961.03,27961.03,27918.74,27925.98,0,0
^NKX,5,20221117,031500,27929,27929.89,27920.28,27928,0,0
^NKX,5,20221117,032000,27928.42,27928.42,27918.47,27923.32,0,0
^NKX,5,20221117,032500,27924.02,27924.42,27916.37,27918.64,0,0
^NKX,5,20221117,033000,27918.82,27918.82,27915.58,27915.58,0,0
^NKX,5,20221117,043000,27917.93,27931.51,27917.93,27924.44,0,0
^NKX,5,20221117,043500,27923.71,27928.07,27920.26,27921.05,0,0
^NKX,5,20221117,044000,27921.99,27931.96,27921.99,27931.96,0,0
^NKX,5,20221117,044500,27932.07,27933.93,27924.15,27924.36,0,0
^NKX,5,20221117,045000,27926.73,27931.48,27924.69,27931.48,0,0
^NKX,5,20221117,045500,27930.49,27950.51,27928.54,27946.88,0,0
^NKX,5,20221117,050000,27947.38,27949.58,27941.01,27942.12,0,0
^NKX,5,20221117,050500,27941.97,27941.97,27935.08,27935.08,0,0
^NKX,5,20221117,051000,27935.59,27940.45,27934.99,27939.03,0,0
^NKX,5,20221117,051500,27939.16,27943.15,27937.68,27941.59,0,0
^NKX,5,20221117,052000,27940.35,27947.28,27938.53,27945.27,0,0
^NKX,5,20221117,052500,27945.33,27949.36,27945.33,27945.74,0,0
^NKX,5,20221117,053000,27946.31,27946.77,27939.72,27940.22,0,0
^NKX,5,20221117,053500,27939.93,27942.61,27934.8,27938.9,0,0
^NKX,5,20221117,054000,27938.57,27938.87,27930.02,27930.02,0,0
^NKX,5,20221117,054500,27931.14,27932.32,27920.04,27920.04,0,0
^NKX,5,20221117,055000,27920.26,27925.03,27919.44,27920.53,0,0
^NKX,5,20221117,055500,27921.16,27922.8,27915.8,27917.17,0,0
^NKX,5,20221117,060000,27915.94,27923.18,27912.55,27918.74,0,0
^NKX,5,20221117,060500,27919.5,27923.87,27914.91,27923.25,0,0
^NKX,5,20221117,061000,27923.42,27925.89,27917.61,27923.38,0,0
^NKX,5,20221117,061500,27924.06,27932.76,27923.54,27932.76,0,0
^NKX,5,20221117,062000,27933.09,27948.24,27932.76,27945.39,0,0
^NKX,5,20221117,062500,27945.01,27948.97,27942.9,27947.13,0,0
^NKX,5,20221117,063000,27945.23,27948.47,27936.47,27936.47,0,0
^NKX,5,20221117,063500,27935.53,27937.57,27931.04,27934.67,0,0
^NKX,5,20221117,064000,27934.39,27941.56,27934.39,27937.4,0,0
^NKX,5,20221117,064500,27937.15,27938.92,27927.33,27929.62,0,0
^NKX,5,20221117,065000,27929.78,27930.35,27925.37,27928.03,0,0
^NKX,5,20221117,065500,27928.93,27938.02,27928.93,27930.57,0,0
^NKX,5,20221118,010000,28009.82,28009.82,27956.69,27960.48,0,0
^NKX,5,20221118,010500,27965.39,27980.11,27956.78,27980.11,0,0
^NKX,5,20221118,011000,27978.26,27989.51,27969.39,27986.23,0,0
^NKX,5,20221118,011500,27986.66,27997.2,27979.41,27997.2,0,0
^NKX,5,20221118,012000,27995.3,28005.6,27971.88,27975.66,0,0
^NKX,5,20221118,012500,27975.05,27975.05,27947.64,27947.64,0,0
^NKX,5,20221118,013000,27937.16,27950.76,27928.89,27943.03,0,0
^NKX,5,20221118,013500,27937.33,27953.79,27934.68,27946.24,0,0
^NKX,5,20221118,014000,27943.11,27959.89,27939.17,27954.67,0,0
^NKX,5,20221118,014500,27959.99,27973.45,27958.86,27969.71,0,0
^NKX,5,20221118,015000,27970.49,27984.89,27970.49,27984.45,0,0
^NKX,5,20221118,015500,27983.49,28042.24,27978.73,28042.24,0,0
^NKX,5,20221118,020000,28045.44,28045.44,27995.97,28020.41,0,0
^NKX,5,20221118,020500,28017.48,28022.49,27995.99,28007.34,0,0
^NKX,5,20221118,021000,28010.7,28023.37,28010.14,28012.62,0,0
^NKX,5,20221118,021500,28010.78,28038.58,28010.78,28021.58,0,0
^NKX,5,20221118,022000,28021.57,28034.93,28021.12,28034.42,0,0
^NKX,5,20221118,022500,28034.99,28036.95,28013.27,28013.27,0,0
^NKX,5,20221118,023000,28011.65,28016.46,27967.97,28002.43,0,0
^NKX,5,20221118,023500,28001.94,28005.48,27967.49,27967.49,0,0
^NKX,5,20221118,024000,27961.85,27961.85,27938.26,27944.59,0,0
^NKX,5,20221118,024500,27944.59,27980.23,27944.59,27980.23,0,0
^NKX,5,20221118,025000,27977.87,27985.84,27971.5,27981.29,0,0
^NKX,5,20221118,025500,27982.34,27988.24,27970.94,27974.04,0,0
^NKX,5,20221118,030000,27975.89,27993.87,27975.89,27977.32,0,0
^NKX,5,20221118,030500,27978.38,27985.87,27976.14,27985.46,0,0
^NKX,5,20221118,031000,27984.75,27987.28,27981.88,27982.7,0,0
^NKX,5,20221118,031500,27983.95,27986.65,27975.24,27975.84,0,0
^NKX,5,20221118,032000,27976.28,27985.26,27975.42,27981.33,0,0
^NKX,5,20221118,032500,27981.15,27981.15,27976.47,27976.47,0,0
^NKX,5,20221118,033000,27977.23,27977.23,27977.23,27977.23,0,0
^NKX,5,20221118,033500,27978.06,27978.06,27978.06,27978.06,0,0
^NKX,5,20221118,043000,27963.49,27968.06,27960.01,27961.1,0,0
^NKX,5,20221118,043500,27962.4,27963.46,27953.09,27959.37,0,0
^NKX,5,20221118,044000,27959.37,27976,27957.69,27972,0,0
^NKX,5,20221118,044500,27971.83,27980.09,27970.78,27973.17,0,0
^NKX,5,20221118,045000,27971.63,27985.89,27971.63,27982.87,0,0
^NKX,5,20221118,045500,27982.91,27983.23,27975.73,27977.5,0,0
^NKX,5,20221118,050000,27976.99,27977.55,27961.15,27961.15,0,0
^NKX,5,20221118,050500,27960.52,27960.52,27947.59,27949.86,0,0
^NKX,5,20221118,051000,27949.87,27953.43,27949.59,27953.43,0,0
^NKX,5,20221118,051500,27954.48,27956.34,27948.61,27948.61,0,0
^NKX,5,20221118,052000,27949.31,27953.19,27947.77,27948.62,0,0
^NKX,5,20221118,052500,27925.03,27935.81,27895.95,27896.85,0,0
^NKX,5,20221118,053000,27895.31,27906.4,27891.71,27905.88,0,0
^NKX,5,20221118,053500,27905.52,27906.05,27899.89,27900.02,0,0
^NKX,5,20221118,054000,27900.41,27903.36,27892.15,27899.78,0,0
^NKX,5,20221118,054500,27899.01,27905.82,27899.01,27902.74,0,0
^NKX,5,20221118,055000,27901.81,27903.47,27895.76,27901.27,0,0
^NKX,5,20221118,055500,27901.94,27912.53,27901.93,27912.53,0,0
^NKX,5,20221118,060000,27911.59,27912.75,27897.3,27897.3,0,0
