<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NOMUC,5,20221117,080000,18628.7,18629.11,18625.57,18625.57,250593,0
^NOMUC,5,20221117,080500,18568.79,18581,18568.79,18581,43082,0
^NOMUC,5,20221117,081000,18542.89,18542.89,18542.89,18542.89,93,0
^NOMUC,5,20221117,081500,18574.02,18611.43,18571.09,18611.43,2951,0
^NOMUC,5,20221117,082000,18611.77,18701.82,18611.77,18701.82,1284,0
^NOMUC,5,20221117,082500,18707.8,18707.8,18690.24,18696.86,814,0
^NOMUC,5,20221117,083000,18698.5,18757.86,18698.5,18757.86,531,0
^NOMUC,5,20221117,083500,18755.45,18755.45,18755.45,18755.45,100,0
^NOMUC,5,20221117,084000,18755.64,18755.64,18751.2,18751.2,1185,0
^NOMUC,5,20221117,084500,18751.34,18751.34,18751.34,18751.34,0,0
^NOMUC,5,20221117,085000,18751.94,18827.29,18751.94,18827.29,2658,0
^NOMUC,5,20221117,085500,18828.61,18828.61,18724.32,18732.28,3361,0
^NOMUC,5,20221117,090000,18740.98,18740.98,18740.98,18740.98,1751,0
^NOMUC,5,20221117,090500,18740.98,18778.05,18740.98,18778.05,1540,0
^NOMUC,5,20221117,091000,18790.73,18790.73,18790.31,18790.31,19770,0
^NOMUC,5,20221117,091500,18790.31,18790.31,18760.14,18760.36,18460,0
^NOMUC,5,20221117,092000,18752.61,18753.49,18752.61,18753.49,3756,0
^NOMUC,5,20221117,092500,18754.34,18754.34,18706.03,18706.03,877,0
^NOMUC,5,20221117,093000,18708.11,18708.57,18708.11,18708.57,9910,0
^NOMUC,5,20221117,093500,18715.96,18715.96,18715.96,18715.96,5354,0
^NOMUC,5,20221117,094000,18778.61,18778.61,18720.18,18722.64,17708,0
^NOMUC,5,20221117,094500,18723.38,18749.82,18714.2,18732.66,2991,0
^NOMUC,5,20221117,095000,18717.17,18781.7,18717.17,18781.7,149,0
^NOMUC,5,20221117,095500,18781.38,18781.38,18775.66,18775.66,1661,0
^NOMUC,5,20221117,100000,18773.62,18773.62,18773.62,18773.62,6872,0
^NOMUC,5,20221117,100500,18773.62,18773.62,18773.62,18773.62,0,0
^NOMUC,5,20221117,101000,18773.62,18794.32,18773.62,18794.32,20099,0
^NOMUC,5,20221117,101500,18790.82,18790.82,18788.78,18788.78,16139,0
