<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NZ50,5,20221117,000000,11268.22,11272.72,11268.22,11272.02,0,0
^NZ50,5,20221117,000500,11274.33,11275.12,11274.16,11274.43,0,0
^NZ50,5,20221117,001000,11278.58,11287.31,11277.41,11279.39,0,0
^NZ50,5,20221117,001500,11280.47,11280.47,11274.37,11276.9,0,0
^NZ50,5,20221117,002000,11277.06,11277.06,11273.22,11273.22,0,0
^NZ50,5,20221117,002500,11277.56,11279.94,11277.41,11279.94,0,0
^NZ50,5,20221117,003000,11279.64,11289.73,11279.64,11285.29,0,0
^NZ50,5,20221117,003500,11286.34,11290.4,11283.35,11288,0,0
^NZ50,5,20221117,004000,11285.77,11285.77,11282.75,11283.99,0,0
^NZ50,5,20221117,004500,11283.28,11285.8,11283.28,11285.48,0,0
^NZ50,5,20221117,005000,11285.69,11286.03,11280.55,11281.89,0,0
^NZ50,5,20221117,005500,11281.89,11282.17,11273.95,11273.95,0,0
^NZ50,5,20221117,010000,11273.95,11275.37,11271.15,11275.37,0,0
^NZ50,5,20221117,010500,11275.37,11279.46,11273.46,11279.46,0,0
^NZ50,5,20221117,011000,11279.46,11285.08,11278.11,11278.11,0,0
^NZ50,5,20221117,011500,11278.11,11281.79,11277.41,11281.79,0,0
^NZ50,5,20221117,012000,11281.79,11283.2,11279.73,11279.73,0,0
^NZ50,5,20221117,012500,11279.73,11280.43,11277.34,11280.43,0,0
^NZ50,5,20221117,013000,11280.43,11281.59,11278.74,11278.74,0,0
^NZ50,5,20221117,013500,11278.74,11279.12,11274.54,11276.66,0,0
^NZ50,5,20221117,014000,11276.66,11281.41,11275.09,11276.19,0,0
^NZ50,5,20221117,014500,11276.19,11277.37,11275.58,11277.37,0,0
^NZ50,5,20221117,015000,11277.37,11280.06,11277.29,11279.8,0,0
^NZ50,5,20221117,015500,11279.8,11284.21,11279.63,11284.21,0,0
^NZ50,5,20221117,020000,11283.27,11283.27,11278.34,11278.34,0,0
^NZ50,5,20221117,020500,11278.52,11278.84,11277.16,11277.76,0,0
^NZ50,5,20221117,021000,11277.95,11283.12,11277.95,11280.67,0,0
^NZ50,5,20221117,021500,11280.35,11280.35,11276.3,11276.99,0,0
^NZ50,5,20221117,022000,11275.48,11277.22,11275.48,11277.22,0,0
^NZ50,5,20221117,022500,11277.97,11277.97,11275.51,11276.68,0,0
^NZ50,5,20221117,023000,11277.98,11277.98,11271.14,11271.14,0,0
^NZ50,5,20221117,023500,11270.16,11270.69,11268.66,11268.66,0,0
^NZ50,5,20221117,024000,11266.66,11270.41,11266.66,11268.15,0,0
^NZ50,5,20221117,024500,11269.6,11269.6,11264.51,11266.84,0,0
^NZ50,5,20221117,025000,11267.37,11267.37,11262.35,11262.35,0,0
^NZ50,5,20221117,025500,11263.5,11263.67,11261.74,11263.01,0,0
^NZ50,5,20221117,030000,11265.67,11268.82,11264.96,11268.82,0,0
^NZ50,5,20221117,030500,11268.99,11270,11265.76,11265.76,0,0
^NZ50,5,20221117,031000,11268.28,11269.75,11265.37,11265.37,0,0
^NZ50,5,20221117,031500,11270.88,11271.4,11268.41,11270.32,0,0
^NZ50,5,20221117,032000,11269.13,11269.13,11262.3,11262.3,0,0
^NZ50,5,20221117,032500,11267.27,11267.27,11261.68,11263.06,0,0
^NZ50,5,20221117,033000,11261.07,11269.08,11260.62,11269.08,0,0
^NZ50,5,20221117,033500,11268.18,11269.09,11264.39,11269.09,0,0
^NZ50,5,20221117,034000,11268.04,11271.07,11267.02,11271.07,0,0
^NZ50,5,20221117,034500,11269.12,11273.97,11269.12,11271.48,0,0
^NZ50,5,20221117,035000,11273.34,11273.89,11271.93,11273.89,0,0
^NZ50,5,20221117,035500,11272.15,11272.15,11267.12,11268.25,0,0
^NZ50,5,20221117,040000,11263.27,11268.53,11263.27,11265.89,0,0
^NZ50,5,20221117,040500,11264.71,11268.46,11264.58,11267.25,0,0
^NZ50,5,20221117,041000,11260.99,11263.68,11260.99,11262.81,0,0
^NZ50,5,20221117,041500,11261.43,11263.26,11261.43,11262.63,0,0
^NZ50,5,20221117,042000,11262.63,11268.54,11262.63,11268.54,0,0
^NZ50,5,20221117,042500,11270.72,11270.72,11263.1,11263.1,0,0
^NZ50,5,20221117,043000,11261.52,11267.92,11261.52,11267.92,0,0
^NZ50,5,20221117,043500,11267.92,11278.03,11267.92,11278.03,0,0
^NZ50,5,20221117,044000,11284.73,11284.73,11269.84,11269.84,0,0
^NZ50,5,20221117,044500,11261.02,11261.02,11261.02,11261.02,0,0
^NZ50,5,20221117,050000,11294.52,11294.52,11294.52,11294.52,0,0
^NZ50,5,20221117,065500,11263.11,11271.98,11261.29,11261.29,0,0
^NZ50,5,20221118,000000,11278.93,11283.12,11274.64,11274.64,0,0
^NZ50,5,20221118,000500,11291.42,11312.06,11291.42,11312.06,0,0
^NZ50,5,20221118,001000,11312.99,11319.26,11310.93,11318.43,0,0
^NZ50,5,20221118,001500,11321.6,11323.05,11319.58,11323.05,0,0
^NZ50,5,20221118,002000,11322.67,11332.88,11322.67,11332.88,0,0
^NZ50,5,20221118,002500,11333.42,11333.42,11326.32,11327.53,0,0
^NZ50,5,20221118,003000,11327.49,11328.22,11327.09,11327.37,0,0
^NZ50,5,20221118,003500,11326.4,11326.4,11320.12,11320.12,0,0
^NZ50,5,20221118,004000,11320.27,11320.27,11312,11312,0,0
^NZ50,5,20221118,004500,11312.22,11315.46,11305.97,11305.97,0,0
^NZ50,5,20221118,005000,11309.2,11314.22,11309.2,11312.6,0,0
^NZ50,5,20221118,005500,11312.84,11313.2,11309.24,11309.24,0,0
^NZ50,5,20221118,010000,11309.24,11309.24,11287.94,11290.66,0,0
^NZ50,5,20221118,010500,11290.88,11292.84,11287.45,11287.45,0,0
^NZ50,5,20221118,011000,11284.38,11299.03,11284.38,11299.03,0,0
^NZ50,5,20221118,011500,11296.24,11300.43,11294.87,11294.87,0,0
^NZ50,5,20221118,012000,11295.01,11297.24,11294.55,11294.67,0,0
^NZ50,5,20221118,012500,11293.38,11301.43,11293.38,11301.03,0,0
^NZ50,5,20221118,013000,11302.84,11305.29,11302.1,11303.59,0,0
^NZ50,5,20221118,013500,11301.09,11301.63,11298.44,11300,0,0
^NZ50,5,20221118,014000,11301.93,11308.13,11299.76,11308.13,0,0
^NZ50,5,20221118,014500,11300.49,11310.21,11300.49,11310.21,0,0
^NZ50,5,20221118,015000,11316.53,11324.12,11316.53,11324.12,0,0
^NZ50,5,20221118,015500,11321.79,11326.72,11321.79,11325.85,0,0
^NZ50,5,20221118,020000,11325.05,11330.12,11323.65,11330.12,0,0
^NZ50,5,20221118,020500,11330.12,11335.47,11325.22,11335.47,0,0
^NZ50,5,20221118,021000,11335.47,11337.69,11334.48,11336.78,0,0
^NZ50,5,20221118,021500,11336.78,11343.05,11335.47,11342.27,0,0
^NZ50,5,20221118,022000,11342.27,11346.49,11341.59,11342.68,0,0
^NZ50,5,20221118,022500,11342.68,11349.21,11342.46,11347.65,0,0
^NZ50,5,20221118,023000,11347.65,11356.56,11347.65,11356.56,0,0
^NZ50,5,20221118,023500,11356.56,11362.32,11356.56,11362.32,0,0
^NZ50,5,20221118,024000,11362.32,11362.32,11346.55,11346.55,0,0
^NZ50,5,20221118,024500,11346.55,11350.18,11344.27,11350.18,0,0
^NZ50,5,20221118,025000,11350.18,11359.94,11350.18,11359.7,0,0
^NZ50,5,20221118,025500,11359.7,11365.99,11359.7,11365.99,0,0
^NZ50,5,20221118,030000,11365.99,11371,11363.63,11371,0,0
^NZ50,5,20221118,030500,11371,11371,11355.24,11355.24,0,0
^NZ50,5,20221118,031000,11355.24,11357.68,11346.44,11357.68,0,0
^NZ50,5,20221118,031500,11357.68,11357.71,11350.86,11354.52,0,0
^NZ50,5,20221118,032000,11354.52,11354.52,11347.32,11347.32,0,0
^NZ50,5,20221118,032500,11347.32,11356.11,11347.32,11356.11,0,0
^NZ50,5,20221118,033000,11356.11,11360.17,11355.72,11360.17,0,0
^NZ50,5,20221118,033500,11360.17,11361.96,11356.78,11356.78,0,0
