<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^OMXR,5,20221117,090000,1106.12,1106.12,1105.85,1105.85,0,0
^OMXR,5,20221117,090500,1105.67,1105.67,1105.67,1105.67,0,0
^OMXR,5,20221117,093000,1105.48,1105.48,1105.48,1105.48,0,0
^OMXR,5,20221117,093500,1105.11,1105.11,1105.11,1105.11,0,0
^OMXR,5,20221117,094500,1105.02,1105.02,1105.02,1105.02,0,0
^OMXR,5,20221117,100000,1105.24,1105.24,1105.24,1105.24,0,0
^OMXR,5,20221117,100500,1105.33,1105.33,1105.11,1105.11,0,0
^OMXR,5,20221117,101000,1105.48,1105.48,1105.48,1105.48,0,0
^OMXR,5,20221117,102000,1105.7,1105.7,1105.7,1105.7,0,0
^OMXR,5,20221117,102500,1106.07,1106.07,1106.07,1106.07,0,0
^OMXR,5,20221117,103500,1105.33,1105.7,1105.33,1105.7,0,0
^OMXR,5,20221117,104000,1106.25,1106.25,1106.25,1106.25,0,0
^OMXR,5,20221117,104500,1104.99,1104.99,1104.99,1104.99,0,0
^OMXR,5,20221117,111500,1104.76,1104.76,1104.76,1104.76,0,0
^OMXR,5,20221117,112000,1103.94,1103.94,1103.94,1103.94,0,0
^OMXR,5,20221117,112500,1104.85,1104.85,1104.85,1104.85,0,0
^OMXR,5,20221117,114500,1105.08,1105.08,1105.08,1105.08,0,0
^OMXR,5,20221117,123500,1106.19,1106.19,1106.19,1106.19,0,0
^OMXR,5,20221117,124000,1106.56,1106.56,1106.56,1106.56,0,0
^OMXR,5,20221117,131500,1106.33,1106.33,1106.33,1106.33,0,0
^OMXR,5,20221117,134500,1107.59,1107.59,1107.59,1107.59,0,0
^OMXR,5,20221117,140500,1107.82,1107.82,1107.82,1107.82,0,0
^OMXR,5,20221117,141500,1107.45,1107.45,1107.45,1107.45,0,0
^OMXR,5,20221117,143500,1107.22,1107.22,1107.22,1107.22,0,0
^OMXR,5,20221117,144000,1107.45,1107.45,1107.45,1107.45,0,0
^OMXR,5,20221117,145500,1106.55,1106.55,1106.55,1106.55,0,0
^OMXR,5,20221121,090000,1106.45,1106.45,1106.27,1106.27,0,0
^OMXR,5,20221121,090500,1106.64,1106.64,1106.64,1106.64,0,0
^OMXR,5,20221121,091000,1107.53,1108.64,1107.53,1108.64,0,0
^OMXR,5,20221121,091500,1108.2,1108.2,1108.2,1108.2,0,0
^OMXR,5,20221121,093000,1108.57,1108.94,1108.57,1108.94,0,0
^OMXR,5,20221121,100500,1109.25,1109.25,1109.25,1109.25,0,0
^OMXR,5,20221121,102000,1108.81,1108.81,1108.81,1108.81,0,0
^OMXR,5,20221121,105500,1108.9,1108.9,1108.9,1108.9,0,0
^OMXR,5,20221121,111000,1108.45,1108.45,1108.45,1108.45,0,0
^OMXR,5,20221121,113000,1109.5,1109.5,1109.5,1109.5,0,0
^OMXR,5,20221121,113500,1109.59,1109.59,1109.59,1109.59,0,0
^OMXR,5,20221121,114000,1109.14,1109.14,1109.14,1109.14,0,0
^OMXR,5,20221121,115500,1108.84,1109.21,1108.84,1109.21,0,0
^OMXR,5,20221121,120500,1109.43,1109.43,1109.43,1109.43,0,0
^OMXR,5,20221121,123500,1109.66,1109.88,1109.66,1109.88,0,0
^OMXR,5,20221121,124000,1109.43,1109.43,1109.43,1109.43,0,0
^OMXR,5,20221121,130000,1109.21,1109.21,1109.21,1109.21,0,0
^OMXR,5,20221121,134000,1109.38,1109.38,1109.38,1109.38,0,0
^OMXR,5,20221121,135000,1109.83,1109.83,1109.83,1109.83,0,0
^OMXR,5,20221121,143000,1109.38,1109.38,1109.38,1109.38,0,0
^OMXR,5,20221121,145000,1109.6,1109.6,1109.6,1109.6,0,0
^OMXR,5,20221121,145500,1109.23,1109.23,1109.23,1109.23,0,0
^OMXR,5,20221122,090000,1108.11,1108.11,1108.11,1108.11,0,0
^OMXR,5,20221122,090500,1108.11,1108.11,1108.11,1108.11,0,0
^OMXR,5,20221122,093000,1108.78,1109.06,1108.78,1109.06,0,0
^OMXR,5,20221122,095000,1109.06,1109.07,1109.06,1109.07,0,0
^OMXR,5,20221122,100500,1105.28,1105.28,1104.84,1104.84,0,0
^OMXR,5,20221122,101000,1108.62,1108.62,1108.62,1108.62,0,0
^OMXR,5,20221122,102000,1108.17,1108.17,1108.17,1108.17,0,0
^OMXR,5,20221122,102500,1108.62,1108.62,1108.17,1108.17,0,0
^OMXR,5,20221122,103000,1108.62,1108.62,1108.62,1108.62,0,0
^OMXR,5,20221122,104500,1109.36,1109.36,1109.36,1109.36,0,0
^OMXR,5,20221122,115000,1108.92,1108.92,1108.92,1108.92,0,0
^OMXR,5,20221122,115500,1105.13,1105.13,1105.13,1105.13,0,0
^OMXR,5,20221122,120000,1104.76,1104.76,1104.56,1104.56,0,0
^OMXR,5,20221122,122500,1104.56,1104.56,1104.56,1104.56,0,0
^OMXR,5,20221122,125000,1104.33,1104.33,1104.33,1104.33,0,0
^OMXR,5,20221122,125500,1104.7,1104.7,1104.7,1104.7,0,0
^OMXR,5,20221122,130500,1104.48,1104.48,1104.48,1104.48,0,0
^OMXR,5,20221122,132500,1104.57,1104.57,1104.57,1104.57,0,0
^OMXR,5,20221122,133500,1104.12,1104.12,1104.12,1104.12,0,0
^OMXR,5,20221122,135000,1104.49,1104.85,1104.4,1104.85,0,0
^OMXR,5,20221122,140000,1106.33,1106.33,1106.33,1106.33,0,0
^OMXR,5,20221122,142000,1105.96,1106.33,1105.96,1106.33,0,0
^OMXR,5,20221122,144000,1110.11,1110.11,1110.11,1110.11,0,0
^OMXR,5,20221122,144500,1109.47,1109.47,1109.47,1109.47,0,0
^OMXR,5,20221122,145000,1109.38,1109.61,1109.38,1109.61,0,0
^OMXR,5,20221123,090000,1109.83,1109.83,1109.83,1109.83,0,0
^OMXR,5,20221123,094500,1109.61,1109.61,1109.61,1109.61,0,0
^OMXR,5,20221123,095500,1108.87,1108.87,1108.87,1108.87,0,0
^OMXR,5,20221123,101500,1109.27,1109.27,1109.27,1109.27,0,0
^OMXR,5,20221123,102000,1109.82,1110.04,1109.82,1110.04,0,0
^OMXR,5,20221123,104500,1108.78,1108.78,1108.78,1108.78,0,0
^OMXR,5,20221123,111000,1109.23,1109.23,1109.23,1109.23,0,0
^OMXR,5,20221123,111500,1111.82,1112.05,1111.82,1112.05,0,0
^OMXR,5,20221123,112000,1112.07,1112.07,1111.39,1111.39,0,0
^OMXR,5,20221123,113500,1112.07,1112.07,1112.07,1112.07,0,0
^OMXR,5,20221123,114000,1112.22,1112.22,1112.22,1112.22,0,0
^OMXR,5,20221123,120000,1111.77,1111.77,1111.77,1111.77,0,0
^OMXR,5,20221123,121500,1111.05,1111.05,1111.05,1111.05,0,0
^OMXR,5,20221123,124500,1113.27,1113.27,1113.27,1113.27,0,0
^OMXR,5,20221123,130500,1113.99,1113.99,1113.54,1113.54,0,0
^OMXR,5,20221123,132000,1114.27,1114.36,1114.27,1114.36,0,0
^OMXR,5,20221123,134000,1114.73,1114.73,1114.73,1114.73,0,0
^OMXR,5,20221123,140000,1114.36,1114.36,1114.13,1114.13,0,0
^OMXR,5,20221123,142500,1111.91,1111.91,1111.91,1111.91,0,0
^OMXR,5,20221123,143500,1112.28,1112.28,1111.38,1111.38,0,0
^OMXR,5,20221124,090000,1112.28,1112.28,1112.28,1112.28,0,0
^OMXR,5,20221124,090500,1111.38,1111.38,1111.38,1111.38,0,0
^OMXR,5,20221124,091500,1112.06,1112.06,1112.06,1112.06,0,0
^OMXR,5,20221124,092000,1111.61,1111.61,1110.88,1110.88,0,0
^OMXR,5,20221124,093500,1111.32,1111.32,1111.32,1111.32,0,0
^OMXR,5,20221124,094500,1110.95,1110.95,1110.95,1110.95,0,0
^OMXR,5,20221124,103000,1110.92,1110.92,1110.92,1110.92,0,0
^OMXR,5,20221124,104000,1110.47,1110.47,1110.47,1110.47,0,0
^OMXR,5,20221124,105000,1110.92,1110.92,1110.47,1110.84,0,0
^OMXR,5,20221124,110000,1111.06,1111.06,1111.06,1111.06,0,0
^OMXR,5,20221124,110500,1111.29,1111.29,1111.29,1111.29,0,0
^OMXR,5,20221124,114500,1111.52,1111.52,1111.52,1111.52,0,0
^OMXR,5,20221124,121500,1111.55,1111.55,1111.55,1111.55,0,0
^OMXR,5,20221124,124500,1111.32,1111.32,1111.32,1111.32,0,0
^OMXR,5,20221124,125000,1111.55,1111.55,1111.32,1111.32,0,0
^OMXR,5,20221124,125500,1112.21,1112.21,1112.21,1112.21,0,0
^OMXR,5,20221124,130500,1111.32,1111.32,1110.44,1110.44,0,0
^OMXR,5,20221124,134500,1110.34,1110.57,1110.34,1110.57,0,0
^OMXR,5,20221124,135000,1110.2,1110.2,1110.2,1110.2,0,0
^OMXR,5,20221124,141000,1111.02,1111.02,1111.02,1111.02,0,0
^OMXR,5,20221124,142500,1112.28,1112.28,1112.28,1112.28,0,0
^OMXR,5,20221124,143000,1112.38,1112.38,1112.38,1112.38,0,0
^OMXR,5,20221124,143500,1112.01,1112.01,1112.01,1112.01,0,0
^OMXR,5,20221124,144500,1112.38,1112.38,1112.38,1112.38,0,0
^OMXR,5,20221125,090000,1112.6,1112.6,1112.6,1112.6,0,0
^OMXR,5,20221125,090500,1111.78,1113.56,1111.78,1113.56,0,0
^OMXR,5,20221125,091000,1114.44,1114.44,1114.44,1114.44,0,0
^OMXR,5,20221125,091500,1113.56,1113.56,1113.56,1113.56,0,0
^OMXR,5,20221125,095500,1113.78,1113.78,1113.78,1113.78,0,0
^OMXR,5,20221125,102000,1112,1112,1112,1112,0,0
^OMXR,5,20221125,110500,1095.6,1095.6,1095.6,1095.6,0,0
^OMXR,5,20221125,113500,1112,1112,1112,1112,0,0
^OMXR,5,20221125,114000,1111.78,1111.78,1111.78,1111.78,0,0
^OMXR,5,20221125,115000,1111.41,1111.41,1111.41,1111.41,0,0
^OMXR,5,20221125,125000,1111.37,1111.37,1111.37,1111.37,0,0
^OMXR,5,20221125,125500,1111.92,1111.92,1111.92,1111.92,0,0
^OMXR,5,20221125,130000,1111.41,1111.41,1111.41,1111.41,0,0
^OMXR,5,20221125,133000,1111.44,1111.44,1111.44,1111.44,0,0
^OMXR,5,20221125,135000,1112.18,1112.63,1112.18,1112.18,0,0
^OMXR,5,20221125,140500,1112.15,1112.15,1112.15,1112.15,0,0
^OMXR,5,20221125,141500,1112.18,1112.18,1112.15,1112.15,0,0
^OMXR,5,20221125,142000,1112.18,1112.18,1112.15,1112.15,0,0
^OMXR,5,20221125,143000,1111.92,1111.92,1110.81,1110.81,0,0
^OMXR,5,20221125,143500,1111.04,1111.04,1111.04,1111.04,0,0
^OMXR,5,20221125,144000,1110.81,1110.81,1110.81,1110.81,0,0
^OMXR,5,20221125,144500,1109.92,1109.92,1109.92,1109.92,0,0
^OMXR,5,20221128,090000,1099.31,1099.31,1099.31,1099.31,0,0
^OMXR,5,20221128,090500,1099.68,1099.72,1099.68,1099.72,0,0
^OMXR,5,20221128,092000,1100.39,1100.39,1100.39,1100.39,0,0
^OMXR,5,20221128,092500,1100.36,1100.36,1100.36,1100.36,0,0
^OMXR,5,20221128,093000,1099.64,1110.45,1099.64,1110.45,0,0
^OMXR,5,20221128,093500,1109.55,1110.08,1109.55,1110.08,0,0
^OMXR,5,20221128,094000,1109.19,1109.19,1108.51,1108.51,0,0
^OMXR,5,20221128,094500,1108.29,1108.97,1108.29,1108.97,0,0
^OMXR,5,20221128,095500,1109.19,1109.34,1109.19,1109.34,0,0
^OMXR,5,20221128,100500,1110.46,1110.46,1110.46,1110.46,0,0
^OMXR,5,20221128,103500,1110.24,1110.24,1110.24,1110.24,0,0
^OMXR,5,20221128,104000,1109.87,1109.87,1109.87,1109.87,0,0
^OMXR,5,20221128,111500,1109.96,1109.96,1109.96,1109.96,0,0
^OMXR,5,20221128,115000,1110,1110,1109.63,1109.63,0,0
^OMXR,5,20221128,115500,1109.54,1109.54,1109.54,1109.54,0,0
^OMXR,5,20221128,120500,1110.43,1110.43,1110.43,1110.43,0,0
^OMXR,5,20221128,122000,1109.98,1109.98,1109.98,1109.98,0,0
^OMXR,5,20221128,122500,1109.53,1109.53,1109.53,1109.53,0,0
^OMXR,5,20221128,123000,1109.08,1109.08,1109.08,1109.08,0,0
^OMXR,5,20221128,125000,1109.17,1109.17,1109.17,1109.17,0,0
^OMXR,5,20221128,130500,1110.3,1110.39,1110.3,1110.39,0,0
^OMXR,5,20221128,131500,1110.35,1111.09,1110.2,1110.2,0,0
^OMXR,5,20221128,134500,1110.57,1110.57,1110.57,1110.57,0,0
^OMXR,5,20221128,135000,1110.35,1110.35,1110.35,1110.35,0,0
^OMXR,5,20221128,135500,1109.44,1109.44,1109.44,1109.44,0,0
^OMXR,5,20221128,142500,1109.9,1110.35,1109.9,1110.35,0,0
^OMXR,5,20221128,143000,1111.24,1111.24,1111.24,1111.24,0,0
^OMXR,5,20221128,144000,1111.68,1111.68,1111.23,1111.23,0,0
^OMXR,5,20221128,145500,1111.68,1111.68,1111.68,1111.68,0,0
^OMXR,5,20221129,090000,1111.68,1111.68,1111.68,1111.68,0,0
^OMXR,5,20221129,090500,1110.35,1110.35,1110.35,1110.35,0,0
^OMXR,5,20221129,091000,1109.88,1110.77,1109.88,1110.77,0,0
^OMXR,5,20221129,092000,1110.46,1110.46,1110.24,1110.24,0,0
^OMXR,5,20221129,093500,1109.5,1109.5,1109.5,1109.5,0,0
^OMXR,5,20221129,095000,1109.59,1110.04,1109.59,1110.04,0,0
^OMXR,5,20221129,100000,1110.27,1110.27,1110.27,1110.27,0,0
^OMXR,5,20221129,100500,1109.67,1109.67,1109.67,1109.67,0,0
^OMXR,5,20221129,101500,1109.89,1109.89,1109.89,1109.89,0,0
^OMXR,5,20221129,102000,1109.22,1109.22,1109.22,1109.22,0,0
^OMXR,5,20221129,105000,1109.85,1109.85,1109.85,1109.85,0,0
^OMXR,5,20221129,112500,1109.79,1110.16,1109.79,1110.16,0,0
^OMXR,5,20221129,113000,1109.79,1109.79,1109.79,1109.79,0,0
^OMXR,5,20221129,113500,1109.84,1109.89,1109.84,1109.89,0,0
^OMXR,5,20221129,114000,1109.85,1109.85,1109.85,1109.85,0,0
^OMXR,5,20221129,114500,1109.89,1109.89,1109.89,1109.89,0,0
^OMXR,5,20221129,115500,1109.22,1109.22,1109.22,1109.22,0,0
^OMXR,5,20221129,120500,1108.39,1108.39,1108.39,1108.39,0,0
^OMXR,5,20221129,121000,1109.07,1109.07,1108.39,1108.39,0,0
^OMXR,5,20221129,122000,1109.07,1109.07,1109.07,1109.07,0,0
^OMXR,5,20221129,125500,1102.76,1102.76,1102.76,1102.76,0,0
^OMXR,5,20221129,131500,1105.43,1105.43,1105.43,1105.43,0,0
^OMXR,5,20221129,133000,1105.8,1105.8,1105.8,1105.8,0,0
^OMXR,5,20221129,140000,1103.58,1103.58,1103.58,1103.58,0,0
