<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^OMXS,5,20221117,090000,2077.7,2083.85,2077.35,2083.85,0,0
^OMXS,5,20221117,090500,2082.14,2086.19,2082.14,2083.65,0,0
^OMXS,5,20221117,091000,2081.43,2086.81,2081.43,2085.86,0,0
^OMXS,5,20221117,091500,2085.54,2092.59,2085.54,2092.59,0,0
^OMXS,5,20221117,092000,2092.65,2092.65,2087.75,2087.75,0,0
^OMXS,5,20221117,092500,2086.23,2086.23,2081.76,2081.76,0,0
^OMXS,5,20221117,093000,2081.3,2081.3,2077,2078.78,0,0
^OMXS,5,20221117,093500,2075.31,2077.06,2075.31,2076.94,0,0
^OMXS,5,20221117,094000,2076.89,2076.89,2076.02,2076.16,0,0
^OMXS,5,20221117,094500,2074.73,2076.08,2074.59,2074.59,0,0
^OMXS,5,20221117,095000,2074.25,2074.25,2072.23,2072.23,0,0
^OMXS,5,20221117,095500,2072.22,2072.3,2070.97,2072.3,0,0
^OMXS,5,20221117,100000,2071.04,2071.04,2069.05,2069.05,0,0
^OMXS,5,20221117,100500,2068.02,2068.99,2065.15,2065.15,0,0
^OMXS,5,20221117,101000,2065.16,2065.98,2064.78,2064.78,0,0
^OMXS,5,20221117,101500,2064.42,2066.2,2064.42,2066.2,0,0
^OMXS,5,20221117,102000,2066.56,2068.42,2066.56,2068.42,0,0
^OMXS,5,20221117,102500,2066.59,2067.03,2066.55,2066.97,0,0
^OMXS,5,20221117,103000,2065.43,2065.43,2062.27,2062.31,0,0
^OMXS,5,20221117,103500,2063.33,2064.91,2063.03,2064.91,0,0
^OMXS,5,20221117,104000,2064.95,2065.9,2064.95,2065.56,0,0
^OMXS,5,20221117,104500,2065.65,2066.77,2065.65,2066.77,0,0
^OMXS,5,20221117,105000,2066.28,2066.51,2064.58,2066.51,0,0
^OMXS,5,20221117,105500,2066.78,2066.78,2066.06,2066.36,0,0
^OMXS,5,20221117,110000,2066.72,2068.28,2066.72,2068.28,0,0
^OMXS,5,20221117,110500,2068.35,2070.05,2068.35,2069.55,0,0
^OMXS,5,20221117,111000,2069.47,2069.47,2068.46,2068.72,0,0
^OMXS,5,20221117,111500,2068.91,2069.32,2068.54,2069.32,0,0
^OMXS,5,20221117,112000,2069.6,2069.6,2067.91,2068,0,0
^OMXS,5,20221117,112500,2068.13,2070.18,2068.13,2070.18,0,0
^OMXS,5,20221117,113000,2070.18,2070.18,2069.34,2069.34,0,0
^OMXS,5,20221117,113500,2069.22,2070.46,2069.22,2070.46,0,0
^OMXS,5,20221117,114000,2070.81,2072.54,2070.81,2072.54,0,0
^OMXS,5,20221117,114500,2072.14,2072.14,2070.17,2070.17,0,0
^OMXS,5,20221117,115000,2069.42,2069.42,2066.79,2066.79,0,0
^OMXS,5,20221117,115500,2066.03,2067.29,2066.03,2067.29,0,0
^OMXS,5,20221117,120000,2067.95,2071.15,2067.95,2071.12,0,0
^OMXS,5,20221117,120500,2071.35,2071.35,2070.26,2070.26,0,0
^OMXS,5,20221117,121000,2070.11,2070.11,2069.81,2070.07,0,0
^OMXS,5,20221117,121500,2069.06,2070.45,2068.9,2070.19,0,0
^OMXS,5,20221117,122000,2069.46,2070.03,2069.29,2069.29,0,0
^OMXS,5,20221117,122500,2069.33,2069.33,2066.67,2066.67,0,0
^OMXS,5,20221117,123000,2066.74,2067.96,2066.53,2067.63,0,0
^OMXS,5,20221117,123500,2067.92,2068.68,2064.32,2064.32,0,0
^OMXS,5,20221117,124000,2064.41,2065.66,2064.41,2065.35,0,0
^OMXS,5,20221117,124500,2065.93,2068.79,2065.93,2068.79,0,0
^OMXS,5,20221117,125000,2068.13,2070.64,2068.13,2070.08,0,0
^OMXS,5,20221117,125500,2070,2070,2068.93,2069.24,0,0
^OMXS,5,20221117,130000,2069.37,2069.76,2069.19,2069.19,0,0
^OMXS,5,20221117,130500,2068.73,2068.73,2067.34,2067.34,0,0
^OMXS,5,20221117,131000,2067.38,2067.38,2066.83,2066.88,0,0
^OMXS,5,20221117,131500,2066.92,2067.46,2066.62,2066.62,0,0
^OMXS,5,20221117,132000,2066.47,2066.47,2063.66,2063.66,0,0
^OMXS,5,20221117,132500,2063.8,2066.42,2063.8,2065.12,0,0
^OMXS,5,20221117,133000,2064.51,2064.68,2063.24,2063.24,0,0
^OMXS,5,20221117,133500,2063.24,2063.24,2062.08,2062.08,0,0
^OMXS,5,20221117,134000,2061.34,2061.88,2061.34,2061.77,0,0
^OMXS,5,20221117,134500,2061.72,2061.72,2059.72,2059.72,0,0
^OMXS,5,20221117,135000,2059.44,2060.77,2059.44,2060.03,0,0
