<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^OMXT,5,20221117,090000,1738.24,1738.53,1737.9,1738.06,0,0
^OMXT,5,20221117,090500,1737.54,1739.97,1737.54,1739.97,0,0
^OMXT,5,20221117,091000,1739.41,1739.57,1739.41,1739.57,0,0
^OMXT,5,20221117,091500,1740.2,1740.93,1739.99,1740.51,0,0
^OMXT,5,20221117,092000,1739.25,1739.25,1737.14,1737.14,0,0
^OMXT,5,20221117,092500,1737.56,1738.1,1737.56,1738.1,0,0
^OMXT,5,20221117,093000,1738.85,1739.07,1738.85,1739.07,0,0
^OMXT,5,20221117,093500,1739.28,1739.31,1739.28,1739.31,0,0
^OMXT,5,20221117,094000,1739.15,1739.15,1738.05,1738.69,0,0
^OMXT,5,20221117,094500,1738.79,1739.15,1738.79,1739.15,0,0
^OMXT,5,20221117,095000,1739.79,1740,1739.57,1740,0,0
^OMXT,5,20221117,095500,1740.1,1740.32,1739.61,1739.61,0,0
^OMXT,5,20221117,100000,1738.42,1740.45,1738.2,1740.45,0,0
^OMXT,5,20221117,100500,1739.52,1739.75,1739.33,1739.75,0,0
^OMXT,5,20221117,101000,1739.38,1739.66,1739.38,1739.45,0,0
^OMXT,5,20221117,101500,1739.51,1739.51,1739.05,1739.05,0,0
^OMXT,5,20221117,102000,1739.26,1739.26,1739.05,1739.22,0,0
^OMXT,5,20221117,102500,1739.59,1739.59,1739.09,1739.49,0,0
^OMXT,5,20221117,103000,1738.6,1739.45,1738.6,1739.45,0,0
^OMXT,5,20221117,103500,1739.24,1739.38,1739.24,1739.38,0,0
^OMXT,5,20221117,104000,1739.59,1739.59,1739.52,1739.52,0,0
^OMXT,5,20221117,104500,1739.25,1739.47,1739.25,1739.47,0,0
^OMXT,5,20221117,105000,1739.17,1739.35,1739.06,1739.35,0,0
^OMXT,5,20221117,105500,1739.6,1739.6,1739.45,1739.45,0,0
^OMXT,5,20221117,110000,1739.37,1739.44,1739.15,1739.15,0,0
^OMXT,5,20221117,110500,1739.16,1739.39,1738.76,1739.39,0,0
^OMXT,5,20221117,111000,1739.23,1739.66,1739.23,1739.36,0,0
^OMXT,5,20221117,111500,1739.9,1740.04,1739.9,1740.04,0,0
^OMXT,5,20221117,112000,1739.42,1739.42,1739.26,1739.26,0,0
^OMXT,5,20221117,112500,1739.29,1739.34,1739.29,1739.34,0,0
^OMXT,5,20221117,113000,1739.77,1739.77,1739.55,1739.55,0,0
^OMXT,5,20221117,113500,1739.79,1740.44,1739.72,1740.22,0,0
^OMXT,5,20221117,114000,1740.08,1740.17,1739.95,1740.17,0,0
^OMXT,5,20221117,114500,1741.45,1741.66,1741.45,1741.52,0,0
^OMXT,5,20221117,115000,1741.45,1742.71,1741.45,1742.71,0,0
^OMXT,5,20221117,115500,1741.3,1741.38,1741.3,1741.38,0,0
^OMXT,5,20221117,120000,1741.52,1741.68,1741.47,1741.68,0,0
^OMXT,5,20221117,120500,1741.26,1741.26,1739.76,1739.76,0,0
^OMXT,5,20221117,121000,1740.2,1740.2,1739.77,1739.78,0,0
^OMXT,5,20221117,121500,1739.7,1740.63,1739.7,1740.21,0,0
^OMXT,5,20221117,122000,1742.31,1742.31,1740.82,1740.82,0,0
^OMXT,5,20221117,122500,1741.39,1741.4,1741.1,1741.1,0,0
^OMXT,5,20221117,123000,1741.06,1741.13,1740.55,1740.55,0,0
^OMXT,5,20221117,123500,1740.12,1740.12,1739.41,1739.41,0,0
^OMXT,5,20221117,124000,1740.75,1741.41,1740.75,1741.41,0,0
^OMXT,5,20221117,124500,1741.57,1741.57,1741.29,1741.29,0,0
^OMXT,5,20221117,125000,1741.44,1741.5,1741.29,1741.5,0,0
^OMXT,5,20221117,125500,1741.72,1741.72,1741.21,1741.21,0,0
^OMXT,5,20221117,130000,1741.65,1741.65,1741.65,1741.65,0,0
^OMXT,5,20221117,130500,1740.86,1741.51,1740.86,1740.9,0,0
^OMXT,5,20221117,131000,1740.78,1741.82,1740.51,1741.82,0,0
^OMXT,5,20221117,131500,1742.11,1742.11,1742.11,1742.11,0,0
^OMXT,5,20221117,132000,1741.39,1741.54,1741.28,1741.28,0,0
^OMXT,5,20221117,132500,1741.24,1741.24,1741.1,1741.24,0,0
