<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^OMXV,5,20221117,090000,917.2,918.27,917.2,917.6,0,0
^OMXV,5,20221117,090500,918.43,918.78,918.43,918.78,0,0
^OMXV,5,20221117,091000,918.91,919.04,918.91,919.04,0,0
^OMXV,5,20221117,091500,918.91,918.91,918.8,918.8,0,0
^OMXV,5,20221117,092000,918.52,919.27,918.52,918.91,0,0
^OMXV,5,20221117,092500,918.84,918.87,918.84,918.87,0,0
^OMXV,5,20221117,093000,918.54,919.16,918.54,919.16,0,0
^OMXV,5,20221117,093500,919.23,919.23,919.22,919.22,0,0
^OMXV,5,20221117,094000,919.66,919.66,919.66,919.66,0,0
^OMXV,5,20221117,094500,919.26,920.06,919.26,920.06,0,0
^OMXV,5,20221117,095500,920.19,920.3,920.19,920.3,0,0
^OMXV,5,20221117,100000,919.44,919.44,919.02,919.02,0,0
^OMXV,5,20221117,100500,919.39,919.39,919.39,919.39,0,0
^OMXV,5,20221117,101000,919.06,919.17,918.9,918.9,0,0
^OMXV,5,20221117,102000,919.17,919.17,919.17,919.17,0,0
^OMXV,5,20221117,102500,919.22,919.22,919.17,919.17,0,0
^OMXV,5,20221117,103000,919.03,919.03,919.03,919.03,0,0
^OMXV,5,20221117,103500,918.89,918.89,918.79,918.85,0,0
^OMXV,5,20221117,104000,919.03,919.03,918.62,918.62,0,0
^OMXV,5,20221117,104500,918.84,918.85,918.64,918.64,0,0
^OMXV,5,20221117,105000,918.73,918.86,918.73,918.86,0,0
^OMXV,5,20221117,105500,919.2,919.2,918.86,918.95,0,0
^OMXV,5,20221117,110000,918.67,918.67,918.67,918.67,0,0
^OMXV,5,20221117,110500,918.88,918.9,918.88,918.9,0,0
^OMXV,5,20221117,111500,918.62,918.96,918.62,918.96,0,0
^OMXV,5,20221117,112000,919.29,919.29,919.29,919.29,0,0
^OMXV,5,20221117,112500,918.96,918.96,918.87,918.87,0,0
^OMXV,5,20221117,113500,918.74,918.81,918.74,918.81,0,0
^OMXV,5,20221117,114000,918.82,919.16,918.82,919.16,0,0
^OMXV,5,20221117,115000,919.19,919.19,919.19,919.19,0,0
^OMXV,5,20221117,115500,919,919,918.82,918.82,0,0
^OMXV,5,20221117,120000,918.68,918.83,918.49,918.83,0,0
^OMXV,5,20221117,120500,918.49,918.49,917.88,917.88,0,0
^OMXV,5,20221117,122000,917.74,918.22,917.74,918.22,0,0
^OMXV,5,20221117,122500,917.87,917.87,917.87,917.87,0,0
^OMXV,5,20221117,123000,918.54,918.54,918.54,918.54,0,0
^OMXV,5,20221117,123500,918.32,918.32,918.32,918.32,0,0
^OMXV,5,20221117,124000,918.6,918.64,918.6,918.64,0,0
^OMXV,5,20221117,124500,918.64,918.64,918.35,918.35,0,0
^OMXV,5,20221117,125000,918.36,918.78,918.36,918.78,0,0
^OMXV,5,20221117,125500,918.55,918.55,918.55,918.55,0,0
^OMXV,5,20221117,130000,918.48,918.76,918.48,918.48,0,0
^OMXV,5,20221117,130500,918.5,918.5,918.5,918.5,0,0
^OMXV,5,20221117,131000,918.41,918.5,918.41,918.5,0,0
^OMXV,5,20221117,131500,918.77,918.77,918.77,918.77,0,0
^OMXV,5,20221117,132000,918.87,918.87,918.59,918.59,0,0
^OMXV,5,20221117,132500,918.87,918.87,918.87,918.87,0,0
