<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^OSEAX,5,20221117,090000,1376.21,1376.28,1368.96,1370.91,0,0
^OSEAX,5,20221117,090500,1370.41,1371.4,1369.66,1370.15,0,0
^OSEAX,5,20221117,091000,1370.39,1372.1,1369.83,1370.66,0,0
^OSEAX,5,20221117,091500,1370.77,1371.11,1369.65,1370.05,0,0
^OSEAX,5,20221117,092000,1369.97,1370.55,1367.2,1368.82,0,0
^OSEAX,5,20221117,092500,1368.62,1370.31,1368.62,1369.05,0,0
^OSEAX,5,20221117,093000,1369.37,1369.68,1368.99,1369.6,0,0
^OSEAX,5,20221117,093500,1369.5,1369.5,1367.38,1368.69,0,0
^OSEAX,5,20221117,094000,1368.55,1368.72,1367.61,1368.49,0,0
^OSEAX,5,20221117,094500,1368.6,1369.19,1367.91,1367.91,0,0
^OSEAX,5,20221117,095000,1367.88,1367.89,1366.21,1366.21,0,0
^OSEAX,5,20221117,095500,1366.09,1366.84,1364.83,1364.83,0,0
^OSEAX,5,20221117,100000,1364.71,1365.6,1364.18,1365.51,0,0
^OSEAX,5,20221117,100500,1365.49,1367.13,1365.49,1366.79,0,0
^OSEAX,5,20221117,101000,1366.78,1367.98,1366.76,1367.66,0,0
^OSEAX,5,20221117,101500,1367.66,1368.42,1367.32,1368.08,0,0
^OSEAX,5,20221117,102000,1368.08,1369.51,1368.08,1368.68,0,0
^OSEAX,5,20221117,102500,1368.69,1370.15,1368.69,1369.37,0,0
^OSEAX,5,20221117,103000,1369.23,1369.23,1366.63,1366.68,0,0
^OSEAX,5,20221117,103500,1366.85,1367.54,1366.62,1366.84,0,0
^OSEAX,5,20221117,104000,1366.69,1366.76,1365.58,1366.51,0,0
^OSEAX,5,20221117,104500,1366.39,1368.11,1366.39,1368.09,0,0
^OSEAX,5,20221117,105000,1368.08,1368.12,1366.12,1366.78,0,0
^OSEAX,5,20221117,105500,1366.77,1366.77,1365.84,1366.01,0,0
^OSEAX,5,20221117,110000,1366.25,1367.26,1365.78,1365.78,0,0
^OSEAX,5,20221117,110500,1365.82,1366.84,1365.82,1366.39,0,0
^OSEAX,5,20221117,111000,1366.38,1366.39,1365.17,1365.17,0,0
^OSEAX,5,20221117,111500,1365.01,1365.01,1362.2,1362.2,0,0
^OSEAX,5,20221117,112000,1362.37,1362.47,1361.76,1362.21,0,0
^OSEAX,5,20221117,112500,1362.19,1362.63,1361.79,1361.86,0,0
^OSEAX,5,20221117,113000,1361.89,1362.24,1360.81,1360.85,0,0
^OSEAX,5,20221117,113500,1360.83,1360.96,1360.36,1360.81,0,0
^OSEAX,5,20221117,114000,1360.72,1361.28,1360.53,1361.07,0,0
^OSEAX,5,20221117,114500,1361.1,1362.07,1361.1,1361.22,0,0
^OSEAX,5,20221117,115000,1361.17,1361.38,1360.12,1360.12,0,0
^OSEAX,5,20221117,115500,1360.07,1360.07,1359.25,1359.59,0,0
^OSEAX,5,20221117,120000,1359.53,1359.59,1359.1,1359.16,0,0
^OSEAX,5,20221117,120500,1359.27,1359.42,1358.97,1359.12,0,0
^OSEAX,5,20221117,121000,1358.99,1359.08,1358.02,1358.02,0,0
^OSEAX,5,20221117,121500,1358.02,1358.26,1357.65,1358.04,0,0
^OSEAX,5,20221117,122000,1357.84,1357.86,1356.07,1356.1,0,0
^OSEAX,5,20221117,122500,1356.15,1356.15,1355.14,1355.21,0,0
^OSEAX,5,20221117,123000,1355.13,1355.15,1354.11,1354.16,0,0
^OSEAX,5,20221117,123500,1354.18,1354.94,1353.95,1354.1,0,0
^OSEAX,5,20221117,124000,1354.13,1354.23,1353.94,1354.14,0,0
^OSEAX,5,20221117,124500,1354.28,1355.99,1354.03,1355.64,0,0
^OSEAX,5,20221117,125000,1355.43,1355.69,1355.18,1355.68,0,0
^OSEAX,5,20221117,125500,1355.81,1356.24,1355.35,1355.87,0,0
^OSEAX,5,20221117,130000,1355.79,1356,1354.95,1355.02,0,0
^OSEAX,5,20221117,130500,1355.03,1355.22,1354.69,1354.82,0,0
^OSEAX,5,20221117,131000,1354.48,1355.21,1354.47,1355.21,0,0
^OSEAX,5,20221117,131500,1355.15,1355.18,1354.18,1354.81,0,0
^OSEAX,5,20221117,132000,1354.74,1354.78,1353.78,1354.05,0,0
^OSEAX,5,20221117,132500,1354.25,1356.45,1354.25,1356.27,0,0
^OSEAX,5,20221117,133000,1356.23,1356.31,1354.6,1355.2,0,0
^OSEAX,5,20221117,133500,1355.19,1356.06,1354.83,1355.44,0,0
^OSEAX,5,20221117,134000,1355.45,1355.62,1355.06,1355.18,0,0
^OSEAX,5,20221117,134500,1355.17,1355.17,1352.82,1353.06,0,0
^OSEAX,5,20221117,135000,1353.17,1354.34,1353,1354.34,0,0
^OSEAX,5,20221117,135500,1354.3,1355.55,1354.3,1355.42,0,0
^OSEAX,5,20221117,140000,1355.43,1355.44,1352.32,1352.32,0,0
^OSEAX,5,20221117,140500,1352.2,1352.81,1352.2,1352.79,0,0
^OSEAX,5,20221117,141000,1352.81,1353.73,1352.61,1353.73,0,0
^OSEAX,5,20221117,141500,1353.74,1355.04,1353.52,1355.04,0,0
^OSEAX,5,20221117,142000,1355.1,1357.92,1355.08,1357.92,0,0
^OSEAX,5,20221117,142500,1358.05,1359.14,1356.8,1358.88,0,0
^OSEAX,5,20221117,143000,1358.87,1359,1357.57,1357.83,0,0
^OSEAX,5,20221117,143500,1357.74,1357.74,1356.35,1357.37,0,0
^OSEAX,5,20221117,144000,1357.38,1357.9,1357.09,1357.9,0,0
^OSEAX,5,20221117,144500,1357.89,1358.4,1357.66,1358.09,0,0
^OSEAX,5,20221117,145000,1358.06,1358.39,1355.71,1355.91,0,0
^OSEAX,5,20221117,145500,1356.03,1358.19,1355.94,1358.16,0,0
^OSEAX,5,20221117,150000,1358.29,1358.35,1356.99,1357.6,0,0
^OSEAX,5,20221117,150500,1357.63,1359.37,1357.01,1359.37,0,0
^OSEAX,5,20221117,151000,1359.38,1360.83,1359.38,1360.82,0,0
^OSEAX,5,20221117,151500,1361.01,1361.62,1360.73,1361.01,0,0
^OSEAX,5,20221117,152000,1360.77,1360.77,1360.22,1360.57,0,0
^OSEAX,5,20221117,152500,1360.56,1360.65,1359.32,1360.64,0,0
^OSEAX,5,20221117,153000,1360.23,1361.02,1358.27,1359.74,0,0
^OSEAX,5,20221117,153500,1359.35,1359.43,1357.9,1358.62,0,0
^OSEAX,5,20221117,154000,1358.54,1359.94,1358,1359.94,0,0
^OSEAX,5,20221117,154500,1359.78,1360.79,1358.98,1360.66,0,0
^OSEAX,5,20221117,155000,1360.72,1361.63,1360.16,1360.43,0,0
^OSEAX,5,20221117,155500,1360.49,1360.49,1359.05,1359.38,0,0
^OSEAX,5,20221117,160000,1359.46,1360.33,1358.84,1359.72,0,0
^OSEAX,5,20221117,160500,1359.72,1360.95,1359.61,1360.63,0,0
^OSEAX,5,20221117,161000,1360.55,1360.55,1358.72,1359.32,0,0
^OSEAX,5,20221117,161500,1359.35,1360.19,1359.17,1360.09,0,0
^OSEAX,5,20221117,162000,1360.17,1360.17,1360.17,1360.17,0,0
^OSEAX,5,20221117,162500,1360.16,1360.16,1359.44,1359.84,0,0
^OSEAX,5,20221118,090000,1360.2,1369.74,1360.11,1363.71,0,0
^OSEAX,5,20221118,090500,1363.73,1365.72,1363.25,1363.82,0,0
^OSEAX,5,20221118,091000,1364.11,1364.3,1362.36,1363.14,0,0
^OSEAX,5,20221118,091500,1363.04,1363.85,1361.59,1361.88,0,0
^OSEAX,5,20221118,092000,1361.94,1363.87,1361.93,1363.49,0,0
^OSEAX,5,20221118,092500,1363.29,1363.29,1361.52,1362.18,0,0
^OSEAX,5,20221118,093000,1362.23,1363.22,1361.36,1361.36,0,0
^OSEAX,5,20221118,093500,1361.28,1361.32,1360.6,1361.28,0,0
^OSEAX,5,20221118,094000,1361.33,1361.57,1360.88,1361.26,0,0
^OSEAX,5,20221118,094500,1361.32,1362.18,1359.23,1359.41,0,0
^OSEAX,5,20221118,095000,1359.36,1359.89,1357.94,1359.89,0,0
^OSEAX,5,20221118,095500,1359.96,1360.46,1358.97,1360.42,0,0
^OSEAX,5,20221118,100000,1360.48,1362.72,1360.41,1362.03,0,0
^OSEAX,5,20221118,100500,1362,1363.85,1362,1363.63,0,0
^OSEAX,5,20221118,101000,1363.62,1364.72,1363.51,1364.49,0,0
^OSEAX,5,20221118,101500,1364.27,1365.11,1364.22,1364.93,0,0
