<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^PSEI,5,20221117,023000,6380.81,6392.19,6366.05,6392.19,0,0
^PSEI,5,20221117,023500,6400.45,6405.16,6397.16,6402.49,0,0
^PSEI,5,20221117,024000,6405.3,6405.3,6393.44,6398.86,0,0
^PSEI,5,20221117,024500,6400.38,6400.38,6390.86,6390.86,0,0
^PSEI,5,20221117,025000,6384.01,6386.35,6384.01,6386.08,0,0
^PSEI,5,20221117,025500,6384.87,6392.71,6384.87,6386.98,0,0
^PSEI,5,20221117,030000,6387.97,6394.89,6385.95,6385.95,0,0
^PSEI,5,20221117,030500,6395.51,6395.51,6394.35,6394.35,0,0
^PSEI,5,20221117,031000,6386.78,6395.24,6386.78,6389.94,0,0
^PSEI,5,20221117,031500,6387.35,6389.73,6387.35,6389.73,0,0
^PSEI,5,20221117,032000,6395.22,6398.09,6395.22,6396.04,0,0
^PSEI,5,20221117,032500,6395.85,6399.85,6395.78,6396.6,0,0
^PSEI,5,20221117,033000,6399.68,6405.66,6396.72,6404.76,0,0
^PSEI,5,20221117,033500,6404.37,6406.01,6401.49,6401.49,0,0
^PSEI,5,20221117,034000,6401.18,6402.18,6398.38,6398.38,0,0
^PSEI,5,20221117,034500,6400.76,6403.51,6400.76,6401.64,0,0
^PSEI,5,20221117,035000,6401.6,6404.21,6401.6,6403.2,0,0
^PSEI,5,20221117,035500,6402.98,6402.98,6398.92,6399.82,0,0
^PSEI,5,20221117,040000,6400.66,6400.66,6396.73,6397.24,0,0
^PSEI,5,20221117,040500,6395.7,6396.88,6395.7,6396.65,0,0
^PSEI,5,20221117,041000,6394.89,6396.19,6394.89,6396.19,0,0
^PSEI,5,20221117,041500,6395.95,6395.95,6392.99,6392.99,0,0
^PSEI,5,20221117,042000,6393.31,6401.98,6391.03,6401.98,0,0
^PSEI,5,20221117,042500,6402.24,6402.24,6397.05,6397.05,0,0
^PSEI,5,20221117,043000,6396.84,6397.22,6395.76,6396.5,0,0
^PSEI,5,20221117,043500,6395.69,6397.62,6395.19,6397.62,0,0
^PSEI,5,20221117,044000,6396.36,6396.36,6395.46,6395.46,0,0
^PSEI,5,20221117,044500,6396.1,6400.02,6396.1,6398.59,0,0
^PSEI,5,20221117,045000,6399.62,6403.48,6396.86,6403.48,0,0
^PSEI,5,20221117,045500,6401.79,6403.18,6401.43,6401.94,0,0
^PSEI,5,20221117,050000,6399.77,6399.77,6399.77,6399.77,0,0
^PSEI,5,20221117,054000,6392.8,6398.75,6391.93,6394.87,0,0
^PSEI,5,20221118,023000,6415.34,6415.34,6403.5,6412.9,0,0
^PSEI,5,20221118,023500,6410.36,6430.74,6410.36,6430.74,0,0
