<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^PSI20,5,20221117,090500,5798.52,5805.72,5797.4,5802.99,0,0
^PSI20,5,20221117,091000,5802.99,5802.99,5790.21,5790.21,0,0
^PSI20,5,20221117,091500,5790.21,5790.21,5783.4,5787.6,0,0
^PSI20,5,20221117,092000,5786.64,5788.82,5780.34,5783.25,0,0
^PSI20,5,20221117,092500,5783.25,5785.59,5783.25,5784.84,0,0
^PSI20,5,20221117,093000,5783.78,5785.28,5781.4,5783.4,0,0
^PSI20,5,20221117,093500,5783.4,5785.6,5780.59,5783.17,0,0
^PSI20,5,20221117,094000,5783.17,5786.27,5781.17,5781.52,0,0
^PSI20,5,20221117,094500,5781.52,5781.52,5771.62,5771.82,0,0
^PSI20,5,20221117,095000,5771.27,5774.91,5770.56,5770.56,0,0
^PSI20,5,20221117,095500,5770.56,5776.42,5770.56,5773.25,0,0
^PSI20,5,20221117,100000,5773.85,5777.7,5773.12,5777.7,0,0
^PSI20,5,20221117,100500,5778.39,5782.61,5778.39,5782.61,0,0
^PSI20,5,20221117,101000,5782.46,5787.09,5782.46,5784.91,0,0
^PSI20,5,20221117,101500,5784.59,5784.59,5781.01,5782.21,0,0
^PSI20,5,20221117,102000,5781.43,5782.8,5779.62,5779.62,0,0
^PSI20,5,20221117,102500,5778.63,5779.86,5776.9,5776.9,0,0
^PSI20,5,20221117,103000,5777.15,5777.67,5773.19,5773.19,0,0
^PSI20,5,20221117,103500,5773.03,5774.26,5762.85,5763.43,0,0
^PSI20,5,20221117,104000,5763.43,5764.19,5760.85,5764.19,0,0
^PSI20,5,20221117,104500,5764.19,5770.49,5764.19,5769.87,0,0
^PSI20,5,20221117,105000,5769.87,5769.87,5762.8,5763.28,0,0
^PSI20,5,20221117,105500,5763.51,5763.51,5760.25,5760.41,0,0
^PSI20,5,20221117,110000,5760.63,5761.29,5759.91,5759.91,0,0
^PSI20,5,20221117,110500,5759.2,5762.46,5759.2,5762.17,0,0
^PSI20,5,20221117,111000,5761.69,5761.69,5759.05,5760.05,0,0
^PSI20,5,20221117,111500,5760.41,5761.05,5756.81,5757.56,0,0
^PSI20,5,20221117,112000,5757.37,5760.34,5756.92,5760.34,0,0
^PSI20,5,20221117,112500,5761.09,5770.53,5761.09,5770.37,0,0
^PSI20,5,20221117,113000,5770.37,5770.91,5765.51,5765.51,0,0
^PSI20,5,20221117,113500,5766.23,5766.23,5764.1,5765.38,0,0
^PSI20,5,20221117,114000,5765.38,5766.71,5764.58,5766.71,0,0
^PSI20,5,20221117,114500,5766.71,5770.79,5766.49,5770.79,0,0
^PSI20,5,20221117,115000,5771.1,5771.41,5768.18,5769.12,0,0
^PSI20,5,20221117,115500,5769.81,5772.11,5765.75,5766.31,0,0
^PSI20,5,20221117,120000,5766.63,5767.13,5765.26,5766.7,0,0
^PSI20,5,20221117,120500,5767.34,5770.12,5766.7,5769.47,0,0
^PSI20,5,20221117,121000,5769.76,5769.76,5767.36,5767.73,0,0
^PSI20,5,20221117,121500,5767.73,5767.9,5766.57,5767.43,0,0
^PSI20,5,20221117,122000,5767.4,5767.4,5763.46,5763.46,0,0
^PSI20,5,20221117,122500,5763.54,5763.82,5763.19,5763.45,0,0
^PSI20,5,20221117,123000,5762.97,5762.97,5760.04,5760.34,0,0
^PSI20,5,20221117,123500,5760.34,5762.53,5755.55,5755.55,0,0
^PSI20,5,20221117,124000,5755.39,5756.86,5754.35,5754.6,0,0
^PSI20,5,20221117,124500,5754.6,5760.44,5754.6,5756.56,0,0
^PSI20,5,20221117,125000,5755.44,5757.41,5755.13,5755.15,0,0
^PSI20,5,20221117,125500,5755.15,5757.11,5753.18,5757.11,0,0
^PSI20,5,20221117,130000,5757.33,5757.33,5749.83,5750.34,0,0
^PSI20,5,20221117,130500,5750.34,5750.34,5743.22,5743.22,0,0
^PSI20,5,20221117,131000,5742.17,5742.17,5740.34,5741.44,0,0
^PSI20,5,20221117,131500,5741.9,5745.13,5741.9,5745.13,0,0
^PSI20,5,20221117,132000,5745.13,5745.13,5738.84,5738.84,0,0
^PSI20,5,20221117,132500,5739.16,5746.08,5739.16,5743.91,0,0
^PSI20,5,20221117,133000,5743.91,5754.22,5743.75,5754,0,0
^PSI20,5,20221117,133500,5752.2,5754.47,5751.47,5751.47,0,0
^PSI20,5,20221117,134000,5751.17,5751.66,5745.97,5745.97,0,0
^PSI20,5,20221117,134500,5745.97,5746.32,5742.11,5742.43,0,0
^PSI20,5,20221117,135000,5742.82,5744.64,5741.17,5744.64,0,0
^PSI20,5,20221117,135500,5744.64,5746.48,5743.42,5746.48,0,0
^PSI20,5,20221117,140000,5746.39,5746.9,5745.26,5746.18,0,0
^PSI20,5,20221117,140500,5745.25,5745.25,5738.02,5738.46,0,0
^PSI20,5,20221117,141000,5736.84,5737.2,5734.48,5736.48,0,0
^PSI20,5,20221117,141500,5735.87,5735.87,5733.78,5733.78,0,0
^PSI20,5,20221117,142000,5734.53,5737.53,5734.53,5737.5,0,0
^PSI20,5,20221117,142500,5737.5,5738.37,5737.31,5738.16,0,0
^PSI20,5,20221117,143000,5738.31,5739.11,5737.12,5737.61,0,0
^PSI20,5,20221117,143500,5739.7,5742.01,5739.46,5739.98,0,0
^PSI20,5,20221117,144000,5739.98,5741.59,5738.82,5741.59,0,0
^PSI20,5,20221117,144500,5742.11,5748.73,5740.93,5740.97,0,0
^PSI20,5,20221117,145000,5737.68,5738.44,5731.67,5732.46,0,0
^PSI20,5,20221117,145500,5732.46,5732.46,5728.18,5730.94,0,0
^PSI20,5,20221117,150000,5731.96,5732.51,5727.85,5727.85,0,0
^PSI20,5,20221117,150500,5728.76,5732.97,5725.83,5732.97,0,0
^PSI20,5,20221117,151000,5733.35,5733.86,5732.18,5733.26,0,0
^PSI20,5,20221117,151500,5733.9,5735.54,5733.9,5734.29,0,0
^PSI20,5,20221117,152000,5733.93,5735.07,5732.38,5733.3,0,0
^PSI20,5,20221117,152500,5733.92,5735.92,5731.63,5735.92,0,0
^PSI20,5,20221117,153000,5735.6,5743.65,5732.47,5742.05,0,0
^PSI20,5,20221117,153500,5740.59,5741.32,5738.3,5739.64,0,0
^PSI20,5,20221117,154000,5739.68,5739.68,5737.66,5739.56,0,0
^PSI20,5,20221117,154500,5739.57,5746.07,5739.57,5745.82,0,0
