<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^PX,5,20221118,090000,1240.63,1251.81,1240.42,1250.91,0,0
^PX,5,20221118,090500,1251.11,1251.63,1248.32,1249.4,0,0
^PX,5,20221118,091000,1249.75,1250.13,1248.4,1248.4,0,0
^PX,5,20221118,091500,1248.4,1248.68,1247.75,1247.99,0,0
^PX,5,20221118,092000,1246.98,1246.98,1246.31,1246.31,0,0
^PX,5,20221118,092500,1246.31,1248.1,1246.31,1247.99,0,0
^PX,5,20221118,093000,1247.99,1248.79,1247.56,1248.04,0,0
^PX,5,20221118,093500,1247.96,1248.42,1247.87,1248.33,0,0
^PX,5,20221118,094000,1248.33,1248.57,1245.66,1248.12,0,0
^PX,5,20221118,094500,1248.12,1248.66,1247.32,1247.32,0,0
^PX,5,20221118,095000,1247.32,1247.86,1246.97,1247.39,0,0
^PX,5,20221118,095500,1247.16,1247.39,1245.8,1246.89,0,0
^PX,5,20221118,100000,1246.89,1247.93,1246.89,1247.9,0,0
^PX,5,20221118,100500,1247.9,1248.1,1247.22,1247.81,0,0
^PX,5,20221118,101000,1247.81,1247.81,1247.18,1247.37,0,0
^PX,5,20221118,101500,1247.37,1247.37,1246,1246.82,0,0
^PX,5,20221118,102000,1246.86,1247.1,1246.18,1247.1,0,0
^PX,5,20221118,102500,1247.3,1248.12,1247.3,1248.12,0,0
^PX,5,20221118,103000,1248.12,1248.69,1247.7,1248.22,0,0
^PX,5,20221118,103500,1248.02,1248.86,1248.02,1248.18,0,0
^PX,5,20221118,104000,1248.18,1248.26,1247.98,1248.26,0,0
^PX,5,20221118,104500,1248.51,1248.51,1247.09,1247.25,0,0
^PX,5,20221118,105000,1247.25,1247.25,1246.81,1246.92,0,0
^PX,5,20221118,105500,1247.37,1247.77,1246.23,1246.66,0,0
^PX,5,20221118,110000,1246.66,1246.67,1245.54,1246.67,0,0
