<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^RTS,5,20221117,080000,1162.3,1163.15,1159.45,1159.6,0,0
^RTS,5,20221117,080500,1159.53,1162.18,1159.39,1160.95,0,0
^RTS,5,20221117,081000,1162.08,1163.95,1161.8,1163.59,0,0
^RTS,5,20221117,081500,1163.96,1164.75,1163.65,1164.18,0,0
^RTS,5,20221117,082000,1163.31,1164.49,1162.38,1163.43,0,0
^RTS,5,20221117,082500,1163.33,1163.34,1161.44,1162.35,0,0
^RTS,5,20221117,083000,1162.23,1162.23,1160.61,1161.18,0,0
^RTS,5,20221117,083500,1161.99,1161.99,1161.06,1161.67,0,0
^RTS,5,20221117,084000,1161.9,1162.06,1161.26,1161.53,0,0
^RTS,5,20221117,084500,1161.52,1161.79,1161.14,1161.78,0,0
^RTS,5,20221117,085000,1161.8,1163.29,1161.68,1162.81,0,0
^RTS,5,20221117,085500,1162.77,1162.77,1161.77,1162.03,0,0
^RTS,5,20221117,090000,1162,1162.1,1159.97,1160.31,0,0
^RTS,5,20221117,090500,1160.31,1161.51,1160.16,1160.89,0,0
^RTS,5,20221117,091000,1160.91,1160.98,1159.16,1159.2,0,0
^RTS,5,20221117,091500,1160.16,1160.83,1160.11,1160.81,0,0
^RTS,5,20221117,092000,1160.17,1160.6,1159.76,1160.41,0,0
^RTS,5,20221117,092500,1160.39,1161.04,1160.02,1160.12,0,0
^RTS,5,20221117,093000,1160.06,1160.13,1159.63,1159.91,0,0
^RTS,5,20221117,093500,1159.73,1161.9,1159.66,1161.35,0,0
^RTS,5,20221117,094000,1161.93,1162.45,1161.45,1161.96,0,0
^RTS,5,20221117,094500,1162.53,1163.47,1162.52,1162.88,0,0
^RTS,5,20221117,095000,1163.11,1163.61,1162.68,1162.83,0,0
^RTS,5,20221117,095500,1162.73,1163.1,1162.38,1162.38,0,0
^RTS,5,20221117,100000,1162.37,1162.58,1161.69,1162.16,0,0
^RTS,5,20221117,100500,1161.9,1161.93,1160.45,1160.49,0,0
^RTS,5,20221117,101000,1160.48,1160.65,1160.22,1160.6,0,0
^RTS,5,20221117,101500,1160.43,1160.83,1160.23,1160.44,0,0
^RTS,5,20221117,102000,1160.81,1161.76,1160.81,1161.73,0,0
^RTS,5,20221117,102500,1161.77,1162.1,1161.73,1161.91,0,0
^RTS,5,20221117,103000,1161.88,1162.25,1161.87,1162.23,0,0
^RTS,5,20221117,103500,1162.02,1162.16,1161.9,1161.99,0,0
^RTS,5,20221117,104000,1162.04,1163.26,1162.04,1162.91,0,0
^RTS,5,20221117,104500,1162.9,1163.18,1162.72,1163.08,0,0
^RTS,5,20221117,105000,1163.18,1163.25,1162.19,1162.25,0,0
^RTS,5,20221117,105500,1162.33,1162.86,1162.29,1162.67,0,0
^RTS,5,20221117,110000,1162.88,1163.1,1162.77,1162.86,0,0
^RTS,5,20221117,110500,1162.92,1162.92,1161.7,1161.98,0,0
^RTS,5,20221117,111000,1161.83,1161.83,1158.3,1158.67,0,0
^RTS,5,20221117,111500,1158.63,1158.68,1156.57,1157.5,0,0
^RTS,5,20221117,112000,1157.59,1159.22,1157.59,1158.53,0,0
^RTS,5,20221117,112500,1159.2,1159.2,1158.53,1158.98,0,0
^RTS,5,20221117,113000,1158.99,1159.5,1158.55,1159.33,0,0
^RTS,5,20221117,113500,1159.36,1159.36,1158.41,1158.92,0,0
^RTS,5,20221117,114000,1159.38,1159.43,1158.98,1159.39,0,0
^RTS,5,20221117,114500,1159.37,1159.37,1158.66,1158.78,0,0
^RTS,5,20221117,115000,1158.68,1158.69,1157.75,1158.19,0,0
^RTS,5,20221117,115500,1157.73,1157.8,1156.77,1157.05,0,0
^RTS,5,20221117,120000,1157.19,1157.93,1157.19,1157.44,0,0
^RTS,5,20221117,120500,1157.89,1157.91,1157.56,1157.62,0,0
^RTS,5,20221117,121000,1157.61,1157.61,1157.25,1157.51,0,0
^RTS,5,20221117,121500,1157.23,1157.3,1155.6,1155.62,0,0
^RTS,5,20221117,122000,1155.64,1155.71,1155.08,1155.37,0,0
^RTS,5,20221117,122500,1155.19,1157.68,1155.03,1156.68,0,0
^RTS,5,20221117,123000,1157.73,1158.41,1157.44,1158.27,0,0
^RTS,5,20221117,123500,1158.34,1158.39,1157.59,1157.78,0,0
^RTS,5,20221117,124000,1157.66,1158.01,1157.43,1157.48,0,0
^RTS,5,20221117,124500,1157.69,1157.69,1156.72,1156.76,0,0
^RTS,5,20221117,125000,1156.69,1157.17,1156.64,1157.16,0,0
^RTS,5,20221117,125500,1157.16,1157.3,1156.31,1156.56,0,0
^RTS,5,20221117,130000,1156.33,1156.45,1155.69,1156.29,0,0
^RTS,5,20221117,130500,1156.16,1156.55,1155.89,1156.31,0,0
^RTS,5,20221117,131000,1156.49,1157.35,1156.43,1157.12,0,0
^RTS,5,20221117,131500,1157.24,1157.46,1156.93,1157.06,0,0
^RTS,5,20221117,132000,1157.04,1157.56,1156.69,1156.76,0,0
^RTS,5,20221117,132500,1156.97,1156.97,1156.52,1156.83,0,0
^RTS,5,20221117,133000,1156.61,1157.3,1156.61,1156.82,0,0
^RTS,5,20221117,133500,1156.97,1156.97,1156.36,1156.56,0,0
^RTS,5,20221117,134000,1156.56,1156.63,1155.18,1155.37,0,0
^RTS,5,20221117,134500,1155.49,1155.75,1155.15,1155.3,0,0
^RTS,5,20221117,135000,1155.2,1155.77,1154.97,1155.4,0,0
^RTS,5,20221117,135500,1155.41,1155.69,1155.2,1155.32,0,0
^RTS,5,20221117,140000,1155.2,1155.2,1154.78,1154.9,0,0
^RTS,5,20221117,140500,1154.88,1155.54,1154.61,1155.31,0,0
^RTS,5,20221117,141000,1155.04,1155.04,1153.14,1153.34,0,0
^RTS,5,20221117,141500,1153.33,1153.56,1153.07,1153.37,0,0
^RTS,5,20221117,142000,1153.4,1153.67,1153.36,1153.41,0,0
^RTS,5,20221117,142500,1153.59,1153.65,1152.95,1153.2,0,0
^RTS,5,20221117,143000,1153.16,1153.88,1152.03,1152.67,0,0
^RTS,5,20221117,143500,1152.04,1152.12,1151.04,1151.2,0,0
^RTS,5,20221117,144000,1151.06,1151.56,1150.92,1151.09,0,0
^RTS,5,20221117,144500,1151.02,1151.05,1149.19,1149.67,0,0
^RTS,5,20221117,145000,1149.2,1150.14,1149.06,1149.77,0,0
^RTS,5,20221117,145500,1149.67,1149.97,1148.66,1148.79,0,0
^RTS,5,20221117,150000,1148.84,1148.84,1146.93,1147.09,0,0
^RTS,5,20221117,150500,1147.85,1150.64,1147.78,1150.36,0,0
^RTS,5,20221117,151000,1150.64,1150.77,1149.46,1149.49,0,0
^RTS,5,20221117,151500,1149.34,1150.91,1149.32,1150.49,0,0
^RTS,5,20221117,152000,1150.9,1151.02,1149.81,1150.49,0,0
^RTS,5,20221117,152500,1149.74,1150.17,1149.34,1150.11,0,0
^RTS,5,20221117,153000,1150.21,1150.7,1149.78,1150.3,0,0
^RTS,5,20221117,153500,1149.79,1150.12,1149.25,1150.11,0,0
^RTS,5,20221117,154000,1150.11,1150.3,1149.72,1150.01,0,0
