<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^SDXP,5,20221117,090000,12272.36,12280.84,12270.07,12280.84,0,0
^SDXP,5,20221117,090500,12279.57,12316.42,12279.57,12302.48,0,0
^SDXP,5,20221117,091000,12298.14,12311.44,12298.14,12305.75,0,0
^SDXP,5,20221117,091500,12306.6,12328.94,12306.6,12328.94,0,0
^SDXP,5,20221117,092000,12336.49,12336.49,12328.13,12329.38,0,0
^SDXP,5,20221117,092500,12318.94,12318.94,12300.37,12301.4,0,0
^SDXP,5,20221117,093000,12297.5,12297.5,12287.02,12287.02,0,0
^SDXP,5,20221117,093500,12287.98,12310.09,12287.98,12310.09,0,0
^SDXP,5,20221117,094000,12306.18,12306.18,12300.2,12300.61,0,0
^SDXP,5,20221117,094500,12288.73,12292.07,12286.59,12286.59,0,0
^SDXP,5,20221117,095000,12284.58,12284.58,12273.05,12273.78,0,0
^SDXP,5,20221117,095500,12267.02,12267.02,12260.63,12265.55,0,0
^SDXP,5,20221117,100000,12262.89,12265.75,12262.89,12265.3,0,0
^SDXP,5,20221117,100500,12263.09,12264.74,12262.89,12264.74,0,0
^SDXP,5,20221117,101000,12265.81,12266.7,12262.96,12266.7,0,0
^SDXP,5,20221117,101500,12268.96,12272.55,12268.96,12269.12,0,0
^SDXP,5,20221117,102000,12270.24,12274.13,12270.24,12273.97,0,0
^SDXP,5,20221117,102500,12271.86,12273.97,12271.48,12273.97,0,0
^SDXP,5,20221117,103000,12275.26,12276.29,12261.16,12261.16,0,0
^SDXP,5,20221117,103500,12262.8,12263.11,12261.38,12261.38,0,0
^SDXP,5,20221117,104000,12255.05,12260.41,12254.05,12258.46,0,0
^SDXP,5,20221117,104500,12259.16,12264.91,12259.16,12264.91,0,0
^SDXP,5,20221117,105000,12263.84,12263.94,12254.06,12256.47,0,0
^SDXP,5,20221117,105500,12257.07,12259.99,12251.19,12253.96,0,0
^SDXP,5,20221117,110000,12261,12261,12256.22,12256.22,0,0
^SDXP,5,20221117,110500,12254.75,12255.86,12246.51,12246.51,0,0
^SDXP,5,20221117,111000,12243.79,12243.79,12234.5,12235.63,0,0
^SDXP,5,20221117,111500,12237.12,12237.12,12231.98,12236.07,0,0
^SDXP,5,20221117,112000,12234.52,12234.52,12231.63,12231.63,0,0
^SDXP,5,20221117,112500,12230.43,12234.64,12230.43,12234.64,0,0
^SDXP,5,20221117,113000,12233.1,12237.61,12233.1,12237.61,0,0
^SDXP,5,20221117,113500,12238.74,12238.74,12234.33,12235.25,0,0
^SDXP,5,20221117,114000,12235.33,12235.5,12231.2,12231.2,0,0
^SDXP,5,20221117,114500,12230.3,12230.3,12221.57,12221.57,0,0
^SDXP,5,20221117,115000,12221.7,12221.7,12201.6,12201.6,0,0
^SDXP,5,20221117,115500,12199.16,12206.9,12199.16,12206.9,0,0
^SDXP,5,20221117,120000,12207.19,12218.83,12207.19,12217.95,0,0
^SDXP,5,20221117,120500,12218.56,12218.56,12217.16,12217.53,0,0
^SDXP,5,20221117,121000,12217.83,12217.83,12214.93,12214.93,0,0
^SDXP,5,20221117,121500,12214.74,12223.27,12214.74,12223.27,0,0
^SDXP,5,20221117,122000,12222.43,12222.95,12220.62,12220.62,0,0
^SDXP,5,20221117,122500,12220.28,12221.86,12217.51,12217.51,0,0
^SDXP,5,20221117,123000,12215.89,12217.21,12215.73,12215.94,0,0
^SDXP,5,20221117,123500,12215.86,12217.84,12206.47,12206.47,0,0
^SDXP,5,20221117,124000,12206.89,12206.89,12206.2,12206.29,0,0
^SDXP,5,20221117,124500,12210.77,12226.69,12210.77,12226.69,0,0
^SDXP,5,20221117,125000,12228.14,12244.8,12228.14,12241.16,0,0
^SDXP,5,20221117,125500,12242.4,12242.4,12236.85,12237.04,0,0
^SDXP,5,20221117,130000,12238.17,12246.79,12238.17,12246.79,0,0
^SDXP,5,20221117,130500,12245.13,12245.13,12238.13,12238.93,0,0
^SDXP,5,20221117,131000,12239.58,12240.58,12237.69,12239.55,0,0
^SDXP,5,20221117,131500,12239.22,12242.57,12239.22,12242.57,0,0
^SDXP,5,20221117,132000,12242.79,12242.79,12236.28,12236.28,0,0
^SDXP,5,20221117,132500,12236.98,12252.26,12236.98,12249.37,0,0
^SDXP,5,20221117,133000,12246.85,12248.64,12245.1,12245.1,0,0
^SDXP,5,20221117,133500,12244.82,12244.82,12227.62,12227.62,0,0
^SDXP,5,20221117,134000,12226.04,12227.22,12224.83,12224.83,0,0
^SDXP,5,20221117,134500,12221.18,12221.18,12216.8,12216.8,0,0
^SDXP,5,20221117,135000,12213.69,12214.1,12210.39,12210.39,0,0
^SDXP,5,20221117,135500,12209.24,12210.54,12207.35,12207.35,0,0
^SDXP,5,20221117,140000,12208.52,12208.52,12190.56,12190.58,0,0
^SDXP,5,20221117,140500,12188.33,12188.33,12176.86,12176.86,0,0
^SDXP,5,20221117,141000,12177.63,12178.06,12172.06,12172.06,0,0
^SDXP,5,20221117,141500,12173.01,12187.06,12173.01,12187.06,0,0
^SDXP,5,20221117,142000,12188.37,12188.37,12183.4,12183.4,0,0
^SDXP,5,20221117,142500,12184.68,12195.84,12184.68,12194.52,0,0
^SDXP,5,20221117,143000,12193.92,12194.21,12190.78,12192.32,0,0
^SDXP,5,20221117,143500,12190.62,12190.62,12177.88,12178.26,0,0
^SDXP,5,20221117,144000,12175.24,12175.24,12165.28,12168.68,0,0
^SDXP,5,20221117,144500,12165.08,12167.78,12160.84,12160.84,0,0
^SDXP,5,20221117,145000,12156.95,12156.95,12152.51,12155.04,0,0
^SDXP,5,20221117,145500,12156.71,12156.71,12151.1,12151.1,0,0
^SDXP,5,20221117,150000,12150.46,12153.42,12149.65,12153.42,0,0
^SDXP,5,20221117,150500,12154.05,12155.37,12150.16,12155.37,0,0
^SDXP,5,20221117,151000,12156.85,12156.85,12152.09,12152.72,0,0
^SDXP,5,20221117,151500,12153.59,12157.57,12153.59,12157.57,0,0
^SDXP,5,20221117,152000,12155.36,12156.05,12149.07,12149.07,0,0
^SDXP,5,20221117,152500,12146.45,12150.06,12146.45,12150.06,0,0
^SDXP,5,20221117,153000,12153.35,12169.79,12153.35,12169.79,0,0
^SDXP,5,20221117,153500,12170.74,12189.28,12170.74,12175.02,0,0
^SDXP,5,20221117,154000,12177.13,12181.47,12175.85,12181.47,0,0
^SDXP,5,20221117,154500,12181.18,12187.66,12180.36,12187.6,0,0
^SDXP,5,20221117,155000,12193.02,12197.95,12192,12192,0,0
^SDXP,5,20221117,155500,12186.64,12186.64,12170.93,12173.26,0,0
^SDXP,5,20221117,160000,12171.69,12174.3,12169.95,12174.3,0,0
^SDXP,5,20221117,160500,12179.77,12180.59,12178.41,12180.03,0,0
^SDXP,5,20221117,161000,12177.86,12186.23,12177.86,12186.23,0,0
^SDXP,5,20221117,161500,12188.22,12210.24,12188.22,12210.24,0,0
^SDXP,5,20221117,162000,12226.32,12238.55,12226.32,12235.6,0,0
^SDXP,5,20221117,162500,12234.03,12244.97,12234.03,12244.97,0,0
^SDXP,5,20221117,163000,12247.16,12247.16,12241.57,12242.78,0,0
^SDXP,5,20221117,163500,12237.92,12240.46,12234.65,12240.46,0,0
^SDXP,5,20221117,164000,12239.41,12240.05,12238.21,12240.05,0,0
^SDXP,5,20221117,164500,12242.82,12248.89,12242.82,12244.03,0,0
^SDXP,5,20221117,165000,12244.16,12248.06,12244.16,12245.22,0,0
^SDXP,5,20221117,165500,12244.5,12244.5,12229.62,12229.62,0,0
^SDXP,5,20221117,170000,12228.03,12229.62,12227.05,12227.05,0,0
^SDXP,5,20221117,170500,12226.68,12235.93,12226.68,12234.03,0,0
^SDXP,5,20221117,171000,12231.9,12231.9,12226.16,12226.16,0,0
^SDXP,5,20221117,171500,12230.64,12233.57,12230.64,12231.39,0,0
^SDXP,5,20221117,172000,12232.65,12241.79,12232.65,12241.79,0,0
^SDXP,5,20221117,172500,12242.12,12303.7,12241.77,12303.7,0,0
^SDXP,5,20221118,090000,12330.87,12330.87,12287.86,12287.86,0,0
^SDXP,5,20221118,090500,12285.29,12285.29,12274.67,12282.13,0,0
^SDXP,5,20221118,091000,12278.38,12278.38,12254.06,12259.44,0,0
^SDXP,5,20221118,091500,12259.63,12262.66,12258.91,12258.91,0,0
^SDXP,5,20221118,092000,12251.15,12251.15,12243.88,12247.52,0,0
^SDXP,5,20221118,092500,12250.51,12266.2,12250.51,12266.2,0,0
^SDXP,5,20221118,093000,12261.11,12261.11,12239.54,12239.54,0,0
^SDXP,5,20221118,093500,12227.8,12230.22,12227.8,12230.22,0,0
^SDXP,5,20221118,094000,12229.02,12233.47,12227.67,12233.47,0,0
^SDXP,5,20221118,094500,12239.99,12251.63,12239.99,12247.4,0,0
^SDXP,5,20221118,095000,12243.8,12254.04,12243.8,12253,0,0
^SDXP,5,20221118,095500,12251.94,12262.83,12251.94,12262.83,0,0
^SDXP,5,20221118,100000,12263.18,12265.29,12262.97,12263.74,0,0
^SDXP,5,20221118,100500,12262.59,12269.82,12262.59,12269.82,0,0
^SDXP,5,20221118,101000,12280.27,12280.27,12272.4,12272.4,0,0
^SDXP,5,20221118,101500,12271.82,12297.59,12271.82,12297.59,0,0
^SDXP,5,20221118,102000,12299.2,12309.58,12299.2,12309.58,0,0
^SDXP,5,20221118,102500,12310.33,12317.02,12308.55,12317.02,0,0
^SDXP,5,20221118,103000,12316.99,12326.04,12316.96,12326.04,0,0
^SDXP,5,20221118,103500,12325.3,12341.19,12325.3,12341.19,0,0
^SDXP,5,20221118,104000,12341.5,12344.77,12341.06,12341.06,0,0
^SDXP,5,20221118,104500,12341.15,12341.15,12336.19,12336.19,0,0
^SDXP,5,20221118,105000,12334.76,12334.76,12330.77,12331.03,0,0
^SDXP,5,20221118,105500,12329.64,12330.39,12328.31,12328.32,0,0
^SDXP,5,20221118,110000,12327.02,12327.02,12320.51,12322.36,0,0
^SDXP,5,20221118,110500,12321.78,12334.7,12320.93,12334.7,0,0
^SDXP,5,20221118,111000,12339.64,12343.65,12338.42,12343.65,0,0
^SDXP,5,20221118,111500,12345.85,12353.74,12345.85,12352.98,0,0
^SDXP,5,20221118,112000,12353.48,12355.14,12352.52,12353.61,0,0
^SDXP,5,20221118,112500,12351.95,12357.97,12351.95,12357.97,0,0
^SDXP,5,20221118,113000,12357.64,12361.23,12356.59,12361.23,0,0
^SDXP,5,20221118,113500,12362.78,12367.74,12362.66,12367.74,0,0
^SDXP,5,20221118,114000,12379.07,12387.8,12379.07,12387.48,0,0
^SDXP,5,20221118,114500,12387.79,12389.36,12387.79,12389.34,0,0
^SDXP,5,20221118,115000,12392.63,12397.72,12392.63,12396.45,0,0
^SDXP,5,20221118,115500,12397.19,12403.46,12395.65,12403.46,0,0
^SDXP,5,20221118,120000,12405.3,12421.17,12405.3,12418.79,0,0
^SDXP,5,20221118,120500,12416.08,12422.51,12416.08,12420.59,0,0
^SDXP,5,20221118,121000,12417.22,12417.22,12413.57,12413.68,0,0
^SDXP,5,20221118,121500,12415.02,12416.24,12415.02,12416.24,0,0
^SDXP,5,20221118,122000,12419.12,12420.29,12415.42,12415.42,0,0
^SDXP,5,20221118,122500,12417.79,12417.79,12414.61,12414.61,0,0
^SDXP,5,20221118,123000,12414.47,12419.58,12414.47,12419.58,0,0
^SDXP,5,20221118,123500,12420.93,12421.84,12419.43,12419.43,0,0
^SDXP,5,20221118,124000,12420.9,12420.9,12418.67,12418.67,0,0
^SDXP,5,20221118,124500,12418.13,12423.68,12418.13,12423.68,0,0
^SDXP,5,20221118,125000,12424.76,12426.77,12424.76,12424.8,0,0
^SDXP,5,20221118,125500,12424.99,12427.86,12424.83,12427.86,0,0
^SDXP,5,20221118,130000,12426.21,12426.21,12424.25,12425.68,0,0
^SDXP,5,20221118,130500,12429.24,12441.85,12429.24,12441.85,0,0
^SDXP,5,20221118,131000,12441.97,12445.58,12441.97,12445.58,0,0
^SDXP,5,20221118,131500,12447.5,12451.57,12447.29,12447.29,0,0
^SDXP,5,20221118,132000,12448,12448,12443.8,12443.8,0,0
^SDXP,5,20221118,132500,12439.36,12439.36,12432.39,12432.39,0,0
^SDXP,5,20221118,133000,12434.11,12434.11,12432.31,12433.41,0,0
^SDXP,5,20221118,133500,12433.36,12435.32,12432.43,12432.57,0,0
^SDXP,5,20221118,134000,12433.7,12436.44,12433.7,12435.9,0,0
^SDXP,5,20221118,134500,12436.11,12436.11,12434.79,12435.92,0,0
^SDXP,5,20221118,135000,12437.58,12439.32,12437.58,12438.48,0,0
^SDXP,5,20221118,135500,12436.45,12436.75,12436.38,12436.67,0,0
^SDXP,5,20221118,140000,12436.99,12448.77,12436.99,12448.77,0,0
^SDXP,5,20221118,140500,12450.78,12451.43,12450.78,12451.09,0,0
^SDXP,5,20221118,141000,12452.5,12452.5,12449.49,12449.49,0,0
^SDXP,5,20221118,141500,12449.17,12456.29,12449.17,12456.29,0,0
^SDXP,5,20221118,142000,12461.96,12465.65,12461.96,12464.8,0,0
^SDXP,5,20221118,142500,12463.84,12467.24,12463.84,12467.24,0,0
^SDXP,5,20221118,143000,12467.7,12467.7,12465.97,12466.98,0,0
^SDXP,5,20221118,143500,12470.61,12473.7,12469.72,12469.72,0,0
