<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^SET,5,20221117,040000,1617.61,1617.61,1615.41,1615.68,0,0
^SET,5,20221117,040500,1615.8,1617.08,1615.2,1616.83,0,0
^SET,5,20221117,041000,1617.14,1617.5,1615.79,1615.97,0,0
^SET,5,20221117,041500,1616.36,1616.36,1615.27,1616.34,0,0
^SET,5,20221117,042000,1615.14,1616.02,1614.81,1615.44,0,0
^SET,5,20221117,042500,1616.07,1616.3,1613.25,1613.25,0,0
^SET,5,20221117,043000,1613.91,1615.33,1613.15,1614.9,0,0
^SET,5,20221117,043500,1614.84,1614.84,1612.61,1613.72,0,0
^SET,5,20221117,044000,1613.23,1614.51,1613,1613.76,0,0
^SET,5,20221117,044500,1613.07,1614.76,1613.07,1614.15,0,0
^SET,5,20221117,045000,1615.12,1615.81,1614.49,1615.56,0,0
^SET,5,20221117,045500,1615.75,1616.24,1614.78,1615.22,0,0
^SET,5,20221117,050000,1614.96,1616.24,1614.56,1615.2,0,0
^SET,5,20221117,050500,1615.19,1616.66,1614.85,1615.51,0,0
^SET,5,20221117,051000,1615.78,1616.9,1615.5,1616.02,0,0
^SET,5,20221117,051500,1616.1,1616.44,1614.97,1614.97,0,0
^SET,5,20221117,052000,1615.74,1615.78,1614.66,1615.36,0,0
^SET,5,20221117,052500,1614.9,1615.84,1614.76,1615.11,0,0
^SET,5,20221117,053000,1615.49,1616.28,1614.32,1614.49,0,0
^SET,5,20221117,053500,1615.52,1615.52,1614.12,1614.57,0,0
^SET,5,20221117,054000,1615.6,1615.6,1613.42,1613.42,0,0
^SET,5,20221117,054500,1613.65,1613.65,1612.62,1612.97,0,0
^SET,5,20221117,055000,1613.6,1613.6,1611.49,1611.94,0,0
^SET,5,20221117,055500,1612.13,1613.96,1611.76,1613.64,0,0
^SET,5,20221117,060000,1612.81,1613.21,1611.65,1612.75,0,0
^SET,5,20221117,060500,1612.97,1613.28,1611.98,1612.55,0,0
^SET,5,20221117,061000,1612.56,1613.63,1612.04,1612.9,0,0
^SET,5,20221117,061500,1612.87,1613.5,1612.09,1612.89,0,0
^SET,5,20221117,062000,1612.63,1613.55,1612.23,1613.47,0,0
^SET,5,20221117,062500,1612.71,1613.67,1612.38,1612.81,0,0
^SET,5,20221117,063000,1612.48,1612.48,1612.48,1612.48,0,0
^SET,5,20221117,080000,1612.48,1612.48,1612.48,1612.48,0,0
^SET,5,20221117,082500,1613.36,1614.26,1613.15,1614.26,0,0
^SET,5,20221117,083000,1613.58,1614.39,1613.04,1613.83,0,0
^SET,5,20221117,083500,1614.37,1615.2,1613.83,1614.55,0,0
^SET,5,20221117,084000,1614.22,1615.25,1613.56,1613.86,0,0
^SET,5,20221117,084500,1614.67,1614.67,1613.16,1613.83,0,0
^SET,5,20221117,085000,1613.97,1614.53,1613.13,1613.88,0,0
^SET,5,20221117,085500,1614.47,1614.87,1613.07,1614.52,0,0
^SET,5,20221117,090000,1614.69,1615.97,1613.95,1615.7,0,0
^SET,5,20221117,090500,1615.74,1616.14,1614.2,1614.32,0,0
^SET,5,20221117,091000,1614.98,1615.8,1614.13,1615.21,0,0
^SET,5,20221117,091500,1615.12,1616.13,1614.4,1616.13,0,0
^SET,5,20221117,092000,1615.71,1616.39,1614.53,1615.78,0,0
^SET,5,20221117,092500,1615.78,1616.07,1614.49,1615.53,0,0
^SET,5,20221117,093000,1614.5,1615.78,1614.5,1614.69,0,0
^SET,5,20221117,093500,1615.38,1616.48,1614.34,1616.48,0,0
^SET,5,20221117,094000,1615.8,1616.64,1614.42,1615.05,0,0
^SET,5,20221117,094500,1615.36,1616.25,1614.56,1614.93,0,0
^SET,5,20221117,095000,1616.54,1616.54,1613.93,1614.65,0,0
^SET,5,20221117,095500,1615.12,1615.3,1613.26,1614.09,0,0
^SET,5,20221117,100000,1614.66,1615.66,1613.73,1614.33,0,0
^SET,5,20221117,100500,1615.29,1615.29,1613.78,1614.42,0,0
^SET,5,20221117,101000,1614.44,1614.83,1612.87,1614.63,0,0
^SET,5,20221117,101500,1615.14,1615.51,1613.65,1615.04,0,0
^SET,5,20221117,102000,1614.92,1615.8,1613.23,1614.76,0,0
^SET,5,20221117,102500,1615.37,1615.8,1613.21,1614.95,0,0
^SET,5,20221118,040000,1616.49,1619.85,1615.18,1619.84,0,0
^SET,5,20221118,040500,1620.62,1621.78,1619.53,1620.22,0,0
^SET,5,20221118,041000,1620.67,1621.18,1616.73,1617.2,0,0
^SET,5,20221118,041500,1616.51,1616.88,1615.36,1615.66,0,0
^SET,5,20221118,042000,1615.9,1615.9,1614.64,1615.47,0,0
^SET,5,20221118,042500,1615.74,1615.77,1614.12,1615.06,0,0
^SET,5,20221118,043000,1615.54,1616.02,1614.22,1614.94,0,0
^SET,5,20221118,043500,1615.08,1616.13,1614.98,1615.34,0,0
^SET,5,20221118,044000,1615.77,1615.83,1613.19,1613.41,0,0
^SET,5,20221118,044500,1613.92,1613.92,1610.88,1613.03,0,0
^SET,5,20221118,045000,1612.76,1613.91,1612.46,1613.33,0,0
^SET,5,20221118,045500,1613.96,1614.88,1613.14,1614.88,0,0
^SET,5,20221118,050000,1614.74,1615.94,1613.8,1615.94,0,0
^SET,5,20221118,050500,1615.86,1616.11,1614.6,1615.01,0,0
^SET,5,20221118,051000,1615.81,1615.95,1614.86,1615.79,0,0
^SET,5,20221118,051500,1615.5,1616.08,1614.63,1614.67,0,0
^SET,5,20221118,052000,1615.49,1615.83,1614.41,1614.41,0,0
^SET,5,20221118,052500,1614.21,1615,1613.68,1614.25,0,0
^SET,5,20221118,053000,1613.97,1614.85,1613.83,1613.97,0,0
^SET,5,20221118,053500,1614.49,1615.33,1613.92,1614.07,0,0
^SET,5,20221118,054000,1614.38,1615.5,1613.89,1615.35,0,0
^SET,5,20221118,054500,1615.07,1616.33,1614.51,1616.14,0,0
^SET,5,20221118,055000,1616.09,1616.28,1614.99,1616.28,0,0
^SET,5,20221118,055500,1615.57,1616.16,1614.94,1615.04,0,0
^SET,5,20221118,060000,1615.05,1616.85,1615.05,1616.13,0,0
^SET,5,20221118,060500,1615.8,1616.53,1615.41,1616.43,0,0
^SET,5,20221118,061000,1616.49,1616.76,1615.73,1616.72,0,0
^SET,5,20221118,061500,1615.42,1617.09,1615.42,1616.22,0,0
^SET,5,20221118,062000,1616.49,1617.31,1615.36,1616.52,0,0
^SET,5,20221118,062500,1616.3,1616.75,1615.33,1615.83,0,0
^SET,5,20221118,063000,1617.96,1617.96,1617.96,1617.96,0,0
