<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^SHBS,5,20221117,023000,290.8730,290.8730,290.2320,290.3460,1296300,0
^SHBS,5,20221117,023500,290.5650,290.6260,290.1360,290.2860,1137600,0
^SHBS,5,20221117,024000,290.3500,290.3640,289.8820,290.1010,1561500,0
^SHBS,5,20221117,024500,290.0740,290.2240,289.7260,289.8090,2877800,0
^SHBS,5,20221117,025000,289.8350,289.8350,289.4470,289.8250,1537500,0
^SHBS,5,20221117,025500,289.7330,289.8860,289.5860,289.6570,1336500,0
^SHBS,5,20221117,030000,289.6950,289.9170,289.5500,289.7900,1609700,0
^SHBS,5,20221117,030500,289.8650,289.8650,289.2680,289.3780,1851100,0
^SHBS,5,20221117,031000,289.2190,289.5400,289.2000,289.3740,1718300,0
^SHBS,5,20221117,031500,289.3310,289.3450,288.7570,289.1030,1773400,0
^SHBS,5,20221117,032000,289.2040,289.2320,288.8940,289.1520,915600,0
^SHBS,5,20221117,032500,289.1710,289.1720,288.8620,289.0270,1514500,0
^SHBS,5,20221117,033000,289.0380,289.0550,288.7130,288.9040,1390400,0
^SHBS,5,20221117,033500,288.9390,289.1550,288.7540,289.0420,885700,0
^SHBS,5,20221117,034000,289.1470,289.3940,289.0880,289.2440,634500,0
^SHBS,5,20221117,034500,289.3900,289.4540,289.3320,289.3940,629500,0
^SHBS,5,20221117,035000,289.3940,289.5360,289.3730,289.4910,662400,0
^SHBS,5,20221117,035500,289.4850,289.5860,289.3890,289.5670,462500,0
^SHBS,5,20221117,040000,289.6020,289.6040,289.4810,289.5300,646600,0
^SHBS,5,20221117,040500,289.5300,289.5490,289.3020,289.3020,805600,0
^SHBS,5,20221117,041000,289.3400,289.4560,289.2320,289.3470,797100,0
^SHBS,5,20221117,041500,289.3490,289.3520,289.1420,289.1770,927600,0
^SHBS,5,20221117,042000,289.1980,289.1980,288.6240,288.6400,944800,0
^SHBS,5,20221117,042500,288.7260,289.0020,288.2520,288.4600,850500,0
^SHBS,5,20221117,043000,288.4610,288.4610,288.4610,288.4610,5300,0
^SHBS,5,20221117,060000,288.6340,288.6470,288.3880,288.4940,763000,0
^SHBS,5,20221117,060500,288.5370,288.6290,288.2090,288.5620,605100,0
^SHBS,5,20221117,061000,288.4170,288.4910,288.0800,288.0800,675900,0
^SHBS,5,20221117,061500,288.2670,288.6750,288.0850,288.4580,614300,0
^SHBS,5,20221117,062000,288.5320,288.8210,288.5290,288.6340,1062500,0
^SHBS,5,20221117,062500,288.6880,288.9760,288.3970,288.7610,1336700,0
^SHBS,5,20221117,063000,288.6430,288.6450,288.0770,288.0890,1544400,0
^SHBS,5,20221117,063500,288.5320,288.7840,288.4530,288.6670,1578600,0
^SHBS,5,20221117,064000,288.8100,288.9120,288.7150,288.7380,1449600,0
^SHBS,5,20221117,064500,288.8330,288.8830,288.6490,288.6890,905500,0
^SHBS,5,20221117,065000,288.8390,288.8390,288.5600,288.5600,925100,0
^SHBS,5,20221117,065500,288.7110,288.7360,288.3260,288.4070,1820600,0
^SHBS,5,20221117,070000,288.4910,288.4910,287.9140,288.1050,1925800,0
^SHBS,5,20221117,070500,288.2940,288.4110,288.0420,288.3900,1603400,0
^SHBS,5,20221117,071000,288.4390,288.7640,288.1510,288.7640,1847600,0
^SHBS,5,20221117,071500,288.9550,289.1380,288.7180,288.7180,1431600,0
^SHBS,5,20221117,072000,288.6990,288.8320,288.2880,288.3330,1574100,0
^SHBS,5,20221117,072500,288.4510,288.8960,288.3870,288.7220,1768000,0
^SHBS,5,20221117,073000,288.7350,288.9020,288.6070,288.8370,1252900,0
^SHBS,5,20221117,073500,288.8450,289.0260,288.8200,288.9000,1085900,0
