<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^SHC,5,20221117,023000,3110.9640,3110.9640,3102.6870,3102.8370,2684458600,0
^SHC,5,20221117,023500,3103.4550,3105.1190,3101.7370,3103.0590,1361680900,0
^SHC,5,20221117,024000,3102.7070,3107.3680,3101.7760,3106.2970,1156003400,0
^SHC,5,20221117,024500,3105.4810,3105.4810,3098.7140,3098.7140,1147013100,0
^SHC,5,20221117,025000,3099.4410,3101.7620,3096.9240,3097.3620,938505100,0
^SHC,5,20221117,025500,3096.5690,3101.5140,3095.5090,3099.6490,987631200,0
^SHC,5,20221117,030000,3100.2590,3104.8380,3099.2600,3101.6820,862343600,0
^SHC,5,20221117,030500,3101.5150,3101.7600,3097.9300,3098.5930,629880000,0
^SHC,5,20221117,031000,3098.8810,3100.3570,3097.1280,3097.3720,542680100,0
^SHC,5,20221117,031500,3097.3780,3100.0250,3095.1500,3098.7850,587917900,0
^SHC,5,20221117,032000,3098.0310,3098.0480,3092.5310,3092.6350,537362600,0
^SHC,5,20221117,032500,3092.2440,3093.2590,3089.0090,3091.2870,643869000,0
^SHC,5,20221117,033000,3091.2490,3095.0450,3090.2250,3092.2080,530520200,0
^SHC,5,20221117,033500,3092.2710,3092.4050,3089.2310,3091.9320,492165100,0
^SHC,5,20221117,034000,3092.4670,3096.7930,3092.3800,3093.5730,537946500,0
^SHC,5,20221117,034500,3093.2620,3095.7770,3092.2850,3095.4160,419905600,0
^SHC,5,20221117,035000,3095.3480,3098.2030,3093.4910,3097.3360,440655900,0
^SHC,5,20221117,035500,3097.0870,3102.8260,3096.3410,3102.4340,406970100,0
^SHC,5,20221117,040000,3101.6580,3101.6580,3096.3310,3096.6620,399806100,0
^SHC,5,20221117,040500,3096.5870,3096.6200,3094.0700,3094.5440,385491900,0
^SHC,5,20221117,041000,3094.4410,3095.0080,3092.6750,3092.9610,367098000,0
^SHC,5,20221117,041500,3092.4570,3093.4180,3090.9590,3091.4080,342146800,0
^SHC,5,20221117,042000,3091.4440,3091.4440,3089.4530,3090.3210,333448800,0
^SHC,5,20221117,042500,3089.3190,3089.3190,3087.2820,3089.0370,354624800,0
^SHC,5,20221117,043000,3088.8940,3088.8940,3088.8940,3088.8940,5918600,0
^SHC,5,20221117,060000,3089.0660,3092.0780,3088.3270,3090.8590,473734700,0
^SHC,5,20221117,060500,3090.2540,3092.2110,3089.2610,3089.7590,354431400,0
^SHC,5,20221117,061000,3090.1360,3092.6300,3088.8420,3092.2910,380202600,0
^SHC,5,20221117,061500,3092.7730,3098.0390,3092.7730,3098.0390,473962300,0
^SHC,5,20221117,062000,3097.8200,3100.6690,3097.0490,3098.2510,416886900,0
^SHC,5,20221117,062500,3097.9590,3098.2780,3095.8820,3096.3400,366609400,0
^SHC,5,20221117,063000,3096.7440,3096.9910,3094.5250,3095.2910,441868300,0
^SHC,5,20221117,063500,3095.3120,3100.0980,3094.9200,3098.4620,436166200,0
^SHC,5,20221117,064000,3098.7900,3100.0100,3098.0630,3098.5220,424054800,0
^SHC,5,20221117,064500,3098.9440,3099.6710,3094.9850,3095.5330,501504000,0
^SHC,5,20221117,065000,3095.4820,3095.4820,3093.3780,3093.7560,498181100,0
^SHC,5,20221117,065500,3093.8100,3094.2770,3092.6810,3093.5720,450628800,0
^SHC,5,20221117,070000,3093.5810,3097.4210,3090.9290,3097.3340,544216800,0
^SHC,5,20221117,070500,3097.4040,3100.1900,3097.1540,3100.0700,436992900,0
^SHC,5,20221117,071000,3099.6100,3104.3890,3098.1810,3104.3740,483634800,0
^SHC,5,20221117,071500,3104.6940,3104.7370,3101.9840,3103.5810,426690400,0
^SHC,5,20221117,072000,3103.0610,3103.0760,3100.2380,3100.7690,379070600,0
^SHC,5,20221117,072500,3100.5320,3103.3300,3099.6310,3102.3060,393818200,0
^SHC,5,20221117,073000,3102.4000,3104.9850,3101.4070,3104.9850,479668000,0
^SHC,5,20221117,073500,3104.3910,3107.8550,3104.3910,3106.6830,601490000,0
^SHC,5,20221117,074000,3106.4430,3108.7160,3106.1950,3108.7160,549970200,0
^SHC,5,20221117,074500,3108.9400,3112.1690,3108.7380,3111.6060,671057400,0
^SHC,5,20221117,075000,3111.2050,3114.3000,3111.0980,3114.2850,817482100,0
^SHC,5,20221117,075500,3114.3110,3115.4350,3113.6120,3115.4340,792141300,0
^SHC,5,20221118,023000,3116.7290,3118.6470,3112.4810,3114.0270,2741761300,0
^SHC,5,20221118,023500,3113.2120,3114.2500,3111.0060,3112.6660,1384355700,0
^SHC,5,20221118,024000,3112.0740,3116.2990,3110.4840,3116.0900,1236599200,0
^SHC,5,20221118,024500,3117.3490,3119.9320,3116.8330,3117.5340,1055224900,0
^SHC,5,20221118,025000,3117.0720,3119.3920,3112.9540,3118.0330,976666100,0
^SHC,5,20221118,025500,3117.1900,3117.5930,3114.0150,3114.0150,864493600,0
^SHC,5,20221118,030000,3114.7110,3116.1770,3110.9390,3110.9390,869774600,0
^SHC,5,20221118,030500,3111.2470,3116.2680,3109.7830,3113.7280,775326200,0
^SHC,5,20221118,031000,3113.8770,3116.2130,3112.2420,3116.0760,663695500,0
