<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^SMI,5,20221117,090000,10962.28,10992.51,10960.87,10985.48,0,0
^SMI,5,20221117,090500,10983.19,10983.19,10967.11,10968.54,0,0
^SMI,5,20221117,091000,10966.84,10982.63,10955.83,10981.16,0,0
^SMI,5,20221117,091500,10976.43,10985.29,10974.71,10981.04,0,0
^SMI,5,20221117,092000,10977.72,10978.25,10967.78,10968.54,0,0
^SMI,5,20221117,092500,10968.01,10977.76,10966.35,10969.12,0,0
^SMI,5,20221117,093000,10969.55,10978.91,10966.6,10978.35,0,0
^SMI,5,20221117,093500,10978.24,10979.33,10973.16,10974.52,0,0
^SMI,5,20221117,094000,10974.97,10976.07,10962.8,10963.41,0,0
^SMI,5,20221117,094500,10963.56,10969.68,10960.79,10960.79,0,0
^SMI,5,20221117,095000,10960.79,10962.7,10954.97,10961.39,0,0
^SMI,5,20221117,095500,10961.44,10963.75,10960.3,10962.35,0,0
^SMI,5,20221117,100000,10962.48,10963.55,10955.83,10956.33,0,0
^SMI,5,20221117,100500,10956.28,10956.45,10944.92,10945.59,0,0
^SMI,5,20221117,101000,10945.05,10946.99,10938.9,10938.9,0,0
^SMI,5,20221117,101500,10938.95,10943.45,10937.46,10943.45,0,0
^SMI,5,20221117,102000,10943.6,10947.76,10937.63,10938.67,0,0
^SMI,5,20221117,102500,10939.02,10939.15,10935.43,10935.43,0,0
^SMI,5,20221117,103000,10935.4,10935.4,10930.12,10933.2,0,0
^SMI,5,20221117,103500,10933.07,10933.07,10924.19,10927.81,0,0
^SMI,5,20221117,104000,10927.5,10930.26,10922.18,10924.44,0,0
^SMI,5,20221117,104500,10923.3,10923.32,10915.05,10915.11,0,0
^SMI,5,20221117,105000,10914.03,10914.03,10906.68,10912.51,0,0
^SMI,5,20221117,105500,10912.74,10913.45,10905.12,10911.37,0,0
^SMI,5,20221117,110000,10911.83,10915.95,10911.83,10912.81,0,0
^SMI,5,20221117,110500,10912.81,10919.69,10911.25,10916.13,0,0
^SMI,5,20221117,111000,10916.21,10916.65,10910.39,10911.13,0,0
^SMI,5,20221117,111500,10912.96,10915.35,10912.34,10915.02,0,0
^SMI,5,20221117,112000,10915.02,10919.01,10914.36,10918.43,0,0
^SMI,5,20221117,112500,10918.58,10923.57,10916.13,10922.64,0,0
^SMI,5,20221117,113000,10923.9,10925.16,10921.39,10921.39,0,0
^SMI,5,20221117,113500,10921.27,10921.27,10910.77,10911.81,0,0
^SMI,5,20221117,114000,10911.68,10918.56,10911.68,10916.94,0,0
^SMI,5,20221117,114500,10916.94,10918.97,10909.23,10910.37,0,0
^SMI,5,20221117,115000,10910.29,10910.29,10898.16,10898.37,0,0
^SMI,5,20221117,115500,10898.37,10899.64,10894.57,10898.25,0,0
^SMI,5,20221117,120000,10900.12,10909.45,10899.84,10907.7,0,0
^SMI,5,20221117,120500,10905.01,10905.01,10902.45,10902.78,0,0
^SMI,5,20221117,121000,10902.51,10904.03,10896.89,10896.89,0,0
^SMI,5,20221117,121500,10894.57,10895.88,10891.58,10892.42,0,0
^SMI,5,20221117,122000,10889.86,10892.56,10887.95,10888.62,0,0
^SMI,5,20221117,122500,10888.2,10889.93,10882.18,10882.57,0,0
^SMI,5,20221117,123000,10882.9,10887.22,10882.7,10886.73,0,0
^SMI,5,20221117,123500,10886.34,10888.34,10873.79,10873.88,0,0
^SMI,5,20221117,124000,10873.88,10877.99,10873.22,10877.99,0,0
^SMI,5,20221117,124500,10878.16,10887.27,10878.16,10886.97,0,0
^SMI,5,20221117,125000,10887,10890.88,10883.83,10884.37,0,0
^SMI,5,20221117,125500,10884.77,10886.18,10883.74,10886.18,0,0
^SMI,5,20221117,130000,10885.46,10888.75,10883.28,10883.28,0,0
^SMI,5,20221117,130500,10883.07,10883.2,10877.77,10877.78,0,0
^SMI,5,20221117,131000,10878.12,10879.46,10876.65,10876.77,0,0
^SMI,5,20221117,131500,10877.25,10880.2,10876.24,10876.24,0,0
^SMI,5,20221117,132000,10876.24,10877.89,10867.93,10867.93,0,0
^SMI,5,20221117,132500,10869.01,10876.93,10867.43,10867.43,0,0
^SMI,5,20221117,133000,10867.52,10869.95,10862.85,10864.12,0,0
^SMI,5,20221117,133500,10863.96,10865.8,10861.11,10863.71,0,0
^SMI,5,20221117,134000,10863.73,10872.6,10863.64,10866.36,0,0
^SMI,5,20221117,134500,10866.36,10866.36,10862.24,10863.02,0,0
^SMI,5,20221117,135000,10863.02,10863.68,10859.73,10863.68,0,0
^SMI,5,20221117,135500,10863.52,10867.07,10862.66,10864.58,0,0
^SMI,5,20221117,140000,10864.56,10864.56,10852.79,10855.75,0,0
^SMI,5,20221117,140500,10854.84,10854.84,10849.47,10853.38,0,0
^SMI,5,20221117,141000,10853.08,10855.34,10850.44,10853.91,0,0
^SMI,5,20221117,141500,10853.17,10862.49,10853.17,10861.62,0,0
^SMI,5,20221117,142000,10861.28,10862.68,10853.81,10855.23,0,0
^SMI,5,20221117,142500,10855.4,10858.08,10855.17,10857.05,0,0
^SMI,5,20221117,143000,10856.69,10866.78,10855.44,10855.44,0,0
^SMI,5,20221117,143500,10855.44,10855.53,10845.27,10846.14,0,0
^SMI,5,20221117,144000,10847.66,10850.81,10845.43,10850.81,0,0
^SMI,5,20221117,144500,10851.17,10853.49,10845.25,10845.25,0,0
^SMI,5,20221117,145000,10845.25,10845.25,10838.8,10844.69,0,0
^SMI,5,20221117,145500,10844.83,10849.67,10844.83,10848.55,0,0
^SMI,5,20221117,150000,10848.14,10854.23,10846.84,10848.48,0,0
^SMI,5,20221117,150500,10848.51,10853.93,10841.6,10853.78,0,0
^SMI,5,20221117,151000,10853.54,10854.73,10849,10850.31,0,0
