<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^SNX,5,20221117,043500,61812.36,61812.36,61812.36,61812.36,0,0
^SNX,5,20221117,044500,61796.78,61913.54,61796.78,61908.38,0,0
^SNX,5,20221117,045000,61915.17,61956.12,61899.58,61931.76,0,0
^SNX,5,20221117,045500,61930.88,61953.66,61911.96,61943.05,0,0
^SNX,5,20221117,050000,61937.64,61940.1,61891.83,61918.33,0,0
^SNX,5,20221117,050500,61924.05,61935.47,61904.77,61925.53,0,0
^SNX,5,20221117,051000,61915.59,61920.4,61891.79,61910.09,0,0
^SNX,5,20221117,051500,61913.26,61920.87,61873.87,61914.07,0,0
^SNX,5,20221117,052000,61911.5,61948.92,61891.02,61945.26,0,0
^SNX,5,20221117,052500,61946.26,62046.33,61942.47,62041.91,0,0
^SNX,5,20221117,053000,62039.39,62049.24,61972.34,61977.57,0,0
^SNX,5,20221117,053500,61969.69,61969.69,61937.09,61959.01,0,0
^SNX,5,20221117,054000,61954.8,61955.29,61918.47,61929.22,0,0
^SNX,5,20221117,054500,61930.5,61942.59,61920.17,61931,0,0
^SNX,5,20221117,055000,61927.02,61945.52,61903.1,61911.85,0,0
^SNX,5,20221117,055500,61912.63,61932.99,61911.14,61916.93,0,0
^SNX,5,20221117,060000,61913.9,61921.29,61904.47,61908.15,0,0
^SNX,5,20221117,060500,61907.42,61907.42,61877.48,61897.34,0,0
^SNX,5,20221117,061000,61903.47,61920.9,61894.44,61904.43,0,0
^SNX,5,20221117,061500,61906.58,61946.02,61889.38,61933.41,0,0
^SNX,5,20221117,062000,61927.97,61946.69,61914.12,61920.01,0,0
^SNX,5,20221117,062500,61922.43,61928.52,61898.93,61903.86,0,0
^SNX,5,20221117,063000,61897.62,61897.62,61853.55,61858.65,0,0
^SNX,5,20221117,063500,61857.4,61867.66,61842.26,61854.21,0,0
^SNX,5,20221117,064000,61852.02,61874.2,61841.94,61841.94,0,0
^SNX,5,20221117,064500,61839.01,61844.8,61818.71,61822.02,0,0
^SNX,5,20221117,065000,61819.61,61825,61810,61825,0,0
^SNX,5,20221117,065500,61822.63,61848.1,61821.07,61826.62,0,0
^SNX,5,20221117,070000,61826.36,61869.74,61814.21,61869.74,0,0
^SNX,5,20221117,070500,61872.15,61903.2,61870.46,61897.38,0,0
^SNX,5,20221117,071000,61898.76,61898.76,61864.06,61870.36,0,0
^SNX,5,20221117,071500,61868.47,61872.1,61845.58,61867.67,0,0
^SNX,5,20221117,072000,61868.33,61887.59,61868.33,61873.45,0,0
^SNX,5,20221117,072500,61875.55,61875.55,61844.51,61851.07,0,0
^SNX,5,20221117,073000,61849.03,61868.95,61844.54,61848.68,0,0
^SNX,5,20221117,073500,61850.49,61874.95,61849.94,61857.43,0,0
^SNX,5,20221117,074000,61860.3,61868.82,61841.14,61841.14,0,0
^SNX,5,20221117,074500,61845.37,61899.95,61831.3,61879.06,0,0
^SNX,5,20221117,075000,61878.24,61893.84,61868.1,61870.2,0,0
^SNX,5,20221117,075500,61868.66,61906.28,61867.14,61904.22,0,0
^SNX,5,20221117,080000,61902.15,61940.01,61902.15,61938.04,0,0
^SNX,5,20221117,080500,61943.44,61944.89,61928.31,61939.68,0,0
^SNX,5,20221117,081000,61939.72,61951.04,61935.74,61948.49,0,0
^SNX,5,20221117,081500,61948.01,61955.61,61913.58,61917.02,0,0
^SNX,5,20221117,082000,61920.01,61927.92,61910.69,61921.8,0,0
^SNX,5,20221117,082500,61923.81,61937.92,61913.69,61937.61,0,0
^SNX,5,20221117,083000,61938.44,61947.57,61917.03,61928.64,0,0
^SNX,5,20221117,083500,61929.34,61948.91,61928.01,61937.5,0,0
^SNX,5,20221117,084000,61939.93,61943.03,61921.52,61938.83,0,0
^SNX,5,20221117,084500,61938.9,61943.44,61910.16,61927.32,0,0
^SNX,5,20221117,085000,61927.75,61958.24,61927.75,61941.36,0,0
^SNX,5,20221117,085500,61940.81,61972.83,61931.92,61958.07,0,0
^SNX,5,20221117,090000,61954.86,61963.47,61946.14,61959.5,0,0
^SNX,5,20221117,090500,61962.23,61987.55,61961.18,61979.56,0,0
^SNX,5,20221117,091000,61980.62,61983.56,61938.22,61946.67,0,0
^SNX,5,20221117,091500,61946.6,61971.87,61930.85,61963.5,0,0
^SNX,5,20221117,092000,61961.03,61971.06,61952.81,61952.81,0,0
^SNX,5,20221117,092500,61952.9,61973.02,61944.89,61968.19,0,0
