<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^SOFIX,5,20221117,091000,592.18,592.18,591.6,591.72,0,0
^SOFIX,5,20221117,091500,591.7,591.72,591.3,591.3,0,0
^SOFIX,5,20221117,092000,591.39,591.39,591.3,591.39,0,0
^SOFIX,5,20221117,092500,591.3,591.39,591.3,591.3,0,0
^SOFIX,5,20221117,093000,591.39,591.39,591.3,591.39,0,0
^SOFIX,5,20221117,093500,591.3,591.39,591.3,591.3,0,0
^SOFIX,5,20221117,094000,591.39,591.39,591.3,591.39,0,0
^SOFIX,5,20221117,094500,591.3,591.39,591.3,591.3,0,0
^SOFIX,5,20221117,095000,591.39,591.39,591.3,591.39,0,0
^SOFIX,5,20221117,095500,591.3,591.39,591.3,591.3,0,0
^SOFIX,5,20221117,100000,591.39,591.39,591.1,591.13,0,0
^SOFIX,5,20221117,100500,591.1,591.13,591.1,591.1,0,0
^SOFIX,5,20221117,101000,591.13,591.67,591.1,591.67,0,0
^SOFIX,5,20221117,101500,591.6,591.67,591.6,591.6,0,0
^SOFIX,5,20221117,102000,591.67,591.67,591.6,591.67,0,0
^SOFIX,5,20221117,102500,591.6,591.67,591.6,591.6,0,0
^SOFIX,5,20221117,103000,591.67,591.78,591.6,591.78,0,0
^SOFIX,5,20221117,103500,592.2,592.48,592.2,592.4,0,0
^SOFIX,5,20221117,104000,592.48,592.48,592.4,592.48,0,0
^SOFIX,5,20221117,104500,592.4,592.48,592.4,592.4,0,0
^SOFIX,5,20221117,105000,592.48,592.48,592.4,592.48,0,0
^SOFIX,5,20221117,105500,592.4,592.48,592.4,592.4,0,0
^SOFIX,5,20221117,110000,592.48,592.48,592.4,592.48,0,0
^SOFIX,5,20221117,110500,592.4,592.48,591,591,0,0
^SOFIX,5,20221117,111000,591.9,591.9,591,591.9,0,0
^SOFIX,5,20221117,111500,591,591.9,591,591,0,0
^SOFIX,5,20221117,112000,591.9,591.9,591,591.9,0,0
^SOFIX,5,20221117,112500,591,591.9,591,591,0,0
^SOFIX,5,20221117,113000,591.9,591.9,591,591.9,0,0
^SOFIX,5,20221117,113500,591,591.9,591,591.8,0,0
^SOFIX,5,20221117,114000,591.83,591.83,591.8,591.83,0,0
^SOFIX,5,20221117,114500,591.8,591.83,591.7,591.7,0,0
^SOFIX,5,20221117,115000,591.77,591.77,591.7,591.77,0,0
^SOFIX,5,20221117,115500,591.7,591.77,591.7,591.7,0,0
^SOFIX,5,20221117,120000,591.77,591.77,591.7,591.77,0,0
^SOFIX,5,20221117,120500,591.7,591.77,591.7,591.7,0,0
^SOFIX,5,20221117,121000,591.77,591.77,591.7,591.77,0,0
^SOFIX,5,20221117,121500,591.7,591.77,591.7,591.7,0,0
^SOFIX,5,20221117,122000,591.77,591.77,591.7,591.77,0,0
^SOFIX,5,20221117,122500,591.7,591.77,591.7,591.7,0,0
^SOFIX,5,20221117,123000,591.77,591.77,591.7,591.77,0,0
^SOFIX,5,20221117,123500,591.7,591.77,591.7,591.7,0,0
^SOFIX,5,20221117,124000,591.77,591.77,591.7,591.77,0,0
^SOFIX,5,20221117,124500,591.7,591.77,591.7,591.7,0,0
^SOFIX,5,20221117,125000,591.77,591.77,591.7,591.77,0,0
^SOFIX,5,20221117,125500,591.7,591.77,591.7,591.7,0,0
^SOFIX,5,20221117,130000,591.77,592.04,591.7,592.04,0,0
^SOFIX,5,20221117,130500,592,592.04,591.9,591.9,0,0
^SOFIX,5,20221117,131000,591.93,591.93,591.9,591.93,0,0
^SOFIX,5,20221117,131500,591.9,591.93,591.5,591.5,0,0
^SOFIX,5,20221117,132000,591.58,591.58,590,590.1,0,0
^SOFIX,5,20221117,132500,590,590.1,590,590,0,0
^SOFIX,5,20221117,133000,590.1,590.1,590,590.1,0,0
^SOFIX,5,20221117,133500,590,590.1,590,590,0,0
^SOFIX,5,20221117,134000,590.1,590.1,589,589.02,0,0
^SOFIX,5,20221117,134500,588.6,588.69,588.6,588.6,0,0
^SOFIX,5,20221117,135000,588.69,588.69,588.6,588.69,0,0
^SOFIX,5,20221117,135500,588.6,588.8,587.8,587.8,0,0
^SOFIX,5,20221117,140000,587.48,587.48,587.4,587.48,0,0
^SOFIX,5,20221117,140500,587.4,587.48,587.4,587.4,0,0
^SOFIX,5,20221117,141000,587.48,587.48,587.4,587.48,0,0
^SOFIX,5,20221117,141500,587.4,587.48,587.4,587.4,0,0
^SOFIX,5,20221117,142000,587.48,587.48,587.4,587.48,0,0
^SOFIX,5,20221117,142500,587.4,587.48,587.4,587.4,0,0
^SOFIX,5,20221117,143000,587.48,587.48,587.4,587.48,0,0
^SOFIX,5,20221117,143500,587.4,587.48,587.4,587.4,0,0
^SOFIX,5,20221117,144000,587.48,587.48,587.4,587.48,0,0
^SOFIX,5,20221117,144500,587.3,587.39,587.3,587.3,0,0
^SOFIX,5,20221117,145000,587.39,587.39,587.3,587.39,0,0
^SOFIX,5,20221117,145500,587.3,587.39,587.3,587.3,0,0
^SOFIX,5,20221117,150000,587.64,587.64,586.7,586.74,0,0
^SOFIX,5,20221117,150500,586.7,586.7,586.4,586.4,0,0
^SOFIX,5,20221117,151000,586.42,586.42,586.4,586.42,0,0
^SOFIX,5,20221117,151500,586.4,586.42,586.4,586.4,0,0
^SOFIX,5,20221117,152000,586.42,586.42,586.4,586.42,0,0
^SOFIX,5,20221117,152500,586.4,586.42,585.9,585.9,0,0
