<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^SPX,5,20221117,153000,3911.41,3917.5,3911.06,3914.14,64620316,0
^SPX,5,20221117,153500,3914.47,3917.21,3910.33,3913.24,30115211,0
^SPX,5,20221117,154000,3912.3,3917.28,3911.53,3917.01,31272509,0
^SPX,5,20221117,154500,3917.21,3921.56,3914.99,3919.58,30444050,0
^SPX,5,20221117,155000,3919.29,3921.11,3914.47,3914.47,24998040,0
^SPX,5,20221117,155500,3914.49,3914.78,3907.78,3907.78,27297814,0
^SPX,5,20221117,160000,3907.99,3913.01,3906.62,3912.55,26510882,0
^SPX,5,20221117,160500,3913.49,3915.41,3912.02,3912.54,22928767,0
^SPX,5,20221117,161000,3912.52,3916.06,3910.4,3914.99,22784807,0
^SPX,5,20221117,161500,3915.09,3921.63,3914.61,3921.63,24282291,0
^SPX,5,20221117,162000,3922.45,3924.08,3920.72,3920.79,21884638,0
^SPX,5,20221117,162500,3921.21,3926.71,3921.21,3924.89,18943090,0
^SPX,5,20221117,163000,3924.9,3924.9,3919.99,3919.99,19707737,0
^SPX,5,20221117,163500,3920.18,3922.24,3919.17,3919.71,18104240,0
^SPX,5,20221117,164000,3919.08,3921.89,3917.94,3918.77,17383935,0
^SPX,5,20221117,164500,3918.39,3918.39,3912,3912.61,18684336,0
^SPX,5,20221117,165000,3913.16,3915.16,3912.69,3913.35,17120286,0
^SPX,5,20221117,165500,3913.72,3914.06,3910.68,3911.47,16445105,0
^SPX,5,20221117,170000,3910.8,3914.56,3910.71,3912.15,14288635,0
^SPX,5,20221117,170500,3912.53,3916.64,3910.74,3910.74,16553912,0
^SPX,5,20221117,171000,3910.36,3911.79,3908.52,3911.79,14803255,0
^SPX,5,20221117,171500,3912.37,3914.1,3910.98,3913.32,14130592,0
^SPX,5,20221117,172000,3912.91,3914.79,3909.69,3914.43,15477842,0
^SPX,5,20221117,172500,3914.54,3918.27,3913.98,3917.31,15876244,0
^SPX,5,20221117,173000,3917.48,3919.61,3916.06,3919.52,15550283,0
^SPX,5,20221117,173500,3919.92,3921.31,3919.05,3920.35,14695887,0
^SPX,5,20221117,174000,3920.57,3921.11,3919.16,3920.7,13262590,0
^SPX,5,20221117,174500,3920.51,3923.13,3919.88,3919.88,13062821,0
^SPX,5,20221117,175000,3920.17,3922.68,3918.93,3920.65,14283081,0
^SPX,5,20221117,175500,3920.78,3936.3,3920.78,3936.21,23392112,0
^SPX,5,20221117,180000,3936.98,3940.37,3936.5,3939.06,17074556,0
^SPX,5,20221117,180500,3939.4,3941.01,3937.8,3938.72,15357063,0
^SPX,5,20221117,181000,3938.67,3940.9,3937.96,3937.96,14371357,0
^SPX,5,20221117,181500,3937.99,3938.42,3935.46,3938.42,14084358,0
^SPX,5,20221117,182000,3938.79,3938.79,3935.82,3936.34,12754200,0
^SPX,5,20221117,182500,3936.3,3937.15,3935.57,3936.21,12198900,0
^SPX,5,20221117,183000,3935.36,3938.46,3933.12,3933.54,11767373,0
^SPX,5,20221117,183500,3933.33,3937.23,3933.27,3936.45,12973925,0
^SPX,5,20221117,184000,3937.31,3940,3937.24,3939.36,15011038,0
^SPX,5,20221117,184500,3939.18,3941.84,3939.04,3941.56,13436343,0
^SPX,5,20221117,185000,3941.55,3948.1,3941.55,3946.37,17949743,0
^SPX,5,20221117,185500,3946.28,3950.04,3945.75,3948.61,16235414,0
^SPX,5,20221117,190000,3948.46,3950.6,3948.26,3948.48,13213532,0
^SPX,5,20221117,190500,3948.23,3949.85,3946.55,3946.69,13870892,0
^SPX,5,20221117,191000,3946.71,3951.65,3946.71,3949.21,14306985,0
^SPX,5,20221117,191500,3949.65,3953.56,3949.6,3953.56,12472711,0
^SPX,5,20221117,192000,3953.42,3954.33,3950.84,3951.06,12736032,0
^SPX,5,20221117,192500,3951.06,3951.27,3948.87,3949.28,11947797,0
^SPX,5,20221117,193000,3949.28,3950.14,3946.85,3948.94,12308342,0
^SPX,5,20221117,193500,3949,3953.66,3948.76,3953.41,14480285,0
^SPX,5,20221117,194000,3953.57,3953.63,3950.14,3950.23,12891180,0
^SPX,5,20221117,194500,3949.96,3949.96,3945.81,3946.06,12372472,0
^SPX,5,20221117,195000,3945.99,3946.33,3943.57,3944.86,13653551,0
^SPX,5,20221117,195500,3944.9,3947.91,3943.04,3947.51,11330176,0
^SPX,5,20221117,200000,3947.42,3951.36,3947.22,3950.07,12798530,0
^SPX,5,20221117,200500,3949.85,3949.85,3944.21,3944.21,13008592,0
^SPX,5,20221117,201000,3943.9,3943.9,3939.96,3940.95,14302103,0
^SPX,5,20221117,201500,3941.35,3941.35,3936.81,3937.2,13716424,0
^SPX,5,20221117,202000,3937.1,3938.22,3934.39,3938.22,15050328,0
^SPX,5,20221117,202500,3937.84,3939.17,3935.92,3937.35,13822852,0
^SPX,5,20221117,203000,3937.46,3938.87,3936.56,3937.35,13095472,0
^SPX,5,20221117,203500,3938.28,3938.38,3933.43,3936.22,13590891,0
^SPX,5,20221117,204000,3936.15,3937.37,3932.64,3934.78,15068092,0
^SPX,5,20221117,204500,3934.07,3937.84,3931.25,3936.91,15825646,0
^SPX,5,20221117,205000,3936.92,3938.85,3935.5,3938.85,13723525,0
^SPX,5,20221117,205500,3939.14,3939.14,3936.69,3937.13,12967813,0
^SPX,5,20221117,210000,3936.78,3938.43,3933.52,3934.79,23126055,0
^SPX,5,20221117,210500,3934.69,3938.15,3932.53,3932.62,19514581,0
^SPX,5,20221117,211000,3932.67,3932.91,3927.8,3927.8,17963063,0
^SPX,5,20221117,211500,3928.13,3928.28,3924.92,3924.92,18490753,0
^SPX,5,20221117,212000,3924.89,3925.91,3922.72,3923.66,19064559,0
^SPX,5,20221117,212500,3923.53,3925.9,3922.2,3925.85,19533550,0
^SPX,5,20221117,213000,3925.34,3930.55,3925.2,3929.64,22688918,0
^SPX,5,20221117,213500,3929.62,3930.89,3928.19,3930.82,20674379,0
^SPX,5,20221117,214000,3931,3933.89,3930.96,3933.11,24385312,0
^SPX,5,20221117,214500,3932.94,3942.25,3932.94,3940.72,35906596,0
^SPX,5,20221117,215000,3942.65,3943.22,3938.24,3938.24,51110813,0
^SPX,5,20221117,215500,3937.17,3947.99,3937.14,3946.56,319767536,0
^SPX,5,20221118,153000,3978,3979.77,3969.67,3969.94,95227997,0
^SPX,5,20221118,153500,3970.44,3973.14,3965.64,3965.64,30829790,0
^SPX,5,20221118,154000,3965.49,3968.13,3963.96,3966.45,30096267,0
^SPX,5,20221118,154500,3966.25,3969.53,3961.3,3961.3,24919313,0
^SPX,5,20221118,155000,3960.95,3966.01,3960.95,3965.72,23180633,0
^SPX,5,20221118,155500,3965.22,3969.36,3962.26,3962.4,23621438,0
^SPX,5,20221118,160000,3963.1,3964.07,3953.86,3956.2,26752579,0
^SPX,5,20221118,160500,3955.82,3956.94,3948.58,3953.49,20951240,0
^SPX,5,20221118,161000,3953.81,3957.04,3953.53,3953.53,19550556,0
^SPX,5,20221118,161500,3952.86,3957.01,3951.76,3953.89,19658651,0
^SPX,5,20221118,162000,3954.38,3960.53,3954.18,3958.45,17913447,0
