<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^STI,5,20221117,020000,3271.88,3273.41,3264.64,3273.26,0,0
^STI,5,20221117,020500,3276.74,3286.52,3276.74,3284.78,0,0
^STI,5,20221117,021000,3284.95,3290.4,3284.63,3290.4,0,0
^STI,5,20221117,021500,3289.1,3293.42,3288.86,3289.63,0,0
^STI,5,20221117,022000,3289,3291.3,3287.03,3289.84,0,0
^STI,5,20221117,022500,3289.88,3291.18,3286.7,3288.49,0,0
^STI,5,20221117,023000,3287.83,3297.19,3287.83,3296.81,0,0
^STI,5,20221117,023500,3298.1,3298.1,3294.24,3294.83,0,0
^STI,5,20221117,024000,3295.18,3295.18,3288.91,3290.14,0,0
^STI,5,20221117,024500,3290.62,3293.3,3290.54,3292.55,0,0
^STI,5,20221117,025000,3293.14,3293.14,3284.88,3289.58,0,0
^STI,5,20221117,025500,3289.66,3290.36,3288.43,3288.51,0,0
^STI,5,20221117,030000,3288.56,3289.84,3285.99,3289.57,0,0
^STI,5,20221117,030500,3289.23,3289.96,3284.78,3286.45,0,0
^STI,5,20221117,031000,3286.46,3286.46,3283.63,3283.63,0,0
^STI,5,20221117,031500,3283.62,3286.46,3283.58,3285.92,0,0
^STI,5,20221117,032000,3286.24,3286.83,3284.98,3284.99,0,0
^STI,5,20221117,032500,3283.59,3284.99,3281.9,3282.47,0,0
^STI,5,20221117,033000,3282.42,3284.51,3281.96,3283.57,0,0
^STI,5,20221117,033500,3283.45,3284.89,3283.17,3283.67,0,0
^STI,5,20221117,034000,3284.44,3284.49,3279.94,3280.1,0,0
^STI,5,20221117,034500,3279.93,3279.93,3276.89,3278.19,0,0
^STI,5,20221117,035000,3278.03,3280.26,3277.18,3279.81,0,0
^STI,5,20221117,035500,3279.36,3280.3,3278.11,3278.95,0,0
^STI,5,20221117,040000,3278.99,3279.73,3277.51,3278.97,0,0
^STI,5,20221117,040500,3278.98,3281.26,3278.96,3280.64,0,0
^STI,5,20221117,041000,3280.46,3280.53,3277.65,3278.24,0,0
^STI,5,20221117,041500,3277.85,3278.01,3276.12,3276.12,0,0
^STI,5,20221117,042000,3276.46,3276.84,3274.89,3276.33,0,0
^STI,5,20221117,042500,3275.81,3276.57,3273.4,3273.4,0,0
^STI,5,20221117,043000,3273.21,3274.43,3272.58,3273.42,0,0
^STI,5,20221117,043500,3273.28,3273.3,3270.38,3270.38,0,0
^STI,5,20221117,044000,3270.21,3273.41,3270.19,3271.54,0,0
^STI,5,20221117,044500,3271.49,3272.88,3270.57,3270.87,0,0
^STI,5,20221117,045000,3271.09,3272.57,3268.85,3270.48,0,0
^STI,5,20221117,045500,3269.97,3272.74,3268.16,3270.29,0,0
^STI,5,20221117,050000,3269.25,3269.28,3269.18,3269.23,0,0
^STI,5,20221117,050500,3269.28,3269.36,3269.25,3269.29,0,0
^STI,5,20221117,051000,3269.31,3269.36,3269.28,3269.32,0,0
^STI,5,20221117,051500,3269.29,3269.32,3269.22,3269.23,0,0
^STI,5,20221117,052000,3269.26,3269.31,3269.22,3269.25,0,0
^STI,5,20221117,052500,3269.25,3269.26,3269.2,3269.23,0,0
