<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^TASI,5,20221117,080000,11165.66,11169.03,11137.26,11137.26,3573357,0
^TASI,5,20221117,080500,11120.45,11122.59,11108.8,11122.59,4403664,0
^TASI,5,20221117,081000,11124.13,11128.59,11124.13,11127.37,1742803,0
^TASI,5,20221117,081500,11123.35,11130.39,11123.35,11127.27,1548461,0
^TASI,5,20221117,082000,11127.3,11127.3,11117.02,11120.16,2718106,0
^TASI,5,20221117,082500,11118.86,11118.86,11115.5,11117.05,1986881,0
^TASI,5,20221117,083000,11120.86,11121.36,11111.13,11111.13,1452834,0
^TASI,5,20221117,083500,11110.03,11114.99,11106.58,11109.66,1881163,0
^TASI,5,20221117,084000,11109.56,11113.9,11109.56,11113.13,2051473,0
^TASI,5,20221117,084500,11111.58,11113.31,11111.38,11113.31,1429770,0
^TASI,5,20221117,085000,11114.71,11127.08,11114.71,11125,1468520,0
^TASI,5,20221117,085500,11126.69,11143.91,11126.69,11143.91,1584859,0
^TASI,5,20221117,090000,11143.72,11150.18,11143.72,11150.18,2760662,0
^TASI,5,20221117,090500,11149,11149,11144.19,11144.19,757556,0
^TASI,5,20221117,091000,11144.89,11145.74,11139.78,11139.78,1803522,0
^TASI,5,20221117,091500,11140.98,11141.03,11138.55,11141.03,2107015,0
^TASI,5,20221117,092000,11142.46,11146.4,11141.98,11146.4,388005,0
^TASI,5,20221117,092500,11143.83,11151.03,11143.83,11151.03,1724300,0
^TASI,5,20221117,093000,11156.99,11159.26,11154.87,11158.02,1249941,0
^TASI,5,20221117,093500,11159.71,11159.83,11157.58,11159.83,1789437,0
^TASI,5,20221117,094000,11157.91,11159.46,11156.75,11159.46,1851548,0
^TASI,5,20221117,094500,11156.22,11161.46,11156.22,11160.2,1000553,0
^TASI,5,20221117,095000,11154.67,11154.67,11146.8,11146.8,1273496,0
^TASI,5,20221117,095500,11148.17,11148.17,11141.88,11143.31,1211132,0
^TASI,5,20221117,100000,11139.56,11141.39,11133.35,11133.35,1970263,0
^TASI,5,20221117,100500,11130.88,11134.35,11127.41,11134.35,1059634,0
^TASI,5,20221117,101000,11139.57,11139.65,11128.77,11128.77,2378060,0
^TASI,5,20221117,101500,11132.36,11132.42,11130.02,11130.02,394425,0
^TASI,5,20221117,102000,11131.04,11133.07,11129.32,11130.37,1582037,0
^TASI,5,20221117,102500,11127.67,11127.67,11124.06,11124.06,1373271,0
^TASI,5,20221117,103000,11126.1,11127.75,11124.35,11124.35,639141,0
^TASI,5,20221117,103500,11123.99,11124.52,11119.98,11119.98,1659841,0
^TASI,5,20221117,104000,11124.55,11124.55,11119.55,11123.08,998906,0
^TASI,5,20221117,104500,11121.72,11121.72,11119.15,11120.16,1401390,0
^TASI,5,20221117,105000,11122.59,11122.59,11116.86,11116.86,2919761,0
^TASI,5,20221117,105500,11115.12,11121.01,11115.12,11121.01,432746,0
^TASI,5,20221117,110000,11123.79,11123.79,11117.87,11119.41,3497109,0
^TASI,5,20221117,110500,11121.71,11124.13,11119.28,11120.53,1460624,0
^TASI,5,20221117,111000,11120.53,11121.2,11120.16,11120.32,1591758,0
^TASI,5,20221117,111500,11118.04,11118.04,11112.5,11112.5,1384630,0
^TASI,5,20221117,112000,11111.58,11114.06,11110.68,11110.68,1195444,0
^TASI,5,20221117,112500,11110.74,11110.9,11107.71,11110.33,1591499,0
^TASI,5,20221117,113000,11110.63,11111.43,11103.23,11103.23,1610311,0
^TASI,5,20221117,113500,11100.76,11101.29,11097.35,11097.35,1559725,0
^TASI,5,20221117,114000,11100.52,11100.97,11098.06,11100.97,2665054,0
^TASI,5,20221117,114500,11099.97,11114,11099.97,11114,2164645,0
^TASI,5,20221117,115000,11115.93,11119.46,11115.93,11117.89,1334760,0
