<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^TDXP,5,20221117,090000,3087.29,3098.14,3087.29,3094.35,0,0
^TDXP,5,20221117,090500,3094.32,3100.16,3088.96,3088.96,0,0
^TDXP,5,20221117,091000,3088.66,3094.07,3088.66,3094.05,0,0
^TDXP,5,20221117,091500,3094.77,3101.45,3094.64,3099.69,0,0
^TDXP,5,20221117,092000,3099.17,3099.17,3095.36,3095.36,0,0
^TDXP,5,20221117,092500,3094.28,3094.28,3090.32,3090.44,0,0
^TDXP,5,20221117,093000,3090.32,3091.35,3088.8,3090.97,0,0
^TDXP,5,20221117,093500,3091.06,3095.11,3091.06,3093.25,0,0
^TDXP,5,20221117,094000,3093.72,3094.11,3089.49,3089.49,0,0
^TDXP,5,20221117,094500,3089.42,3091.57,3086.78,3086.78,0,0
^TDXP,5,20221117,095000,3086.75,3087.02,3083.03,3083.57,0,0
^TDXP,5,20221117,095500,3083.53,3085.26,3083.25,3084.95,0,0
^TDXP,5,20221117,100000,3084.68,3085.34,3081.72,3081.72,0,0
^TDXP,5,20221117,100500,3081.43,3083.14,3078.42,3079.66,0,0
^TDXP,5,20221117,101000,3079.55,3079.61,3077.99,3078.17,0,0
^TDXP,5,20221117,101500,3077.81,3079.66,3077.79,3079.66,0,0
^TDXP,5,20221117,102000,3080.53,3081.59,3080.43,3080.86,0,0
^TDXP,5,20221117,102500,3080.91,3081.84,3080.67,3081.17,0,0
^TDXP,5,20221117,103000,3081.29,3081.29,3078.08,3079.78,0,0
^TDXP,5,20221117,103500,3080.76,3081.44,3079.28,3079.28,0,0
^TDXP,5,20221117,104000,3079.31,3080.78,3078.38,3079.98,0,0
^TDXP,5,20221117,104500,3080.04,3082.15,3079.63,3081.15,0,0
^TDXP,5,20221117,105000,3080.19,3080.19,3077.47,3080.08,0,0
^TDXP,5,20221117,105500,3080.09,3081.93,3079.95,3081.81,0,0
^TDXP,5,20221117,110000,3082.25,3084.86,3082.22,3083.67,0,0
^TDXP,5,20221117,110500,3084.11,3085.06,3082.71,3082.72,0,0
^TDXP,5,20221117,111000,3082.6,3082.82,3080.87,3082.09,0,0
^TDXP,5,20221117,111500,3082.42,3082.66,3081.56,3082.66,0,0
^TDXP,5,20221117,112000,3082.32,3082.32,3081.28,3081.42,0,0
^TDXP,5,20221117,112500,3081.42,3083.42,3081.23,3083.22,0,0
^TDXP,5,20221117,113000,3083.55,3084.13,3083.35,3083.81,0,0
