<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^TSX,5,20221117,153000,19790.52,19812.34,19784,19797.47,0,0
^TSX,5,20221117,153500,19797.47,19825.89,19790.9,19825.89,0,0
^TSX,5,20221117,154000,19825.68,19838.78,19817.27,19823.29,0,0
^TSX,5,20221117,154500,19823.29,19851.44,19813.46,19842.65,0,0
^TSX,5,20221117,155000,19842.65,19857.78,19837.31,19837.31,0,0
^TSX,5,20221117,155500,19837.31,19837.31,19810.27,19816.67,0,0
^TSX,5,20221117,160000,19816.94,19816.94,19803.26,19810.56,0,0
^TSX,5,20221117,160500,19816.53,19833.09,19816.09,19827.1,0,0
^TSX,5,20221117,161000,19827.1,19844.56,19821.84,19825.41,0,0
^TSX,5,20221117,161500,19828.59,19841.26,19827.37,19841.26,0,0
^TSX,5,20221117,162000,19847.52,19856.49,19836.68,19838.11,0,0
^TSX,5,20221117,162500,19835.97,19857.03,19835.9,19849.12,0,0
^TSX,5,20221117,163000,19851.73,19856.57,19845.06,19845.94,0,0
^TSX,5,20221117,163500,19845.94,19849,19835.54,19837.27,0,0
^TSX,5,20221117,164000,19837.27,19843.61,19824.79,19825.68,0,0
^TSX,5,20221117,164500,19825.68,19825.68,19788.64,19788.64,0,0
^TSX,5,20221117,165000,19790.03,19794.93,19786.23,19790.98,0,0
^TSX,5,20221117,165500,19790.98,19792.61,19781.47,19785.16,0,0
^TSX,5,20221117,170000,19783.91,19796.42,19783.91,19786.41,0,0
^TSX,5,20221117,170500,19786.41,19786.41,19769.46,19769.46,0,0
^TSX,5,20221117,171000,19769.07,19769.07,19762.97,19766.34,0,0
^TSX,5,20221117,171500,19769.09,19774.14,19765.14,19769.34,0,0
^TSX,5,20221117,172000,19766.06,19768.57,19756.02,19768.57,0,0
^TSX,5,20221117,172500,19767.96,19776.89,19767.96,19771.8,0,0
^TSX,5,20221117,173000,19771.8,19773.09,19763.21,19768.01,0,0
^TSX,5,20221117,173500,19769.3,19778.36,19765.4,19765.69,0,0
^TSX,5,20221117,174000,19765.27,19768.32,19761.16,19763.63,0,0
^TSX,5,20221117,174500,19763.63,19763.63,19751.31,19751.31,0,0
^TSX,5,20221117,175000,19751.22,19756.98,19742.77,19745.01,0,0
^TSX,5,20221117,175500,19745.01,19794.01,19742.33,19790.15,0,0
^TSX,5,20221117,180000,19792.37,19805.2,19789.78,19805.18,0,0
^TSX,5,20221117,180500,19806.02,19813.11,19802.77,19813.11,0,0
^TSX,5,20221117,181000,19813.11,19822.86,19812.78,19821.5,0,0
^TSX,5,20221117,181500,19820.86,19820.86,19806.51,19818.45,0,0
^TSX,5,20221117,182000,19820.16,19822.02,19809.97,19811.17,0,0
^TSX,5,20221117,182500,19811.17,19811.4,19800.4,19800.4,0,0
^TSX,5,20221117,183000,19798.48,19805.54,19789.37,19790.34,0,0
^TSX,5,20221117,183500,19790.34,19808.15,19787.24,19803.7,0,0
^TSX,5,20221117,184000,19808.4,19823.4,19808.4,19823.4,0,0
^TSX,5,20221117,184500,19823.63,19835.36,19823.63,19835.36,0,0
