<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^TWSE,5,20221117,020000,14489.41,14489.41,14469.1,14488.48,0,0
^TWSE,5,20221117,020500,14487.6,14511.92,14480.63,14511.56,0,0
^TWSE,5,20221117,021000,14510.19,14510.19,14490.6,14492.78,0,0
^TWSE,5,20221117,021500,14488.14,14497.33,14484.91,14490.17,0,0
^TWSE,5,20221117,022000,14490.76,14494.23,14473.81,14478.99,0,0
^TWSE,5,20221117,022500,14476.98,14478.6,14423.61,14426.36,0,0
^TWSE,5,20221117,023000,14425.25,14446.66,14425.25,14426.91,0,0
^TWSE,5,20221117,023500,14431.3,14452.22,14428.51,14452.22,0,0
^TWSE,5,20221117,024000,14456.9,14465.81,14451.46,14458.42,0,0
^TWSE,5,20221117,024500,14463.13,14465.43,14438.76,14441.81,0,0
^TWSE,5,20221117,025000,14437.77,14444.08,14433.73,14437.44,0,0
^TWSE,5,20221117,025500,14437.64,14442.12,14431.1,14437.05,0,0
^TWSE,5,20221117,030000,14432.01,14441.12,14431.01,14437.35,0,0
^TWSE,5,20221117,030500,14438.31,14440.74,14429.97,14429.97,0,0
^TWSE,5,20221117,031000,14432.21,14436.26,14417.58,14417.58,0,0
^TWSE,5,20221117,031500,14420.72,14423.88,14403.99,14403.99,0,0
^TWSE,5,20221117,032000,14403.61,14409.43,14395.64,14398.95,0,0
^TWSE,5,20221117,032500,14397.06,14398.06,14383.55,14383.55,0,0
^TWSE,5,20221117,033000,14389.68,14413.57,14384.11,14413.57,0,0
^TWSE,5,20221117,033500,14415.99,14423.33,14405.28,14407.59,0,0
^TWSE,5,20221117,034000,14406.15,14419.27,14405.93,14415.55,0,0
^TWSE,5,20221117,034500,14415.04,14437.49,14411.42,14432.1,0,0
^TWSE,5,20221117,035000,14428.65,14441.74,14426.19,14438.73,0,0
^TWSE,5,20221117,035500,14440.7,14446.47,14433.21,14444.63,0,0
^TWSE,5,20221117,040000,14442.62,14447.14,14437.68,14439.06,0,0
