<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^UKX,5,20221117,090000,7350.9,7353.7,7344.2,7350.6,0,0
^UKX,5,20221117,090500,7349.2,7349.2,7341.4,7341.4,0,0
^UKX,5,20221117,091000,7341.8,7341.8,7335,7336,0,0
^UKX,5,20221117,091500,7336,7345.1,7335.9,7343.7,0,0
^UKX,5,20221117,092000,7342.6,7342.9,7332,7332.3,0,0
^UKX,5,20221117,092500,7332.6,7334.5,7330.3,7330.7,0,0
^UKX,5,20221117,093000,7331.3,7332.2,7329.2,7330.1,0,0
^UKX,5,20221117,093500,7330.1,7334.4,7327.7,7334.1,0,0
^UKX,5,20221117,094000,7333.8,7334.6,7326.3,7326.7,0,0
^UKX,5,20221117,094500,7326.9,7328.8,7326.3,7326.3,0,0
^UKX,5,20221117,095000,7326,7327.6,7324.1,7324.1,0,0
^UKX,5,20221117,095500,7324.3,7328.6,7322.2,7322.2,0,0
^UKX,5,20221117,100000,7321,7323.9,7321,7323,0,0
^UKX,5,20221117,100500,7323.1,7323.5,7319.2,7319.5,0,0
^UKX,5,20221117,101000,7320,7322.9,7317.4,7317.4,0,0
^UKX,5,20221117,101500,7317.6,7317.6,7312.2,7314.9,0,0
^UKX,5,20221117,102000,7315.6,7319.2,7315.6,7318.5,0,0
^UKX,5,20221117,102500,7318.7,7321.2,7318.3,7319.6,0,0
^UKX,5,20221117,103000,7318.9,7318.9,7312.2,7312.9,0,0
^UKX,5,20221117,103500,7312.9,7312.9,7308.6,7310,0,0
^UKX,5,20221117,104000,7310,7311.5,7308.2,7308.7,0,0
^UKX,5,20221117,104500,7308.5,7311,7308.4,7310.6,0,0
^UKX,5,20221117,105000,7310.2,7310.2,7306.2,7309.6,0,0
^UKX,5,20221117,105500,7309.8,7310.5,7309,7309.8,0,0
^UKX,5,20221117,110000,7309.6,7315.2,7309.6,7310.6,0,0
^UKX,5,20221117,110500,7310.9,7317,7310.9,7316.5,0,0
^UKX,5,20221117,111000,7316.6,7316.6,7314.1,7316.3,0,0
^UKX,5,20221117,111500,7316.4,7318.4,7316.4,7317.8,0,0
^UKX,5,20221117,112000,7317.6,7321.1,7317.2,7321.1,0,0
^UKX,5,20221117,112500,7321.1,7324.5,7321.1,7324.5,0,0
^UKX,5,20221117,113000,7324.9,7325,7321.8,7322.9,0,0
^UKX,5,20221117,113500,7322.6,7322.6,7321.3,7322.3,0,0
^UKX,5,20221117,114000,7322.2,7325.5,7322.1,7324.8,0,0
^UKX,5,20221117,114500,7324.8,7325,7318.2,7318.2,0,0
^UKX,5,20221117,115000,7318.4,7318.4,7310.3,7310.3,0,0
^UKX,5,20221117,115500,7309.8,7310.7,7305.4,7305.7,0,0
^UKX,5,20221117,120000,7305.9,7311.7,7305.8,7311.7,0,0
^UKX,5,20221117,120500,7311,7313.5,7311,7313.4,0,0
^UKX,5,20221117,121000,7313.3,7315.4,7311.8,7311.8,0,0
^UKX,5,20221117,121500,7311,7311,7308.6,7309.5,0,0
^UKX,5,20221117,122000,7309.4,7310.5,7307.4,7307.9,0,0
^UKX,5,20221117,122500,7307.7,7308.5,7307.1,7307.4,0,0
^UKX,5,20221117,123000,7307.4,7311.7,7307.3,7311.4,0,0
^UKX,5,20221117,123500,7311.4,7312.4,7301.9,7306.7,0,0
^UKX,5,20221117,124000,7307.2,7309.1,7307.2,7307.8,0,0
^UKX,5,20221117,124500,7308,7315.3,7308,7311.7,0,0
^UKX,5,20221117,125000,7311.6,7318.2,7311.4,7312,0,0
^UKX,5,20221117,125500,7312.5,7312.9,7309.3,7312.1,0,0
^UKX,5,20221117,130000,7312.3,7312.7,7305.2,7305.2,0,0
^UKX,5,20221117,130500,7305.3,7305.3,7301.3,7304.2,0,0
^UKX,5,20221117,131000,7304.4,7304.4,7302.7,7303.3,0,0
^UKX,5,20221117,131500,7303.4,7304.9,7302.1,7304.9,0,0
^UKX,5,20221117,132000,7304.6,7305.5,7303.2,7303.7,0,0
^UKX,5,20221117,132500,7303.7,7312.3,7303.7,7308.9,0,0
^UKX,5,20221117,133000,7309.1,7311.7,7309.1,7310.9,0,0
^UKX,5,20221117,133500,7310.6,7314.1,7309.2,7312,0,0
^UKX,5,20221117,134000,7311.8,7314.3,7311.1,7311.7,0,0
^UKX,5,20221117,134500,7311.6,7311.6,7304.4,7304.4,0,0
^UKX,5,20221117,135000,7304.5,7308.2,7304.4,7308.2,0,0
