<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^XU100,5,20221117,080000,4686.54,4686.54,4620.92,4640.9,0,0
^XU100,5,20221117,080500,4643.7,4645.26,4612.77,4612.89,0,0
^XU100,5,20221117,081000,4608.59,4608.59,4573.85,4573.85,0,0
^XU100,5,20221117,081500,4570.46,4570.46,4476.55,4476.55,0,0
^XU100,5,20221117,082000,4470.07,4470.07,4447.04,4455.41,0,0
^XU100,5,20221117,082500,4454.91,4458.21,4451.35,4457.32,0,0
^XU100,5,20221117,083000,4456.84,4466.7,4453.43,4462.63,0,0
^XU100,5,20221117,083500,4462.65,4529.24,4462.65,4528.03,0,0
^XU100,5,20221117,084000,4530.32,4545.34,4509.62,4512.76,0,0
^XU100,5,20221117,084500,4512.76,4536.59,4511.13,4536.59,0,0
^XU100,5,20221117,085000,4534.22,4544.54,4532.67,4544.54,0,0
^XU100,5,20221117,085500,4545.48,4569.56,4545.48,4564.09,0,0
^XU100,5,20221117,090000,4557.96,4572.53,4557.96,4572.53,0,0
^XU100,5,20221117,090500,4570.81,4575.48,4540.99,4546.36,0,0
^XU100,5,20221117,091000,4544.85,4558.95,4536.78,4554.27,0,0
^XU100,5,20221117,091500,4555.9,4561.35,4550.83,4556.41,0,0
^XU100,5,20221117,092000,4554.07,4554.07,4541.4,4547.07,0,0
^XU100,5,20221117,092500,4547.02,4554.68,4536.34,4554.51,0,0
^XU100,5,20221117,093000,4555.09,4567.48,4555.09,4567.41,0,0
^XU100,5,20221117,093500,4568.2,4578.91,4568.2,4573.53,0,0
^XU100,5,20221117,094000,4573.62,4579.72,4569.64,4579.72,0,0
^XU100,5,20221117,094500,4581.28,4587.17,4575.83,4576.28,0,0
^XU100,5,20221117,095000,4575.18,4583.47,4571.2,4582.17,0,0
^XU100,5,20221117,095500,4584.46,4593.29,4582.98,4593.29,0,0
^XU100,5,20221117,100000,4592.71,4594,4584.15,4586.01,0,0
^XU100,5,20221117,100500,4585.7,4588.15,4574.47,4574.8,0,0
^XU100,5,20221117,101000,4572,4576.78,4570.79,4575.61,0,0
^XU100,5,20221117,101500,4576.02,4582.05,4575.05,4582.05,0,0
^XU100,5,20221117,102000,4583.62,4587.45,4581.23,4585.06,0,0
^XU100,5,20221117,102500,4585.45,4595.39,4584.99,4595.39,0,0
^XU100,5,20221117,103000,4595.87,4599.34,4592.75,4593.71,0,0
^XU100,5,20221117,103500,4593.15,4593.15,4587.91,4588.13,0,0
^XU100,5,20221117,104000,4588.03,4592.63,4588.03,4591.76,0,0
^XU100,5,20221117,104500,4591.9,4594.08,4586.2,4589.23,0,0
^XU100,5,20221117,105000,4589.44,4589.79,4581.21,4585.7,0,0
^XU100,5,20221117,105500,4584.41,4584.69,4573.68,4575.37,0,0
^XU100,5,20221117,110000,4574.52,4574.73,4563.39,4569.74,0,0
^XU100,5,20221117,110500,4569.5,4574.07,4568.12,4573.56,0,0
^XU100,5,20221117,111000,4571.89,4571.89,4567.08,4569.07,0,0
^XU100,5,20221117,111500,4568.66,4568.66,4554.08,4557.89,0,0
^XU100,5,20221117,112000,4557.25,4566.13,4557.25,4562.11,0,0
^XU100,5,20221117,112500,4564.63,4574.8,4563.91,4573.79,0,0
^XU100,5,20221117,113000,4574.86,4579.85,4574.69,4579.85,0,0
^XU100,5,20221117,113500,4579.71,4581.81,4575.63,4579.4,0,0
^XU100,5,20221117,114000,4579.3,4582.34,4576.77,4580.17,0,0
^XU100,5,20221117,114500,4580.18,4580.37,4575.15,4576.8,0,0
^XU100,5,20221117,115000,4575.72,4578.86,4574.38,4578.13,0,0
^XU100,5,20221117,115500,4577.76,4584.11,4577.45,4582.16,0,0
^XU100,5,20221117,120000,4582.27,4585.6,4582.14,4585.6,0,0
^XU100,5,20221117,120500,4586.32,4591.77,4586.17,4591.77,0,0
^XU100,5,20221117,121000,4591.29,4594.55,4589.77,4594.55,0,0
^XU100,5,20221117,121500,4594.77,4599.39,4594.77,4597.68,0,0
^XU100,5,20221117,122000,4598.05,4598.96,4584.36,4585.59,0,0
^XU100,5,20221117,122500,4585.18,4586.79,4568.71,4568.71,0,0
^XU100,5,20221117,123000,4568.04,4573.86,4566.54,4570.66,0,0
^XU100,5,20221117,123500,4571.18,4574.93,4568.95,4568.95,0,0
^XU100,5,20221117,124000,4568.81,4571.3,4565.13,4570.91,0,0
^XU100,5,20221117,124500,4571.24,4574.03,4569.23,4569.23,0,0
^XU100,5,20221117,125000,4570.33,4573.44,4569.45,4573.16,0,0
^XU100,5,20221117,125500,4573.95,4579.13,4571.72,4578.47,0,0
^XU100,5,20221117,130000,4577.35,4582.25,4577.35,4579.29,0,0
^XU100,5,20221117,130500,4579.66,4579.66,4570.91,4571.57,0,0
^XU100,5,20221117,131000,4571.57,4580.34,4568.54,4578.96,0,0
^XU100,5,20221117,131500,4579.77,4580.55,4575.6,4579.26,0,0
^XU100,5,20221117,132000,4580.28,4586.48,4571.74,4571.81,0,0
^XU100,5,20221117,132500,4573.07,4583.32,4573.07,4582.01,0,0
^XU100,5,20221117,133000,4582.1,4583.27,4576.34,4578.92,0,0
^XU100,5,20221117,133500,4578.94,4580.92,4575.65,4575.65,0,0
^XU100,5,20221117,134000,4575.24,4584.55,4575.24,4579.43,0,0
^XU100,5,20221117,134500,4579.19,4582.79,4575.76,4578.7,0,0
^XU100,5,20221117,135000,4579.46,4579.46,4569.59,4572.27,0,0
^XU100,5,20221117,135500,4573.52,4573.84,4554.03,4554.06,0,0
^XU100,5,20221117,140000,4550.62,4554.13,4542.87,4550.93,0,0
^XU100,5,20221117,140500,4554.33,4555.23,4551.56,4553.71,0,0
^XU100,5,20221117,141000,4554.17,4558.85,4553.02,4554.87,0,0
^XU100,5,20221117,141500,4554.26,4559.04,4552.98,4557.9,0,0
^XU100,5,20221117,142000,4558.82,4559.88,4547.21,4547.28,0,0
^XU100,5,20221117,142500,4548.69,4548.69,4544.5,4546.62,0,0
^XU100,5,20221117,143000,4547.11,4553.69,4547.11,4552.89,0,0
^XU100,5,20221117,143500,4552.97,4562.52,4552.97,4562.19,0,0
^XU100,5,20221117,144000,4560.01,4562.58,4559.04,4560.73,0,0
^XU100,5,20221117,144500,4559.98,4560.26,4544.96,4546.16,0,0
^XU100,5,20221117,145000,4546.77,4546.84,4531.12,4531.12,0,0
^XU100,5,20221117,145500,4529.83,4529.83,4514.91,4516.51,0,0
^XU100,5,20221117,150000,4516.91,4532.78,4512.65,4527.46,0,0
^XU100,5,20221117,150500,4527.86,4529.65,4524.83,4525.65,0,0
^XU100,5,20221117,151000,4525.84,4537.23,4519.35,4529.74,0,0
^XU100,5,20221117,151500,4530.54,4541.77,4529.71,4536.65,0,0
^XU100,5,20221117,152000,4536.71,4540.21,4531.72,4532.57,0,0
^XU100,5,20221117,152500,4532.96,4538.42,4527.55,4527.93,0,0
^XU100,5,20221117,153000,4526.93,4532.81,4526.2,4527.72,0,0
^XU100,5,20221117,153500,4526.22,4526.22,4515.31,4515.46,0,0
^XU100,5,20221117,154000,4514.76,4520.96,4513.6,4518.97,0,0
^XU100,5,20221117,154500,4518.79,4519.26,4515.65,4518.63,0,0
^XU100,5,20221117,155000,4519.26,4520.64,4514.87,4514.87,0,0
^XU100,5,20221117,155500,4515.99,4517.8,4507.24,4507.24,0,0
^XU100,5,20221118,080000,4465.59,4481.37,4456.57,4478.56,0,0
^XU100,5,20221118,080500,4479.12,4490.71,4476.9,4489.85,0,0
^XU100,5,20221118,081000,4491.34,4496.4,4491.34,4494.22,0,0
^XU100,5,20221118,081500,4494.28,4502.83,4494.28,4502.03,0,0
^XU100,5,20221118,082000,4502.09,4512.8,4502.09,4506.11,0,0
^XU100,5,20221118,082500,4503.33,4503.33,4487.16,4488.67,0,0
^XU100,5,20221118,083000,4488.69,4498.85,4488.07,4498.41,0,0
^XU100,5,20221118,083500,4498.87,4504.46,4498.87,4504.46,0,0
^XU100,5,20221118,084000,4504.64,4518.63,4504.64,4518.63,0,0
^XU100,5,20221118,084500,4519.96,4521.35,4515.26,4516.46,0,0
^XU100,5,20221118,085000,4516.62,4520.36,4513.95,4515.28,0,0
^XU100,5,20221118,085500,4515.55,4532.83,4515.1,4531.39,0,0
^XU100,5,20221118,090000,4531.5,4539.41,4531.5,4538.79,0,0
^XU100,5,20221118,090500,4539.47,4549.07,4538.25,4549.07,0,0
^XU100,5,20221118,091000,4549.64,4551.41,4533.65,4534.06,0,0
^XU100,5,20221118,091500,4535.3,4537.7,4531.67,4534.24,0,0
^XU100,5,20221118,092000,4534.26,4540.3,4533.85,4537.9,0,0
^XU100,5,20221118,092500,4538.7,4544.52,4538.36,4543.84,0,0
^XU100,5,20221118,093000,4543.8,4554.75,4543.8,4554.75,0,0
^XU100,5,20221118,093500,4554.19,4554.19,4548,4550.42,0,0
^XU100,5,20221118,094000,4551.09,4552.52,4543.42,4544.03,0,0
^XU100,5,20221118,094500,4543.11,4548.82,4541.63,4544,0,0
^XU100,5,20221118,095000,4541.12,4541.12,4530.77,4531.19,0,0
^XU100,5,20221118,095500,4531.34,4537.31,4530.18,4534.62,0,0
^XU100,5,20221118,100000,4534.73,4535.73,4529.67,4529.67,0,0
^XU100,5,20221118,100500,4530.46,4534.7,4525.8,4534.16,0,0
^XU100,5,20221118,101000,4533.99,4540.76,4533.99,4540.76,0,0
^XU100,5,20221118,101500,4540.67,4542.33,4539.89,4540.31,0,0
^XU100,5,20221118,102000,4541.36,4545.03,4540.88,4541.77,0,0
^XU100,5,20221118,102500,4541.7,4544.23,4541.15,4542.85,0,0
^XU100,5,20221118,103000,4542.67,4548.72,4542.67,4547.82,0,0
^XU100,5,20221118,103500,4547.69,4549.15,4544.95,4545.46,0,0
^XU100,5,20221118,104000,4546.61,4548.74,4543.91,4546.35,0,0
^XU100,5,20221118,104500,4545.94,4545.94,4540.09,4540.09,0,0
^XU100,5,20221118,105000,4539.15,4539.15,4533.63,4536.32,0,0
^XU100,5,20221118,105500,4537.28,4542,4537.21,4538.98,0,0
^XU100,5,20221118,110000,4538.27,4539.57,4536.99,4537.11,0,0
^XU100,5,20221118,110500,4537.53,4539.3,4537.53,4537.91,0,0
^XU100,5,20221118,111000,4537.9,4537.9,4528.64,4528.64,0,0
^XU100,5,20221118,111500,4527.38,4532.38,4520.93,4532.25,0,0
^XU100,5,20221118,112000,4531.13,4531.13,4511.39,4513.37,0,0
^XU100,5,20221118,112500,4513.04,4513.57,4509.53,4513.46,0,0
^XU100,5,20221118,113000,4515.4,4527.21,4515.13,4527.21,0,0
^XU100,5,20221118,113500,4527.21,4533.13,4527.21,4532.41,0,0
^XU100,5,20221118,114000,4532.34,4532.34,4526.59,4526.75,0,0
^XU100,5,20221118,114500,4526.81,4527.52,4520.85,4521.31,0,0
^XU100,5,20221118,115000,4521.43,4521.43,4514.75,4515.87,0,0
^XU100,5,20221118,115500,4515.89,4520.18,4512.54,4512.54,0,0
^XU100,5,20221118,120000,4512.54,4512.54,4498.71,4502.91,0,0
^XU100,5,20221118,120500,4504.3,4506.07,4495.14,4495.51,0,0
^XU100,5,20221118,121000,4495.61,4497.09,4486.14,4491.4,0,0
^XU100,5,20221118,121500,4492.29,4507.34,4491.27,4507.08,0,0
^XU100,5,20221118,122000,4507.55,4508.19,4504.87,4507.98,0,0
^XU100,5,20221118,122500,4507.77,4508.33,4503.61,4506.08,0,0
^XU100,5,20221118,123000,4506.91,4506.91,4500.67,4501.91,0,0
^XU100,5,20221118,123500,4502.26,4502.78,4497.61,4502.5,0,0
^XU100,5,20221118,124000,4502.87,4507.07,4499.71,4507.07,0,0
^XU100,5,20221118,124500,4507.61,4512.57,4507.61,4511.12,0,0
^XU100,5,20221118,125000,4511.23,4520.13,4511.15,4520.13,0,0
^XU100,5,20221118,125500,4520.5,4521.31,4517.34,4517.34,0,0
^XU100,5,20221118,130000,4517.51,4518.19,4512.76,4516.18,0,0
^XU100,5,20221118,130500,4516.96,4520.57,4516.88,4520.1,0,0
^XU100,5,20221118,131000,4520.44,4523.83,4520.02,4522.79,0,0
^XU100,5,20221118,131500,4523,4524.09,4520.21,4520.78,0,0
^XU100,5,20221118,132000,4519.6,4519.71,4513.8,4514.98,0,0
^XU100,5,20221118,132500,4515.31,4516.42,4512.26,4515.33,0,0
^XU100,5,20221118,133000,4514.07,4514.07,4502.54,4503.31,0,0
^XU100,5,20221118,133500,4503.67,4508.22,4501.28,4507.58,0,0
^XU100,5,20221118,134000,4507.81,4507.81,4496.98,4497.24,0,0
^XU100,5,20221118,134500,4498.26,4507.55,4498.26,4504.92,0,0
^XU100,5,20221118,135000,4505.33,4511.27,4504.01,4510.76,0,0
^XU100,5,20221118,135500,4511.82,4513.4,4508.96,4513.05,0,0
^XU100,5,20221118,140000,4513.28,4513.28,4506.59,4506.76,0,0
^XU100,5,20221118,140500,4506.53,4510.44,4502.09,4510.01,0,0
^XU100,5,20221118,141000,4510.03,4513.1,4509.56,4510.07,0,0
^XU100,5,20221118,141500,4510.94,4517.35,4510.94,4516.74,0,0
^XU100,5,20221118,142000,4516.56,4517.16,4511,4512.1,0,0
^XU100,5,20221118,142500,4512.1,4513.46,4509.9,4512.65,0,0
^XU100,5,20221118,143000,4513.29,4523.77,4513.29,4523.65,0,0
^XU100,5,20221118,143500,4522.77,4522.77,4516.73,4520.06,0,0
^XU100,5,20221118,144000,4519.91,4525.72,4519.75,4525.72,0,0
^XU100,5,20221118,144500,4525.29,4527.31,4518.24,4519.62,0,0
^XU100,5,20221118,145000,4519.29,4519.29,4512.39,4514.89,0,0
^XU100,5,20221118,145500,4515.52,4520.38,4514.73,4519.99,0,0
^XU100,5,20221118,150000,4519.69,4520.48,4508.48,4510.22,0,0
^XU100,5,20221118,150500,4510.22,4510.22,4503.62,4504.19,0,0
^XU100,5,20221118,151000,4503.5,4503.5,4495.65,4496.83,0,0
^XU100,5,20221118,151500,4496.83,4501.4,4491.14,4500.56,0,0
